name,ttm,03/31/2022
OperatingCashFlow,,"-160,187"
	CashFlowFromContinuingOperatingActivities,,"-160,187"
		NetIncomeFromContinuingOperations,,"172,425"
		OperatingGainsLosses,,"-1,005,262"
			GainLossOnInvestmentSecurities,,"-1,005,262"
		UnrealizedGainLossOnInvestmentSecurities,,"-12,860"
		OtherNonCashItems,,"-87,243"
		ChangeInWorkingCapital,,"772,753"
			ChangeInPrepaidAssets,,"-37,751"
			ChangeInPayablesAndAccruedExpense,,"44,680"
				ChangeInAccruedExpense,,"44,680"
			ChangeInOtherCurrentAssets,,"84,797"
			ChangeInOtherWorkingCapital,,"681,027"
FinancingCashFlow,,"0"
	CashFlowFromContinuingFinancingActivities,,"0"
		NetIssuancePaymentsOfDebt,,"0"
			NetLongTermDebtIssuance,,"0"
				LongTermDebtIssuance,,"0"
		NetCommonStockIssuance,,"0"
			CommonStockIssuance,,"0"
EndCashPosition,,"961,550"
	ChangesInCash,,"-160,187"
	BeginningCashPosition,,"1,121,737"
IssuanceOfCapitalStock,,"0"
IssuanceOfDebt,,"0"
FreeCashFlow,,"-160,187"
