name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
TotalRevenue,"657,310,000","242,848,000","159,200,000","135,556,000","119,706,000","152,828,000","69,649,000","65,843,000","51,268,000","54,159,000","36,560,339","38,383,455","33,060,000","29,837,000","20,855,818","18,538,628"
	OperatingRevenue,"647,066,000","239,894,000","161,884,000","130,671,000","116,344,000","144,613,000","64,730,000","63,432,000","49,758,000","53,759,000","35,246,240","37,334,503","33,060,000","29,272,000","20,546,807","18,098,079"
CostOfRevenue,"464,425,000","153,750,000","121,529,000","100,081,000","89,065,000","89,375,000","51,834,000","48,469,000","39,263,000","34,548,000","29,887,653","26,787,773","23,994,000","16,286,000","13,766,637","12,407,704"
GrossProfit,"192,885,000","89,098,000","37,671,000","35,475,000","30,641,000","63,453,000","17,815,000","17,374,000","12,005,000","19,611,000","6,672,686","11,595,682","9,066,000","13,551,000","7,089,181","6,130,924"
OperatingExpense,"180,656,000","54,992,000","53,518,000","40,938,000","30,515,000","28,699,000","23,756,000","17,589,000","14,236,000","12,646,000","11,160,362","9,585,970","9,373,000","5,005,000","5,983,634","4,437,814"
	SellingGeneralAndAdministration,,,,,,,,,,,"7,864,505","6,320,213",,,"5,072,975","3,588,312"
		GeneralAndAdministrativeExpense,,,,,,,,,,,"7,864,505","6,320,213",,,"5,072,975","3,588,312"
			OtherGandA,,,,,,,,,,,"7,864,505","6,320,213",,,"5,072,975","3,588,312"
	DepreciationAmortizationDepletionIncomeStatement,"58,927,000","18,550,000","15,713,000","13,349,000","11,315,000","11,131,000","6,273,000","5,443,000","4,690,000","3,761,000","3,295,857","3,265,757","2,984,000","1,003,000","910,659","849,502"
		DepreciationAndAmortizationInIncomeStatement,"58,927,000","18,550,000","15,713,000","13,349,000","11,315,000","11,131,000","6,273,000","5,443,000","4,690,000","3,761,000","3,295,857","3,265,757","2,984,000","1,003,000","910,659","849,502"
			DepreciationIncomeStatement,"3,182,000","988,000","868,000","753,000","573,000","594,000","466,000","258,000","240,000","165,000","81,636","184,179","149,000","127,000","141,532","126,531"
			Amortization,"55,745,000","17,562,000","14,845,000","12,596,000","10,742,000","10,537,000","5,807,000","5,185,000","4,450,000","3,596,000","3,214,221","3,081,578","2,835,000","876,000","769,127","722,971"
