name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"8,574,700,000","8,517,700,000","8,652,700,000","8,657,200,000","8,453,200,000","8,270,900,000","8,266,600,000","8,978,100,000","9,184,400,000","9,187,800,000","9,232,600,000","9,235,300,000","9,169,900,000","8,997,400,000","9,227,300,000","9,137,800,000","9,160,200,000","9,218,300,000","9,366,500,000","8,794,300,000","8,813,200,000","8,762,600,000","8,792,800,000","8,909,300,000","9,116,900,000","9,321,800,000","2,708,800,000","2,701,100,000","2,681,300,000","2,698,100,000","2,753,000,000","2,790,700,000","2,763,800,000","2,802,800,000","2,843,000,000","2,786,500,000","2,736,200,000","2,777,700,000","2,817,100,000","2,485,900,000","2,439,900,000","2,449,600,000","2,492,000,000","2,464,500,000","2,391,300,000","2,048,700,000","1,962,800,000","1,933,700,000","1,931,300,000","1,932,000,000","1,935,700,000","1,709,500,000","1,693,900,000","1,741,700,000","1,798,600,000","1,741,300,000","1,731,700,000","1,701,400,000","1,956,700,000","1,654,500,000","1,665,100,000","1,636,500,000","1,951,000,000","1,877,100,000","1,828,800,000","1,797,200,000","1,681,200,000","1,647,500,000","1,670,000,000","1,619,000,000","1,647,400,000","1,614,000,000","1,674,100,000","1,445,000,000","1,410,300,000","1,410,000,000","1,406,100,000","1,424,000,000","1,378,600,000","1,140,400,000","1,240,000,000","1,219,000,000","1,125,400,000","1,145,300,000","1,062,200,000","1,123,000,000","1,109,500,000","1,079,100,000","1,074,000,000","1,063,000,000","1,032,700,000","1,055,400,000","1,069,600,000","1,577,000,000","1,816,400,000","1,844,400,000","1,873,000,000","1,946,000,000","1,904,200,000","1,929,500,000","2,163,100,000","2,339,000,000","2,228,600,000","2,306,800,000","2,308,100,000","2,272,000,000","2,283,100,000","2,189,100,000","2,143,100,000","2,030,000,000","1,971,800,000","2,017,900,000","1,949,700,000","1,930,000,000","2,005,400,000","2,055,600,000","2,045,800,000","2,030,000,000","1,986,300,000","2,067,900,000","2,055,000,000","2,012,000,000","2,002,500,000","1,940,000,000","1,970,000,000","1,866,000,000","1,961,000,000","2,050,000,000","1,975,000,000","1,904,000,000","1,911,000,000","1,929,000,000","1,969,000,000","1,940,000,000","1,685,000,000","1,544,600,000","1,597,800,000"
	CurrentAssets,"2,438,400,000","2,248,300,000","2,305,300,000","2,218,100,000","2,013,000,000","1,717,100,000","1,672,500,000","1,616,800,000","1,739,300,000","1,714,000,000","1,769,600,000","1,726,200,000","1,684,500,000","1,707,400,000","1,938,300,000","1,763,200,000","1,699,000,000","1,699,200,000","1,717,900,000","1,691,000,000","1,669,700,000","1,546,200,000","1,553,200,000","1,562,900,000","1,877,400,000","1,933,400,000","868,400,000","844,300,000","803,200,000","816,100,000","857,000,000","879,000,000","828,700,000","839,900,000","877,100,000","793,900,000","722,400,000","749,100,000","753,400,000","749,300,000","751,900,000","780,300,000","838,800,000","842,300,000","797,400,000","882,800,000","852,800,000","840,100,000","856,200,000","860,300,000","853,900,000","646,200,000","625,800,000","692,300,000","630,600,000","640,800,000","665,200,000","671,000,000","852,700,000","937,500,000","943,900,000","919,200,000","907,800,000","921,600,000","911,400,000","873,400,000","801,500,000","753,200,000","772,100,000","713,000,000","711,700,000","713,100,000","763,300,000","681,000,000","656,300,000","645,400,000","636,800,000","638,000,000","661,200,000","578,400,000","658,000,000","616,000,000","518,000,000","518,200,000","474,600,000","528,000,000","554,700,000","523,300,000","522,800,000","504,000,000","509,300,000","523,100,000","533,000,000","517,000,000","877,100,000","831,000,000","867,500,000","936,000,000","880,400,000","930,200,000","1,174,600,000","1,336,000,000","1,046,900,000","1,110,600,000","1,104,100,000","1,052,000,000","1,054,300,000","1,032,800,000","998,000,000","880,000,000","817,000,000","858,500,000","781,300,000","740,000,000","778,700,000","815,900,000","806,300,000","760,000,000","743,700,000","839,300,000","816,300,000","768,000,000","796,400,000","799,000,000","829,000,000","734,000,000","839,000,000","947,000,000","852,000,000","790,000,000","786,000,000","798,000,000","859,000,000","801,000,000","680,000,000","601,000,000","695,100,000"
		CashCashEquivalentsAndShortTermInvestments,"197,900,000","180,500,000","306,100,000","272,800,000","259,900,000","189,700,000","282,700,000","237,900,000","194,500,000","220,900,000","177,400,000","126,900,000","105,700,000","178,800,000","156,700,000","144,200,000","109,100,000","218,400,000","255,900,000","184,500,000","168,500,000","184,500,000","127,000,000","66,600,000","315,600,000","392,000,000","254,000,000","232,400,000","196,800,000","256,800,000","263,600,000","245,600,000","242,900,000","307,800,000","283,800,000","141,600,000","93,000,000","165,200,000","103,100,000","198,600,000","220,600,000","304,800,000","318,300,000","276,500,000","280,400,000","458,600,000","393,400,000","388,400,000","411,000,000","458,500,000","376,600,000","192,200,000","168,600,000","246,500,000","200,200,000","206,900,000","276,000,000","332,600,000","68,700,000","257,100,000","282,800,000","276,400,000","219,500,000","193,700,000","256,000,000","303,700,000","227,100,000","146,500,000","156,800,000","147,000,000","92,300,000","117,800,000","185,800,000","190,000,000","148,000,000","94,500,000","70,700,000","136,000,000","118,900,000","114,300,000","230,000,000","202,000,000","30,500,000","28,800,000","35,700,000","82,000,000","67,200,000","39,000,000","30,500,000","46,000,000","59,600,000","53,600,000","67,000,000","50,000,000","81,400,000","7,700,000","53,500,000","166,000,000","36,000,000","22,000,000","249,800,000","524,000,000","5,300,000","4,500,000","5,500,000","8,000,000","5,600,000","3,700,000","5,400,000","7,000,000","8,000,000","6,000,000","4,800,000","3,000,000","4,100,000","5,100,000","6,200,000","4,000,000","7,200,000","6,100,000","5,300,000","8,000,000","6,000,000","10,000,000","10,000,000","6,000,000","5,000,000","6,000,000","5,000,000","12,000,000","23,000,000","19,000,000","19,000,000","25,000,000","34,000,000","9,500,000","47,900,000"
			CashAndCashEquivalents,"197,900,000","180,500,000","306,100,000","272,800,000","259,900,000","189,700,000","282,700,000","237,900,000","194,500,000","220,900,000","177,400,000","126,900,000","105,700,000","178,800,000","156,700,000","144,200,000","109,100,000","218,400,000","255,900,000","184,500,000","168,500,000","184,500,000","127,000,000","66,600,000","315,600,000","392,000,000","254,000,000","232,400,000","196,800,000","256,800,000","263,600,000","245,600,000","242,900,000","307,800,000","283,800,000","141,600,000","93,000,000","165,200,000","103,100,000","198,600,000","220,600,000","304,800,000","318,300,000","276,500,000","280,400,000","458,600,000","393,400,000","388,400,000","411,000,000","458,500,000","376,600,000","192,200,000","168,600,000","246,500,000","200,200,000","186,400,000","249,900,000","306,000,000","42,100,000","230,500,000","256,200,000","199,800,000","142,900,000","117,100,000","206,000,000","303,700,000","227,100,000","146,500,000","156,800,000","147,000,000","92,300,000","117,800,000","185,800,000","190,000,000","148,000,000","94,500,000","70,700,000","111,000,000","93,900,000","89,300,000","205,000,000","165,000,000","5,500,000","3,800,000","10,700,000","57,000,000","42,200,000","14,000,000","5,500,000","21,000,000","36,400,000","53,600,000","67,000,000","50,000,000","81,400,000","7,700,000","53,500,000","166,000,000","36,000,000","22,000,000","249,800,000","524,000,000","5,300,000","4,500,000","5,500,000","8,000,000","5,600,000","3,700,000","5,400,000","7,000,000","8,000,000","6,000,000","4,800,000","3,000,000","4,100,000","5,100,000","6,200,000","4,000,000","7,200,000","6,100,000","5,300,000","8,000,000","6,000,000","10,000,000","10,000,000","6,000,000","5,000,000","6,000,000","5,000,000","12,000,000","23,000,000","19,000,000","19,000,000","25,000,000","34,000,000","9,500,000","47,900,000"
				CashFinancial,"197,900,000","180,500,000","306,100,000","272,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"20,500,000","26,100,000","26,600,000","26,600,000","26,600,000","26,600,000","76,600,000","76,600,000","76,600,000","50,000,000",,,,,,,,,,,,,"25,000,000","25,000,000","25,000,000","25,000,000","37,000,000","25,000,000","25,000,000","25,000,000","25,000,000","25,000,000","25,000,000","25,000,000","25,000,000","23,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,182,400,000","1,106,800,000","1,044,700,000","1,096,100,000","977,100,000","786,000,000","736,900,000","717,800,000","822,800,000","774,300,000","867,400,000","871,600,000","814,600,000","782,200,000","1,022,000,000","855,000,000","853,100,000","750,100,000","745,400,000","803,100,000","800,000,000","700,500,000","793,100,000","836,300,000","849,500,000","816,300,000","300,400,000","324,500,000","318,900,000","284,700,000","337,700,000","350,400,000","333,300,000","282,000,000","347,800,000","380,600,000","367,100,000","307,200,000","360,100,000","285,700,000","279,900,000","237,800,000","292,700,000","310,500,000","262,200,000","193,000,000","243,600,000","227,500,000","216,400,000","183,300,000","263,600,000","212,500,000","216,400,000","213,000,000","264,400,000","251,000,000","229,700,000","202,000,000","234,200,000","397,500,000","369,400,000","338,600,000","390,900,000","411,400,000","376,600,000","295,000,000","305,600,000","306,200,000","307,500,000","243,000,000","295,800,000","283,500,000","261,400,000","187,000,000","222,100,000","225,200,000","234,800,000","168,000,000","220,000,000","186,600,000","170,000,000","140,000,000","237,100,000","217,700,000","190,900,000","197,000,000","274,900,000","260,400,000","227,000,000","229,000,000","236,300,000","203,500,000","198,500,000","192,000,000","395,200,000","409,600,000","388,400,000","350,000,000","411,200,000","413,500,000","414,700,000","321,000,000","542,400,000","596,700,000","591,600,000","555,000,000","567,600,000","545,200,000","508,700,000","414,000,000","410,400,000","445,800,000","383,400,000","345,000,000","373,700,000","409,500,000","391,800,000","359,000,000","418,800,000","498,700,000","477,100,000","429,000,000","457,200,000","472,000,000","493,000,000","419,000,000","532,000,000","601,000,000","514,000,000","453,000,000","450,000,000","480,000,000","512,000,000","437,000,000","362,000,000","320,900,000","324,400,000"
			AccountsReceivable,"1,181,200,000","1,106,500,000","1,041,700,000","1,033,700,000","963,700,000","770,900,000","714,900,000","700,200,000","802,900,000","760,400,000","849,900,000","848,200,000","808,300,000","776,300,000","1,009,200,000","837,200,000","835,600,000","733,200,000","729,500,000","782,200,000","774,500,000","675,000,000","744,100,000","790,500,000","813,200,000","783,400,000","300,400,000","321,300,000","303,800,000","241,900,000","333,400,000","341,200,000","331,000,000","266,500,000","343,800,000","370,000,000","364,700,000","279,200,000","347,700,000","279,400,000","279,900,000","220,600,000","290,500,000","306,400,000","256,700,000","167,900,000","231,100,000","211,800,000","197,100,000","155,200,000","263,600,000","212,500,000",,"195,900,000","264,400,000","251,000,000","229,700,000","187,800,000","234,200,000","397,500,000","369,400,000","338,600,000","390,900,000","411,400,000","376,600,000","295,000,000","305,600,000","306,200,000","307,500,000","243,000,000","295,800,000","283,500,000","261,400,000","174,000,000","219,000,000","208,700,000","212,100,000","168,000,000","210,500,000","172,000,000","170,000,000","140,000,000","218,400,000","199,200,000","190,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"1,196,400,000","1,118,800,000","1,053,900,000","1,046,100,000","975,900,000","783,200,000","727,000,000","712,700,000","814,700,000","772,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-15,200,000","-12,300,000","-12,200,000","-12,400,000","-12,200,000","-12,300,000","-12,100,000","-12,500,000","-11,800,000","-11,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
