name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996
TotalAssets,"7,710,410,000","7,770,846,000","7,547,840,000","6,724,319,000","6,441,472,000","6,511,586,000","6,452,579,000","6,373,056,000","5,528,538,000","4,931,059,000","5,074,017,000","5,111,218,000","4,924,573,000","4,579,294,000","5,058,199,000","5,059,677,000","4,952,487,000","4,645,449,000","5,021,090,000","4,894,572,000","3,650,006,000","3,149,390,000","3,501,519,000","3,554,175,000","3,384,465,000","3,192,679,000","3,514,415,000","3,526,952,000","3,353,306,000","3,303,924,000","3,630,176,000","3,640,898,000","3,439,126,000","3,321,082,000","3,203,099,000","3,209,105,000","3,099,652,000","3,293,543,000","3,541,956,000","3,220,990,000","3,417,828,000","2,979,087,000","3,019,584,000","3,007,672,000","2,855,089,000","2,176,018,000","2,574,100,000","2,182,906,000","2,160,012,000","2,214,354,000","2,289,299,000","2,239,143,000","2,235,652,000","2,163,579,000","2,572,175,000","2,428,233,000","2,375,057,000","2,140,013,000","2,269,260,000","2,259,016,000","2,144,052,000","2,008,379,000","2,125,492,000","2,090,821,000","1,643,615,000","1,530,620,000","1,758,747,000","1,834,249,000","1,708,000,000","1,597,159,000","1,734,482,000","1,833,490,000","1,726,469,000","1,621,084,000","1,781,436,000","1,789,991,000","1,670,735,000","1,374,425,000","1,522,525,000","1,496,092,000","1,394,190,000","1,311,820,000","1,494,938,000","1,540,356,000","1,434,597,000","1,383,824,000","1,379,261,000","1,329,041,000","1,260,042,000","1,185,300,000","1,381,300,000","1,365,100,000","1,294,500,000","1,224,000,000","1,368,500,000","1,277,500,000","1,081,900,000","1,050,600,000","1,134,100,000","1,132,900,000","989,400,000","913,500,000"
	CurrentAssets,"2,281,771,000","2,295,849,000","2,181,374,000","2,053,256,000","1,819,238,000","1,799,193,000","1,822,091,000","1,827,723,000","1,982,345,000","1,406,808,000","1,633,309,000","1,659,851,000","1,494,836,000","1,290,134,000","1,712,545,000","1,726,825,000","1,568,537,000","1,291,922,000","1,668,340,000","1,569,358,000","1,443,499,000","962,178,000","1,298,358,000","1,367,419,000","1,206,757,000","1,045,258,000","1,359,852,000","1,382,239,000","1,250,916,000","1,157,832,000","1,407,455,000","1,391,214,000","1,196,228,000","1,082,448,000","1,331,809,000","1,346,379,000","1,218,665,000","1,378,487,000","1,633,342,000","1,572,341,000","1,748,100,000","1,333,723,000","1,345,639,000","1,355,908,000","1,215,622,000","864,495,000","1,309,805,000","938,957,000","882,715,000","914,226,000","980,809,000","953,182,000","955,692,000","853,314,000","1,221,228,000","1,038,597,000","998,478,000","771,193,000","923,128,000","926,729,000","829,853,000","717,752,000","876,736,000","849,122,000","635,255,000","520,541,000","747,126,000","819,512,000","672,044,000","555,930,000","682,155,000","766,422,000","655,574,000","545,298,000","699,944,000","696,324,000","587,695,000","469,799,000","624,411,000","602,383,000","520,764,000","437,592,000","616,566,000","640,392,000","534,515,000","479,991,000","594,727,000","532,986,000","465,383,000","388,900,000","583,300,000","541,800,000","469,300,000","398,700,000","558,900,000","508,200,000","423,000,000","399,500,000","485,000,000","477,300,000","370,300,000","305,800,000"
		CashCashEquivalentsAndShortTermInvestments,"259,564,000","631,439,000","270,567,000","164,821,000","190,131,000","409,481,000","193,759,000","191,082,000","614,846,000","203,824,000","117,389,000","111,341,000","141,400,000","72,819,000","171,369,000","181,220,000","174,540,000","53,533,000","199,186,000","142,083,000","350,621,000","24,690,000","93,561,000","120,467,000","66,614,000","99,945,000","104,203,000","126,676,000","129,078,000","222,591,000","145,889,000","133,928,000","83,222,000","160,463,000","134,473,000","113,195,000","158,637,000","465,608,000","422,525,000","368,882,000","648,479,000","397,101,000","140,465,000","127,546,000","135,782,000","175,226,000","393,132,000","52,079,000","99,156,000","305,754,000","66,727,000","79,638,000","201,010,000","163,006,000","290,377,000","86,079,000","169,144,000","95,941,000","26,792,000","25,272,000","22,882,000","16,737,000","27,767,000","23,900,000","8,408,000","20,461,000","63,848,000","82,333,000","34,690,000","35,416,000","22,877,000","23,908,000","18,510,000","12,100,000","33,576,000","10,167,000","31,200,000","58,318,000","19,794,000","13,277,000","14,175,000","18,009,000","25,753,000","49,220,000","20,974,000","20,073,000","3,514,000","5,262,000","5,681,000","2,400,000","6,300,000","10,300,000","2,600,000","4,800,000","8,100,000","3,100,000","4,000,000","53,700,000","7,700,000","11,400,000","5,900,000","1,000,000"
			CashAndCashEquivalents,"259,564,000","631,439,000","270,567,000","164,821,000","190,131,000","409,481,000","193,759,000","191,082,000","614,846,000","203,824,000","117,389,000","111,341,000","141,400,000","72,819,000","171,369,000","181,220,000","174,540,000","53,533,000","199,186,000","142,083,000","350,621,000","24,690,000","93,561,000","120,467,000","66,614,000","99,945,000","104,203,000","126,676,000","129,078,000","222,591,000","145,889,000","133,928,000","83,222,000","160,463,000","134,473,000","113,195,000","158,637,000","465,608,000","422,525,000","368,882,000","648,479,000","397,101,000","140,465,000","127,546,000","135,782,000","175,226,000","393,132,000","52,079,000","99,156,000","305,754,000","66,727,000","79,638,000","201,010,000","163,006,000","290,377,000","86,079,000","169,144,000","95,941,000","26,792,000","25,272,000","22,882,000","16,737,000","27,767,000","23,900,000","8,408,000","20,461,000","63,848,000","82,333,000","34,690,000","35,416,000","22,877,000","23,908,000","18,510,000","12,100,000","33,576,000","10,167,000","31,200,000","58,318,000","19,794,000","13,277,000","14,175,000","18,009,000","25,753,000","49,220,000","20,974,000","20,073,000","3,514,000","5,262,000","5,681,000","2,400,000","6,300,000","10,300,000","2,600,000","4,800,000","8,100,000","3,100,000","4,000,000","53,700,000","7,700,000","11,400,000","5,900,000","1,000,000"
		Receivables,"852,876,000","711,332,000","1,033,680,000","891,812,000","738,088,000","619,535,000","865,436,000","729,275,000","600,698,000","504,986,000","751,404,000","666,681,000","596,601,000","511,332,000","783,306,000","648,525,000","578,584,000","454,637,000","702,307,000","528,362,000","331,668,000","288,197,000","515,606,000","394,811,000","338,933,000","281,041,000","623,591,000","443,943,000","382,805,000","310,732,000","616,348,000","447,685,000","400,925,000","333,041,000","587,669,000","448,579,000","349,276,000","326,691,000","597,678,000","408,595,000","368,199,000","339,909,000","579,515,000","431,425,000","377,875,000","214,443,000","473,727,000","306,067,000","260,677,000","196,573,000","517,124,000","289,309,000","256,438,000","266,880,000","487,344,000","346,156,000","282,126,000","219,775,000","456,289,000","320,341,000","274,654,000","232,429,000","444,732,000","301,718,000","215,526,000","154,734,000","352,802,000","249,531,000","192,114,000","148,073,000","317,450,000","258,753,000","194,333,000","159,273,000","333,718,000","232,256,000","182,411,000","124,657,000","316,170,000","191,403,000","169,702,000","144,903,000","313,765,000","200,775,000","171,501,000","168,307,000","332,475,000","197,924,000","153,974,000","128,100,000","305,200,000","177,500,000","150,300,000","134,000,000","294,300,000","171,200,000","132,100,000","125,800,000","251,900,000","147,700,000","104,700,000","101,400,000"
			AccountsReceivable,"852,876,000","711,332,000","1,033,680,000","891,812,000","738,088,000","619,535,000","865,436,000","729,275,000","600,698,000","504,986,000","751,404,000","666,681,000","596,601,000","511,332,000","783,306,000","648,525,000","578,584,000","454,637,000","702,307,000","528,362,000","331,668,000","288,197,000","515,606,000","394,811,000","338,933,000","281,041,000","623,591,000","443,943,000","382,805,000","310,732,000","616,348,000","447,685,000","400,925,000","333,041,000","587,669,000","448,579,000","349,276,000","326,691,000","597,678,000","408,595,000","368,199,000","339,909,000","579,515,000","431,425,000","377,875,000","214,443,000","473,727,000","306,067,000","260,677,000","196,573,000","517,124,000","289,309,000","256,438,000","266,880,000","487,344,000","346,156,000","282,126,000","219,775,000","456,289,000","320,341,000","274,654,000","232,429,000","444,732,000","301,718,000","215,526,000","154,734,000","352,802,000","249,531,000","192,114,000","148,073,000","317,450,000","258,753,000","194,333,000","159,273,000","333,718,000","232,256,000","182,411,000","124,657,000","316,170,000","191,403,000","169,702,000","144,903,000","313,765,000","200,775,000","171,501,000",,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,"718,032,000",,,,"626,338,000",,,,"510,471,000",,,,"516,427,000",,,,"459,976,000",,,,"292,270,000",,,,"286,016,000",,,,"316,229,000",,,,"338,758,000",,,,"332,560,000",,,,"345,843,000",,,,"220,668,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-6,700,000",,,,"-6,803,000",,,,"-5,485,000",,,,"-5,095,000",,,,"-5,339,000",,,,"-4,073,000",,,,"-4,975,000",,,,"-5,497,000",,,,"-5,717,000",,,,"-5,869,000",,,,"-5,934,000",,,,"-6,225,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,018,685,000","798,837,000","762,182,000","907,805,000","788,637,000","677,534,000","678,181,000","821,448,000","697,808,000","633,005,000","703,206,000","822,584,000","686,213,000","634,806,000","690,378,000","833,719,000","743,286,000","721,290,000","704,384,000","830,887,000","712,854,000","602,963,000","638,091,000","806,539,000","752,971,000","628,138,000","580,276,000","753,335,000","680,178,000","548,765,000","588,290,000","748,227,000","648,723,000","515,570,000","544,519,000","721,005,000","645,770,000","515,927,000","561,511,000","741,380,000","687,923,000","554,148,000","580,425,000","742,474,000","654,483,000","438,536,000","427,641,000","563,644,000","489,134,000","387,214,000","372,995,000","555,704,000","469,193,000","392,335,000","415,090,000","576,129,000","517,683,000","427,807,000","412,706,000","548,289,000","495,223,000","426,591,000","383,561,000","494,799,000","386,174,000","318,102,000","307,836,000","445,127,000","396,763,000","318,665,000","307,966,000","439,270,000","392,473,000","320,194,000","321,525,000","439,819,000","357,636,000","272,836,000","274,935,000","385,004,000","324,634,000","262,627,000","257,651,000","372,758,000","323,909,000","279,737,000","249,797,000","321,458,000","296,005,000","249,600,000","263,300,000","345,300,000","306,800,000","250,100,000","247,400,000","324,600,000","276,300,000","210,000,000","216,900,000","307,800,000","248,700,000","196,000,000"
			RawMaterials,"295,713,000","394,102,000","333,202,000","302,719,000","263,580,000","270,066,000","294,896,000","298,550,000","261,058,000","286,953,000","275,015,000","271,396,000","244,859,000","288,860,000","250,051,000","252,792,000","230,847,000","233,410,000","211,959,000","209,183,000","187,897,000","179,451,000","213,020,000","219,416,000","212,445,000","215,018,000","204,841,000","204,195,000","192,292,000","184,714,000","181,034,000","190,546,000","185,848,000","158,963,000","163,129,000","168,903,000","161,853,000","167,097,000","170,350,000","176,091,000","181,546,000","191,590,000","174,895,000","172,186,000","164,263,000","133,594,000","108,355,000","106,273,000","101,447,000","100,578,000",,"126,668,000","121,124,000","141,321,000","87,717,000","94,564,000","86,079,000","91,988,000","79,518,000","79,969,000","70,703,000","90,969,000","70,649,000","82,148,000","57,132,000","63,923,000","55,962,000","62,574,000","54,857,000","63,225,000","42,043,000","45,803,000","35,119,000","36,732,000","32,820,000","35,382,000","36,402,000","31,925,000","32,153,000","36,022,000","38,302,000","29,602,000","33,798,000","35,662,000","32,983,000",,,,,,,,,,,,,,,,,
			WorkInProcess,"263,878,000","157,406,000","152,429,000","164,655,000","167,137,000","167,100,000","154,157,000","165,505,000","148,034,000","134,417,000","127,590,000","141,268,000","135,685,000","123,574,000","125,336,000","136,210,000","133,271,000","124,396,000","132,071,000","142,043,000","125,941,000","121,331,000","113,393,000","131,029,000","128,471,000","118,947,000","104,842,000","121,144,000","119,607,000","115,308,000","125,290,000","123,557,000","122,083,000","104,811,000","117,559,000","133,126,000","129,548,000","108,385,000","115,282,000","120,758,000","129,396,000","116,790,000","114,306,000","122,771,000","118,024,000","83,375,000","84,068,000","86,936,000","85,101,000","82,402,000",,"78,303,000","76,196,000","72,078,000","72,058,000","81,247,000","88,111,000","73,863,000","68,666,000","80,085,000","78,697,000","68,249,000","73,086,000","71,831,000","61,597,000","56,085,000","59,323,000","65,273,000","60,538,000","50,366,000","61,812,000","64,798,000","61,538,000","52,815,000","61,100,000","64,827,000","53,758,000","50,941,000","51,101,000","54,475,000","41,202,000","45,510,000","42,907,000","57,187,000","54,591,000",,,,,,,,,,,,,,,,,
			FinishedGoods,"607,087,000","394,378,000","370,134,000","534,522,000","452,553,000","335,346,000","370,406,000","499,799,000","432,085,000","355,337,000","413,864,000","523,145,000","418,702,000","335,180,000","384,815,000","514,911,000","449,133,000","433,937,000","415,645,000","535,204,000","452,931,000","355,072,000","389,073,000","534,124,000","489,554,000","371,561,000","358,783,000","516,931,000","456,958,000","338,562,000","364,261,000","517,897,000","424,236,000","333,978,000","353,426,000","508,170,000","443,084,000","330,077,000","358,319,000","527,103,000","458,987,000","327,810,000","346,594,000","502,579,000","428,008,000","276,578,000","301,051,000","436,800,000","365,779,000","268,804,000",,"409,431,000","328,808,000","237,080,000","309,736,000","420,233,000","362,229,000","282,665,000","275,185,000","399,116,000","355,682,000","276,870,000","246,543,000","354,080,000","280,590,000","214,064,000","190,115,000","311,881,000","277,023,000","198,697,000","191,431,000","314,410,000","280,115,000","213,481,000","204,268,000","317,243,000","244,690,000","171,341,000","171,264,000","275,380,000","225,235,000","168,362,000","163,766,000","260,880,000","217,059,000",,,,,,,,,,,,,,,,,
			OtherInventories,"14,787,000","15,731,000","16,005,000","15,497,000","14,955,000","14,610,000","15,217,000","14,089,000","13,126,000","12,793,000","12,620,000","12,658,000","12,850,000","13,075,000","12,999,000","12,629,000","12,858,000","12,370,000","13,128,000","12,876,000","14,504,000","15,528,000","13,931,000","13,296,000","13,827,000","13,938,000","14,831,000","14,086,000","14,342,000","13,541,000","14,285,000","12,807,000","13,136,000","14,398,000","13,296,000","13,697,000","14,176,000","13,259,000","13,497,000","13,365,000","13,931,000","13,781,000","13,579,000","13,887,000","13,137,000","13,938,000","13,071,000","12,539,000","15,711,000","14,334,000",,,,,,"32,760,000","31,823,000","29,566,000","28,534,000","27,703,000","27,102,000","26,711,000","24,461,000","16,572,000","16,980,000","16,896,000","17,141,000","17,460,000","18,718,000","19,324,000","19,231,000","19,744,000","19,708,000","20,267,000","20,576,000","20,548,000","20,658,000","13,944,000","13,916,000","11,863,000","12,103,000","12,128,000","9,467,000","12,431,000","12,262,000",,,,,,,,,,,,,,,,,
