name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
OperatingCashFlow,"565,300,000","56,400,000","119,300,000","240,700,000","148,900,000","89,400,000","193,700,000","216,800,000","199,300,000","125,700,000","185,800,000","193,200,000","175,400,000","142,300,000","202,800,000","-128,700,000","171,500,000","72,200,000","179,400,000","155,200,000","137,500,000","141,000,000","178,000,000","245,000,000","196,100,000","140,400,000","208,600,000","204,900,000","207,900,000","122,500,000","245,700,000","191,000,000","165,400,000","-480,300,000","248,300,000","182,200,000","175,300,000","114,600,000","210,300,000","185,600,000","160,800,000","78,200,000","212,600,000","201,400,000","205,500,000","155,300,000","209,400,000","178,600,000","164,900,000","181,100,000","179,000,000","147,900,000","162,900,000","154,200,000","210,300,000","66,900,000","250,900,000","458,700,000","153,900,000","222,300,000","236,800,000","90,300,000","272,500,000","187,500,000","264,200,000","207,000,000","253,000,000","253,200,000","358,200,000","297,700,000","274,200,000","311,200,000","250,000,000","212,200,000","386,600,000","255,500,000","285,400,000","258,900,000"
	CashFlowFromContinuingOperatingActivities,"565,300,000","56,400,000","119,300,000","240,700,000","148,900,000","89,400,000","193,700,000","216,800,000","199,300,000","125,700,000","185,800,000","193,200,000","175,400,000","142,300,000","202,800,000","-128,700,000","171,500,000","72,200,000","179,400,000","155,200,000","137,500,000","141,000,000","178,000,000","245,000,000","196,100,000","140,400,000","208,600,000","204,900,000","207,900,000","122,500,000","245,700,000","191,000,000","165,400,000","-480,300,000","248,300,000","182,200,000","175,300,000","114,600,000","210,300,000","185,600,000","160,800,000","78,200,000","212,600,000","201,400,000","205,500,000","155,300,000","209,400,000","178,600,000","164,900,000","181,100,000","179,000,000","147,900,000","162,900,000","154,200,000","210,300,000","66,900,000","250,900,000","458,700,000","153,900,000","222,300,000","236,800,000","90,300,000","272,500,000","187,500,000","264,200,000","207,000,000","253,000,000","253,200,000","358,200,000","297,700,000","274,200,000","311,200,000","250,000,000","212,200,000","386,600,000","255,500,000","285,400,000","258,900,000"
		NetIncomeFromContinuingOperations,"405,900,000","112,300,000","115,800,000","99,800,000","78,000,000","147,400,000","111,800,000","129,200,000","82,000,000","-21,200,000","278,000,000","42,000,000","37,600,000","51,800,000","28,300,000","-529,800,000","102,200,000","84,300,000","-70,900,000","100,800,000","83,400,000","62,300,000","234,200,000","18,600,000","59,900,000","45,500,000","137,300,000","33,800,000","46,800,000","52,800,000","83,900,000","117,400,000","78,100,000","-228,000,000","106,000,000","283,000,000","77,100,000","11,900,000","101,200,000","-5,000,000","65,700,000","59,100,000","73,100,000","196,000,000","59,500,000","53,900,000","168,200,000","49,400,000","33,100,000","33,900,000","18,200,000","15,400,000","27,600,000","24,500,000","-451,800,000",,,"-5,800,000","-76,700,000","-53,700,000","-59,900,000","10,400,000","5,800,000","48,400,000","-22,300,000","64,600,000","77,100,000","77,900,000","88,100,000","81,800,000","86,400,000","67,300,000","68,300,000","72,800,000",,,,
		OperatingGainsLosses,"10,800,000","32,700,000","7,100,000","2,300,000","-31,300,000","2,800,000","-19,200,000","-16,300,000","-43,800,000","115,500,000","-4,500,000","-2,300,000","-5,300,000","-16,100,000","38,300,000","-394,600,000","-11,000,000","15,200,000","2,000,000","-29,200,000","-15,200,000","-7,900,000","90,400,000","-11,600,000","-12,600,000","900,000","15,800,000","19,600,000","10,100,000","-8,900,000","200,000","-39,900,000","-12,400,000","255,200,000","-15,200,000","100,000","-3,200,000","-15,300,000","-17,200,000","-9,100,000","-31,900,000","-22,900,000","-23,200,000","-30,600,000","-2,900,000","-5,100,000","-48,200,000","-3,600,000","16,700,000","4,900,000","-38,300,000","75,600,000","16,300,000","6,900,000","439,500,000","157,900,000",,,,,,,,"5,300,000",,,,,,,,,,"-27,100,000",,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,900,000","-35,900,000","0","278,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"10,800,000","32,700,000","7,100,000","2,300,000","-31,300,000","2,800,000","-19,200,000","-16,300,000","-43,800,000","115,500,000","-4,500,000","-2,300,000","-5,300,000","-16,100,000","38,300,000","-394,600,000","-11,000,000","15,200,000","2,000,000","-29,200,000","-15,200,000","-7,900,000","15,000,000","-11,600,000","-12,600,000","900,000","15,800,000","19,600,000","10,100,000","-8,900,000","3,100,000","-4,000,000","-12,400,000","-23,400,000","-15,200,000","100,000","-3,200,000","-15,300,000","-17,200,000","-9,100,000","-31,900,000","-22,900,000","-23,200,000","-30,600,000","-2,900,000","-5,100,000","-48,200,000","-3,600,000","16,700,000","4,900,000","-38,300,000","75,600,000","16,300,000","6,900,000","439,500,000","157,900,000",,,,,,,,"5,300,000",,,,,,,,,,"-27,100,000",,,,
		DeferredTax,"143,100,000","22,500,000","23,200,000","90,800,000","6,600,000","25,900,000","16,400,000","29,100,000","20,300,000","-51,700,000","-171,600,000","11,600,000","8,500,000","18,700,000","7,900,000","-10,500,000","19,300,000","1,700,000","176,900,000","4,800,000","12,900,000","32,900,000","-54,700,000","28,700,000","20,400,000","-6,100,000","22,200,000","18,000,000","23,800,000","28,900,000","-9,200,000","36,200,000","35,000,000","57,700,000","-68,600,000","-170,000,000","35,300,000","22,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"143,100,000","22,500,000","23,200,000","90,800,000","6,600,000","25,900,000","16,400,000","29,100,000","20,300,000","-51,700,000","-171,600,000","11,600,000","8,500,000","18,700,000","7,900,000","-10,500,000","19,300,000","1,700,000","176,900,000","4,800,000","12,900,000","32,900,000","-54,700,000","28,700,000","20,400,000","-6,100,000","22,200,000","18,000,000","23,800,000","28,900,000","-9,200,000","36,200,000","35,000,000","57,700,000","-68,600,000","-170,000,000","35,300,000","22,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,"-310,900,000","-82,800,000","-85,500,000","-70,500,000","-72,100,000","-70,700,000","-74,300,000","-69,100,000","-64,200,000","-68,200,000","-71,200,000","-74,500,000","-73,400,000","-69,600,000","-74,500,000","-61,600,000","-65,400,000","-60,200,000","-52,700,000","-56,800,000","-63,400,000","-63,200,000","-63,300,000","-60,600,000","-56,600,000","-62,200,000","-64,500,000","-61,400,000","-62,300,000","-58,200,000","-66,200,000","-59,700,000","-60,200,000","-56,700,000","-61,000,000","-54,600,000","-53,700,000","-53,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-7,100,000","-141,000,000","-33,500,000","51,200,000","116,200,000","-124,700,000","73,900,000","81,500,000","108,200,000","91,700,000","70,900,000","154,700,000","152,600,000","90,900,000","126,700,000","798,400,000","58,400,000","-47,500,000","59,500,000","71,000,000","53,600,000","46,900,000","-104,500,000","199,200,000","124,800,000","94,100,000","27,700,000","133,600,000","108,500,000","36,900,000","181,000,000","65,000,000","52,500,000","-582,300,000","203,600,000","55,200,000","34,300,000","62,300,000","201,000,000","235,000,000","-24,300,000","31,800,000","3,700,000","17,800,000","15,700,000","-17,200,000","45,700,000","10,300,000","-9,400,000","1,800,000",,,,,"305,500,000","-348,500,000","701,500,000","-383,500,000","-62,200,000","-184,200,000","-281,900,000","57,800,000","1,313,100,000","-88,500,000","150,800,000","-56,000,000","271,500,000","274,300,000","369,200,000","323,100,000","285,100,000","336,600,000","534,800,000","-39,300,000",,,,
