name,ttm,03/31/2022,03/31/2021
TotalRevenue,"0","0","0"
	OperatingRevenue,"0","0","0"
OperatingExpense,"2,707,304","726,346","509,541"
	SellingGeneralAndAdministration,"1,952,100","520,041","306,657"
		GeneralAndAdministrativeExpense,"1,952,100","520,041","306,657"
			SalariesAndWages,,"0","100,000"
			InsuranceAndClaims,,"13,301","19,116"
			OtherGandA,"2,057,915","506,740","187,541"
	DepreciationAmortizationDepletionIncomeStatement,"758,218","191,806","185,371"
		DepreciationAndAmortizationInIncomeStatement,"758,218","191,806","185,371"
			DepreciationIncomeStatement,"758,218","191,806","185,371"
	OtherTaxes,,"14,499","17,513"
OperatingIncome,"-2,707,304","-726,346","-509,541"
PretaxIncome,"-2,707,304","-726,346","-509,541"
TaxProvision,"0","0","0"
NetIncomeCommonStockholders,"-2,707,304","-726,346","-509,541"
	NetIncome,"-2,707,304","-726,346","-509,541"
		NetIncomeIncludingNoncontrollingInterests,"-2,707,304","-726,346","-509,541"
			NetIncomeContinuousOperations,"-2,707,304","-726,346","-509,541"
DilutedNIAvailtoComStockholders,"-2,707,304","-726,346","-509,541"
BasicEPS,,"-0.005","-0.003"
DilutedEPS,,"-0.005","-0.003"
BasicAverageShares,,"158,357,000","158,357,000"
DilutedAverageShares,,"158,357,000","158,357,000"
TotalExpenses,"2,707,304","726,346","509,541"
NetIncomeFromContinuingAndDiscontinuedOperation,"-2,707,304","-726,346","-509,541"
NormalizedIncome,"-2,707,304","-726,346","-509,541"
EBIT,"-2,707,304","-726,346","-509,541"
EBITDA,"-1,949,086"
ReconciledDepreciation,"758,218","191,806","185,371"
NetIncomeFromContinuingOperationNetMinorityInterest,"-2,707,304","-726,346","-509,541"
TotalUnusualItemsExcludingGoodwill,"0"
TotalUnusualItems,"0"
NormalizedEBITDA,"-1,949,086","-534,540","-324,170"
TaxRateForCalcs,"0","0","0"
TaxEffectOfUnusualItems,"0","0","0"
