name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"871,696,000","888,149,000","906,392,000","797,675,000","338,675,000","343,749,000","221,801,000","222,886,000","228,982,000","189,612,000","152,569,000","155,072,000","105,048,000","94,681,000","102,796,000","127,215,000","122,140,000","114,624,000","114,733,000","123,207,000","125,538,000","124,511,000","124,960,000","119,103,000","118,616,000","115,312,000","128,071,000","135,481,000","136,947,000","137,297,000","137,170,000","120,748,000","120,705,000","117,508,000","112,977,000","117,582,000","117,951,000","123,765,000","121,976,000","123,003,000","119,382,000","115,943,000","119,080,000","125,860,000","143,512,000","144,285,000","143,335,000","135,003,000","136,461,000","136,103,000","134,517,000","139,378,000","144,362,000","153,988,000","147,869,000","145,461,000","141,572,000","146,518,000","140,523,000","137,919,000","141,213,000","142,796,000","134,856,000","133,146,000","127,909,000","125,149,000","114,849,000","113,512,000","107,602,000","111,752,000","85,574,000","83,671,000","84,112,000","87,167,000","85,556,000","80,806,000","83,387,000","85,122,000","85,047,000","84,633,000","84,499,000","89,024,000","81,773,000","80,376,000","81,672,000","84,936,000","86,126,000","83,161,000","84,499,000","88,100,000","93,000,000","94,400,000","96,700,000","93,400,000","86,200,000","77,700,000","77,600,000","83,200,000","81,100,000","79,000,000","82,900,000","86,800,000","82,900,000","67,900,000","66,400,000","68,100,000","63,000,000","62,100,000","60,600,000","60,600,000","58,200,000","57,900,000","57,300,000","60,400,000","58,400,000","59,000,000","54,100,000","53,400,000","51,900,000","49,000,000","48,200,000","49,000,000","48,700,000","49,400,000","51,900,000","58,400,000","72,300,000","69,400,000","54,300,000","58,000,000","56,000,000"
	CurrentAssets,"270,087,000","283,007,000","296,294,000","177,005,000","245,094,000","248,929,000","126,412,000","127,170,000","133,438,000","93,563,000","103,126,000","114,114,000","61,191,000","55,692,000","62,699,000","73,023,000","69,378,000","62,632,000","60,473,000","70,180,000","73,117,000","82,024,000","82,016,000","76,065,000","72,583,000","69,602,000","84,862,000","74,474,000","76,492,000","76,643,000","76,766,000","74,910,000","75,146,000","72,333,000","79,977,000","84,272,000","84,864,000","90,638,000","84,452,000","86,142,000","82,273,000","77,010,000","82,958,000","90,377,000","95,425,000","97,943,000","98,250,000","90,792,000","91,510,000","92,916,000","91,877,000","96,460,000","101,215,000","110,038,000","102,650,000","99,578,000","94,947,000","97,879,000","92,852,000","90,425,000","94,206,000","95,991,000","94,824,000","92,618,000","87,380,000","84,492,000","81,023,000","79,533,000","73,578,000","77,696,000","73,403,000","70,866,000","70,831,000","74,215,000","71,321,000","65,899,000","67,876,000","69,070,000","66,246,000","65,365,000","64,486,000","68,575,000","62,983,000","61,028,000","61,645,000","64,554,000","71,226,000","68,035,000","69,044,000","72,200,000","79,700,000","81,400,000","83,700,000","80,300,000","73,300,000","65,300,000","66,100,000","72,500,000","70,800,000","69,100,000","70,900,000","75,300,000","71,500,000","57,100,000","56,100,000","57,100,000","53,000,000","51,900,000","50,400,000","50,000,000","47,600,000","47,300,000","46,300,000","49,300,000","47,000,000","47,300,000","42,300,000","41,700,000","40,200,000","37,200,000","36,800,000","38,100,000","37,100,000","37,200,000","39,300,000","45,400,000","57,200,000","54,400,000","41,900,000","46,800,000","45,100,000"
		CashCashEquivalentsAndShortTermInvestments,"163,207,000","188,419,000","200,293,000","85,218,000","173,122,000","180,686,000","55,755,000","58,775,000","60,089,000","28,036,000","46,947,000","58,661,000","4,142,000","3,485,000","5,817,000","8,678,000","5,762,000","6,600,000","1,173,000","3,282,000","5,470,000","9,055,000","2,883,000","5,374,000","5,770,000","8,024,000","2,057,000","5,136,000","5,968,000","10,167,000","10,269,000","12,953,000","10,296,000","10,015,000","10,102,000","9,587,000","14,121,000","19,475,000","18,206,000","17,145,000","16,452,000","7,742,000","3,351,000","3,688,000","4,349,000","6,781,000","4,088,000","3,943,000","5,522,000","3,907,000","4,859,000","8,103,000","4,722,000","6,227,000","2,892,000","3,357,000","3,493,000","4,431,000","4,506,000","3,320,000","2,484,000","4,273,000","2,098,000","2,068,000","2,322,000","4,982,000","4,894,000","3,045,000","3,362,000","8,696,000","5,505,000","2,619,000","2,377,000","1,467,000","1,572,000","1,517,000","1,578,000","490,000","992,000","416,000","838,000","879,000","1,362,000","691,000","2,423,000","1,199,000","555,000","364,000","1,325,000","1,000,000","1,000,000","1,000,000","1,200,000","1,300,000","1,600,000","3,100,000","1,100,000","4,000,000","5,000,000","7,900,000","10,300,000","8,400,000","5,100,000","2,300,000","2,400,000","500,000","4,000,000","3,700,000","4,900,000","2,900,000","3,200,000","1,500,000","1,000,000","900,000","900,000","2,800,000","2,000,000","1,300,000","1,400,000","3,300,000","1,800,000","2,200,000","1,900,000","1,000,000","1,000,000","2,300,000","2,900,000","5,800,000","11,000,000","3,900,000","5,100,000"
			CashAndCashEquivalents,"163,207,000","188,419,000","200,293,000","85,218,000","173,122,000","180,686,000","55,755,000","58,775,000","60,089,000","28,036,000","46,947,000","58,661,000","4,142,000","3,485,000","5,817,000","8,678,000","5,762,000","6,600,000","1,173,000","3,282,000","5,470,000","9,055,000","2,883,000","5,374,000","5,770,000","8,024,000","2,057,000","5,136,000","5,968,000","10,167,000","10,269,000","12,953,000","10,296,000","10,015,000","10,102,000","9,587,000","14,121,000","19,475,000","18,206,000","16,895,000","14,708,000","7,742,000","3,351,000","3,688,000","4,349,000","6,781,000","4,088,000","3,943,000","5,522,000","3,907,000","4,859,000","8,103,000","4,722,000","6,227,000","2,892,000","3,357,000","3,493,000","4,431,000","4,506,000","3,320,000","2,484,000","4,273,000","2,098,000","2,068,000","2,322,000","4,982,000","4,894,000","3,045,000","3,362,000","8,696,000","5,505,000","2,619,000","2,377,000","1,467,000","1,572,000","1,517,000","1,578,000","490,000","992,000","416,000","838,000","879,000","1,362,000","691,000","2,423,000","1,199,000","555,000","364,000","1,325,000","1,000,000","1,000,000","1,000,000","1,200,000","1,300,000","1,600,000","3,100,000","1,100,000","4,000,000","5,000,000","7,900,000","10,300,000","8,400,000","5,100,000","2,300,000","2,400,000","500,000","4,000,000","3,700,000","4,900,000","2,900,000","3,200,000","1,500,000","1,000,000","900,000","900,000","2,800,000","2,000,000","1,300,000","1,400,000","3,300,000","1,800,000","2,200,000","1,900,000","1,000,000","1,000,000","2,300,000","2,900,000","5,800,000","11,000,000","3,900,000","5,100,000"
				CashFinancial,"72,076,000","69,249,000",,,,"59,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"91,131,000","119,170,000",,,,"120,986,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250,000","1,744,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"54,571,000","49,978,000","48,902,000","45,248,000","38,706,000","42,980,000","40,106,000","38,236,000","42,819,000","41,774,000","28,563,000","25,886,000","29,311,000","26,219,000","27,150,000","33,418,000","35,911,000","30,077,000","28,536,000","33,807,000","38,035,000","34,476,000","37,736,000","34,051,000","34,045,000","29,530,000","29,344,000","34,467,000","32,383,000","31,445,000","31,706,000","31,589,000","34,232,000","30,688,000","26,486,000","30,117,000","28,965,000","30,718,000","27,316,000","32,483,000","27,874,000","30,680,000","36,818,000","37,533,000","41,658,000","43,669,000","44,204,000","42,008,000","42,781,000","46,107,000","37,147,000","38,310,000","44,130,000","53,790,000","47,930,000","46,920,000","40,585,000","44,129,000","40,381,000","39,924,000","43,732,000","47,894,000","50,253,000","51,147,000","48,023,000","40,781,000","36,821,000","36,759,000","33,292,000","32,702,000","28,052,000","29,462,000","26,528,000","31,876,000","29,570,000","23,462,000","24,242,000","25,843,000","29,198,000","30,359,000","30,849,000","36,934,000","30,429,000","30,163,000","27,962,000","30,400,000","31,042,000","28,864,000","27,118,000","37,400,000","38,500,000","43,400,000","44,700,000","47,100,000","37,000,000","26,700,000","26,600,000","29,900,000","33,600,000","27,200,000","31,600,000","42,300,000","37,400,000","30,200,000","29,200,000","36,500,000","27,600,000","27,800,000","25,100,000","28,100,000","24,200,000","25,000,000","24,700,000","29,400,000","24,800,000","23,700,000","21,000,000","23,800,000","23,500,000","21,300,000","21,900,000","24,000,000","21,900,000","20,600,000","20,300,000","25,100,000","27,700,000","23,500,000","18,100,000","22,000,000","25,700,000"
			AccountsReceivable,"54,571,000","49,978,000","48,902,000","45,248,000","38,706,000","42,980,000","40,106,000","38,236,000","42,819,000","41,774,000","28,563,000","25,886,000","29,311,000","26,219,000","27,150,000","33,418,000","35,911,000","30,077,000","28,392,000","33,807,000","34,241,000","30,705,000","32,848,000","29,462,000","33,972,000","29,530,000","29,344,000","34,467,000","32,383,000","31,445,000","31,272,000","31,333,000","34,152,000","30,688,000","26,023,000","29,965,000","28,137,000","29,890,000","26,323,000","31,336,000","27,274,000","30,680,000","36,781,000","37,154,000","41,346,000","43,517,000","42,951,000","40,496,000","42,373,000","46,107,000","37,147,000","38,310,000","44,130,000","53,582,000","46,865,000","45,568,000","39,283,000","43,608,000","39,398,000","39,567,000","42,938,000","46,791,000","47,900,000","50,243,000","46,495,000","40,781,000","36,821,000","36,759,000","33,292,000","32,702,000","28,052,000","29,462,000","26,528,000","31,876,000","29,570,000","23,462,000","24,242,000","25,843,000","29,198,000","30,359,000","30,849,000","36,934,000","30,429,000","30,163,000","27,962,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"56,071,000","51,278,000","50,602,000","47,148,000","40,006,000","44,380,000","42,006,000","40,236,000","44,919,000","43,574,000","30,563,000","27,586,000","30,711,000","27,519,000","28,550,000","34,618,000","36,911,000","30,977,000","29,592,000","34,907,000","35,141,000","31,605,000","33,859,370","30,346,000","34,784,000","30,405,000","29,953,000","35,020,000","33,094,000","32,027,000","31,833,000","31,886,000","34,795,000","31,249,000","26,553,000","30,442,000","28,662,000","30,431,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
