name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
OperatingCashFlow,"16,599,000","5,402,000","2,477,000","4,365,000","4,355,000","3,620,000","-174,000","-2,633,000","-4,042,000","-4,503,000","-4,702,000","-3,272,000","-2,567,000","-3,873,000","-4,936,000"
	CashFlowFromContinuingOperatingActivities,"16,599,000","5,402,000","2,477,000","4,365,000","4,355,000","3,620,000","-174,000","-2,633,000","-4,042,000","-4,503,000","-4,702,000","-3,272,000","-2,567,000","-3,873,000","-4,936,000"
		NetIncomeFromContinuingOperations,"-32,090,000","-9,755,000","-9,900,000","-6,993,000","-5,442,000","-6,367,000","-5,876,000","-6,997,000","-8,302,000","-10,480,000","-25,850,000","-5,039,000","-10,755,000","-5,163,000","-3,974,000"
		DepreciationAmortizationDepletion,"4,655,000","1,136,000","1,192,000","1,176,000","1,151,000","1,188,000","1,184,000","1,267,000","1,443,000","1,391,000","1,326,000","1,305,000","1,322,000","1,371,000","1,040,000"
			DepreciationAndAmortization,"4,655,000","1,136,000","1,192,000","1,176,000","1,151,000","1,188,000","1,184,000","1,267,000","1,443,000","1,391,000","1,326,000","1,305,000","1,322,000","1,371,000","1,040,000"
				Depreciation,"3,612,000","875,000","931,000","915,000","891,000","927,000","860,000","910,000","1,087,000","1,034,000","950,000","920,000","936,000","986,000","654,000"
				AmortizationCashFlow,"1,043,000","261,000","261,000","261,000","260,000","261,000","324,000","357,000","356,000","357,000","376,000","385,000","386,000","385,000","386,000"
					AmortizationOfIntangibles,"1,043,000","261,000","261,000","261,000","260,000","261,000","324,000","357,000","356,000","357,000","376,000","385,000","386,000","385,000","386,000"
		AmortizationOfSecurities,"692,000","133,000","234,000","199,000","126,000","177,000","195,000","177,000","51,000",,,,,,
		ProvisionandWriteOffofAssets,"561,000","91,000","473,000","54,000","-57,000","144,000","123,000","542,000","430,000","910,000","1,033,000","490,000","463,000","222,000",
		StockBasedCompensation,"26,214,000","8,392,000","7,152,000","5,226,000","5,444,000","3,909,000","2,516,000","2,560,000","2,481,000","3,522,000","19,970,000","65,000","5,298,000","0","3,000"
		OtherNonCashItems,"13,787,000","4,050,000","3,599,000","3,232,000","2,906,000","2,626,000","2,334,000","2,051,000","1,840,000","1,692,000","1,477,000","1,305,000","1,157,000","1,067,000","936,000"
		ChangeInWorkingCapital,"2,780,000","1,355,000","-273,000","1,471,000","227,000","1,943,000","-650,000","-2,233,000","-1,985,000","-1,538,000","-2,658,000","-1,398,000","-52,000","-1,370,000","-2,905,000"
			ChangeInReceivables,"-7,714,000","2,312,000","-9,915,000","37,000","-148,000","1,106,000","-2,893,000","-860,000","-2,208,000","-2,122,000","-1,844,000","-1,555,000","1,411,000","-768,000","-2,941,000"
				ChangesInAccountReceivables,"-7,714,000","2,312,000","-9,915,000","37,000","-148,000","1,106,000","-2,893,000","-860,000","-2,208,000","-2,122,000","-1,844,000","-1,555,000","1,411,000","-768,000","-2,941,000"
			ChangeInPrepaidAssets,"-1,555,000","-2,868,000","955,000","-340,000","698,000","2,152,000","-5,076,000","-468,000","1,120,000","-313,000","-1,817,000","36,000","-774,000","-102,000","-422,000"
			ChangeInPayablesAndAccruedExpense,"13,781,000","1,541,000","4,088,000","6,401,000","1,751,000","-3,738,000","5,922,000","-229,000","1,247,000","-305,000","1,763,000","327,000","858,000","-1,518,000","1,280,000"
			ChangeInOtherCurrentLiabilities,"-2,513,000","-651,000","-634,000","-619,000","-609,000","-293,000","145,000","864,000","-618,000","-597,000","-650,000","-281,000","-310,000","-319,000",
			ChangeInOtherWorkingCapital,"781,000","1,021,000","5,233,000","-4,008,000","-1,465,000","2,716,000","1,252,000","-1,540,000","-1,526,000","1,799,000","-110,000","75,000","-1,237,000","1,337,000","-822,000"
InvestingCashFlow,"-35,540,000","-29,898,000","-10,642,000","3,152,000","1,848,000","-16,476,000","-1,864,000","-1,408,000","-50,217,000","-313,000","-216,000","-169,000","-219,000","-156,000","-138,000"
	CashFlowFromContinuingInvestingActivities,"-35,540,000","-29,898,000","-10,642,000","3,152,000","1,848,000","-16,476,000","-1,864,000","-1,408,000","-50,217,000","-313,000","-216,000","-169,000","-219,000","-156,000","-138,000"
