name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
OperatingCashFlow,"3,710,000,000","1,125,000,000","502,000,000","1,295,000,000","788,000,000","1,452,000,000","417,000,000","1,674,000,000","1,503,000,000","1,633,000,000","1,495,000,000","1,396,000,000","1,142,000,000","1,171,000,000","1,062,000,000","1,286,000,000","1,193,000,000","1,232,000,000","885,000,000","1,312,000,000","992,000,000","1,360,000,000","741,000,000","1,368,000,000","826,000,000","1,192,000,000","1,022,000,000","1,293,000,000","1,029,000,000","1,131,000,000","1,029,000,000","963,000,000","694,000,000","753,000,000","483,000,000","1,159,000,000","739,000,000","1,052,000,000","675,000,000","1,064,000,000","775,000,000","1,623,000,000","585,000,000","1,111,000,000","375,000,000","912,000,000","-59,000,000","478,000,000","-244,000,000","1,650,000,000","804,000,000","1,080,000,000","425,000,000","1,477,000,000","1,244,000,000","887,000,000","-23,000,000","551,000,000","-2,529,000,000","310,000,000","763,000,000","1,210,000,000","519,000,000","1,497,000,000","1,005,000,000","984,000,000","125,000,000","1,128,000,000","159,000,000","1,211,000,000","450,000,000","853,000,000","567,000,000","969,000,000","223,000,000","648,000,000","602,000,000","882,000,000","543,000,000","1,073,000,000","420,000,000","412,000,000","575,000,000","820,000,000","97,000,000","922,000,000","55,000,000","570,000,000","273,000,000","445,000,000","419,800,000","406,900,000","225,600,000","202,700,000","389,200,000","187,200,000","286,100,000","344,300,000","86,600,000","709,200,000","383,900,000","82,500,000","323,100,000","371,700,000","-69,000,000","406,400,000","203,300,000","370,600,000","152,500,000","371,600,000","124,700,000","343,000,000"
	CashFlowFromContinuingOperatingActivities,"3,710,000,000","1,125,000,000","502,000,000","1,295,000,000","788,000,000","1,452,000,000","417,000,000","1,674,000,000","1,503,000,000","1,633,000,000","1,495,000,000","1,396,000,000","1,142,000,000","1,171,000,000","1,062,000,000","1,286,000,000","1,193,000,000","1,232,000,000","885,000,000","1,312,000,000","992,000,000","1,360,000,000","741,000,000","1,368,000,000","826,000,000","1,192,000,000","1,022,000,000","1,293,000,000","1,029,000,000","1,131,000,000","1,029,000,000","963,000,000","694,000,000","753,000,000","483,000,000","1,159,000,000","739,000,000","1,052,000,000","675,000,000","1,064,000,000","775,000,000","1,623,000,000","585,000,000","1,111,000,000","375,000,000","912,000,000","-59,000,000","478,000,000","-244,000,000","1,650,000,000","804,000,000","1,080,000,000","425,000,000","1,477,000,000","1,244,000,000","887,000,000","-23,000,000","551,000,000","-2,529,000,000","310,000,000","763,000,000","1,210,000,000","519,000,000","1,497,000,000","1,005,000,000","984,000,000","125,000,000","1,128,000,000","159,000,000","1,211,000,000","450,000,000","853,000,000","567,000,000","969,000,000","223,000,000","648,000,000","602,000,000","882,000,000","543,000,000","1,073,000,000","420,000,000","412,000,000","575,000,000","820,000,000","97,000,000","922,000,000","55,000,000","570,000,000","273,000,000","445,000,000","419,800,000","406,900,000","225,600,000","202,700,000","389,200,000","187,200,000","286,100,000","344,300,000","86,600,000","709,200,000","383,900,000","82,500,000","323,100,000","371,700,000","-69,000,000","406,400,000","203,300,000","370,600,000","152,500,000","371,600,000","124,700,000","343,000,000"
		NetIncomeFromContinuingOperations,"3,017,000,000","711,000,000","1,345,000,000","666,000,000","295,000,000","1,008,000,000","690,000,000","131,000,000","-1,132,000,000","-239,000,000","1,010,000,000","985,000,000","58,000,000","-677,000,000","662,000,000","883,000,000","478,000,000","526,000,000","1,333,000,000","696,000,000","417,000,000","674,000,000","491,000,000","728,000,000","462,000,000","531,000,000","366,000,000","599,000,000","418,000,000","540,000,000","249,000,000","531,000,000","161,000,000","385,000,000","435,000,000","575,000,000","208,000,000","502,000,000","-652,000,000","215,000,000","265,000,000","501,000,000","207,000,000","396,000,000",,,"303,000,000","579,000,000","1,765,000,000","178,000,000","-4,000,000","598,000,000","462,000,000","248,000,000","348,000,000","508,000,000","298,000,000","680,000,000","299,000,000","2,317,000,000","-530,000,000","453,000,000","31,000,000","654,000,000","161,000,000","534,000,000","257,000,000","15,000,000","332,000,000","429,000,000","224,000,000","337,000,000","251,000,000","437,000,000","-174,000,000","-256,000,000","240,000,000","508,000,000","338,000,000","431,000,000","271,000,000","322,000,000","-117,000,000","343,000,000","156,000,000","162,000,000","106,000,000","274,000,000","-106,000,000","141,000,000","63,000,000","232,100,000","117,400,000","138,500,000","54,200,000","424,600,000","-82,700,000","139,500,000","99,800,000","50,400,000","79,100,000","169,900,000","65,500,000","162,200,000","94,200,000","150,200,000","40,500,000","108,500,000","39,300,000","161,300,000","136,200,000","141,400,000"
		OperatingGainsLosses,"-959,000,000","79,000,000","-839,000,000","-9,000,000","-190,000,000","-152,000,000","-345,000,000","-157,000,000","1,906,000,000","526,000,000","-419,000,000","-92,000,000","309,000,000","-271,000,000","-500,000,000","-360,000,000","0","-44,000,000","71,000,000",,,,"0","-5,000,000","-40,000,000","-5,000,000","0","-52,000,000","-1,000,000","-70,000,000","-60,000,000","-1,000,000","0","-159,000,000","-4,000,000",,,,,,,,,,,,"-661,000,000","11,000,000","-2,896,000,000","542,000,000","60,000,000",,,"-45,000,000","127,000,000","-24,000,000","48,000,000","18,000,000","-529,000,000","-3,746,000,000","276,000,000","47,000,000","-118,000,000","-173,000,000","62,000,000","-118,000,000","-141,000,000","612,000,000","-105,000,000","45,000,000","10,000,000","-50,000,000","-56,000,000","37,000,000","344,000,000","558,000,000","35,000,000","-256,000,000","65,000,000","-17,000,000",,,,,,,"-72,000,000","19,000,000","288,000,000","125,000,000",,,"59,800,000","-90,100,000","169,200,000","-675,000,000","266,400,000","-54,000,000","-32,100,000","96,000,000","-114,100,000","11,500,000","-47,900,000","-23,500,000","-20,300,000","-7,700,000","60,900,000","-9,900,000","10,200,000","-6,400,000","-67,700,000","5,000,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"113,000,000","-113,000,000","-2,471,000,000","117,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-374,000,000","113,000,000","-269,000,000","-6,000,000","-212,000,000","-152,000,000","-311,000,000","-218,000,000","-409,000,000","526,000,000","-208,000,000","-47,000,000","-100,000,000","-271,000,000","310,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,000,000",,,,"-45,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,"1,000,000","-3,000,000",,,"29,000,000","61,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,"0","0",,,"-64,000,000","-25,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"-400,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"2,856,000,000","773,000,000","710,000,000","700,000,000","673,000,000","685,000,000","658,000,000","681,000,000","738,000,000","759,000,000","742,000,000","763,000,000","738,000,000","734,000,000","574,000,000","600,000,000","534,000,000","572,000,000","553,000,000","561,000,000","540,000,000","548,000,000","524,000,000","472,000,000","429,000,000","424,000,000","419,000,000","428,000,000","408,000,000","414,000,000","389,000,000","423,000,000","370,000,000","378,000,000","286,000,000","375,000,000","363,000,000","366,000,000","363,000,000","376,000,000","351,000,000","353,000,000","337,000,000","324,000,000","309,000,000","318,000,000","312,000,000","317,000,000","309,000,000","320,000,000","359,000,000","320,000,000","315,000,000","325,000,000","303,000,000","312,000,000","282,000,000","294,000,000","289,000,000","322,000,000","464,000,000","458,000,000","443,000,000","434,000,000","448,000,000","414,000,000","395,000,000","392,000,000","371,000,000","380,000,000","373,000,000","361,000,000","347,000,000","352,000,000","309,000,000","354,000,000","343,000,000","328,000,000","336,000,000","348,000,000",,,,,,,"344,000,000","324,000,000","324,000,000","276,000,000",,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"517,000,000","246,000,000","288,000,000","-12,000,000","-5,000,000","216,000,000","56,000,000","-149,000,000","-166,000,000","-65,000,000","104,000,000","5,000,000","1,000,000","106,000,000","31,000,000","257,000,000","98,000,000","131,000,000","-655,000,000","246,000,000","156,000,000","250,000,000","32,000,000","206,000,000","144,000,000","131,000,000","151,000,000","304,000,000","122,000,000","277,000,000","5,000,000","143,000,000","69,000,000","232,000,000","136,000,000","206,000,000","129,000,000","261,000,000","-455,000,000","106,000,000","175,000,000","269,000,000","113,000,000","189,000,000","227,000,000","227,000,000","372,000,000","520,000,000","-37,000,000","-173,000,000","-152,000,000","105,000,000","-82,000,000","-365,000,000","-82,000,000","29,000,000","377,000,000","-55,000,000","385,000,000","-1,562,000,000","-313,000,000","205,000,000","93,000,000","175,000,000","55,000,000","187,000,000","115,000,000","-166,000,000","45,000,000","70,000,000","-185,000,000","387,000,000","266,000,000","86,000,000","50,000,000","163,000,000","107,000,000","132,000,000","401,000,000","190,000,000",,,,,,,,,,,,,,,"-37,900,000","162,400,000","-111,600,000","9,600,000","-40,800,000","32,500,000","8,800,000","13,300,000","23,700,000","28,800,000","13,300,000","18,300,000","-6,700,000","16,500,000","6,100,000","9,500,000","5,500,000","47,100,000"
