name,ttm,03/31/2022,03/31/2021
TotalRevenue,,"186,239,000","134,817,000"
	OperatingRevenue,,"186,239,000","134,817,000"
CostOfRevenue,,"26,952,000","74,626,000"
GrossProfit,,"159,287,000","60,191,000"
OperatingExpense,,"197,247,000","165,776,000"
	SellingGeneralAndAdministration,,"197,247,000","165,776,000"
		GeneralAndAdministrativeExpense,,"197,247,000","165,776,000"
			OtherGandA,,"197,247,000","165,776,000"
OperatingIncome,,"-37,960,000","-105,585,000"
NetNonOperatingInterestIncomeExpense,,"-8,324,000","-32,532,000"
	InterestIncomeNonOperating,,"1,000","30,000"
	InterestExpenseNonOperating,,"8,325,000","32,562,000"
OtherIncomeExpense,,"3,277,000","-225,764,000"
	GainOnSaleOfSecurity,,"-2,129,000","625,000"
	SpecialIncomeCharges,,"4,044,000","-226,878,000"
		RestructuringAndMergernAcquisition,,"0","35,252,000"
		WriteOff,,"0","197,027,000"
		GainOnSaleOfPPE,,"4,044,000","5,401,000"
	OtherNonOperatingIncomeExpenses,,"1,362,000","489,000"
PretaxIncome,,"-43,007,000","-363,881,000"
TaxProvision,,"-8,653,000","-2,200,000"
NetIncomeCommonStockholders,,"-34,354,000","-361,681,000"
	NetIncome,,"-34,354,000","-361,681,000"
		NetIncomeIncludingNoncontrollingInterests,,"-34,354,000","-361,681,000"
			NetIncomeContinuousOperations,,"-34,354,000","-361,681,000"
DilutedNIAvailtoComStockholders,,"-34,354,000","-361,681,000"
BasicEPS,,"-0.34","-3.614"
DilutedEPS,,"-0.34","-3.614"
BasicAverageShares,,"100,075,000","100,074,948"
DilutedAverageShares,,"100,075,000","100,074,948"
TotalOperatingIncomeAsReported,,"-33,916,000","-297,211,000"
TotalExpenses,,"224,199,000","240,402,000"
NetIncomeFromContinuingAndDiscontinuedOperation,,"-34,354,000","-361,681,000"
NormalizedIncome,,"-35,884,085","-136,795,910.388"
InterestIncome,,"1,000","30,000"
InterestExpense,,"8,325,000","32,562,000"
NetInterestIncome,,"-8,324,000","-32,532,000"
EBIT,,"-34,682,000","-331,319,000"
ReconciledCostOfRevenue,,"26,952,000","74,626,000"
ReconciledDepreciation,,"26,952,000","74,626,000"
NetIncomeFromContinuingOperationNetMinorityInterest,,"-34,354,000","-361,681,000"
TotalUnusualItemsExcludingGoodwill,,"1,915,000","-226,253,000"
TotalUnusualItems,,"1,915,000","-226,253,000"
NormalizedEBITDA,,"-9,645,000","-30,440,000"
TaxRateForCalcs,,"0.201","0.006"
TaxEffectOfUnusualItems,,"384,915","-1,367,910.388"
