name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997
OperatingCashFlow,"3,817,000,000","886,000,000","668,000,000","1,087,000,000","1,176,000,000","758,000,000","370,000,000","827,000,000","817,000,000","644,000,000","442,000,000","992,000,000","923,000,000","667,000,000","730,000,000","474,000,000","1,007,000,000","642,000,000","464,000,000","429,000,000","714,000,000","623,000,000","323,000,000","383,000,000","643,000,000","604,000,000","438,000,000","307,000,000","575,000,000","675,000,000","335,000,000","412,000,000","546,000,000","508,000,000","436,000,000","237,000,000","469,000,000","409,000,000","226,000,000","153,000,000","88,000,000","254,000,000","155,000,000","157,000,000","142,000,000","154,000,000","109,000,000","124,000,000","101,000,000","118,000,000","85,000,000","148,000,000","81,000,000","124,000,000","193,000,000","124,000,000","221,000,000","226,000,000","375,000,000","164,000,000","196,000,000","133,000,000","252,000,000","237,000,000","143,000,000","226,000,000","219,000,000","99,000,000","196,000,000","129,000,000","172,831,000","205,139,000","154,248,000","204,782,000","15,837,000","146,327,000","97,488,000","82,654,000","160,862,000","180,580,000","132,261,000","44,206,000","261,836,000","136,419,000","239,953,000","58,502,000","220,085,000","29,811,000","169,259,000","93,566,000","56,300,000","191,600,000","77,100,000","96,400,000","8,000,000","179,300,000","21,200,000","7,600,000","1,100,000"
	CashFlowFromContinuingOperatingActivities,"3,817,000,000","886,000,000","668,000,000","1,087,000,000","1,176,000,000","758,000,000","370,000,000","827,000,000","817,000,000","644,000,000","442,000,000","992,000,000","923,000,000","667,000,000","730,000,000","474,000,000","1,007,000,000","642,000,000","464,000,000","429,000,000","714,000,000","623,000,000","323,000,000","383,000,000","643,000,000","604,000,000","438,000,000","307,000,000","575,000,000","675,000,000","335,000,000","412,000,000","546,000,000","508,000,000","436,000,000","237,000,000","469,000,000","409,000,000","226,000,000","153,000,000","88,000,000","254,000,000","155,000,000","157,000,000","142,000,000","154,000,000","109,000,000","124,000,000","101,000,000","118,000,000","85,000,000","148,000,000","81,000,000","124,000,000","193,000,000","124,000,000","221,000,000","226,000,000","375,000,000","161,000,000","196,000,000","127,000,000","215,000,000","237,000,000","143,000,000","226,000,000","219,000,000","99,000,000","196,000,000","129,000,000","172,831,000","205,139,000","154,248,000","204,782,000","15,837,000","146,327,000","97,488,000","82,654,000","160,862,000","180,580,000","132,261,000","44,206,000","261,836,000","136,419,000","239,953,000","58,502,000","220,085,000","29,811,000","169,259,000","93,566,000","56,300,000","191,600,000","77,100,000","96,400,000","8,000,000","179,300,000","21,200,000","7,600,000","1,100,000"
		NetIncomeFromContinuingOperations,"1,550,000,000","367,000,000","481,000,000","409,000,000","293,000,000","203,000,000","297,000,000","208,000,000","212,000,000","173,000,000","338,000,000","391,000,000","270,000,000","175,000,000","310,000,000","333,000,000","270,000,000","183,000,000","897,000,000","199,000,000","141,000,000","109,000,000","153,000,000","187,000,000","134,000,000","92,000,000","169,000,000","215,000,000","86,000,000","115,000,000","194,000,000","192,000,000","94,000,000","60,000,000","140,000,000","143,000,000","83,000,000","21,000,000","41,000,000",,,,,,,"-20,000,000",,"23,000,000","12,000,000","-40,000,000","-24,000,000","0","-17,000,000","-19,000,000","-853,000,000","74,000,000","37,000,000","38,000,000","153,000,000","111,000,000","67,000,000","32,000,000","53,000,000","95,000,000","56,000,000","20,000,000","49,000,000","76,000,000","50,000,000","12,000,000","52,022,000","-64,381,000","31,488,000","-103,129,000","-305,133,000","31,884,000","23,391,000","-8,723,000","-208,951,000","32,454,000","55,265,000","-276,593,000","32,174,000","62,052,000","9,559,000","7,471,000","36,374,000","75,391,000","47,199,000","17,411,000","44,400,000","56,200,000","25,900,000","16,200,000","18,300,000","8,300,000","5,600,000","2,600,000",
		OperatingGainsLosses,"-425,000,000","-118,000,000","-164,000,000","-56,000,000","-87,000,000","-104,000,000","-81,000,000","81,000,000","-73,000,000","-84,000,000","-63,000,000","-76,000,000","-50,000,000","-69,000,000","-84,000,000","-58,000,000","-67,000,000","-75,000,000","-56,000,000","-25,000,000","-42,000,000","-47,000,000","6,000,000","-36,000,000","-29,000,000","-48,000,000","-65,000,000","-58,000,000","63,000,000","-52,000,000","-72,000,000","-56,000,000","3,000,000","-35,000,000","-55,000,000","-40,000,000","-43,000,000","-40,000,000","32,000,000","-29,000,000","-36,000,000","-30,000,000","-20,000,000","-16,000,000","-14,000,000","-13,000,000","15,000,000","-10,000,000","-10,000,000","-8,000,000","-11,000,000","14,000,000","-16,000,000","-13,000,000","-56,000,000","-19,000,000","-21,000,000","-17,000,000","-15,000,000","-25,000,000","-24,000,000","-25,000,000","-25,000,000","-29,000,000","-28,000,000","-24,000,000","-19,000,000","-18,000,000","-22,000,000","-23,000,000","-30,494,000","124,914,000","-4,458,000","121,038,000","299,851,000","-15,674,000","-13,813,000","-11,825,000","236,948,000","-13,108,000","-18,791,000","274,341,000","-14,422,000","-14,079,000","15,157,000","-16,046,000","-38,341,000","-41,236,000","-34,757,000","-29,246,000","-33,500,000","-30,000,000","-22,200,000","-15,100,000","-23,900,000","-11,000,000","-3,300,000","-1,300,000","-500,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"0","0",,,"2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-455,000,000","-118,000,000","-164,000,000","-86,000,000","-87,000,000","-104,000,000","-105,000,000","-78,000,000","-73,000,000","-84,000,000","-92,000,000","-76,000,000","-82,000,000","-69,000,000","-84,000,000","-58,000,000","-67,000,000","-75,000,000","-67,000,000","-56,000,000","-54,000,000","-47,000,000","-59,000,000","-46,000,000","-55,000,000","-48,000,000","-65,000,000","-58,000,000","-58,000,000","-54,000,000","-72,000,000","-61,000,000","-61,000,000","-46,000,000","-55,000,000","-41,000,000","-45,000,000","-41,000,000","-42,000,000","-19,000,000","-36,000,000","-30,000,000","-24,000,000","-16,000,000","-14,000,000","-14,000,000","-10,000,000","-10,000,000","-9,000,000","-12,000,000","-4,000,000","-3,000,000","10,000,000","-9,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,"0",,,,"24,000,000","159,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000",,"-12,000,000","-13,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"2,049,000,000","532,000,000","532,000,000","510,000,000","475,000,000","466,000,000","480,000,000","492,000,000","490,000,000","526,000,000","516,000,000","519,000,000","504,000,000","499,000,000","470,000,000","418,000,000","390,000,000","393,000,000","390,000,000","353,000,000","330,000,000","310,000,000","318,000,000","311,000,000","306,000,000","310,000,000","318,000,000","315,000,000","307,000,000","304,000,000","312,000,000","306,000,000","299,000,000","277,000,000","284,000,000","278,000,000","270,000,000","266,000,000","272,000,000","275,000,000","221,000,000","129,000,000","129,000,000","123,000,000","117,000,000","111,000,000","117,000,000","112,000,000","111,000,000","109,000,000","116,000,000","113,000,000","125,000,000","120,000,000","124,000,000","135,000,000","130,000,000","124,000,000","119,000,000","128,000,000","129,000,000","121,000,000","127,000,000","132,000,000","128,000,000","116,000,000","120,000,000","116,000,000","115,000,000","111,000,000","123,777,000","116,136,000","122,891,000","105,196,000","104,025,000","117,878,000","107,087,000","99,335,000","102,290,000","111,984,000","92,214,000","89,805,000","110,076,000","110,840,000","112,142,000","100,844,000","105,285,000","109,391,000","106,235,000","93,521,000","96,400,000","94,600,000","80,300,000","72,200,000","68,200,000","125,800,000","12,700,000","5,700,000","1,300,000"
			DepreciationAndAmortization,"2,049,000,000","532,000,000","532,000,000","510,000,000","475,000,000","466,000,000","480,000,000","492,000,000","490,000,000","526,000,000","516,000,000","519,000,000","504,000,000","499,000,000","470,000,000","418,000,000","390,000,000","393,000,000","390,000,000","353,000,000","330,000,000","310,000,000","318,000,000","311,000,000","306,000,000","310,000,000","318,000,000","315,000,000","307,000,000","304,000,000","312,000,000","306,000,000","299,000,000","277,000,000","284,000,000","278,000,000","270,000,000","266,000,000","272,000,000","275,000,000","221,000,000","129,000,000","129,000,000","123,000,000","117,000,000","111,000,000","117,000,000","112,000,000","111,000,000","109,000,000","116,000,000","113,000,000","125,000,000","120,000,000","124,000,000","135,000,000","130,000,000","124,000,000","119,000,000","128,000,000","129,000,000","121,000,000","127,000,000","132,000,000","128,000,000","116,000,000","120,000,000","116,000,000","115,000,000","111,000,000","123,777,000","116,136,000","122,891,000","105,196,000","104,025,000","117,878,000","107,087,000","99,335,000","102,290,000","111,984,000","92,214,000","89,805,000","110,076,000","110,840,000","112,142,000","100,844,000","105,285,000","109,391,000","106,235,000","93,521,000","96,400,000","94,600,000","80,300,000","72,200,000","68,200,000","125,800,000","12,700,000","5,700,000","1,300,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131,000,000",,,"129,000,000","124,000,000","118,000,000","117,000,000","122,000,000","126,000,000","124,000,000","115,000,000","118,000,000","115,000,000","111,000,000","110,000,000","118,886,000","110,540,000",,,"101,512,000","103,385,000","99,292,000","97,721,000","99,331,000",,,,"107,575,000",,,,,,,,,,,,,,,,
