name,ttm
OperatingCashFlow,"536,300,000"
	CashFlowFromContinuingOperatingActivities,"536,300,000"
		NetIncomeFromContinuingOperations,"380,200,000"
		OperatingGainsLosses,"7,700,000"
			PensionAndEmployeeBenefitExpense,"7,700,000"
		DepreciationAmortizationDepletion,"33,600,000"
			DepreciationAndAmortization,"33,600,000"
		AssetImpairmentCharge,"4,000,000"
		StockBasedCompensation,"14,800,000"
		OtherNonCashItems,"1,300,000"
		ChangeInWorkingCapital,"96,700,000"
			ChangeInReceivables,"100,700,000"
				ChangesInAccountReceivables,"100,700,000"
			ChangeInInventory,"-18,900,000"
			ChangeInPrepaidAssets,"-8,600,000"
			ChangeInPayablesAndAccruedExpense,"18,800,000"
				ChangeInPayable,"40,900,000"
					ChangeInAccountPayable,"40,900,000"
InvestingCashFlow,"-30,900,000"
	CashFlowFromContinuingInvestingActivities,"-30,900,000"
		CapitalExpenditureReported,"-30,100,000"
		NetIntangiblesPurchaseAndSale,"-800,000"
			PurchaseOfIntangibles,"-800,000"
FinancingCashFlow,"-238,300,000"
	CashFlowFromContinuingFinancingActivities,"-238,300,000"
		NetOtherFinancingCharges,"-1,688,300,000"
CapitalExpenditure,"-30,900,000"
FreeCashFlow,"505,400,000"
