name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012
TotalAssets,"2,960,780,000","2,880,460,000","2,823,452,000","2,622,934,000","2,443,728,000","2,314,770,000","2,175,496,000","2,000,247,000","1,932,725,000","1,958,661,000","1,833,751,000","1,659,418,000","1,592,276,000","952,264,000","849,736,000","772,337,000","735,040,000","695,708,000","643,316,000","561,579,000","556,929,000","500,536,000","476,909,000","421,068,000","396,719,000","393,294,000","397,385,000","339,301,000","303,021,000","294,862,000","290,398,000","244,080,000","222,633,000","232,054,000","216,215,000","187,540,000","187,092,000","189,660,000","169,014,000","154,194,000","134,490,000","134,527,000"
	CurrentAssets,"905,614,000","904,739,000","933,916,000","839,340,000","767,592,000","755,413,000","712,278,000","570,526,000","573,030,000","665,713,000","625,970,000","605,103,000","605,774,000","642,257,000","599,132,000","550,374,000","529,125,000","479,362,000","430,065,000","390,571,000","389,585,000","339,789,000","330,613,000","278,935,000","263,956,000","264,745,000","275,839,000","224,764,000","204,594,000","207,580,000","204,296,000","159,604,000","143,735,000","160,899,000","146,055,000","121,384,000","124,604,000","129,676,000","113,845,000","104,039,000","86,575,000","92,249,000"
		CashCashEquivalentsAndShortTermInvestments,"309,641,000","342,114,000","311,316,000","413,124,000","383,459,000","409,711,000","213,794,000","202,008,000","138,980,000","261,719,000","131,568,000","269,125,000","288,653,000","337,160,000","188,291,000","264,697,000","274,203,000","244,627,000","111,595,000","167,480,000","179,012,000","153,879,000","63,449,000","96,042,000","81,625,000","99,416,000","18,083,000","60,916,000","52,391,000","63,186,000","5,291,000","25,550,000","17,816,000","50,184,000","5,550,000","21,088,000","36,722,000","56,081,000","7,245,000","17,676,000","12,027,000","41,293,000"
			CashAndCashEquivalents,"120,501,000","64,973,000","86,753,000","126,195,000","84,170,000","268,783,000","117,045,000","160,338,000","69,760,000","202,490,000","77,496,000","178,800,000","220,778,000","251,748,000","103,262,000","133,256,000","84,399,000","112,669,000","54,917,000","74,759,000","65,237,000","76,088,000","53,537,000","67,109,000","25,774,000","53,081,000","18,083,000","60,916,000","52,391,000","63,186,000","5,291,000","25,550,000","17,816,000","50,184,000","5,550,000","21,088,000","36,722,000","56,081,000","7,245,000","17,676,000","12,027,000","41,293,000"
				CashFinancial,,,,,,,,,,"2,390,000",,"10,900,000","32,778,000","36,048,000","18,362,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,,"200,100,000",,"167,900,000","188,000,000","215,700,000","84,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"189,140,000","277,141,000","224,563,000","286,929,000","299,289,000","140,928,000","96,749,000","41,670,000","69,220,000","59,229,000","54,072,000","90,325,000","67,875,000","85,412,000","85,029,000","131,441,000","189,804,000","131,958,000","56,678,000","92,721,000","113,775,000","77,791,000","9,912,000","28,933,000","55,851,000","46,335,000",,,,,,,,,,,,,,,,
		Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"7,400,000","0"
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"7,400,000","0"
		Inventory,"504,182,000","455,104,000","521,107,000","347,302,000","326,710,000","281,267,000","430,200,000","294,057,000","367,516,000","324,028,000","419,340,000","272,689,000","268,437,000","243,636,000","339,898,000","228,109,000","215,376,000","187,037,000","271,685,000","184,517,000","180,002,000","154,448,000","228,175,000","154,809,000","156,300,000","148,370,000","213,635,000","123,847,000","119,820,000","115,652,000","167,174,000","106,749,000","98,576,000","89,377,000","115,484,000","83,470,000","75,339,000","60,831,000","84,399,000","63,631,000","51,531,000","38,790,000"
