name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996
OperatingCashFlow,"1,434,600,000","380,600,000","-37,500,000","414,000,000","677,500,000","239,300,000","352,100,000","65,200,000","572,500,000","212,000,000","-142,400,000","356,400,000","213,300,000","91,300,000","78,500,000","119,000,000","242,300,000","174,900,000","156,200,000","146,400,000","129,300,000","191,600,000","-91,400,000","192,700,000","182,700,000","83,100,000","15,400,000","104,300,000","59,100,000","207,200,000","112,500,000","65,000,000","79,700,000","109,400,000","10,258,000","118,491,000","91,042,000","100,309,000","65,640,000","59,324,000","76,770,000","121,666,000","-77,312,000","117,263,000","13,295,000","10,229,000","73,841,000","53,714,000","13,432,000","49,672,000","-11,334,000","69,304,000","62,102,000","177,776,000","45,172,000","179,324,000","148,545,000","29,791,000","-26,470,000","52,447,000","174,673,000","120,012,000","-166,064,000","43,401,000","76,815,000","103,698,000","32,577,000","105,519,000","28,607,000","26,209,000","64,510,000","65,951,000","52,351,000","8,957,000","96,534,000","32,176,000","75,633,000","-1,457,000","69,002,000","-11,901,000","50,558,000","5,598,000","-11,610,000","113,689,000","1,272,000","-30,912,000","44,097,000","12,309,000","3,120,000","-7,690,000","4,308,000","24,300,000","24,300,000","-2,500,000","28,400,000","1,600,000","19,300,000","-5,600,000","-14,700,000","4,300,000","15,600,000","-6,800,000","5,300,000"
	CashFlowFromContinuingOperatingActivities,"1,433,300,000","380,600,000","-38,400,000","413,700,000","677,400,000","239,300,000","352,000,000","65,100,000","572,500,000","211,900,000","-142,500,000","356,200,000","213,200,000","91,400,000","78,300,000","118,900,000","242,200,000","174,800,000","156,200,000","146,300,000","121,900,000","198,600,000","-91,700,000","192,700,000","181,900,000","82,600,000","18,100,000","103,300,000","76,500,000","193,600,000","89,000,000","65,900,000","78,900,000","132,500,000","16,803,000","122,354,000","72,568,000","103,075,000","63,319,000","60,426,000","78,882,000","125,304,000","-53,183,000","131,810,000","34,966,000","9,024,000","75,558,000","54,723,000","19,771,000","49,822,000","-13,326,000","72,993,000","67,912,000","175,865,000","50,420,000","181,044,000","137,469,000","38,134,000","-34,316,000","63,803,000","186,258,000","94,271,000","-121,135,000","54,387,000","69,919,000","111,211,000","55,596,000","82,500,000","28,607,000","26,209,000","61,148,000","65,169,000","47,733,000","6,481,000","96,756,000","9,855,000","75,633,000","-1,457,000","37,293,000","-13,574,000","52,231,000","5,598,000","-11,610,000","113,689,000","1,272,000","-30,912,000","40,097,000","12,309,000","1,870,000","-7,690,000","2,458,000","21,000,000","20,700,000","-3,400,000","39,700,000","1,600,000","19,300,000","-5,600,000","-14,700,000","4,300,000","15,600,000","-6,800,000","5,300,000"
		NetIncomeFromContinuingOperations,"1,379,100,000","369,500,000","312,900,000","356,300,000","340,400,000","183,100,000","201,400,000","247,600,000","44,800,000","51,500,000","101,300,000","116,100,000","118,500,000","99,200,000","97,200,000","130,100,000","135,200,000","107,800,000","328,600,000","94,300,000","106,900,000","83,000,000","82,700,000","88,500,000","95,000,000","80,200,000","71,300,000","87,500,000","95,700,000","75,900,000","73,200,000","75,100,000","73,900,000","67,900,000","59,654,000","65,532,000","62,495,000","58,019,000","45,399,000","41,536,000","50,052,000","50,180,000","42,455,000","57,284,000","76,009,000","2,510,000","30,824,000","31,304,000","29,389,000","20,739,000","20,217,000","27,796,000","19,833,000","16,196,000","-509,910,000","24,216,000","39,863,000","33,930,000","29,402,000","43,400,000","40,355,000","14,582,000","29,899,000","33,868,000","36,843,000","24,091,000","30,121,000","32,764,000","33,196,000","22,892,000","26,115,000","32,365,000","33,003,000","20,204,000","20,077,000","25,255,000","23,864,000","13,733,000","652,000","21,989,000","23,889,000","15,711,000","11,282,000","13,488,000","13,405,000","6,570,000","6,117,000","15,148,000","7,095,000","5,640,000","5,456,000","9,000,000","8,600,000","3,700,000","-18,200,000","8,200,000","8,200,000","2,300,000","-26,600,000","5,600,000","7,600,000","3,300,000","1,400,000"
		OperatingGainsLosses,"-270,700,000","-119,600,000","-20,100,000","-69,200,000","-61,800,000","-55,400,000","-26,100,000","-51,300,000","-23,100,000","-14,500,000","-16,800,000","-24,400,000","-26,600,000","-26,800,000","-19,500,000","-24,200,000","-28,000,000","-17,300,000","-15,800,000","-19,000,000","-20,900,000","-13,200,000","-12,700,000","-21,600,000","-10,200,000","-5,500,000","-5,100,000","-6,800,000","-9,400,000","-6,700,000","-21,900,000","-8,400,000","-9,400,000","-5,100,000","-4,544,000","-8,230,000","-7,878,000","-2,348,000","-1,800,000","13,535,000","-8,168,000","-4,410,000","-9,727,000","-9,623,000","-7,882,000","-22,000","-8,844,000","-7,977,000","-5,206,000","-176,000","-2,092,000","-7,536,000","-3,466,000","-11,447,000","8,357,000","189,000","428,000","435,000","-456,000","-2,652,000","-119,000","1,115,000","-1,812,000","-3,547,000","265,000","-685,000","1,257,000","-1,377,000","-630,000","143,000","-11,586,000","4,959,000","-13,978,000","-55,000","-76,000","880,000","883,000","3,676,000","36,861,000","458,000","509,000","416,000","451,000","66,000","284,000","14,000","-3,932,000","162,000","5,695,000","231,000","2,858,000","400,000",,,"46,800,000","-8,500,000","-6,300,000","-7,500,000","22,400,000","-8,000,000","-300,000","-400,000","700,000"
			GainLossOnSaleOfBusiness,"-300,000",,,,,,,,,"-100,000","0","-100,000","-100,000","-100,000","-300,000","-100,000","0","-100,000","-100,000","-100,000","-200,000","600,000","-100,000","-100,000",,,"2,400,000","-500,000","400,000","1,200,000","10,800,000","1,900,000","7,400,000","-1,400,000","3,511,000","742,000","1,960,000","-813,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-299,100,000","-119,600,000","-31,500,000","-69,200,000","-78,800,000","-55,400,000","-26,100,000","-51,300,000","-23,100,000","-14,500,000","-16,800,000","-24,400,000","-26,600,000","-26,800,000","-19,500,000","-24,200,000","-28,000,000","-17,300,000","-15,800,000","-19,000,000","-20,900,000","-13,200,000","-12,700,000","-21,600,000","-10,200,000","-5,500,000","-5,100,000","-6,800,000","-9,400,000","-6,700,000","-5,900,000","-8,400,000","-9,400,000","-5,100,000","-4,544,000","-8,230,000","-7,878,000","-2,348,000","-1,800,000","-4,218,000","-8,168,000","-4,410,000","-7,924,000","-9,623,000","-7,882,000","-22,000","-8,844,000","-7,370,000","-4,784,000","429,000","-2,092,000","-7,536,000","-3,466,000","-714,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"124,100,000","31,900,000","31,800,000","30,200,000","30,200,000","29,300,000","30,100,000","29,000,000","27,900,000","28,500,000","28,600,000","27,500,000","27,100,000","26,400,000","26,500,000","25,900,000","25,700,000","25,600,000","25,100,000","24,300,000","23,300,000","22,400,000","22,900,000","21,500,000","24,500,000","20,800,000","20,300,000","19,900,000","19,200,000","18,600,000","18,200,000","17,800,000","17,500,000","16,500,000","16,400,000","15,784,000","15,067,000","14,449,000","12,982,000","14,037,000","13,627,000","13,349,000","12,325,000","10,829,000","13,484,000","12,265,000","12,053,000","12,403,000","12,054,000","12,374,000","13,580,000","14,011,000","13,771,000","12,872,000","12,697,000","14,057,000","13,567,000","13,501,000","11,802,000","13,008,000","13,344,000","12,803,000","11,490,000","11,591,000","10,298,000","11,484,000","9,130,000","11,531,000","10,778,000","11,160,000","10,587,000","15,698,000","9,463,000","9,226,000","9,331,000","8,493,000","7,893,000","7,361,000","6,543,000","5,255,000","5,953,000","4,553,000","8,955,000","8,733,000","8,260,000","7,677,000","6,827,000","6,266,000","5,704,000","5,377,000","4,931,000","5,000,000","4,600,000","4,600,000","3,700,000","4,800,000","4,400,000","3,600,000","2,900,000","2,700,000","2,400,000","1,700,000","5,200,000"
			DepreciationAndAmortization,"124,100,000","31,900,000","31,800,000","30,200,000","30,200,000","29,300,000","30,100,000","29,000,000","27,900,000","28,500,000","28,600,000","27,500,000","27,100,000","26,400,000","26,500,000","25,900,000","25,700,000","25,600,000","25,100,000","24,300,000","23,300,000","22,400,000","22,900,000","21,500,000","24,500,000","20,800,000","20,300,000","19,900,000","19,200,000","18,600,000","18,200,000","17,800,000","17,500,000","16,500,000","16,400,000","15,784,000","15,067,000","14,449,000","12,982,000","14,037,000","13,627,000","13,349,000","12,325,000","10,829,000","13,484,000","12,265,000","12,053,000","12,403,000","12,054,000","12,374,000","13,580,000","14,011,000","13,771,000","12,872,000","12,697,000","14,057,000","13,567,000","13,501,000","11,802,000","13,008,000","13,344,000","12,803,000","11,490,000","11,591,000","10,298,000","11,484,000","9,130,000","11,531,000","10,778,000","11,160,000","10,587,000","15,698,000","9,463,000","9,226,000","9,331,000","8,493,000","7,893,000","7,361,000","6,543,000","5,255,000","5,953,000","4,553,000","8,955,000","8,733,000","8,260,000","7,677,000","6,827,000","6,266,000","5,704,000","5,377,000","4,931,000","5,000,000","4,600,000","4,600,000","3,700,000","4,800,000","4,400,000","3,600,000","2,900,000","2,700,000","2,400,000","1,700,000","5,200,000"
				Depreciation,"124,100,000","31,900,000","31,800,000","30,200,000","30,200,000","29,300,000","30,100,000","29,000,000","27,900,000","28,500,000","28,600,000","27,500,000","27,100,000","26,400,000","26,500,000","25,900,000","25,700,000","25,600,000","25,100,000","24,300,000","23,300,000","22,400,000","22,900,000","21,500,000","24,500,000","20,800,000","20,300,000","19,900,000","19,200,000","18,600,000","18,200,000","17,800,000","17,500,000","16,500,000","16,400,000","15,784,000","15,067,000","14,449,000","12,982,000","14,037,000","13,627,000","13,349,000","12,325,000","12,547,000","11,766,000","12,265,000","12,053,000","12,403,000",,,,,,,,,,,,,,,,,,"10,632,000","8,155,000","10,556,000","10,117,000","10,560,000","9,537,000","14,686,000","9,109,000","8,814,000","8,620,000","7,926,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"852,000","975,000","975,000","661,000","600,000","1,050,000","1,012,000","354,000","412,000","711,000","567,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
