name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,12/31/2016
TotalAssets,"504,657,000","501,527,000","510,840,000","528,044,000","532,666,000","271,045,000","264,105,000","162,940,000","170,305,000","169,951,000","175,545,000","109,408,000","65,176,000","67,611,000","71,193,000","77,772,000","83,683,000","91,779,000","30,515,000","37,117,000"
	CurrentAssets,"433,706,000","448,955,000","459,429,000","476,440,000","482,443,000","219,605,000","214,928,000","114,238,000","122,538,000","132,661,000","138,699,000","92,386,000","51,519,000","59,496,000","62,701,000","70,698,000","76,617,000","89,252,000","25,943,000","35,243,000"
		CashCashEquivalentsAndShortTermInvestments,"374,317,000","396,465,000","410,747,000","430,780,000","442,672,000","181,584,000","173,162,000","88,806,000","96,359,000","109,155,000","113,327,000","72,025,000","33,972,000","44,429,000","51,423,000","60,474,000","65,231,000","79,682,000","18,690,000","29,671,000"
			CashAndCashEquivalents,"374,317,000","396,465,000","410,747,000","430,780,000","442,672,000","181,584,000","173,162,000","88,806,000","96,359,000","109,155,000","113,327,000","72,025,000","33,972,000","44,429,000","51,423,000","60,474,000","65,231,000","79,682,000","18,690,000","29,671,000"
				CashFinancial,"42,205,000","64,372,000",,,,"19,535,000",,,,"6,406,000",,,,"1,821,000","52,423,000",,"65,231,000","1,500,000","18,690,000","29,671,000"
				CashEquivalents,"332,112,000","332,093,000",,,,"162,049,000",,,,"102,749,000",,,,"42,608,000",,,,"78,182,000","0","0"
		Receivables,"22,616,000","23,786,000","18,434,000","15,430,000","14,936,000","17,184,000","26,262,000","9,526,000","12,065,000","10,906,000","11,914,000","9,134,000","7,303,000","6,792,000","4,648,000","3,586,000","4,661,000","5,599,000","4,204,000","3,917,000"
			AccountsReceivable,"22,616,000","23,786,000","18,434,000","15,430,000","14,936,000","17,184,000","26,262,000","9,526,000","12,065,000","10,906,000","11,914,000","9,134,000","7,303,000","6,792,000","4,648,000","3,586,000","4,661,000","5,599,000","4,204,000","3,917,000"
				GrossAccountsReceivable,"22,864,000","24,205,000","19,079,000","15,807,000","15,278,000","17,554,000","26,711,000","9,841,000","12,342,000","11,068,000","12,012,000","9,193,000","7,353,000","6,828,000",,"3,605,000","4,847,000","5,722,000",,
				AllowanceForDoubtfulAccountsReceivable,"-248,000","-419,000","-645,000","-377,000","-342,000","-370,000","-449,000","-315,000","-277,000","-162,000","-98,000","-59,000","-50,000","-36,000",,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,"13,000","124,000"
			OtherReceivables,,,,,,,,,,,,,,,,,,"0","0","0"
		Inventory,"22,669,000","22,190,000","22,794,000","21,225,000","17,044,000","14,856,000","13,274,000","13,789,000","11,392,000","10,463,000","11,161,000","8,850,000","7,742,000","5,945,000","5,375,000","5,486,000","5,332,000","3,571,000","2,563,000","1,528,000"
			RawMaterials,"9,199,000","7,892,000","9,025,000","6,573,000","5,608,000","5,265,000","6,475,000","5,446,000","5,128,000","4,717,000","5,419,000","3,717,000","2,999,000","1,546,000","1,660,000","2,326,000","2,240,000","1,032,000","1,141,000","563,000"
			WorkInProcess,"4,068,000","4,923,000","4,243,000","4,181,000","4,012,000","3,306,000","2,990,000","2,783,000","2,619,000","2,573,000","2,402,000","2,334,000","2,662,000","2,331,000","2,363,000","1,634,000","1,431,000","968,000","402,000","304,000"
			FinishedGoods,"9,402,000","9,375,000","9,526,000","10,471,000","7,424,000","6,285,000","3,809,000","5,560,000","3,645,000","3,173,000","3,340,000","2,799,000","2,081,000","2,068,000","1,352,000","1,526,000","1,661,000","1,571,000","1,020,000","661,000"
			OtherInventories,,,,,,,,,,,,,,,,,,"0","0","0"
		PrepaidAssets,"14,104,000","6,514,000","7,454,000","9,005,000","7,791,000","5,981,000","2,230,000","2,117,000","2,722,000","2,137,000","2,297,000","2,377,000","2,502,000","2,330,000","1,255,000","1,152,000","1,393,000","400,000","486,000","127,000"
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"0","0","0"
	TotalNonCurrentAssets,"70,951,000","52,572,000","51,411,000","51,604,000","50,223,000","51,440,000","49,177,000","48,702,000","47,767,000","37,290,000","36,846,000","17,021,000","13,657,000","8,116,000","8,492,000","7,074,000","7,066,000","2,527,000","4,572,000","1,874,000"
		NetPPE,"48,981,000","29,451,000","28,092,000","27,532,000","26,053,000","25,907,000","24,846,000","24,473,000","24,213,000","12,047,000","12,064,000","12,082,000","8,582,000","2,923,000","2,836,000","2,406,000","2,234,000","1,874,000","1,882,000","1,223,000"
			GrossPPE,"48,981,000","37,156,000","28,092,000","27,532,000","26,053,000","32,343,000","24,846,000","24,473,000","24,213,000","16,386,000",,,,"5,946,000",,,,"4,297,000","4,173,000","3,178,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0","0"
				MachineryFurnitureEquipment,,"5,510,000",,,,"3,060,000",,,,"2,506,000",,,,"1,575,000",,,,"1,148,000","1,140,000","1,108,000"
				OtherProperties,"48,981,000","21,233,000","28,092,000","27,532,000","26,053,000","20,518,000","24,846,000","24,473,000","24,213,000","5,391,000",,,,"4,127,000",,,,"2,969,000","2,853,000","1,937,000"
				Leases,,"10,413,000",,,,"8,765,000",,,,"8,489,000",,,,"244,000",,,,"180,000","180,000","133,000"
			AccumulatedDepreciation,,"-7,705,000",,,,"-6,436,000",,,,"-4,339,000",,,,"-3,023,000",,,,"-2,423,000","-2,291,000","-1,955,000"
		GoodwillAndOtherIntangibleAssets,"19,015,000","20,166,000","21,277,000","22,295,000","22,397,000","24,176,000","22,956,000","22,700,000","22,029,000","23,660,000","23,182,000","3,361,000","3,506,000","3,657,000","3,820,000","3,984,000","4,149,000",,,
			Goodwill,"9,323,000","9,632,000","9,903,000","10,121,000","9,933,000","10,460,000","9,714,000","9,390,000","8,914,000","9,353,000","8,961,000","1,308,000","1,308,000","1,308,000","1,308,000","1,308,000","1,308,000",,,
			OtherIntangibleAssets,"9,692,000","10,534,000","11,374,000","12,174,000","12,464,000","13,716,000","13,242,000","13,310,000","13,115,000","14,307,000","14,221,000","2,053,000","2,198,000","2,349,000","2,512,000","2,676,000","2,841,000",,,
		OtherNonCurrentAssets,"2,955,000","2,955,000","2,042,000","1,777,000","1,773,000","1,357,000","1,375,000","1,529,000","1,525,000","1,583,000","1,600,000","1,578,000","1,569,000","1,536,000","1,836,000","684,000","683,000","653,000","2,690,000","651,000"
TotalLiabilitiesNetMinorityInterest,"78,249,000","60,575,000","55,326,000","62,034,000","61,197,000","64,920,000","55,064,000","51,906,000","51,259,000","41,293,000","39,310,000","34,663,000","30,961,000","26,546,000","23,505,000","24,597,000","24,352,000","25,913,000","23,891,000","23,641,000"
	CurrentLiabilities,"31,773,000","36,977,000","31,190,000","37,675,000","36,491,000","39,803,000","28,092,000","18,897,000","18,010,000","19,833,000","18,223,000","17,018,000","16,598,000","18,125,000","15,242,000","23,356,000","22,790,000","19,714,000","16,379,000","10,955,000"
		PayablesAndAccruedExpenses,"12,286,000","15,695,000","11,699,000","11,945,000","12,106,000","11,644,000","10,139,000","7,475,000","7,791,000","8,275,000","7,784,000","7,529,000","7,533,000","8,239,000","7,083,000","7,298,000","6,543,000","7,112,000","6,809,000","4,935,000"
			Payables,"5,068,000","9,639,000","5,824,000","6,862,000","6,503,000","6,799,000","5,962,000","4,878,000","4,723,000","5,777,000","4,245,000","3,510,000","3,789,000","5,110,000","3,866,000","3,117,000","2,963,000","3,552,000","3,450,000","2,549,000"
				AccountsPayable,"4,262,000","9,209,000","5,824,000","6,862,000","6,503,000","6,799,000","5,962,000","4,878,000","4,723,000","5,777,000","4,245,000","3,510,000","3,789,000","5,110,000","3,866,000","3,117,000","2,963,000","3,552,000","3,450,000","2,549,000"
				TotalTaxPayable,"806,000","430,000",,,,,,,,,,,,,,,,,,
				OtherPayable,,,,,,,,,,,,,,,,,,"0","0","0"
			CurrentAccruedExpenses,"7,218,000","6,056,000","5,875,000","5,083,000","5,603,000","4,845,000","4,177,000","2,597,000","3,068,000","2,498,000","3,539,000","4,019,000","3,744,000","3,129,000","3,217,000","4,181,000","3,580,000","3,560,000","3,359,000","2,386,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"8,139,000","13,252,000","9,176,000","8,919,000","7,015,000","10,777,000","7,038,000","5,375,000","4,292,000","6,570,000","5,251,000","4,150,000","3,480,000","4,449,000","3,404,000","2,312,000","1,942,000","2,624,000","2,118,000","1,693,000"
		CurrentDebtAndCapitalLeaseObligation,"1,886,000","1,428,000","3,367,000","9,038,000","8,965,000","8,907,000","6,910,000","729,000","305,000","75,000","75,000","75,000","75,000",,,"7,605,000","8,463,000","5,036,000","3,626,000","899,000"
			CurrentDebt,,,"1,993,000","7,716,000","7,694,000","7,673,000","5,744,000",,,"75,000","75,000","75,000","75,000",,,"7,605,000","8,463,000","5,036,000","3,626,000","899,000"
				OtherCurrentBorrowings,,,"1,993,000","7,716,000","7,694,000","7,673,000","5,744,000",,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"1,886,000","1,428,000","1,374,000","1,322,000","1,271,000","1,234,000","1,166,000","729,000","305,000",,,,,,,,,,,
		CurrentDeferredLiabilities,"9,194,000","6,361,000","5,743,000","6,149,000","6,420,000","5,421,000","3,793,000","5,019,000","5,438,000","4,697,000","4,909,000","5,186,000","5,484,000","5,437,000","4,755,000","6,141,000","5,842,000","4,942,000","3,826,000","3,428,000"
			CurrentDeferredRevenue,"9,194,000","6,361,000","5,743,000","6,149,000","6,420,000","5,421,000","3,793,000","5,019,000","5,438,000","4,697,000","4,909,000","5,186,000","5,484,000","5,437,000","4,755,000","6,141,000","5,842,000","4,942,000","3,826,000","3,428,000"
		OtherCurrentLiabilities,"268,000","241,000","1,205,000","1,624,000","1,985,000","3,054,000","212,000","299,000","184,000","216,000","204,000","78,000","26,000",,,,,"0","0","0"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"46,476,000","23,598,000","24,136,000","24,359,000","24,706,000","25,117,000","26,972,000","33,009,000","33,249,000","21,460,000","21,087,000","17,645,000","14,363,000","8,421,000","8,263,000","1,241,000","1,562,000","6,199,000","7,512,000","12,686,000"
		LongTermDebtAndCapitalLeaseObligation,"43,563,000","20,464,000","20,845,000","21,210,000","21,552,000","21,891,000","24,066,000","30,088,000","30,349,000","7,587,000","7,565,000","7,544,000","7,572,000","7,623,000","7,586,000",,,"4,346,000","5,702,000","9,344,000"
			LongTermDebt,,,,,,,"1,907,000","7,630,000","7,608,000","7,587,000","7,565,000","7,544,000","7,572,000","7,623,000","7,586,000",,,"4,346,000","5,702,000","9,344,000"
			LongTermCapitalLeaseObligation,"43,563,000","20,464,000","20,845,000","21,210,000","21,552,000","21,891,000","22,159,000","22,458,000","22,741,000",,,,,,,,,,,
		NonCurrentDeferredLiabilities,"1,222,000","3,134,000","3,291,000","3,149,000","3,154,000","3,226,000","2,900,000","2,915,000","2,894,000","6,300,000","357,000","374,000","431,000","520,000","598,000","1,135,000","1,434,000","1,709,000","1,652,000","328,000"
			NonCurrentDeferredTaxesLiabilities,,"2,035,000","2,362,000","2,409,000","2,378,000","2,649,000","2,537,000","2,531,000","2,498,000","2,825,000",,,,,,,,,,
			NonCurrentDeferredRevenue,"1,222,000","1,099,000","929,000","740,000","776,000","577,000","363,000","384,000","396,000","466,000","357,000","374,000","431,000","520,000","598,000","1,135,000","1,434,000","1,709,000","1,652,000","328,000"
		DerivativeProductLiabilities,,,,,,,,,,,,,,,,,,"0","0","2,802,000"
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,,,,,,,"0","0","128,585,000"
		OtherNonCurrentLiabilities,"1,691,000","2,035,000",,,,"2,649,000","6,000","6,000","6,000","7,573,000","13,165,000","9,727,000","6,360,000","278,000","79,000","106,000","128,000","144,000","158,000","212,000"
TotalEquityGrossMinorityInterest,"426,408,000","440,952,000","455,514,000","466,010,000","471,469,000","206,125,000","209,041,000","111,034,000","119,046,000","128,658,000","136,235,000","74,745,000","34,215,000","41,065,000","47,688,000","53,175,000","59,331,000","65,866,000","6,624,000","13,476,000"
	StockholdersEquity,"426,408,000","440,952,000","455,514,000","466,010,000","471,469,000","206,125,000","209,041,000","111,034,000","119,046,000","128,658,000","136,235,000","74,745,000","34,215,000","41,065,000","47,688,000","53,175,000","59,331,000","65,866,000","6,624,000","13,476,000"
		CapitalStock,"37,000","37,000","37,000","37,000","36,000","32,000","32,000","28,000","28,000","28,000","28,000","25,000","23,000","22,000","22,000","22,000","22,000","22,000","17,000","128,587,000"
			PreferredStock,,,,,,,,,,,,,,,"0","0","0","0","0","128,585,000"
			CommonStock,"37,000","37,000","37,000","37,000","36,000","32,000","32,000","28,000","28,000","28,000","28,000","25,000","23,000","22,000","22,000","22,000","22,000","22,000","17,000","2,000"
			OtherCapitalStock,,,,,,,,,,,,,,,,,,"0","0","0"
		AdditionalPaidInCapital,"750,742,000","745,936,000","739,862,000","734,170,000","728,128,000","451,433,000","446,228,000","351,188,000","348,072,000","345,027,000","342,628,000","270,136,000","219,045,000","216,931,000","214,220,000","212,050,000","210,863,000","210,196,000","143,153,000","0"
		RetainedEarnings,"-323,615,000","-305,462,000","-285,436,000","-269,775,000","-257,878,000","-247,774,000","-237,953,000","-240,156,000","-227,854,000","-216,244,000","-205,286,000","-195,416,000","-184,853,000","-175,888,000","-166,554,000","-158,897,000","-151,554,000","-144,352,000","-136,546,000","-115,111,000"
		GainsLossesNotAffectingRetainedEarnings,"-756,000","441,000","1,051,000","1,578,000","1,183,000","2,434,000","734,000","-26,000","-1,200,000","-153,000","-1,135,000",,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,"65,866,000",,
TotalCapitalization,"426,408,000","440,952,000","455,514,000","466,010,000","471,469,000","206,125,000","210,948,000","118,664,000","126,654,000","136,245,000","143,800,000","82,289,000","41,787,000","48,688,000","55,274,000","53,175,000","59,331,000","70,212,000","12,326,000","22,820,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,"128,585,000"
CommonStockEquity,"426,408,000","440,952,000","455,514,000","466,010,000","471,469,000","206,125,000","209,041,000","111,034,000","119,046,000","128,658,000","136,235,000","74,745,000","34,215,000","41,065,000","47,688,000","53,175,000","59,331,000","65,866,000","6,624,000","-115,109,000"
CapitalLeaseObligations,"45,449,000","21,892,000","22,219,000","22,532,000","22,823,000","23,125,000","23,325,000","23,187,000","23,046,000",,,,,,,,,,,
NetTangibleAssets,"407,393,000","420,786,000","434,237,000","443,715,000","449,072,000","181,949,000","186,085,000","88,334,000","97,017,000","104,998,000","113,053,000","71,384,000","30,709,000","37,408,000","43,868,000","49,191,000","55,182,000","65,866,000","6,624,000","13,476,000"
WorkingCapital,"401,933,000","411,978,000","428,239,000","438,765,000","445,952,000","179,802,000","186,836,000","95,341,000","104,528,000","112,828,000","120,476,000","75,368,000","34,921,000","41,371,000","47,459,000","47,342,000","53,827,000","69,538,000","9,564,000","24,288,000"
InvestedCapital,"426,408,000","440,952,000","457,507,000","473,726,000","479,163,000","213,798,000","216,692,000","118,664,000","126,654,000","136,320,000","143,875,000","82,364,000","41,862,000","48,688,000","55,274,000","60,780,000","67,794,000","75,248,000","15,952,000","-104,866,000"
TangibleBookValue,"407,393,000","420,786,000","434,237,000","443,715,000","449,072,000","181,949,000","186,085,000","88,334,000","97,017,000","104,998,000","113,053,000","71,384,000","30,709,000","37,408,000","43,868,000","49,191,000","55,182,000","65,866,000","6,624,000","-115,109,000"
TotalDebt,"45,449,000","21,892,000","24,212,000","30,248,000","30,517,000","30,798,000","30,976,000","30,817,000","30,654,000","7,662,000","7,640,000","7,619,000","7,647,000","7,623,000","7,586,000","7,605,000","8,463,000","9,382,000","9,328,000","10,243,000"
ShareIssued,"36,899,156","36,768,035","36,574,132","36,454,369","36,294,928","31,796,544","31,583,509","28,381,280","28,243,442","28,112,201","27,967,713","24,894,019","22,491,447","22,369,036","22,151,410","21,980,681","21,823,282","21,707,041","20,244,360","20,244,360"
OrdinarySharesNumber,"36,899,156","36,768,035","36,574,132","36,454,369","36,294,928","31,796,544","31,583,509","28,381,280","28,243,442","28,112,201","27,967,713","24,894,019","22,491,447","22,369,036","22,151,410","21,980,681","21,823,282","21,707,041","20,244,360","20,244,360"
