name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,12/31/2011
TotalAssets,"1,854,600,000","1,879,800,000","1,963,500,000","1,956,000,000","1,991,900,000","2,036,000,000","2,114,900,000","2,106,200,000","2,174,600,000","2,084,300,000","2,121,700,000","2,184,500,000","2,249,600,000","2,225,200,000","2,276,200,000","2,272,200,000","2,310,700,000","2,231,200,000","2,208,300,000","2,177,000,000","2,160,600,000","2,156,300,000","2,224,200,000","2,239,200,000","2,319,000,000","2,243,500,000","2,245,500,000","2,269,600,000","2,288,200,000","2,329,900,000","2,295,200,000","2,283,700,000","2,295,500,000","2,285,200,000","1,845,200,000","1,518,200,000","1,490,000,000","1,437,300,000","1,438,400,000","1,424,900,000","2,544,000,000"
	CurrentAssets,"219,600,000","234,400,000","196,900,000","176,200,000","201,600,000","229,100,000","303,000,000","277,300,000","325,600,000","222,600,000","237,200,000","234,900,000","458,100,000","404,200,000","174,800,000","167,300,000","195,600,000","309,100,000","239,800,000","159,000,000","130,600,000","138,300,000","144,600,000","143,200,000","157,900,000","152,500,000","152,900,000","183,300,000","179,200,000","175,900,000","175,000,000","183,800,000","190,100,000","171,400,000","149,700,000","71,100,000","74,600,000","63,400,000","70,400,000","83,800,000","275,000,000"
		CashCashEquivalentsAndShortTermInvestments,"33,700,000","70,000,000","26,500,000","19,900,000","32,000,000","57,200,000","117,100,000","96,200,000","131,600,000","15,200,000","7,200,000","5,500,000","3,000,000","11,400,000","7,500,000","9,500,000","26,500,000","68,900,000","13,300,000","11,000,000","15,300,000","2,200,000","5,800,000","6,400,000","3,500,000","1,300,000","4,100,000","2,300,000","3,400,000","2,800,000","9,200,000","6,200,000","5,500,000","3,300,000","4,100,000","700,000","1,200,000","1,100,000","4,100,000","2,500,000","22,000,000"
			CashAndCashEquivalents,"33,700,000","70,000,000","26,500,000","19,900,000","32,000,000","57,200,000","117,100,000","96,200,000","131,600,000","15,200,000","7,200,000","5,500,000","3,000,000","11,400,000","7,500,000","9,500,000","26,500,000","68,900,000","13,300,000","11,000,000","15,300,000","2,200,000","5,800,000","6,400,000","3,500,000","1,300,000","4,100,000","2,300,000","3,400,000","2,800,000","9,200,000","6,200,000","5,500,000","3,300,000","4,100,000","700,000","1,200,000","1,100,000","4,100,000","2,500,000","22,000,000"
				CashFinancial,"33,700,000",,"26,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"50,700,000","40,500,000","42,600,000","41,500,000","47,100,000","57,700,000","68,500,000","62,000,000","59,300,000","89,400,000","96,500,000","98,400,000","123,100,000","95,800,000","69,900,000","74,600,000","92,100,000","95,200,000","93,200,000","77,500,000","71,400,000","72,200,000","78,900,000","61,700,000","76,000,000","80,400,000","64,800,000","70,900,000","61,600,000","64,800,000","57,000,000","62,500,000","54,800,000","59,300,000","51,600,000","6,800,000","9,500,000","8,200,000","7,700,000","7,300,000","173,000,000"
			AccountsReceivable,"37,600,000","28,900,000","24,400,000","24,800,000","33,200,000","43,500,000","52,700,000","48,000,000","44,300,000","43,400,000","67,800,000","70,000,000","68,900,000","49,600,000","60,300,000","54,700,000","37,500,000","34,100,000","34,200,000","39,700,000","30,000,000","32,100,000","38,400,000","29,800,000","38,000,000","38,600,000","36,600,000","43,800,000","35,400,000","33,100,000","29,400,000","41,200,000","32,900,000","36,500,000","42,200,000","6,800,000","9,500,000","8,200,000",,"7,300,000","173,000,000"
				GrossAccountsReceivable,"38,900,000","30,200,000","26,300,000","27,100,000","36,500,000","46,800,000","56,800,000","52,100,000","45,800,000","46,100,000",,,,,,,,,,,,"33,100,000",,,,"40,300,000",,,,"34,800,000",,,,"37,800,000",,,,"9,800,000",,,
				AllowanceForDoubtfulAccountsReceivable,"-1,300,000","-1,300,000","-1,900,000","-2,300,000","-3,300,000","-3,300,000","-4,100,000","-4,100,000","-1,500,000","-2,700,000",,,,,,,,,,,,"-1,000,000",,,,"-1,700,000",,,,"-1,700,000",,,,"-1,300,000",,,,"-1,600,000",,,
			TaxesReceivable,,,,,,,,,,,,,,"25,400,000",,,"25,700,000","27,700,000","25,900,000","9,800,000","10,300,000","10,600,000","11,500,000","5,700,000","11,600,000","14,000,000","4,200,000","4,200,000","2,800,000","6,700,000","4,900,000","0","0","3,000,000","9,400,000",,,,,,
