name,ttm,03/31/2022
OperatingCashFlow,,"-3,321,000"
	CashFlowFromContinuingOperatingActivities,,"-3,321,000"
		NetIncomeFromContinuingOperations,,"-17,499,000"
		OperatingGainsLosses,,"105,000"
			GainLossOnInvestmentSecurities,,"-48,000"
			EarningsLossesFromEquityInvestments,,"153,000"
		DepreciationAmortizationDepletion,,"147,000"
			DepreciationAndAmortization,,"147,000"
				Depreciation,,"147,000"
		AssetImpairmentCharge,,"4,000"
		StockBasedCompensation,,"9,514,000"
		ChangeInWorkingCapital,,"4,408,000"
			ChangeInPrepaidAssets,,"1,278,000"
			ChangeInPayablesAndAccruedExpense,,"3,024,000"
				ChangeInPayable,,"120,000"
					ChangeInAccountPayable,,"120,000"
				ChangeInAccruedExpense,,"2,904,000"
			ChangeInOtherCurrentLiabilities,,"106,000"
InvestingCashFlow,,"-103,973,000"
	CashFlowFromContinuingInvestingActivities,,"-103,973,000"
		NetPPEPurchaseAndSale,,"-103,973,000"
			PurchaseOfPPE,,"-103,973,000"
FinancingCashFlow,,"-3,052,000"
	CashFlowFromContinuingFinancingActivities,,"-3,052,000"
		NetIssuancePaymentsOfDebt,,"0"
			NetLongTermDebtIssuance,,"0"
				LongTermDebtIssuance,,"0"
		NetCommonStockIssuance,,"-3,052,000"
			CommonStockPayments,,"-3,052,000"
EndCashPosition,,"99,495,000"
	ChangesInCash,,"-110,346,000"
	BeginningCashPosition,,"209,841,000"
IncomeTaxPaidSupplementalData,,"0"
InterestPaidSupplementalData,,"0"
CapitalExpenditure,,"-103,973,000"
IssuanceOfDebt,,"0"
RepurchaseOfCapitalStock,,"-3,052,000"
FreeCashFlow,,"-107,294,000"
