name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988
TotalRevenue,"8,929,000,000","2,346,000,000","2,131,000,000","2,213,000,000","2,239,000,000","1,915,000,000","1,925,000,000","1,904,000,000","1,625,000,000","1,601,000,000","1,692,000,000","1,883,000,000","1,918,000,000","1,667,000,000","1,724,000,000","1,818,000,000","1,824,000,000","1,691,000,000","1,606,000,000","1,703,000,000","1,597,000,000","1,478,000,000","1,383,000,000","1,518,000,000","1,545,000,000","1,231,000,000","1,268,000,000","1,461,000,000","1,414,000,000","1,207,000,000","1,261,000,000","1,382,000,000","1,355,000,000","1,278,000,000","1,278,000,000","1,320,000,000","1,347,000,000","1,350,000,000","1,159,000,000","1,276,000,000","1,391,000,000","1,346,000,000","1,196,000,000","1,450,000,000","1,451,000,000","1,238,000,000","1,168,000,000","1,186,000,000","1,378,000,000","1,265,000,000","1,162,000,000","1,348,000,000","1,219,000,000","1,074,000,000","1,291,000,000","1,629,000,000","1,574,000,000","1,353,000,000","1,304,000,000","1,268,000,000","1,534,000,000","1,324,000,000","-4,075,000,000","1,661,000,000","1,722,000,000","1,601,000,000","1,713,000,000","1,618,000,000","1,590,000,000","1,402,000,000","1,484,000,000","1,541,000,000","1,441,000,000","1,209,000,000","1,275,000,000","1,349,000,000","1,239,000,000","1,133,000,000","1,174,000,000","1,306,000,000","1,285,000,000","1,107,000,000","1,165,000,000","1,291,000,000","1,239,000,000","1,067,000,000","1,107,000,000","1,281,000,000","2,552,000,000","1,257,000,000","1,275,000,000","1,333,000,000","1,310,000,000","1,130,000,000","1,262,000,000","1,324,000,000","1,286,000,000","1,137,000,000","1,243,000,000","1,238,000,000","1,017,000,000","875,000,000","1,002,000,000","1,025,000,000","956,000,000","849,000,000","964,000,000","927,000,000","877,000,000","844,000,000","886,000,000","936,000,000","852,000,000","677,000,000","754,000,000","785,000,000","754,000,000","651,000,000","734,000,000","786,000,000","732,000,000","626,000,000","659,000,000","759,000,000","745,000,000","620,000,000","769,000,000","823,000,000","771,000,000","748,000,000","871,000,000","743,000,000","721,000,000","665,000,000","704,000,000","760,000,000","735,000,000","632,000,000"
	OperatingRevenue,"8,929,000,000","2,346,000,000","2,131,000,000","2,213,000,000","2,239,000,000","1,915,000,000","1,925,000,000","1,904,000,000","1,625,000,000","1,601,000,000","1,692,000,000","1,883,000,000","1,918,000,000","1,667,000,000","1,724,000,000","1,818,000,000","1,824,000,000","1,691,000,000","1,606,000,000","1,703,000,000","1,597,000,000","1,478,000,000","1,383,000,000","1,518,000,000","1,545,000,000","1,231,000,000","1,268,000,000","1,461,000,000","1,414,000,000","1,207,000,000","1,261,000,000","1,382,000,000","1,355,000,000","1,278,000,000","1,278,000,000","1,320,000,000","1,347,000,000","1,350,000,000","1,159,000,000","1,276,000,000","1,391,000,000","1,346,000,000","1,196,000,000","1,450,000,000","1,451,000,000","1,238,000,000","1,168,000,000","1,186,000,000","1,378,000,000","1,265,000,000","1,162,000,000","1,348,000,000","1,219,000,000","1,074,000,000","1,291,000,000","1,629,000,000","1,574,000,000","1,353,000,000","1,304,000,000","1,268,000,000","1,534,000,000","1,324,000,000","-4,075,000,000","1,661,000,000","1,722,000,000","1,601,000,000","1,713,000,000","1,618,000,000","1,590,000,000","1,402,000,000","1,484,000,000","1,541,000,000","1,441,000,000","1,209,000,000","1,275,000,000","1,349,000,000","1,239,000,000","1,133,000,000","1,174,000,000","1,306,000,000","1,285,000,000","1,107,000,000","1,165,000,000","1,291,000,000","1,239,000,000","1,067,000,000","1,107,000,000","1,281,000,000","2,552,000,000","1,257,000,000","1,275,000,000","1,333,000,000","1,310,000,000","1,130,000,000","1,262,000,000","1,324,000,000","1,286,000,000","1,137,000,000","1,243,000,000","1,238,000,000","1,017,000,000","875,000,000","1,002,000,000","1,025,000,000","956,000,000","849,000,000","964,000,000","927,000,000","877,000,000","844,000,000","886,000,000","936,000,000","852,000,000","677,000,000","754,000,000","785,000,000","754,000,000","651,000,000","734,000,000","786,000,000","732,000,000","626,000,000","659,000,000","759,000,000","745,000,000","620,000,000","769,000,000","823,000,000","771,000,000","748,000,000","871,000,000","743,000,000","721,000,000","665,000,000","704,000,000","760,000,000","735,000,000","632,000,000"
CostOfRevenue,"6,537,000,000","1,727,000,000","1,572,000,000","1,617,000,000","1,621,000,000","1,471,000,000","1,441,000,000","1,427,000,000","1,282,000,000","1,295,000,000","1,309,000,000","1,422,000,000","1,478,000,000","1,342,000,000","1,313,000,000","1,370,000,000","1,406,000,000","1,336,000,000","1,210,000,000","1,279,000,000","1,188,000,000","1,135,000,000","1,064,000,000","1,144,000,000","1,129,000,000","959,000,000","972,000,000","1,121,000,000","1,106,000,000","998,000,000","1,018,000,000","1,131,000,000","1,107,000,000","1,044,000,000","1,045,000,000","1,067,000,000","1,080,000,000","1,137,000,000","989,000,000","1,074,000,000","1,152,000,000","1,160,000,000","966,000,000","1,133,000,000","1,172,000,000","1,036,000,000","968,000,000","950,000,000","1,094,000,000","1,029,000,000","1,001,000,000","1,068,000,000","969,000,000","916,000,000","1,102,000,000","1,373,000,000","1,327,000,000","1,161,000,000","1,152,000,000","1,061,000,000","1,288,000,000","1,131,000,000","-3,327,000,000","1,368,000,000","1,426,000,000","1,332,000,000","1,405,000,000","1,315,000,000","1,278,000,000","1,167,000,000","1,190,000,000","1,244,000,000","1,178,000,000","1,037,000,000","1,045,000,000","1,127,000,000","1,024,000,000","974,000,000","1,055,000,000","1,097,000,000","1,043,000,000","935,000,000","981,000,000","1,046,000,000","1,014,000,000","896,000,000","1,011,000,000","1,036,000,000","996,000,000","972,000,000","1,140,000,000","931,000,000","935,000,000","818,000,000","1,108,000,000","1,012,000,000","938,000,000","886,000,000","1,184,000,000","908,000,000","739,000,000","615,000,000","850,000,000","715,000,000","669,000,000","600,000,000","809,000,000","653,000,000","608,000,000","600,000,000","749,000,000","675,000,000","616,000,000","496,000,000","543,000,000","584,000,000","565,000,000","488,000,000","543,000,000","582,000,000","546,000,000","466,000,000","492,000,000","547,000,000","539,000,000","462,000,000","556,000,000","564,000,000","515,000,000","497,000,000",,,,,,,,
GrossProfit,"2,392,000,000","619,000,000","559,000,000","596,000,000","618,000,000","444,000,000","484,000,000","477,000,000","343,000,000","306,000,000","383,000,000","461,000,000","440,000,000","325,000,000","411,000,000","448,000,000","418,000,000","355,000,000","396,000,000","424,000,000","409,000,000","343,000,000","319,000,000","374,000,000","416,000,000","272,000,000","296,000,000","340,000,000","308,000,000","209,000,000","243,000,000","251,000,000","248,000,000","234,000,000","233,000,000","253,000,000","267,000,000","213,000,000","170,000,000","202,000,000","239,000,000","186,000,000","230,000,000","317,000,000","279,000,000","202,000,000","200,000,000","236,000,000","284,000,000","236,000,000","161,000,000","280,000,000","250,000,000","158,000,000","189,000,000","256,000,000","247,000,000","192,000,000","152,000,000","207,000,000","246,000,000","193,000,000","-748,000,000","293,000,000","296,000,000","269,000,000","308,000,000","303,000,000","312,000,000","235,000,000","294,000,000","297,000,000","263,000,000","172,000,000","230,000,000","222,000,000","215,000,000","159,000,000","119,000,000","209,000,000","242,000,000","172,000,000","184,000,000","245,000,000","225,000,000","171,000,000","96,000,000","245,000,000","1,556,000,000","285,000,000","135,000,000","402,000,000","375,000,000","312,000,000","154,000,000","312,000,000","348,000,000","251,000,000","59,000,000","330,000,000","278,000,000","260,000,000","152,000,000","310,000,000","287,000,000","249,000,000","155,000,000","274,000,000","269,000,000","244,000,000","137,000,000","261,000,000","236,000,000","181,000,000","211,000,000","201,000,000","189,000,000","163,000,000","191,000,000","204,000,000","186,000,000","160,000,000","167,000,000","212,000,000","206,000,000","158,000,000","213,000,000","259,000,000","256,000,000","251,000,000",,,,,,,,
OperatingExpense,"812,000,000","179,000,000","236,000,000","204,000,000","193,000,000","146,000,000","212,000,000","185,000,000","175,000,000","232,000,000","214,000,000","186,000,000","213,000,000","209,000,000","189,000,000","193,000,000","215,000,000","228,000,000","246,000,000","197,000,000","219,000,000","173,000,000","183,000,000","167,000,000","176,000,000","156,000,000","158,000,000","144,000,000","152,000,000","151,000,000","139,000,000","144,000,000","175,000,000","126,000,000","129,000,000","147,000,000","149,000,000","156,000,000","154,000,000","143,000,000","149,000,000","164,000,000","142,000,000","140,000,000","160,000,000","141,000,000","266,000,000","152,000,000","156,000,000","147,000,000","159,000,000","156,000,000","154,000,000","154,000,000","150,000,000","173,000,000","189,000,000","171,000,000","159,000,000","125,000,000","174,000,000","159,000,000","-273,000,000","124,000,000","111,000,000","144,000,000","73,000,000","156,000,000","139,000,000","4,480,000,000","127,000,000","139,000,000","141,000,000","128,000,000","108,000,000","113,000,000","134,000,000","117,000,000","109,000,000","2,505,000,000","146,000,000","136,000,000","142,000,000","151,000,000","144,000,000","158,000,000","225,000,000","159,000,000","937,000,000","180,000,000","3,000,000","222,000,000","218,000,000","203,000,000","1,522,000,000","200,000,000","213,000,000","196,000,000","86,000,000","235,000,000","173,000,000","183,000,000","56,000,000","182,000,000","1,049,000,000","180,000,000","52,000,000","152,000,000","154,000,000","172,000,000","-42,000,000","153,000,000","141,000,000","248,000,000","138,000,000","131,000,000","116,000,000","143,000,000","150,000,000","133,000,000","122,000,000","123,000,000","932,000,000","143,000,000","145,000,000","151,000,000","220,000,000","158,000,000","154,000,000","153,000,000",,,,,,,,
	SellingGeneralAndAdministration,"767,000,000","184,000,000","209,000,000","186,000,000","188,000,000","174,000,000","171,000,000","163,000,000","151,000,000","179,000,000","171,000,000","164,000,000","181,000,000","182,000,000","169,000,000","159,000,000","187,000,000","185,000,000","163,000,000","160,000,000","155,000,000","142,000,000","158,000,000","141,000,000","151,000,000","134,000,000","136,000,000","130,000,000","130,000,000","129,000,000","115,000,000","110,000,000","130,000,000","132,000,000","135,000,000","128,000,000","134,000,000","133,000,000","129,000,000","115,000,000","128,000,000","137,000,000","130,000,000","119,000,000","141,000,000","135,000,000","131,000,000","123,000,000","138,000,000","124,000,000","147,000,000","140,000,000","134,000,000","130,000,000","165,000,000","157,000,000","172,000,000","142,000,000","142,000,000","110,000,000","158,000,000","158,000,000","-284,000,000","141,000,000","140,000,000","131,000,000","156,000,000","144,000,000","141,000,000","124,000,000","155,000,000","131,000,000","129,000,000","115,000,000","114,000,000","115,000,000","116,000,000","114,000,000","120,000,000","131,000,000","144,000,000","127,000,000","128,000,000","141,000,000","128,000,000","127,000,000","105,000,000","143,000,000","146,000,000","148,000,000","109,000,000","167,000,000","166,000,000","150,000,000","125,000,000","152,000,000","166,000,000","144,000,000","110,000,000","190,000,000","134,000,000","146,000,000","-802,000,000","145,000,000","1,017,000,000","149,000,000","58,000,000","121,000,000","123,000,000","142,000,000","-71,000,000","123,000,000","113,000,000","221,000,000","103,000,000","102,000,000","95,000,000","115,000,000","117,000,000","102,000,000","92,000,000","93,000,000","897,000,000","110,000,000","106,000,000","112,000,000","179,000,000","111,000,000","111,000,000","112,000,000",,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131,000,000","123,000,000","138,000,000","124,000,000","147,000,000","140,000,000","134,000,000","130,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","12,000,000","5,000,000","6,000,000","6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131,000,000","123,000,000","138,000,000","124,000,000","135,000,000","135,000,000","128,000,000","124,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,000,000",,"137,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
