name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
TotalRevenue,"5,016,500,000","1,155,700,000","1,284,800,000","1,286,300,000","1,289,700,000","1,210,000,000","1,271,800,000","1,258,500,000","1,114,700,000","1,190,000,000","1,307,700,000","1,306,900,000","1,340,500,000","1,337,000,000","1,401,600,000","1,387,800,000","1,411,100,000","1,389,400,000","1,438,300,000","1,404,700,000","1,378,900,000","1,302,400,000","1,371,700,000","1,377,800,000","1,375,700,000","1,297,700,000","1,380,000,000","1,399,200,000","1,383,600,000","1,320,900,000","1,409,900,000","1,440,900,000","1,405,600,000","1,350,800,000","1,421,900,000","1,408,800,000","1,385,900,000","1,325,400,000","1,424,700,000","1,421,600,000","1,425,100,000","1,393,400,000","1,431,300,000","1,410,800,000","1,366,300,000","1,283,000,000","1,357,000,000","1,329,600,000","1,273,400,000","1,232,700,000","1,314,000,000","1,314,100,000","1,254,300,000","1,201,200,000","1,291,600,000","1,377,400,000","1,347,100,000","1,265,900,000","1,309,100,000","1,257,200,000","1,202,900,000","1,131,000,000","1,173,200,000","1,140,400,000","1,078,300,000","1,050,600,000","996,975,000","996,975,000","996,975,000","996,975,000","886,900,000","886,900,000","886,900,000","886,900,000"
	OperatingRevenue,"5,005,200,000","1,100,700,000","1,435,100,000","1,230,300,000","1,239,100,000","1,166,300,000","1,442,500,000","1,214,300,000","1,055,600,000","1,190,000,000","1,008,200,000","1,238,000,000","1,340,500,000","1,337,000,000","1,401,600,000","1,387,800,000","1,411,100,000","1,389,400,000","1,438,300,000","1,404,700,000","1,378,900,000","1,302,400,000","1,338,800,000","1,341,900,000","1,340,100,000","1,264,500,000","1,347,600,000","1,367,200,000","1,350,400,000","1,286,600,000","1,378,000,000","1,401,400,000","1,373,300,000","1,317,200,000","1,391,500,000","1,377,600,000","1,354,300,000","1,290,400,000","1,302,600,000","1,421,600,000","1,425,100,000","1,393,400,000","1,431,300,000","1,410,800,000","1,366,300,000","998,000,000","1,357,000,000","1,329,600,000","1,273,400,000","1,232,700,000","1,314,000,000","1,314,100,000","1,254,300,000","1,201,200,000","1,291,600,000","1,377,400,000","1,347,100,000","1,265,900,000","1,309,100,000","1,257,200,000","1,202,900,000","1,131,000,000","1,173,200,000","1,140,400,000","1,078,300,000","1,050,600,000","996,975,000","996,975,000","996,975,000","996,975,000","886,900,000","886,900,000","886,900,000","886,900,000"
CostOfRevenue,"2,845,500,000","655,100,000","715,300,000","720,100,000","755,000,000","706,000,000","759,200,000","721,700,000","662,200,000","683,400,000","756,500,000","768,600,000","776,400,000","785,000,000","833,800,000","812,400,000","829,200,000","825,400,000","870,900,000","841,100,000","842,900,000","800,500,000","845,800,000","822,900,000","821,900,000","779,400,000","811,000,000","817,200,000","799,400,000","771,800,000","831,900,000","840,500,000","827,800,000","797,200,000","845,700,000","818,200,000","811,700,000","759,400,000","817,400,000","796,300,000","797,500,000","783,000,000","792,400,000","800,000,000","764,200,000","745,400,000","783,500,000","752,600,000","727,700,000","714,600,000","762,900,000","742,600,000","700,300,000","669,100,000","749,400,000","785,600,000","799,400,000","758,600,000","752,700,000","722,200,000","687,900,000","645,600,000","651,100,000","626,000,000","576,700,000","557,800,000",,,,,,,,
GrossProfit,"2,171,000,000","500,600,000","569,500,000","566,200,000","534,700,000","504,000,000","512,600,000","536,800,000","452,500,000","506,600,000","551,200,000","538,300,000","564,100,000","552,000,000","567,800,000","575,400,000","581,900,000","564,000,000","567,400,000","563,600,000","536,000,000","501,900,000","525,900,000","554,900,000","553,800,000","518,300,000","569,000,000","582,000,000","584,200,000","549,100,000","578,000,000","600,400,000","577,800,000","553,600,000","576,200,000","590,600,000","574,200,000","566,000,000","607,300,000","625,300,000","627,600,000","610,400,000","638,900,000","610,800,000","602,100,000","537,600,000","573,500,000","577,000,000","545,700,000","518,100,000","551,100,000","571,500,000","554,000,000","532,100,000","542,200,000","591,800,000","547,700,000","507,300,000","556,400,000","535,000,000","515,000,000","485,400,000","522,100,000","514,400,000","501,600,000","492,800,000",,,,,,,,
OperatingExpense,"1,043,200,000","263,100,000","252,700,000","247,600,000","279,800,000","271,200,000","285,500,000","251,600,000","230,700,000","273,400,000","324,700,000","340,900,000","305,200,000","300,800,000","296,800,000","272,800,000","298,300,000","299,100,000","355,900,000","292,000,000","321,200,000","262,400,000","839,400,000","276,600,000","293,500,000","259,700,000","287,200,000","277,500,000","333,400,000","276,800,000","301,900,000","286,300,000","299,500,000","281,600,000","337,800,000","295,300,000","297,400,000","269,100,000","321,300,000","259,700,000","281,700,000","277,900,000","280,500,000","247,800,000","251,400,000","224,700,000","251,400,000","225,800,000","234,700,000","202,300,000","232,500,000","290,000,000","212,300,000","191,200,000","207,900,000","216,600,000","211,500,000","198,000,000","191,800,000","204,900,000","192,300,000","180,800,000","186,900,000","177,300,000","182,050,000","172,500,000",,,,,,,,
	SellingGeneralAndAdministration,"1,043,200,000","263,100,000","252,700,000","247,600,000","279,800,000","271,200,000","285,500,000","251,600,000","230,700,000","273,400,000","324,700,000","340,900,000","305,200,000","300,800,000","296,800,000","272,800,000","298,300,000","299,100,000","355,900,000","292,000,000","321,200,000","262,400,000","839,400,000","276,600,000","293,500,000","259,700,000","287,200,000","277,500,000","333,400,000","276,800,000","301,900,000","286,300,000","299,500,000","281,600,000","337,800,000","295,300,000","297,400,000","269,100,000","321,300,000","259,700,000","281,700,000","277,900,000","280,500,000","247,800,000","251,400,000","224,700,000","251,400,000","225,800,000","234,700,000","202,300,000","232,500,000","290,000,000","212,300,000","191,200,000","207,900,000","216,600,000","211,500,000","198,000,000","191,800,000","204,900,000","192,300,000","180,800,000","186,900,000","177,300,000","182,050,000","172,500,000",,,,,,,,
OperatingIncome,"1,127,800,000","237,500,000","316,800,000","318,600,000","254,900,000","232,800,000","227,100,000","285,200,000","221,800,000","233,200,000","226,500,000","197,400,000","258,900,000","251,200,000","271,000,000","302,600,000","283,600,000","264,900,000","211,500,000","271,600,000","214,800,000","239,500,000","-313,500,000","278,300,000","260,300,000","258,600,000","281,800,000","304,500,000","250,800,000","272,300,000","276,100,000","314,100,000","278,300,000","272,000,000","238,400,000","295,300,000","276,800,000","296,900,000","286,000,000","365,600,000","345,900,000","332,500,000","358,400,000","363,000,000","350,700,000","312,900,000","322,100,000","351,200,000","311,000,000","315,800,000","318,600,000","281,500,000","341,700,000","340,900,000","334,300,000","375,200,000","336,200,000","309,300,000","364,600,000","330,100,000","322,700,000","304,600,000","335,200,000","337,100,000","319,550,000","320,300,000","-1,721,725,000","996,975,000","996,975,000","996,975,000","886,900,000","886,900,000","886,900,000","886,900,000"
NetNonOperatingInterestIncomeExpense,"-100,300,000","-24,200,000","-25,500,000","-25,300,000","-25,300,000","-28,000,000","-27,800,000","-27,700,000","-28,500,000","-31,300,000","-35,400,000","-35,100,000","-37,600,000","-37,600,000","-37,000,000","-36,800,000","-36,200,000","-34,800,000","-36,800,000","-35,900,000","-34,300,000","-30,200,000","-28,800,000","-40,300,000","-40,300,000","-39,600,000","-38,300,000","-39,200,000","-40,600,000","-38,900,000","-40,300,000","-41,400,000","-40,500,000","-42,900,000","-46,200,000","-44,200,000","-47,300,000","-48,500,000","-44,100,000","-43,200,000","-43,900,000","-42,900,000","-46,000,000","-45,600,000","-42,900,000","-42,200,000","-44,300,000","-44,300,000","-40,600,000","-37,900,000","-37,800,000","-37,400,000","-37,000,000","-36,300,000",,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"1,600,000","600,000","300,000","400,000","300,000","400,000","300,000","500,000","800,000","1,600,000","2,100,000","1,100,000","1,000,000","2,100,000","1,200,000","1,600,000","1,300,000","700,000","1,100,000","1,300,000","1,400,000","1,100,000","800,000","1,100,000","700,000","900,000","2,500,000","3,000,000","2,500,000","2,900,000","2,100,000","1,800,000","2,900,000","4,700,000","3,700,000","4,600,000","700,000","400,000","1,400,000","1,400,000","1,200,000","1,500,000","1,600,000","1,100,000","1,300,000","1,200,000","900,000","500,000","500,000","900,000","1,000,000","1,900,000","2,800,000","3,700,000",,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"101,900,000","24,800,000","25,800,000","25,700,000","25,600,000","28,400,000","28,100,000","28,200,000","29,300,000","32,900,000","37,500,000","36,200,000","38,600,000","39,700,000","38,200,000","38,400,000","37,500,000","35,500,000","37,900,000","37,200,000","35,700,000","31,300,000","29,600,000","41,400,000","41,000,000","40,500,000","40,800,000","42,200,000","43,100,000","41,800,000","42,400,000","43,200,000","43,400,000","47,600,000","49,900,000","48,800,000","48,000,000","48,900,000","45,500,000","44,600,000","45,100,000","44,400,000","47,600,000","46,700,000","44,200,000","43,400,000","45,200,000","44,800,000","41,100,000","38,800,000","38,800,000","39,300,000","39,800,000","40,000,000",,,,,,,,,,,,,,,,,,,,
