name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,12/31/2008
OperatingCashFlow,"164,800,000","82,500,000","106,800,000","-20,700,000","-3,800,000","-47,300,000","-18,800,000","120,600,000","103,300,000","72,800,000","62,600,000","82,500,000","66,500,000","-18,500,000","119,800,000","-44,500,000","-49,600,000","31,700,000","91,200,000","-12,200,000","-48,600,000","-32,500,000","48,300,000","-25,500,000","-44,400,000","47,000,000","66,500,000","29,700,000","61,300,000","101,600,000","-38,600,000","-44,200,000","-15,600,000","25,100,000","-39,900,000","36,600,000","21,700,000","29,700,000","100,400,000","84,500,000","-31,700,000","33,300,000","155,900,000","74,000,000","-71,600,000","-103,800,000","-21,900,000","-11,900,000","-113,000,000","-51,900,000","-17,700,000","-51,500,000","286,000,000"
	CashFlowFromContinuingOperatingActivities,"164,800,000","82,500,000","106,800,000","-20,700,000","-3,800,000","-47,300,000","-18,800,000","120,600,000","103,300,000","72,800,000","62,600,000","82,500,000","66,500,000","-18,500,000","119,800,000","-44,500,000","-49,600,000","31,700,000","91,200,000","-12,200,000","-48,600,000","-32,500,000","48,300,000","-25,500,000","-44,400,000","47,000,000","66,500,000","29,700,000","61,300,000","101,600,000","-38,600,000","-44,200,000","-15,600,000","25,100,000","-39,900,000","36,600,000","21,700,000","29,700,000","100,400,000","84,500,000","-31,700,000","33,300,000","155,900,000","74,000,000","-71,600,000","-103,800,000","-21,900,000","-11,900,000","-113,000,000","-51,900,000","-17,700,000","-51,500,000","286,000,000"
		NetIncomeFromContinuingOperations,"433,600,000","163,800,000","106,500,000","50,000,000","113,300,000","25,600,000","-16,500,000","-39,700,000","-25,500,000","16,400,000","26,400,000","10,200,000","16,500,000","29,600,000","700,000","77,700,000","17,400,000","10,600,000","300,000","1,900,000","800,000","15,000,000","-8,400,000","8,400,000","5,400,000","13,500,000","-21,300,000","6,700,000","15,600,000","-2,800,000","4,700,000","-34,800,000","2,500,000","1,400,000","118,000,000","2,800,000","200,000","5,200,000","-10,500,000","16,000,000","15,400,000","24,900,000","11,700,000","-900,000","-18,000,000","-1,600,000","-51,100,000","-16,100,000","-21,700,000","-14,800,000","-48,200,000","-7,300,000","17,500,000"
		OperatingGainsLosses,"28,300,000","-4,900,000","-12,100,000","101,200,000","-55,900,000","-11,000,000","7,500,000","67,000,000","-3,800,000","2,300,000","-26,600,000","2,500,000","8,500,000","-2,600,000","4,300,000","1,600,000","-2,300,000","800,000","1,100,000","1,400,000","400,000","100,000","-2,700,000","300,000","15,100,000","-8,200,000","-1,900,000","-1,000,000","200,000","500,000","-500,000",,,,,,,,,,"0","0","200,000","0","500,000","-6,300,000","2,000,000","0","0","0","-700,000","0","0"
			GainLossOnInvestmentSecurities,"8,200,000","-10,300,000","-10,100,000","-2,700,000","31,300,000","9,100,000","-5,600,000","-3,300,000","-4,400,000","2,700,000","-7,600,000","2,500,000","8,500,000","-2,800,000","2,600,000","1,600,000","-2,300,000","800,000","1,100,000","1,400,000","400,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"0"
			PensionAndEmployeeBenefitExpense,"98,600,000","100,000","-100,000","98,400,000","200,000","200,000","11,600,000","53,200,000","700,000","400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000","0",,,"-700,000","0",
		DepreciationAmortizationDepletion,"55,800,000","13,500,000","15,400,000","13,800,000","13,100,000","13,600,000","13,400,000","13,600,000","13,600,000","13,300,000","14,100,000","15,600,000","14,500,000","14,200,000","15,700,000","14,100,000","11,600,000","11,500,000","13,000,000","11,900,000","11,500,000","10,700,000","10,700,000","10,200,000","10,700,000","10,900,000","9,800,000","11,700,000","11,100,000","11,100,000","11,600,000","11,600,000","11,600,000","10,800,000","11,900,000","12,000,000","11,500,000","11,200,000","12,400,000","11,800,000","11,900,000","10,900,000","10,800,000","10,600,000","11,200,000","10,400,000","10,500,000","9,600,000","9,200,000","9,100,000","4,500,000","14,800,000","10,700,000"
			DepreciationAndAmortization,"55,800,000","13,500,000","15,400,000","13,800,000","13,100,000","13,600,000","13,400,000","13,600,000","13,600,000","13,300,000","14,100,000","15,600,000","14,500,000","14,200,000","15,700,000","14,100,000","11,600,000","11,500,000","13,000,000","11,900,000","11,500,000","10,700,000","10,700,000","10,200,000","10,700,000","10,900,000","9,800,000","11,700,000","11,100,000","11,100,000","11,600,000","11,600,000","11,600,000","10,800,000","11,900,000","12,000,000","11,500,000","11,200,000","12,400,000","11,800,000","11,900,000","10,900,000","10,800,000","10,600,000","11,200,000","10,400,000","10,500,000","9,600,000","9,200,000","9,100,000","4,500,000","14,800,000","10,700,000"
		DeferredTax,"-3,000,000","900,000","-8,300,000","-20,200,000","24,600,000","4,500,000","-5,700,000","-22,400,000","-3,100,000","14,600,000","6,600,000","24,400,000","5,100,000","11,900,000","-500,000","100,000","5,200,000","3,000,000","-16,100,000","900,000","-600,000","6,600,000","-8,700,000","2,500,000","2,500,000","8,400,000","-11,800,000","4,200,000","11,800,000","-1,000,000","-1,000,000","-8,900,000","1,300,000","5,100,000","-120,000,000","4,900,000","1,600,000","800,000","-9,500,000","1,100,000","-500,000","-300,000","-11,600,000","-1,300,000","4,600,000","-3,300,000","17,500,000","38,000,000","1,600,000","1,700,000","-21,900,000","-9,200,000","-20,500,000"
