name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001
TotalRevenue,"1,137,300,000","282,600,000","282,500,000","292,200,000","280,000,000","251,900,000","238,700,000","246,300,000","203,200,000","248,700,000","246,900,000","277,100,000","272,000,000","242,100,000","238,900,000","260,500,000","248,600,000","227,300,000","-104,500,000","351,900,000","330,800,000","315,400,000","297,900,000","334,900,000","314,300,000","571,800,000","577,400,000","658,500,000","632,700,000","551,400,000","442,600,000","728,300,000","710,000,000","634,400,000","661,300,000","729,700,000","706,600,000","622,300,000","612,800,000","694,700,000","709,900,000","668,000,000","652,100,000","773,600,000","748,600,000","685,200,000","642,900,000","739,800,000","724,800,000","658,900,000","653,000,000","753,000,000","705,700,000","668,300,000","708,400,000","929,600,000","926,800,000","828,200,000","852,400,000","913,300,000","920,600,000","863,400,000","-1,978,400,000","973,600,000","945,500,000","876,600,000","861,700,000","937,000,000","919,000,000","840,700,000","855,300,000","893,500,000","903,500,000","845,000,000","805,800,000","851,400,000","826,900,000","774,900,000","753,500,000","846,000,000","825,700,000","748,000,000","736,400,000","804,900,000"
	OperatingRevenue,"1,137,300,000","282,600,000","282,500,000","292,200,000","280,000,000","251,900,000","238,700,000","246,300,000","203,200,000","248,700,000","246,900,000","277,100,000","272,000,000","242,100,000","238,900,000","260,500,000","248,600,000","227,300,000","-104,500,000","351,900,000","330,800,000","315,400,000","297,900,000","334,900,000","314,300,000","571,800,000","577,400,000","658,500,000","632,700,000","551,400,000","442,600,000","728,300,000","710,000,000","634,400,000","661,300,000","729,700,000","706,600,000","622,300,000","612,800,000","694,700,000","709,900,000","668,000,000","652,100,000","773,600,000","748,600,000","685,200,000","642,900,000","739,800,000","724,800,000","658,900,000","653,000,000","753,000,000","705,700,000","668,300,000","708,400,000","929,600,000","926,800,000","828,200,000","852,400,000","913,300,000","920,600,000","863,400,000","-1,978,400,000","973,600,000","945,500,000","876,600,000","861,700,000","937,000,000","919,000,000","840,700,000","855,300,000","893,500,000","903,500,000","845,000,000","805,800,000","851,400,000","826,900,000","774,900,000","753,500,000","846,000,000","825,700,000","748,000,000","736,400,000","804,900,000"
CostOfRevenue,"717,000,000","180,400,000","180,000,000","181,500,000","175,100,000","164,400,000","155,900,000","155,100,000","135,400,000","157,400,000","158,300,000","165,400,000","168,600,000","150,700,000","156,800,000","162,600,000","165,900,000","156,500,000","-107,000,000","241,000,000","219,700,000","216,100,000","212,200,000","225,200,000","222,800,000","440,300,000","439,900,000","480,600,000","474,800,000","421,900,000","334,200,000","564,100,000","554,300,000","479,400,000","527,300,000","549,800,000","542,300,000","477,800,000","477,100,000","507,800,000","533,700,000","523,200,000","522,800,000","576,700,000","563,900,000","524,500,000","519,300,000","567,800,000","554,400,000","513,100,000","515,400,000","565,000,000","541,700,000","536,900,000","570,200,000","717,900,000","701,600,000","641,400,000","653,800,000","683,600,000","686,600,000","661,300,000","-1,508,700,000","747,100,000","729,200,000","692,800,000","719,600,000","720,800,000","718,200,000","662,500,000","764,200,000","699,300,000","687,100,000","661,400,000","664,600,000","677,900,000","646,500,000","608,400,000","593,100,000","640,400,000","618,100,000","553,800,000","579,700,000","605,700,000"
GrossProfit,"420,300,000","102,200,000","102,500,000","110,700,000","104,900,000","87,500,000","82,800,000","91,200,000","67,800,000","91,300,000","88,600,000","111,700,000","103,400,000","91,400,000","82,100,000","97,900,000","82,700,000","70,800,000","2,500,000","110,900,000","111,100,000","99,300,000","85,700,000","109,700,000","91,500,000","131,500,000","137,500,000","177,900,000","157,900,000","129,500,000","108,400,000","164,200,000","155,700,000","155,000,000","134,000,000","179,900,000","164,300,000","144,500,000","135,700,000","186,900,000","176,200,000","144,800,000","129,300,000","196,900,000","184,700,000","160,700,000","123,600,000","172,000,000","170,400,000","145,800,000","137,600,000","188,000,000","164,000,000","131,400,000","138,200,000","211,700,000","225,200,000","186,800,000","198,600,000","229,700,000","234,000,000","202,100,000","-469,700,000","226,500,000","216,300,000","183,800,000","142,100,000","216,200,000","200,800,000","178,200,000","91,100,000","194,200,000","216,400,000","183,600,000","141,200,000","173,500,000","180,400,000","166,500,000","160,400,000","205,600,000","207,600,000","194,200,000","156,700,000","199,200,000"
OperatingExpense,"240,300,000","57,100,000","60,900,000","62,300,000","60,000,000","54,400,000","54,500,000","41,000,000","33,000,000","34,800,000","40,000,000","41,300,000","37,400,000","55,600,000","45,300,000","35,300,000","40,900,000","37,500,000","-27,100,000","55,800,000","52,400,000","54,600,000","60,000,000","55,700,000","55,800,000","104,200,000","127,700,000","110,400,000","106,100,000","103,000,000","52,500,000","114,000,000","114,700,000","117,300,000","116,800,000","103,000,000","111,200,000","112,700,000","149,700,000","78,500,000","99,300,000","103,000,000","106,700,000","103,400,000","109,600,000","103,700,000","124,400,000","112,000,000","117,500,000","143,500,000","121,200,000","144,000,000","116,900,000","130,300,000","119,300,000","129,500,000","128,500,000","147,500,000","148,500,000","143,500,000","139,700,000","136,500,000","274,200,000","159,600,000","136,000,000","132,900,000","147,000,000","148,300,000","153,800,000","158,600,000","202,300,000","141,200,000","209,900,000","139,300,000","192,800,000","153,800,000","146,900,000","160,500,000","149,800,000","160,600,000","158,500,000","159,100,000","157,900,000","157,000,000"
	SellingGeneralAndAdministration,"240,300,000","57,100,000","60,900,000","62,300,000","60,000,000","54,400,000","54,500,000","41,000,000","33,000,000","34,800,000","40,000,000","41,300,000","37,400,000","55,600,000","45,300,000","35,300,000","40,900,000","37,500,000","-27,100,000","55,800,000","52,400,000","54,600,000","60,000,000","55,700,000","55,800,000","104,200,000","127,700,000","110,400,000","106,100,000","103,000,000","52,500,000","114,000,000","114,700,000","117,300,000","116,800,000","103,000,000","111,200,000","112,700,000","105,700,000","94,000,000","114,200,000","116,600,000","117,200,000","118,800,000","122,200,000","120,100,000","130,800,000","125,200,000","131,800,000","143,500,000","131,100,000","156,800,000","127,300,000","137,200,000","127,200,000","145,900,000","147,000,000","160,700,000","158,400,000","156,300,000","151,700,000","147,100,000","-325,900,000","173,700,000","151,300,000","144,900,000","158,100,000","158,200,000","167,400,000","170,600,000","172,000,000","151,500,000","162,300,000","148,400,000","148,700,000","151,100,000","146,000,000","157,300,000","150,000,000","160,000,000","156,300,000","158,600,000","146,200,000","150,200,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"5,700,000","5,700,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"5,700,000","5,700,000"
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"5,700,000","5,700,000"
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"5,700,000","5,700,000"
