name,ttm,03/31/2022
OperatingCashFlow,,"-290,266"
	CashFlowFromContinuingOperatingActivities,,"-290,266"
		NetIncomeFromContinuingOperations,,"5,400,380"
		OperatingGainsLosses,,"-5,695,290"
			GainLossOnInvestmentSecurities,,"-5,695,290"
		UnrealizedGainLossOnInvestmentSecurities,,"-72,777"
		ChangeInWorkingCapital,,"77,421"
			ChangeInPrepaidAssets,,"77,146"
			ChangeInPayablesAndAccruedExpense,,"275"
				ChangeInPayable,,"-58,150"
					ChangeInTaxPayable,,"-132,516"
						ChangeInIncomeTaxPayable,,"-132,516"
					ChangeInAccountPayable,,"74,366"
				ChangeInAccruedExpense,,"58,425"
InvestingCashFlow,,"62,500"
	CashFlowFromContinuingInvestingActivities,,"62,500"
		NetOtherInvestingChanges,,"62,500"
FinancingCashFlow,,"0"
	CashFlowFromContinuingFinancingActivities,,"0"
		NetIssuancePaymentsOfDebt,,"0"
			NetLongTermDebtIssuance,,"0"
				LongTermDebtIssuance,,"0"
		NetCommonStockIssuance,,"0"
			CommonStockIssuance,,"0"
EndCashPosition,,"521,490"
	ChangesInCash,,"-227,766"
	BeginningCashPosition,,"749,256"
IssuanceOfCapitalStock,,"0"
IssuanceOfDebt,,"0"
FreeCashFlow,,"-290,266"
