name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995
TotalAssets,"2,441,900,000","2,420,300,000","2,419,800,000","2,423,300,000","1,587,500,000","1,584,900,000","1,590,600,000","1,578,100,000","1,655,200,000","1,471,700,000","1,450,200,000","1,489,400,000","1,485,700,000","1,466,500,000","1,487,300,000","1,485,100,000","1,547,200,000","1,542,500,000","1,532,000,000","1,511,000,000","1,487,500,000","1,173,700,000","1,204,900,000","1,243,500,000","1,330,000,000","1,290,000,000","1,119,900,000","1,114,800,000","1,134,100,000","1,186,600,000","1,228,600,000","1,263,900,000","1,247,700,000","1,224,400,000","940,800,000","919,000,000","905,100,000","886,700,000","872,400,000","842,200,000","860,600,000","845,200,000","838,100,000","906,000,000","883,500,000","850,400,000","810,500,000","759,200,000","771,500,000","791,900,000","747,600,000","732,600,000","688,200,000","728,700,000","765,400,000","840,500,000","867,900,000","775,000,000","748,700,000","726,000,000","711,600,000","696,600,000","686,800,000","694,000,000","697,900,000","690,800,000","713,300,000","708,900,000","710,700,000","717,100,000","680,800,000","659,200,000","651,200,000","635,900,000","573,000,000","537,100,000","508,900,000","491,200,000","470,600,000","478,000,000","454,200,000","497,900,000","478,300,000","461,600,000","446,800,000","441,700,000","416,100,000","424,600,000","420,200,000","436,600,000","440,100,000","437,000,000","443,300,000","474,700,000","477,500,000","453,000,000","448,700,000","391,000,000","378,900,000","362,300,000","365,600,000","380,600,000","358,800,000","352,600,000","347,000,000","347,000,000"
	CurrentAssets,"638,000,000","594,600,000","609,800,000","578,700,000","428,100,000","396,400,000","422,400,000","404,400,000","473,700,000","427,500,000","418,900,000","441,700,000","430,400,000","429,200,000","421,700,000","406,400,000","435,300,000","433,100,000","433,500,000","419,700,000","403,500,000","364,300,000","363,100,000","405,200,000","477,100,000","444,800,000","510,900,000","494,200,000","506,700,000","519,400,000","562,300,000","575,200,000","560,000,000","537,100,000","456,100,000","446,100,000","423,000,000","382,000,000","362,600,000","336,800,000","340,300,000","327,000,000","314,100,000","326,600,000","325,200,000","312,800,000","303,100,000","298,100,000","296,000,000","299,700,000","252,700,000","239,800,000","215,200,000","228,400,000","232,100,000","251,000,000","276,400,000","247,200,000","246,800,000","242,300,000","243,500,000","235,600,000","238,500,000","238,300,000","250,300,000","242,700,000","257,000,000","250,500,000","243,200,000","231,700,000","229,400,000","218,800,000","213,500,000","202,300,000","179,800,000","177,400,000","171,400,000","166,300,000","164,000,000","169,000,000","155,500,000","193,700,000","182,700,000","178,500,000","176,200,000","175,200,000","164,600,000","162,300,000","154,300,000","159,200,000","155,100,000","151,900,000","154,400,000","156,300,000","161,500,000","150,300,000","152,000,000","157,600,000","158,900,000","144,200,000","144,100,000","150,600,000","147,000,000","143,800,000","136,300,000","137,500,000"
		CashCashEquivalentsAndShortTermInvestments,"56,100,000","74,700,000","73,600,000","65,900,000","63,700,000","54,700,000","66,300,000","63,900,000","126,700,000","103,000,000","84,900,000","87,800,000","83,400,000","93,800,000","90,500,000","73,900,000","96,100,000","106,900,000","100,600,000","97,800,000","99,800,000","107,400,000","89,500,000","143,800,000","200,200,000","186,500,000","268,500,000","257,700,000","267,300,000","290,300,000","286,000,000","291,400,000","277,900,000","272,000,000","222,500,000","212,700,000","181,100,000","151,200,000","117,800,000","88,500,000","85,300,000","76,500,000","61,300,000","62,100,000","77,200,000","87,300,000","80,700,000","91,900,000","69,900,000","56,900,000","6,800,000","6,300,000","3,500,000","11,900,000","10,300,000","9,400,000","5,500,000","4,000,000","8,600,000","8,500,000","9,700,000","13,700,000","7,300,000","2,700,000","8,000,000","5,100,000","6,200,000","2,200,000","2,000,000","4,500,000","6,700,000","11,100,000","2,800,000","3,700,000","7,500,000","6,700,000","7,600,000","15,300,000","16,700,000","6,000,000","11,100,000","50,900,000","33,000,000","21,800,000","21,500,000","23,600,000","12,800,000","9,900,000","9,300,000","15,100,000","5,600,000","3,200,000","6,600,000","6,700,000","2,400,000","1,000,000","2,700,000","37,200,000","30,600,000","22,000,000","18,400,000","30,900,000","28,800,000","14,800,000","4,100,000","5,900,000"
			CashAndCashEquivalents,"56,100,000","74,700,000","73,600,000","65,900,000","63,700,000","54,700,000","66,300,000","63,900,000","126,700,000","103,000,000","84,900,000","87,800,000","83,400,000","93,800,000","90,500,000","73,900,000","96,100,000","106,900,000","100,600,000","97,800,000","99,800,000","107,400,000","89,500,000","143,800,000","200,200,000","186,500,000","268,500,000","257,700,000","267,300,000","290,300,000","286,000,000","291,400,000","277,900,000","272,000,000","222,500,000","212,700,000","181,100,000","151,200,000","117,800,000","88,500,000","85,300,000","76,500,000","61,300,000","62,100,000","77,200,000","87,300,000","80,700,000","91,900,000","69,900,000","56,900,000","6,800,000","6,300,000","3,500,000","11,900,000","10,300,000","9,400,000","5,500,000","4,000,000","8,600,000","8,500,000","9,700,000","13,700,000","7,300,000","2,700,000","8,000,000","5,100,000","6,200,000","2,200,000","2,000,000","4,500,000","6,700,000","11,100,000","2,800,000","3,700,000","7,500,000","6,700,000","7,600,000","15,300,000","16,700,000","6,000,000","11,100,000","50,900,000","33,000,000","21,800,000","21,500,000","23,600,000","12,800,000","9,900,000","9,300,000","15,100,000","5,600,000","3,200,000","6,600,000","6,700,000","2,400,000","1,000,000","2,700,000","37,200,000","30,600,000","22,000,000","18,400,000","30,900,000","28,800,000","14,800,000","4,100,000","5,900,000"
				CashFinancial,"56,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"282,200,000","248,000,000","259,300,000","248,100,000","176,200,000","154,700,000","176,100,000","159,500,000","176,300,000","155,700,000","167,100,000","180,800,000","172,800,000","166,800,000","163,400,000","159,700,000","166,200,000","152,800,000","166,100,000","155,900,000","141,700,000","115,100,000","137,000,000","126,600,000","137,400,000","119,400,000","119,100,000","106,700,000","122,200,000","105,400,000","149,000,000","138,800,000","134,800,000","117,500,000","105,200,000","100,100,000","101,700,000","95,400,000","106,200,000","106,700,000","110,500,000","115,200,000","129,400,000","124,800,000","110,900,000","99,800,000","102,000,000","88,400,000","98,600,000","109,200,000","106,100,000","88,600,000","83,200,000","87,000,000","98,100,000","103,100,000","117,600,000","100,600,000","99,200,000","92,900,000","94,500,000","88,900,000","88,300,000","93,100,000","99,200,000","99,800,000","100,100,000","94,600,000","95,100,000","97,700,000","106,100,000","96,700,000","101,900,000","91,900,000","84,500,000","85,200,000","80,100,000","69,400,000","73,400,000","82,000,000","70,800,000","74,800,000","75,900,000","81,900,000","81,000,000","77,700,000","80,600,000","77,700,000","73,200,000","74,300,000","78,500,000","74,600,000","73,800,000","72,300,000","77,300,000","71,400,000","72,100,000","57,000,000","62,400,000","60,700,000","70,100,000","65,100,000","64,200,000","70,600,000","74,700,000","69,500,000"
			AccountsReceivable,"278,500,000","208,900,000","242,200,000","229,400,000","172,900,000","130,900,000","166,500,000","151,300,000","170,400,000","114,600,000","156,900,000","166,600,000","164,200,000","130,900,000","161,000,000","159,400,000","164,500,000","120,200,000","163,200,000","153,200,000","141,700,000","98,200,000","137,000,000","126,600,000","137,400,000","97,700,000","119,100,000","106,700,000","114,800,000","69,800,000","130,800,000","124,200,000","126,900,000","78,000,000","100,700,000","96,700,000","101,700,000","70,600,000","106,200,000","106,600,000","110,500,000","84,800,000","117,900,000","113,500,000","101,600,000","70,000,000","97,700,000","83,400,000","95,400,000","85,800,000","90,400,000","88,600,000","83,200,000","87,000,000","98,100,000","103,100,000","117,600,000","100,600,000","99,200,000","92,900,000","94,500,000","88,900,000","88,300,000","93,100,000","99,200,000","99,800,000","100,100,000","94,600,000","95,100,000","97,700,000","103,500,000","94,600,000","100,900,000","91,900,000","84,500,000","83,000,000","80,100,000","69,400,000","73,200,000","82,000,000","70,800,000","74,800,000","75,900,000","78,700,000","77,500,000",,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,500,000",,,,"70,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-700,000",,,,"-700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"3,700,000","17,800,000","17,100,000","18,700,000","3,300,000","10,200,000","9,600,000","8,200,000","5,900,000","17,700,000","10,200,000","14,200,000","8,600,000","16,200,000","2,400,000","300,000","1,700,000","7,700,000","2,900,000","2,700,000",,"3,100,000",,,,"3,700,000","0","0","7,400,000","15,700,000","18,200,000","14,600,000","7,900,000","15,300,000","4,500,000","3,400,000",,"5,600,000","0","100,000","0","9,000,000","11,500,000","11,300,000","9,300,000","14,200,000","4,300,000","5,000,000","3,200,000","23,400,000","15,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
