name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,06/30/2005,03/31/2005,12/31/2004
OperatingCashFlow,"94,300,000","-19,000,000","19,800,000","33,400,000","60,100,000","29,100,000","34,100,000","62,500,000","80,800,000","9,400,000","-12,400,000","74,700,000","46,900,000","-39,000,000","9,900,000","63,000,000","68,500,000","1,100,000","500,000","33,200,000","42,800,000","-52,400,000","-7,500,000","71,500,000","66,700,000","4,400,000","2,500,000","68,600,000","58,100,000","-11,800,000","-27,100,000","86,600,000","53,400,000","11,400,000","-3,800,000","70,500,000","44,500,000","-4,700,000","-1,100,000","45,600,000","12,200,000","-12,400,000","-11,900,000","42,800,000","12,100,000","-20,000,000","5,200,000","27,300,000","-8,600,000","-15,800,000","60,100,000","62,200,000","70,500,000","15,700,000","-17,900,000","76,100,000","45,200,000","4,800,000","55,900,000","92,200,000","6,200,000","32,800,000","23,900,000","14,600,000","29,900,000","-11,800,000","74,900,000","-8,100,000","-28,500,000","21,500,000"
	CashFlowFromContinuingOperatingActivities,"94,300,000","-19,000,000","19,800,000","33,400,000","60,100,000","29,100,000","34,100,000","62,500,000","80,800,000","9,400,000","-12,400,000","74,700,000","46,900,000","-39,000,000","9,900,000","63,000,000","68,500,000","1,100,000","500,000","34,000,000","41,700,000","3,600,000","-19,900,000","71,500,000","66,700,000","4,400,000","2,500,000","68,600,000","58,100,000","-11,800,000","-27,100,000","86,600,000","53,400,000","11,400,000","-3,800,000","71,300,000","46,400,000","-4,200,000","600,000","52,300,000","4,000,000","32,400,000","-11,900,000","42,800,000","12,100,000","-20,000,000","5,200,000","27,300,000","-8,600,000","-15,800,000","60,100,000","62,200,000","70,500,000","15,700,000","-17,900,000","76,100,000","45,200,000","4,800,000","55,900,000","92,200,000","6,200,000","32,800,000","23,900,000","14,600,000","29,900,000","-11,800,000","74,900,000","-8,100,000","-28,500,000","21,500,000"
		NetIncomeFromContinuingOperations,"75,800,000","23,600,000","19,400,000","18,400,000","14,400,000","20,900,000","16,700,000","26,700,000","11,200,000","23,800,000","10,300,000","40,200,000","33,700,000","10,900,000","-21,000,000","25,000,000","15,300,000","10,200,000","55,100,000","20,100,000","24,100,000","4,700,000","5,400,000","26,500,000","15,500,000","15,700,000","6,200,000","22,300,000","16,500,000","12,300,000","-20,200,000","26,200,000","18,500,000","9,700,000","1,100,000","16,800,000","16,000,000","7,600,000","-5,000,000","4,300,000","5,900,000","-3,500,000","-11,900,000","-9,600,000","-2,700,000","-13,700,000","-12,100,000","-7,000,000","-3,800,000","-23,700,000","-10,700,000","-10,900,000","-19,000,000","-566,800,000","-400,000,000","17,600,000","20,300,000","5,700,000","-1,600,000","14,600,000","-1,300,000","17,900,000","17,000,000","16,900,000","38,800,000","-1,800,000","-48,800,000","3,600,000","-1,200,000","-9,500,000"
		OperatingGainsLosses,"14,500,000","-600,000","-700,000","-500,000","16,300,000","-500,000","-500,000","600,000","800,000","700,000","700,000","-4,200,000","500,000","2,900,000","300,000","1,000,000","6,800,000","800,000","-8,300,000","800,000","900,000","900,000","800,000","800,000","17,900,000","1,100,000","1,200,000","600,000","100,000","200,000","31,400,000","1,500,000","400,000","200,000","400,000","1,200,000","1,000,000","2,400,000","1,100,000","5,500,000","3,800,000","400,000","1,400,000","4,000,000","0",,,"4,700,000","100,000",,,"0","3,400,000","100,000","-5,000,000","-1,600,000","100,000","-12,200,000","14,000,000","-9,300,000","3,800,000","4,100,000","-1,500,000","-31,300,000","3,300,000",,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,"-2,500,000","0","0","0","0","0","0","-9,000,000",,,,,,,,,,,,,,,,,,,,,,,,"800,000","400,000","0",,,,"100,000",,,,,"100,000","-3,500,000",,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"-2,200,000","-600,000","-700,000","-500,000","-400,000","-500,000","-500,000","600,000","800,000","700,000","700,000","-1,700,000","500,000","2,900,000","300,000","700,000","600,000","800,000","700,000","800,000","900,000","900,000","800,000","800,000","17,900,000","1,100,000","1,200,000","600,000","100,000","200,000","100,000","500,000","400,000","200,000","400,000","1,200,000","1,000,000","1,000,000","1,100,000","500,000","2,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"60,200,000","14,800,000","15,200,000","15,000,000","15,200,000","14,700,000","14,700,000","15,000,000","14,500,000","14,300,000","14,000,000","14,200,000","13,300,000","13,400,000","12,100,000","11,400,000","10,800,000","10,900,000","10,600,000","10,800,000","10,200,000","10,600,000","10,300,000","13,400,000","13,100,000","13,100,000","13,000,000","14,900,000","14,500,000","14,400,000","14,300,000","14,200,000","14,000,000","13,800,000","14,700,000","14,800,000","14,600,000","15,000,000","14,800,000","15,400,000","15,000,000","10,800,000","19,400,000","20,600,000","20,300,000","20,600,000","20,100,000","21,300,000","21,100,000","21,400,000","20,800,000","21,900,000","21,600,000","23,900,000","22,800,000","23,800,000","22,800,000","22,900,000","23,600,000","26,700,000","26,400,000","25,700,000","25,100,000","19,600,000","29,900,000","26,700,000","23,800,000","6,600,000","6,600,000","6,500,000"
			DepreciationAndAmortization,"60,200,000","14,800,000","15,200,000","15,000,000","15,200,000","14,700,000","14,700,000","15,000,000","14,500,000","14,300,000","14,000,000","14,200,000","13,300,000","13,400,000","12,100,000","11,400,000","10,800,000","10,900,000","10,600,000","10,800,000","10,200,000","10,600,000","10,300,000","13,400,000","13,100,000","13,100,000","13,000,000","14,900,000","14,500,000","14,400,000","14,300,000","14,200,000","14,000,000","13,800,000","14,700,000","14,800,000","14,600,000","15,000,000","14,800,000","15,400,000","15,000,000","10,800,000","19,400,000","20,600,000","20,300,000","20,600,000","20,100,000","21,300,000","21,100,000","21,400,000","20,800,000","21,900,000","21,600,000","23,900,000","22,800,000","23,800,000","22,800,000","22,900,000","23,600,000","26,700,000","26,400,000","25,700,000","25,100,000","19,600,000","29,900,000","26,700,000","23,800,000","6,600,000","6,600,000","6,500,000"
				Depreciation,"32,100,000","8,000,000","8,000,000","8,000,000","8,100,000","7,600,000","7,700,000","7,900,000","7,300,000","7,400,000","7,000,000","6,900,000","6,500,000","6,500,000","6,100,000","5,600,000","5,200,000","5,200,000","4,900,000","4,900,000","4,800,000","5,200,000","4,900,000","7,300,000","7,000,000","7,000,000","7,000,000","8,200,000","7,100,000","7,100,000","7,000,000","7,000,000","6,800,000","6,700,000","6,800,000","5,100,000","7,300,000","7,600,000","7,400,000","8,000,000","7,700,000","3,700,000","11,800,000","13,100,000","12,700,000","13,100,000","12,600,000","13,700,000","13,300,000","13,600,000","13,000,000","14,100,000","13,900,000","16,000,000","15,500,000","16,400,000","15,400,000","15,600,000","16,200,000","18,900,000","18,400,000","17,700,000","17,300,000","17,200,000","17,200,000","17,300,000","17,100,000","6,600,000","6,600,000","6,500,000"
				AmortizationCashFlow,"28,100,000","6,800,000","7,200,000","7,000,000","7,100,000","7,100,000","7,000,000","7,100,000","7,200,000","6,900,000","7,000,000","7,300,000","6,800,000","6,900,000","6,000,000","5,800,000","5,600,000","5,700,000","5,700,000","5,900,000","5,400,000","5,400,000","5,400,000","6,100,000","6,100,000","6,100,000","6,000,000","6,700,000","7,400,000","7,300,000","7,300,000","7,200,000","7,200,000","7,100,000","7,900,000","9,700,000","7,300,000","7,400,000","7,400,000","7,400,000","7,300,000","7,100,000","7,600,000","7,500,000","7,600,000","7,500,000","7,500,000","7,600,000","7,800,000","7,800,000","7,800,000","7,800,000","7,700,000","7,900,000","7,300,000","7,400,000","7,400,000","7,300,000","7,400,000","7,800,000","8,000,000","8,000,000","7,800,000","2,400,000","12,700,000","9,400,000","6,700,000","0","0","0"
