name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
TotalRevenue,"125,465,000","27,824,000","38,006,000","35,153,000","0","12,196,000","13,168,000","13,260,000"
	OperatingRevenue,"125,465,000","27,824,000","38,006,000","35,153,000","0","12,196,000","13,168,000","13,260,000"
CostOfRevenue,"30,208,000","7,848,000","8,042,000","8,036,000","6,283,000","4,176,000","3,874,000","4,322,000"
GrossProfit,"95,257,000","19,976,000","29,964,000","27,117,000","18,199,000","8,020,000","9,294,000","8,938,000"
OperatingExpense,"115,165,000","32,555,000","35,591,000","26,407,000","814,565","17,853,000","17,265,000","16,281,000"
	SellingGeneralAndAdministration,"65,065,000","18,871,000","20,698,000","15,302,000","763,902","9,302,000","8,485,000","7,361,000"
		GeneralAndAdministrativeExpense,"40,463,000","11,540,000","14,293,000","8,899,000","763,902","6,636,000","6,052,000","4,958,000"
			OtherGandA,"40,463,000","11,540,000","14,293,000","8,899,000","763,902","6,636,000","6,052,000","4,958,000"
		SellingAndMarketingExpense,"24,602,000","7,331,000","6,405,000","6,403,000","4,462,000","2,666,000","2,433,000","2,403,000"
	ResearchAndDevelopment,"24,877,000","6,633,000","8,126,000","5,033,000","5,086,000","4,468,000","4,474,000","4,355,000"
	DepreciationAmortizationDepletionIncomeStatement,"7,173,000","1,696,000","1,755,000","1,873,000","1,849,000","1,850,000","1,932,000","2,105,000"
		DepreciationAndAmortizationInIncomeStatement,"7,173,000","1,696,000","1,755,000","1,873,000","1,849,000","1,850,000","1,932,000","2,105,000"
	OtherTaxes,,,,,"50,663",,,
	OtherOperatingExpenses,"18,050,000","5,355,000","5,012,000","4,199,000","3,482,000","2,233,000","2,374,000","2,460,000"
OperatingIncome,"-19,908,000","-12,579,000","-5,627,000","710,000","-814,565","-9,833,000","-7,971,000","-7,343,000"
NetNonOperatingInterestIncomeExpense,"-2,089,000","121,000","2,000","-1,515,000","21,803","-693,000","-706,000","-1,163,000"
	InterestIncomeNonOperating,"184,000","139,000","21,000","19,000","21,803","4,000","5,000","22,000"
	InterestExpenseNonOperating,"2,273,000","18,000","19,000","1,534,000","703,000","697,000","711,000","1,185,000"
OtherIncomeExpense,"-39,836,000","4,323,000","39,563,000","-83,695,000","-14,671,670","-51,000","203,000","-1,923,000"
	GainOnSaleOfSecurity,,"4,579,000","14,350,000","-12,261,000","-14,671,670",,,
	SpecialIncomeCharges,,,"25,303,000","-71,318,000",,,"-80,000","-2,000,000"
		RestructuringAndMergernAcquisition,,,"-25,303,000","71,318,000",,,"0","0"
		WriteOff,,,"0","0",,,"80,000","2,000,000"
	OtherNonOperatingIncomeExpenses,"-489,000","-256,000","-90,000","-116,000","-26,000","-51,000","283,000","77,000"
PretaxIncome,"-61,833,000","-8,135,000","33,938,000","-84,500,000","-15,464,432","-10,577,000","-8,474,000","-10,429,000"
TaxProvision,"-229,000","11,000","54,000","36,000","-331,000","14,000","28,000","-70,000"
NetIncomeCommonStockholders,"-61,604,000","-8,146,000","33,884,000","-84,536,000","-15,464,432","-10,591,000","-8,502,000","-10,359,000"
	NetIncome,"-61,604,000","-8,146,000","33,884,000","-84,536,000","-15,464,432","-10,591,000","-8,502,000","-10,359,000"
		NetIncomeIncludingNoncontrollingInterests,"-61,604,000","-8,146,000","33,884,000","-84,536,000","-15,464,432","-10,591,000","-8,502,000","-10,359,000"
			NetIncomeContinuousOperations,"-61,604,000","-8,146,000","33,884,000","-84,536,000","-15,464,432","-10,591,000","-8,502,000","-10,359,000"
DilutedNIAvailtoComStockholders,"-61,604,000","-8,146,000","33,884,000","-84,536,000","-15,464,432","-10,591,000","-8,502,000","-10,359,000"
BasicEPS,,"-0.05","0.19","-0.73","-0.018","-0.067",,"-0.066"
DilutedEPS,,"-0.05","0.19","-0.73","-0.018","-0.067",,"-0.066"
BasicAverageShares,,"179,671,000","175,590,000","116,597,000","157,196,576","157,196,576",,"157,196,576"
DilutedAverageShares,,"179,671,000","175,590,000","116,597,000","157,196,576","157,196,576",,"157,196,576"
TotalOperatingIncomeAsReported,"-19,908,000","-12,579,000","-5,627,000","710,000","-2,412,000","-9,833,000","-7,971,000","-7,343,000"
TotalExpenses,"145,373,000","40,403,000","43,633,000","34,443,000","814,565","22,029,000","21,139,000","20,603,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-61,604,000","-8,146,000","33,884,000","-84,536,000","-15,464,432","-10,591,000","-8,502,000","-10,359,000"
NormalizedIncome,"-22,402,722.559","-10,893,400","-5,705,906.653","-957,000","-792,762","-10,591,000","-8,443,600","-8,373,000"
InterestIncome,"184,000","139,000","21,000","19,000","21,803","4,000","5,000","22,000"
InterestExpense,"2,273,000","18,000","19,000","1,534,000","703,000","697,000","711,000","1,185,000"
NetInterestIncome,"-2,089,000","121,000","2,000","-1,515,000","21,803","-693,000","-706,000","-1,163,000"
EBIT,"-59,560,000","-8,117,000","33,957,000","-82,966,000","-814,565","-9,880,000","-7,763,000","-9,244,000"
EBITDA,"-45,018,000"
ReconciledCostOfRevenue,"22,839,000","6,116,000","5,929,000","8,036,000","6,283,000","2,457,000","2,192,000","4,322,000"
ReconciledDepreciation,"14,542,000","3,428,000","3,868,000","1,873,000","1,849,000","3,569,000","3,614,000","2,105,000"
