name,ttm,03/31/2022,03/31/2021
TotalRevenue,"963,747,000","344,980,000","149,586,000"
	OperatingRevenue,"963,747,000","344,980,000","149,586,000"
CostOfRevenue,"833,857,000","276,815,000","153,767,000"
GrossProfit,"129,890,000","68,165,000","-4,181,000"
OperatingExpense,"85,941,000","34,127,000","13,778,000"
	SellingGeneralAndAdministration,"85,941,000","34,127,000","13,778,000"
OperatingIncome,"43,949,000","34,038,000","-17,959,000"
NetNonOperatingInterestIncomeExpense,"-29,025,000","-9,272,000","-6,035,000"
	InterestExpenseNonOperating,"29,025,000","9,272,000","6,035,000"
OtherIncomeExpense,"-7,756,000","112,000","-2,020,000"
	SpecialIncomeCharges,"-15,689,000","-8,119,000","-2,207,000"
		OtherSpecialCharges,,"8,273,000",
		GainOnSaleOfPPE,"-7,416,000","154,000","-2,207,000"
	OtherNonOperatingIncomeExpenses,"7,933,000","8,231,000","187,000"
PretaxIncome,"7,168,000","24,878,000","-26,014,000"
TaxProvision,"591,000","752,000","-25,000"
NetIncomeCommonStockholders,"7,288,000","23,710,000","-25,998,000"
	NetIncome,"7,288,000","23,710,000","-25,998,000"
		NetIncomeIncludingNoncontrollingInterests,"6,577,000","24,126,000","-25,989,000"
			NetIncomeContinuousOperations,"6,577,000","24,126,000","-25,989,000"
		MinorityInterests,"711,000","-416,000","-9,000"
DilutedNIAvailtoComStockholders,"7,288,000","23,710,000","-25,998,000"
BasicEPS,,"0.678","-0.666"
DilutedEPS,,"0.678","-0.666"
BasicAverageShares,,"34,991,326","39,008,850"
DilutedAverageShares,,"34,991,326","39,008,850"
TotalOperatingIncomeAsReported,"36,533,000","34,192,000","-20,166,000"
TotalExpenses,"919,798,000","310,942,000","167,545,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"7,288,000","23,710,000","-25,998,000"
NormalizedIncome,"21,683,445.452","31,583,582.844","-23,793,120.973"
InterestExpense,"29,025,000","9,272,000","6,035,000"
NetInterestIncome,"-29,025,000","-9,272,000","-6,035,000"
EBIT,"36,193,000","34,150,000","-19,979,000"
EBITDA,"185,635,000"
ReconciledCostOfRevenue,"833,857,000","276,815,000","153,767,000"
ReconciledDepreciation,"149,442,000","44,216,000","35,461,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"7,288,000","23,710,000","-25,998,000"
TotalUnusualItemsExcludingGoodwill,"-15,689,000","-8,119,000","-2,207,000"
TotalUnusualItems,"-15,689,000","-8,119,000","-2,207,000"
NormalizedEBITDA,"201,324,000","86,485,000","17,689,000"
TaxRateForCalcs,"0.082","0.03","0.001"
TaxEffectOfUnusualItems,"-1,293,554.548","-245,417.156","-2,120.973"
