name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
TotalRevenue,"28,408,000","8,715,000","6,846,000","8,367,000","4,480,000","3,999,000","2,035,000","1,461,000","649,000"
	OperatingRevenue,"28,408,000","8,715,000","6,846,000","8,367,000","4,480,000","3,999,000","2,035,000","1,461,000","649,000"
CostOfRevenue,"21,189,000","7,089,000","6,540,000","4,211,000","3,349,000","2,951,000","1,567,000","822,000","486,000"
GrossProfit,"7,219,000","1,626,000","306,000","4,156,000","1,131,000","1,048,000","468,000","639,000","163,000"
OperatingExpense,"76,070,000","27,432,000","22,057,000","19,134,000","7,447,000","10,195,000","9,775,000","6,817,000","5,187,000"
	SellingGeneralAndAdministration,"63,980,000","23,146,000","18,971,000","15,493,000","6,370,000","6,583,000","4,694,000","2,729,000","2,240,000"
		GeneralAndAdministrativeExpense,"28,207,000","11,093,000","8,851,000","6,983,000","1,280,000","2,899,000","2,434,000","1,177,000","869,000"
			SalariesAndWages,,,,,,"574,000",,,
			InsuranceAndClaims,,,,,,"92,000",,,
			OtherGandA,"28,873,000","11,093,000","8,851,000","6,983,000","1,280,000","2,233,000","2,434,000","1,177,000","869,000"
		SellingAndMarketingExpense,"35,773,000","12,053,000","10,120,000","8,510,000","5,090,000","3,684,000","2,260,000","1,552,000","1,371,000"
	ResearchAndDevelopment,"12,090,000","4,286,000","3,086,000","3,641,000","1,077,000","3,612,000","5,081,000","4,088,000","2,947,000"
	OtherTaxes,,,,,,"0",,,
OperatingIncome,"-68,851,000","-25,806,000","-21,751,000","-14,978,000","-6,316,000","-9,147,000","-9,307,000","-6,178,000","-5,024,000"
NetNonOperatingInterestIncomeExpense,"-3,581,000","67,000","-107,000","-286,000","-3,255,000","-2,447,000","-223,000","-84,000","-80,000"
	InterestIncomeNonOperating,,"209,000",,,,"0",,,
	InterestExpenseNonOperating,"3,790,000","142,000","107,000","286,000","3,255,000","2,447,000","223,000","84,000","80,000"
OtherIncomeExpense,"60,778,000","11,188,000","24,375,000","38,015,000","-12,800,000","-2,161,000",,,
	GainOnSaleOfSecurity,"17,729,000","5,586,000","9,454,000","3,669,000","-980,000","-2,161,000",,,
	SpecialIncomeCharges,"35,171,000","4,130,000","13,564,000","29,297,000","-11,820,000","0","-66,000","0","0"
		RestructuringAndMergernAcquisition,"-50,438,000","-4,226,000","-14,394,000","-31,818,000",,"0",,"0",
		ImpairmentOfCapitalAssets,"1,965,000","96,000","213,000","1,656,000",,"0",,"0",
		OtherSpecialCharges,,,"0","865,000","11,820,000",,,,
	OtherNonOperatingIncomeExpenses,,"1,472,000","1,357,000","5,049,000","10,000",,,,
PretaxIncome,"-11,654,000","-14,551,000","2,517,000","22,751,000","-22,371,000","-13,755,000","-9,596,000","-6,262,000","-5,104,000"
TaxProvision,,,,,"0",,,,"0"
NetIncomeCommonStockholders,"-11,654,000","-14,551,000","2,517,000","22,751,000","-22,371,000","-13,755,000","-9,596,000","-6,262,000","-5,104,000"
	NetIncome,"-11,654,000","-14,551,000","2,517,000","22,751,000","-22,371,000","-13,755,000","-9,596,000","-6,262,000","-5,104,000"
		NetIncomeIncludingNoncontrollingInterests,"-11,654,000","-14,551,000","2,517,000","22,751,000","-22,371,000","-13,755,000","-9,596,000","-6,262,000","-5,104,000"
			NetIncomeContinuousOperations,"-11,654,000","-14,551,000","2,517,000","22,751,000","-22,371,000","-13,755,000","-9,596,000","-6,262,000","-5,104,000"
AverageDilutionEarnings,,,,"471,000",,,,"0",
DilutedNIAvailtoComStockholders,"-11,654,000","-14,551,000","2,517,000","23,222,000","-22,371,000","-13,755,000","-9,596,000","-6,262,000","-5,104,000"
BasicEPS,,"-0.1","0.02","0.19","-0.157","-0.097",,"-0.044","-0.036"
DilutedEPS,,"-0.1","0.02","0.15","-0.157","-0.097",,"-0.044","-0.036"
BasicAverageShares,,"142,878,406","142,403,779","119,745,196","142,260,102","142,260,102",,"142,260,102","142,260,102"
DilutedAverageShares,,"142,878,406","161,906,393","153,903,195","142,260,102","142,260,102",,"142,260,102","142,260,102"
TotalOperatingIncomeAsReported,"-70,816,000","-25,902,000","-21,964,000","-16,634,000","-6,316,000","-9,147,000","-9,307,000","-6,178,000","-5,024,000"
TotalExpenses,"97,259,000","34,521,000","28,597,000","23,345,000","10,796,000","13,146,000","11,342,000","7,639,000","5,673,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-11,654,000","-14,551,000","2,517,000","22,751,000","-22,371,000","-13,755,000","-9,596,000","-6,262,000","-5,104,000"
NormalizedIncome,"-64,554,000","-24,267,000","-14,286,140","-1,314,180","-9,571,000","-11,594,000","-9,530,000","-6,262,000","-5,104,000"
InterestIncome,,"209,000",,,,"0",,,
InterestExpense,"3,790,000","142,000","107,000","286,000","3,255,000","2,447,000","223,000","84,000","80,000"
NetInterestIncome,"-3,581,000","67,000","-107,000","-286,000","-3,255,000","-2,447,000","-223,000","-84,000","-80,000"
EBIT,"-7,864,000","-14,409,000","2,624,000","23,037,000","-19,116,000","-11,308,000","-9,373,000","-6,178,000","-5,024,000"
EBITDA,"-4,473,000"
ReconciledCostOfRevenue,"21,189,000","7,089,000","6,540,000","4,211,000","3,349,000","2,951,000","1,567,000","822,000","486,000"
ReconciledDepreciation,"3,391,000","948,000","947,000","846,000","650,000","452,000","380,000","291,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"-11,654,000","-14,551,000","2,517,000","22,751,000","-22,371,000","-13,755,000","-9,596,000","-6,262,000","-5,104,000"
TotalUnusualItemsExcludingGoodwill,"52,900,000","9,716,000","23,018,000","32,966,000","-12,800,000","-2,161,000","-66,000","0","0"
TotalUnusualItems,"52,900,000","9,716,000","23,018,000","32,966,000","-12,800,000","-2,161,000","-66,000","0","0"
NormalizedEBITDA,"-57,373,000","-23,177,000","-19,447,000","-9,083,000","-5,666,000","-8,695,000","-8,927,000","-5,887,000","-5,024,000"
TaxRateForCalcs,"0","0","0.27","0.27","0","0","0","0","0"
TaxEffectOfUnusualItems,"0","0","6,214,860","8,900,820","0","0","0","0","0"
