name,ttm,03/31/2022,12/31/2021,03/31/2021,12/31/2020
OperatingCashFlow,"-75,579,000","-29,665,000","-16,902,000","-13,613,000","-18,062,000"
	CashFlowFromContinuingOperatingActivities,"-75,579,000","-29,665,000","-16,902,000","-13,613,000","-18,062,000"
		NetIncomeFromContinuingOperations,"-71,337,000","-25,208,000","-22,046,000","-12,106,000","-8,864,000"
		DepreciationAmortizationDepletion,"1,002,000","309,000","256,000","204,000","191,000"
			DepreciationAndAmortization,"1,002,000","309,000","256,000","204,000","191,000"
				Depreciation,"1,002,000","309,000","256,000","204,000","191,000"
		StockBasedCompensation,"10,088,000","3,205,000","2,257,000","950,000","531,000"
		OtherNonCashItems,"1,438,000","415,000","404,000","300,000","326,000"
		ChangeInWorkingCapital,"-16,770,000","-8,386,000","2,227,000","-2,961,000","-10,246,000"
			ChangeInReceivables,,,"6,000,000",,"-2,000,000"
				ChangesInAccountReceivables,,,"6,000,000",,"-2,000,000"
			ChangeInPrepaidAssets,"-6,714,000","-3,687,000","63,000","-132,000","-502,000"
			ChangeInPayablesAndAccruedExpense,"2,624,000","-516,000","400,000","1,921,000","-349,000"
				ChangeInPayable,"-1,684,000","-359,000","365,000","2,557,000","257,000"
					ChangeInAccountPayable,"-1,684,000","-359,000","365,000","2,557,000","257,000"
				ChangeInAccruedExpense,"4,308,000","-157,000","35,000","-636,000","-606,000"
			ChangeInOtherCurrentAssets,"-143,000","4,000","-157,000","8,000","-38,000"
			ChangeInOtherCurrentLiabilities,"-1,123,000","-429,000","-363,000","-372,000","-215,000"
			ChangeInOtherWorkingCapital,"-11,414,000","-3,758,000","-3,716,000","-4,386,000","-7,142,000"
InvestingCashFlow,"-215,763,000","-11,717,000","-45,207,000","20,612,000","-59,210,000"
	CashFlowFromContinuingInvestingActivities,"-215,763,000","-11,717,000","-45,207,000","20,612,000","-59,210,000"
		NetPPEPurchaseAndSale,"-3,233,000","-1,561,000","-696,000","-165,000","-456,000"
			PurchaseOfPPE,"-3,233,000","-1,561,000","-696,000","-165,000","-456,000"
		NetInvestmentPurchaseAndSale,"-212,530,000","-10,156,000","-44,511,000","20,777,000","-58,714,000"
			PurchaseOfInvestment,"-407,064,000","-54,571,000","-104,385,000","-19,868,000","-105,597,000"
			SaleOfInvestment,"194,534,000","44,415,000","59,874,000","40,645,000","46,883,000"
FinancingCashFlow,"327,171,000","257,000","-120,000","30,411,000","-61,000"
	CashFlowFromContinuingFinancingActivities,"327,171,000","257,000","-120,000","30,411,000","-61,000"
		NetIssuancePaymentsOfDebt,,,"0",,"0"
			NetLongTermDebtIssuance,,,"0",,"0"
				LongTermDebtIssuance,,,"0",,"0"
		NetPreferredStockIssuance,"-8,000","0","0","29,998,000","-90,000"
			PreferredStockIssuance,"-8,000","0","0","29,998,000","-90,000"
		ProceedsFromStockOptionExercised,"884,000","265,000","101,000","439,000","29,000"
		NetOtherFinancingCharges,"-15,818,000","-8,000","-221,000","-26,000",
EndCashPosition,"103,899,000","103,899,000","145,024,000","68,070,000","30,660,000"
	ChangesInCash,"35,829,000","-41,125,000","-62,229,000","37,410,000","-77,333,000"
	BeginningCashPosition,"68,070,000","145,024,000","207,253,000","30,660,000","107,993,000"
CapitalExpenditure,"-3,233,000","-1,561,000","-696,000","-165,000","-456,000"
IssuanceOfCapitalStock,"-8,000","0","0","29,998,000","-90,000"
IssuanceOfDebt,,,"0",,"0"
FreeCashFlow,"-78,812,000","-31,226,000","-17,598,000","-13,778,000","-18,518,000"
