name,ttm,03/31/2022,06/30/2021,03/31/2021,06/30/2020
TotalRevenue,"4,428,000","2,196,000","561,000","480,000","433,000"
	OperatingRevenue,"4,428,000","2,196,000","561,000","480,000","433,000"
CostOfRevenue,"4,589,000","2,030,000","540,000","514,000","346,000"
GrossProfit,"-161,000","166,000","21,000","-34,000","87,000"
OperatingExpense,"33,404,000","11,478,000","6,070,000","4,259,000","3,172,000"
	SellingGeneralAndAdministration,"12,747,000","4,817,000","2,867,000","1,153,000","593,000"
		GeneralAndAdministrativeExpense,"9,080,000","4,022,000","2,332,000","597,000","309,000"
			OtherGandA,"9,080,000","4,022,000","2,332,000","597,000","309,000"
		SellingAndMarketingExpense,"3,667,000","795,000","535,000","556,000","284,000"
	ResearchAndDevelopment,"20,657,000","6,661,000","3,203,000","3,106,000","2,579,000"
OperatingIncome,"-33,565,000","-11,312,000","-6,049,000","-4,293,000","-3,085,000"
NetNonOperatingInterestIncomeExpense,"79,000","196,000","-112,000","-221,000","-86,000"
	InterestIncomeNonOperating,"256,000","201,000","9,000","1,000","1,000"
	InterestExpenseNonOperating,"177,000","5,000","121,000","222,000","87,000"
OtherIncomeExpense,"48,380,000","749,000","-3,100,000","-2,680,000",
	GainOnSaleOfSecurity,"51,943,000","710,000",,"-2,680,000",
	OtherNonOperatingIncomeExpenses,,"39,000","-3,100,000",,
PretaxIncome,"14,894,000","-10,367,000","-9,261,000","-7,194,000","-3,171,000"
TaxProvision,"5,000","-23,000","12,000","-53,000","26,000"
NetIncomeCommonStockholders,"9,453,000","-10,344,000","-202,120,000","-7,141,000","-3,197,000"
	NetIncome,"14,889,000","-10,344,000","-9,273,000","-7,141,000","-3,197,000"
		NetIncomeIncludingNoncontrollingInterests,"14,889,000","-10,344,000","-9,273,000","-7,141,000","-3,197,000"
			NetIncomeContinuousOperations,"14,889,000","-10,344,000","-9,273,000","-7,141,000","-3,197,000"
	PreferredStockDividends,,,"192,847,000",,
DilutedNIAvailtoComStockholders,"9,453,000","-10,344,000","-202,120,000","-7,141,000","-3,197,000"
BasicEPS,,"-0.06","-1.206","-0.043","-0.019"
DilutedEPS,,"-0.06","-1.206","-0.043","-0.019"
BasicAverageShares,,"172,395,717","167,557,988","167,557,988","167,557,988"
DilutedAverageShares,,"172,395,717","167,557,988","167,557,988","167,557,988"
TotalOperatingIncomeAsReported,"-33,565,000","-11,312,000","-6,049,000","-4,293,000","-3,085,000"
TotalExpenses,"37,993,000","13,508,000","6,610,000","4,773,000","3,518,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"14,889,000","-10,344,000","-9,273,000","-7,141,000","-3,197,000"
NormalizedIncome,"-37,036,562.441","-11,052,509","-9,273,000","-4,480,744.231","-3,197,000"
InterestIncome,"256,000","201,000","9,000","1,000","1,000"
InterestExpense,"177,000","5,000","121,000","222,000","87,000"
NetInterestIncome,"79,000","196,000","-112,000","-221,000","-86,000"
EBIT,"15,071,000","-10,362,000","-9,140,000","-6,972,000","-3,084,000"
EBITDA,"17,649,000"
ReconciledCostOfRevenue,"4,589,000","2,030,000","540,000","514,000","346,000"
ReconciledDepreciation,"2,578,000","762,000","558,000","544,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"14,889,000","-10,344,000","-9,273,000","-7,141,000","-3,197,000"
TotalUnusualItemsExcludingGoodwill,"51,943,000","710,000",,"-2,680,000",
TotalUnusualItems,"51,943,000","710,000",,"-2,680,000",
NormalizedEBITDA,"-34,294,000","-10,310,000","-8,582,000","-3,748,000","-3,084,000"
TaxRateForCalcs,"0","0.002","0.27","0.007","0.27"
TaxEffectOfUnusualItems,"17,437.559","1,491","0","-19,744.231","0"
