name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
OperatingCashFlow,"586,000,000","180,000,000","106,000,000","267,000,000","33,000,000","-91,000,000","-148,000,000","-133,000,000","-230,000,000","-100,000,000","122,000,000","95,000,000","166,000,000","13,000,000","209,000,000","102,000,000","-24,000,000","54,000,000","170,000,000","131,000,000","169,000,000","150,000,000","138,000,000","112,000,000","188,000,000","51,000,000","142,000,000","212,000,000","169,000,000","15,000,000","111,000,000","109,000,000","204,000,000","49,000,000","100,000,000","194,000,000","135,000,000","27,000,000","133,000,000","135,000,000","170,000,000","61,000,000","55,000,000","128,000,000","169,000,000","41,000,000","150,000,000","116,000,000","123,000,000","61,000,000","55,000,000","160,000,000","25,000,000","36,000,000","54,000,000","94,000,000"
	CashFlowFromContinuingOperatingActivities,"586,000,000","180,000,000","106,000,000","267,000,000","33,000,000","-91,000,000","-148,000,000","-133,000,000","-230,000,000","-100,000,000","122,000,000","95,000,000","166,000,000","13,000,000","209,000,000","102,000,000","-24,000,000","54,000,000","170,000,000","131,000,000","169,000,000","150,000,000","138,000,000","112,000,000","188,000,000","51,000,000","142,000,000","212,000,000","169,000,000","15,000,000","111,000,000","109,000,000","204,000,000","49,000,000","100,000,000","194,000,000","135,000,000","27,000,000","133,000,000","135,000,000","170,000,000","61,000,000","55,000,000","128,000,000","169,000,000","41,000,000","150,000,000","116,000,000","124,000,000","60,000,000","55,000,000","160,000,000","25,000,000","36,000,000","53,000,000","102,000,000"
		NetIncomeFromContinuingOperations,"9,000,000","-73,000,000","-29,000,000","120,000,000","-9,000,000","-304,000,000","-203,000,000","-161,000,000","-236,000,000","-103,000,000","321,000,000","296,000,000","86,000,000","63,000,000","44,000,000","237,000,000","77,000,000","411,000,000","76,000,000","17,000,000","87,000,000","70,000,000","41,000,000","62,000,000","67,000,000","34,000,000","37,000,000","25,000,000","40,000,000","22,000,000","182,000,000","33,000,000","75,000,000","56,000,000","30,000,000","55,000,000","112,000,000","8,000,000","15,000,000","23,000,000","39,000,000","10,000,000","52,000,000","13,000,000","36,000,000","10,000,000","-4,000,000","29,000,000","19,000,000","7,000,000","-13,000,000","6,000,000","-51,000,000","13,000,000","-143,000,000","82,000,000"
		OperatingGainsLosses,"-379,000,000","9,000,000","-2,000,000","-302,000,000","-76,000,000","-62,000,000","69,000,000","20,000,000","-56,000,000","73,000,000","-359,000,000","-368,000,000","-6,000,000","2,000,000","-28,000,000","-233,000,000","-3,000,000","-516,000,000","-264,000,000","27,000,000","-34,000,000","40,000,000",,,"12,000,000","-1,000,000","31,000,000","35,000,000","34,000,000","5,000,000","-231,000,000","16,000,000","8,000,000","-47,000,000","31,000,000","-24,000,000","-88,000,000","9,000,000","14,000,000","11,000,000","-1,000,000","5,000,000","9,000,000","6,000,000","5,000,000","4,000,000","-8,000,000","-41,000,000","24,000,000","2,000,000","8,000,000","-7,000,000","12,000,000","-22,000,000","129,000,000","-8,000,000"
			GainLossOnSaleOfBusiness,"-730,000,000",,,,,,,,"0","-8,000,000","-349,000,000","-373,000,000","0","-1,000,000","-3,000,000","-239,000,000","-1,000,000","-529,000,000","-17,000,000","0",,,"2,000,000","0","21,000,000","0","0","0","-1,000,000","-8,000,000","-246,000,000","-3,000,000","-1,000,000","-61,000,000","0","-26,000,000",,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,"0","44,000,000","0","0","-8,000,000","-365,000,000","-373,000,000","0","-1,000,000","-3,000,000","-239,000,000","-1,000,000","-529,000,000","-17,000,000","0",,,"2,000,000","0","21,000,000","0","0","0","-1,000,000","-8,000,000","-246,000,000","-3,000,000","-1,000,000","-61,000,000","0","-26,000,000",,,,,,,"0","0",,,"-20,000,000",,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,"-3,000,000","0","1,000,000","6,000,000","0","7,000,000","1,000,000",,,,"1,000,000","1,000,000","1,000,000","2,000,000","0","1,000,000","2,000,000","0","1,000,000",,,"1,000,000","0","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","0","-7,000,000","15,000,000","6,000,000"
			GainLossOnInvestmentSecurities,,,,"-314,000,000","-110,000,000","-8,000,000",,,,"79,000,000",,,,,,,,,"0","0","0","40,000,000",,,,,,,,,,,,,"3,000,000",,,,"-9,000,000","-2,000,000",,,,,,,"-7,000,000","-10,000,000","9,000,000","-11,000,000","1,000,000",,,"3,000,000","34,000,000",
			EarningsLossesFromEquityInvestments,"35,000,000","9,000,000","-20,000,000","12,000,000","34,000,000","-54,000,000","25,000,000","20,000,000","23,000,000","2,000,000","8,000,000","5,000,000","-6,000,000","3,000,000","-25,000,000","6,000,000","-2,000,000","13,000,000","-247,000,000",,,,"-12,000,000","-14,000,000","-6,000,000","-1,000,000","30,000,000","29,000,000","35,000,000","6,000,000","14,000,000","17,000,000","9,000,000","14,000,000","27,000,000","6,000,000","10,000,000","7,000,000","23,000,000","12,000,000","4,000,000","5,000,000","8,000,000","6,000,000","0","3,000,000","19,000,000","9,000,000","14,000,000","12,000,000","6,000,000","3,000,000","16,000,000","3,000,000","17,000,000","-16,000,000"
		DepreciationAmortizationDepletion,"383,000,000","128,000,000","98,000,000","77,000,000","80,000,000","82,000,000","85,000,000","87,000,000","81,000,000","88,000,000","116,000,000","85,000,000","83,000,000","80,000,000","84,000,000","81,000,000","79,000,000","83,000,000","92,000,000","92,000,000","91,000,000","91,000,000","88,000,000","87,000,000","86,000,000","81,000,000","87,000,000","78,000,000","76,000,000","79,000,000","85,000,000","91,000,000","83,000,000","95,000,000","91,000,000","81,000,000","85,000,000","88,000,000","90,000,000","88,000,000","89,000,000","86,000,000","87,000,000","75,000,000","72,000,000","71,000,000","75,000,000","68,000,000","66,000,000","70,000,000","71,000,000","69,000,000","65,000,000","65,000,000","62,000,000","62,000,000"
			DepreciationAndAmortization,"383,000,000","128,000,000","98,000,000","77,000,000","80,000,000","82,000,000","85,000,000","87,000,000","81,000,000","88,000,000","116,000,000","85,000,000","83,000,000","80,000,000","84,000,000","81,000,000","79,000,000","83,000,000","92,000,000","92,000,000","91,000,000","91,000,000","88,000,000","87,000,000","86,000,000","81,000,000","87,000,000","78,000,000","76,000,000","79,000,000","85,000,000","91,000,000","83,000,000","95,000,000","91,000,000","81,000,000","85,000,000","88,000,000","90,000,000","88,000,000","89,000,000","86,000,000","87,000,000","75,000,000","72,000,000","71,000,000","75,000,000","68,000,000","66,000,000","70,000,000","71,000,000","69,000,000","65,000,000","65,000,000","62,000,000","62,000,000"
				Depreciation,"383,000,000","128,000,000","98,000,000","77,000,000","80,000,000","82,000,000","85,000,000","87,000,000","81,000,000","88,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"0","0","-10,000,000","7,000,000","3,000,000","200,000,000","0","-6,000,000","-8,000,000","-45,000,000","-4,000,000","28,000,000","3,000,000","1,000,000","-26,000,000","5,000,000","-2,000,000","-10,000,000",,,,"-16,000,000","13,000,000","-14,000,000","-1,000,000","-1,000,000","-60,000,000","-36,000,000","-10,000,000","3,000,000","-12,000,000","-19,000,000","-2,000,000","5,000,000","-48,000,000","0","43,000,000","-2,000,000","83,000,000","-23,000,000","1,000,000","4,000,000","-124,000,000","-7,000,000","-1,000,000","-5,000,000","-13,000,000","5,000,000","-9,000,000","9,000,000","2,000,000","80,000,000","-9,000,000","0","19,000,000","-13,000,000"
			DeferredIncomeTax,"0","0","-10,000,000","7,000,000","3,000,000","200,000,000","0","-6,000,000","-8,000,000","-45,000,000","-4,000,000","28,000,000","3,000,000","1,000,000","-26,000,000","5,000,000","-2,000,000","-10,000,000",,,,"-16,000,000","13,000,000","-14,000,000","-1,000,000","-1,000,000","-60,000,000","-36,000,000","-10,000,000","3,000,000","-12,000,000","-19,000,000","-2,000,000","5,000,000","-48,000,000","0","43,000,000","-2,000,000","83,000,000","-23,000,000","1,000,000","4,000,000","-124,000,000","-7,000,000","-1,000,000","-5,000,000","-13,000,000","5,000,000","-9,000,000","9,000,000","2,000,000","80,000,000","-9,000,000","0","19,000,000","-13,000,000"
		AssetImpairmentCharge,,,"6,000,000","0",,,"10,000,000","0",,,"5,000,000",,,,"4,000,000",,,,,,,,,,,,"0","5,000,000",,,"10,000,000","0","7,000,000","0","11,000,000","0","3,000,000","8,000,000","0","0",,,"4,000,000","1,000,000",,,"30,000,000","11,000,000",,,"7,000,000","0",,,"86,000,000","0"
		ProvisionandWriteOffofAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,"4,000,000","10,000,000",,,,,"-23,000,000","-8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"8,000,000","2,000,000","-2,000,000","-8,000,000",,"12,000,000","6,000,000","1,000,000",,,,,,,,,,
