name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986
TotalRevenue,"991,138,000","286,253,000","266,827,000","191,736,000","246,322,000","290,053,000","222,116,000","154,305,000","111,312,000","137,876,000","146,183,000","147,233,000","144,275,000","142,924,000","136,327,000","128,643,000","124,626,000","108,230,000","104,681,000","92,800,000","87,387,000","79,103,000","80,046,000","74,608,000","72,574,000","71,066,000","70,204,000","66,813,000","64,712,000","63,753,000","60,633,000","50,808,000","51,476,000","51,404,000","50,847,000","50,293,000","51,004,000","52,566,000","54,023,000","53,804,000","47,716,000","43,827,000","44,050,000","42,602,000","42,267,000","40,050,000","35,097,000","33,281,000","32,207,000","31,603,000","31,304,000","23,292,000","22,421,000","20,668,000","20,143,000","20,168,000","17,803,000","16,639,000","12,201,000","11,806,000","9,816,000","9,018,000","9,278,000","7,296,000","7,029,000","5,650,000","6,166,000","5,896,000","6,134,000","5,904,000","5,717,000","5,656,000","4,676,000","3,934,000","3,358,000","4,168,000","3,295,000","3,612,000","2,905,000","3,676,000","2,725,000","3,345,000","3,574,000","2,809,000","3,359,000","3,145,000","3,033,000","2,883,000","2,993,000","2,855,000","411,000","3,200,000","3,900,000","5,100,000","7,000,000","6,200,000","5,900,000","5,700,000","5,400,000","5,600,000","6,200,000","6,100,000","7,200,000","8,200,000","10,700,000","10,100,000","11,300,000","12,000,000","12,300,000","13,600,000","14,100,000","13,000,000","14,900,000","12,700,000","14,200,000","11,900,000","14,800,000","11,800,000","11,400,000","13,600,000","11,900,000","12,300,000","9,800,000","8,400,000","8,900,000","6,000,000","5,000,000","6,700,000","5,900,000","5,200,000","5,100,000","5,000,000","5,000,000","5,500,000","5,700,000","4,300,000","4,400,000","4,200,000","4,900,000","5,200,000","5,600,000","5,600,000","5,500,000","5,500,000"
	OperatingRevenue,"991,138,000","286,253,000","266,827,000","191,736,000","246,322,000","290,053,000","222,116,000","154,305,000","111,312,000","137,876,000","146,183,000","147,233,000","144,275,000","142,924,000","136,327,000","128,643,000","124,626,000","108,230,000","104,681,000","92,800,000","87,387,000","79,103,000","80,046,000","74,608,000","72,574,000","71,066,000","70,204,000","66,813,000","64,712,000","63,753,000","60,633,000","50,808,000","51,476,000","51,404,000","50,847,000","50,293,000","51,004,000","52,566,000","54,023,000","53,804,000","47,716,000","43,827,000","44,050,000","42,602,000","42,267,000","40,050,000","35,097,000","33,281,000","32,207,000","31,603,000","31,304,000","23,292,000","22,421,000","20,668,000","20,143,000","20,168,000","17,803,000","16,639,000","12,201,000","11,806,000","9,816,000","9,018,000","9,278,000","7,296,000","7,029,000","5,650,000","6,166,000","5,896,000","6,134,000","5,904,000","5,717,000","5,656,000","4,676,000","3,934,000","3,358,000","4,168,000","3,295,000","3,612,000","2,905,000","3,676,000","2,725,000","3,345,000","3,574,000","2,809,000","3,359,000","3,145,000","3,033,000","2,883,000","2,993,000","2,855,000","411,000","3,200,000","3,900,000","5,100,000","7,000,000","6,200,000","5,900,000","5,700,000","5,400,000","5,600,000","6,200,000","6,100,000","7,200,000","8,200,000","10,700,000","10,100,000","11,300,000","12,000,000","12,300,000","13,600,000","14,100,000","13,000,000","14,900,000","12,700,000","14,200,000","11,900,000","14,800,000","11,800,000","11,400,000","13,600,000","11,900,000","12,300,000","9,800,000","8,400,000","8,900,000","6,000,000","5,000,000","6,700,000","5,900,000","5,200,000","5,100,000","5,000,000","5,000,000","5,500,000","5,700,000","4,300,000","4,400,000","4,200,000","4,900,000","5,200,000","5,600,000","5,600,000","5,500,000","5,500,000"
CostOfRevenue,"695,875,000","210,843,000","186,030,000","120,799,000","178,203,000","220,358,000","150,736,000","85,976,000","49,093,000","57,457,000","53,111,000","55,171,000","50,954,000","45,929,000","42,302,000","42,963,000","43,559,000","39,591,000","38,438,000","34,937,000","30,932,000","25,187,000","22,522,000","22,425,000","20,579,000","19,602,000","16,444,000","17,809,000","18,699,000","19,485,000","17,537,000","10,275,000","9,964,000","9,612,000","10,086,000","10,136,000","10,358,000","9,891,000","10,447,000","9,500,000","9,157,000","9,029,000","8,658,000","8,710,000","8,914,000","7,307,000","7,691,000","7,418,000","7,427,000","7,063,000","7,976,000","4,465,000","4,532,000","4,085,000","4,060,000","3,940,000","3,225,000","2,843,000","1,990,000","1,840,000","1,718,000","1,566,000","1,746,000","1,480,000","1,359,000","1,331,000","1,412,000","1,594,000","1,503,000","1,406,000","1,483,000","1,450,000","1,354,000","1,163,000","1,202,000","1,230,000","773,000","1,005,000","1,107,000","1,120,000","738,000","965,000","1,002,000","1,294,000","1,049,000","936,000","530,000","1,408,000","1,482,000","1,565,000","2,725,000","2,000,000","2,200,000","2,700,000","2,300,000","2,000,000","2,000,000","2,300,000","2,400,000","2,100,000","3,300,000","2,300,000","4,800,000","4,900,000","6,400,000","5,800,000","6,600,000","6,900,000","6,800,000","6,800,000","7,600,000","7,700,000","11,100,000","12,200,000","9,200,000","7,600,000",,,,,,,"6,700,000","5,700,000","5,500,000","3,500,000","2,600,000","2,900,000",,,,,,,,,,,,,,,,
GrossProfit,"295,263,000","75,410,000","80,797,000","70,937,000","68,119,000","69,695,000","71,380,000","68,329,000","62,219,000","80,419,000","93,072,000","92,062,000","93,321,000","96,995,000","94,025,000","85,680,000","81,067,000","68,639,000","66,243,000","57,863,000","56,455,000","53,916,000","57,524,000","52,183,000","51,995,000","51,464,000","53,760,000","49,004,000","46,013,000","44,268,000","43,096,000","40,533,000","41,512,000","41,792,000","40,761,000","40,157,000","40,646,000","42,675,000","43,576,000","44,304,000","38,559,000","34,798,000","35,392,000","33,892,000","33,353,000","32,743,000","27,406,000","25,863,000","24,780,000","24,540,000","23,328,000","18,827,000","17,889,000","16,583,000","16,083,000","16,228,000","14,578,000","13,796,000","10,211,000","9,966,000","8,098,000","7,452,000","7,532,000","5,816,000","5,670,000","4,319,000","4,754,000","4,302,000","4,631,000","4,498,000","4,234,000","4,206,000","3,322,000","2,771,000","2,156,000","2,938,000","2,522,000","2,607,000","1,798,000","2,556,000","1,987,000","2,380,000","2,572,000","1,515,000","2,310,000","2,209,000","2,503,000","1,475,000","1,511,000","1,290,000","-2,314,000","1,200,000","1,700,000","2,400,000","4,700,000","4,200,000","3,900,000","3,400,000","3,000,000","3,500,000","2,900,000","3,800,000","2,400,000","3,300,000","4,300,000","4,300,000","4,700,000","5,100,000","5,500,000","6,800,000","6,500,000","5,300,000","3,800,000","500,000","5,000,000","4,300,000",,,,,,,"3,100,000","2,700,000","3,400,000","2,500,000","2,400,000","3,800,000",,,,,,,,,,,,,,,,
OperatingExpense,"177,329,000","45,300,000","48,374,000","42,801,000","40,854,000","38,509,000","37,472,000","36,430,000","30,369,000","46,106,000","58,819,000","66,055,000","52,039,000","42,864,000","52,495,000","46,442,000","42,752,000","34,743,000","33,162,000","29,952,000","29,916,000","28,226,000","29,863,000","27,890,000","28,431,000","26,701,000","27,936,000","27,036,000","25,590,000","23,769,000","22,028,000","18,795,000","24,051,000","22,387,000","22,955,000","21,556,000","21,352,000","23,370,000","23,316,000","23,596,000","20,848,000","16,469,000","18,837,000","15,938,000","14,748,000","17,109,000","13,748,000","12,781,000","11,772,000","11,781,000","11,472,000","9,044,000","8,629,000","8,226,000","7,985,000","8,109,000","7,673,000","7,653,000","5,658,000","6,254,000","5,800,000","5,214,000","5,333,000","3,992,000","4,163,000","3,137,000","3,636,000","3,169,000","3,440,000","3,290,000","4,120,000","3,206,000","2,581,000","2,220,000","1,964,000","2,279,000","2,304,000","1,985,000","1,778,000","2,089,000","1,981,000","2,079,000","1,859,000","2,341,000","2,152,000","2,061,000","5,052,000","3,945,000","4,958,000","4,279,000","6,006,000","5,200,000","6,400,000","4,300,000","3,700,000","3,400,000","5,500,000","3,200,000","4,800,000","3,400,000","2,900,000","3,800,000","5,100,000","5,300,000","6,200,000","6,000,000","5,800,000","5,800,000","5,800,000","6,300,000","6,000,000","6,700,000","5,900,000","5,200,000","4,700,000","6,000,000",,,,,,,"3,100,000","3,400,000","3,500,000","2,300,000","2,400,000","2,500,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"120,859,000","30,678,000","34,638,000","28,816,000","26,727,000","25,164,000","25,139,000","24,263,000","18,922,000","33,048,000","43,899,000","51,184,000","37,359,000","27,565,000","38,104,000","32,909,000","31,547,000","23,502,000","21,811,000","18,707,000","18,740,000","17,021,000","19,137,000","16,589,000","17,516,000","15,916,000","17,205,000","15,933,000","15,732,000","14,125,000","13,159,000","9,567,000","14,852,000","13,142,000","13,893,000","12,472,000","12,080,000","13,883,000","13,095,000","14,025,000","12,873,000","10,256,000","12,117,000","9,225,000","7,955,000","10,613,000","8,764,000","7,934,000","6,753,000","6,985,000","6,930,000","5,101,000","5,046,000","4,977,000","4,491,000","5,231,000","4,674,000","4,663,000","3,454,000","3,548,000","2,977,000","2,739,000","2,735,000","2,260,000","2,647,000","1,954,000","2,481,000","1,960,000","2,348,000","2,167,000","2,121,000","2,425,000","1,720,000","1,660,000","1,610,000","1,871,000","1,874,000","1,625,000","1,476,000","1,715,000","1,557,000","1,401,000","1,323,000","1,884,000","1,764,000","1,353,000","3,321,000","2,810,000","3,605,000","2,914,000","5,619,000","3,000,000","4,000,000","2,600,000","2,100,000","2,000,000","4,300,000","2,000,000","2,400,000","1,400,000","1,200,000","1,700,000","2,800,000","3,100,000","3,700,000","3,600,000","3,400,000","3,300,000","3,400,000","4,000,000","3,500,000","3,800,000","5,000,000","4,300,000","3,800,000","5,100,000",,,,,,,"3,000,000","3,200,000","3,300,000","2,200,000","2,300,000","2,400,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"106,487,000","26,913,000","30,840,000","25,399,000","23,335,000","21,337,000","21,941,000","20,888,000","15,464,000","29,244,000","39,219,000","46,900,000","32,866,000","21,444,000","34,059,000","28,188,000","26,724,000","19,504,000","17,820,000","14,874,000","14,598,000","12,684,000","14,670,000","12,126,000","13,310,000","11,583,000","13,083,000","12,128,000","12,121,000","10,746,000","9,963,000","6,008,000","11,068,000","9,841,000","9,808,000","8,448,000","8,253,000","9,971,000","8,862,000","9,679,000","8,577,000","6,444,000","8,028,000","5,785,000","4,694,000","7,761,000","7,151,000","6,249,000","5,005,000","5,659,000","5,443,000","3,803,000","3,925,000","3,843,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"106,487,000","26,913,000","30,840,000","25,399,000","23,335,000","21,337,000","21,941,000","20,888,000","15,464,000","29,244,000","39,219,000","46,900,000","32,866,000","21,444,000","34,059,000","28,188,000","26,724,000","19,504,000","17,820,000","14,874,000","14,598,000","12,684,000","14,670,000","12,126,000","13,310,000","11,583,000","13,083,000","12,128,000","12,121,000","10,746,000","9,963,000","6,008,000","11,068,000","9,841,000","9,808,000","8,448,000","8,253,000","9,971,000","8,862,000","9,679,000","8,577,000","6,444,000","8,028,000","5,785,000","4,694,000","7,761,000","7,151,000","6,249,000","5,005,000","5,659,000","5,443,000","3,803,000","3,925,000","3,843,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"14,372,000","3,765,000","3,798,000","3,417,000","3,392,000","3,827,000","3,198,000","3,375,000","3,458,000","3,804,000","4,680,000","4,284,000","4,493,000","6,121,000","4,045,000","4,721,000","4,823,000","3,998,000","3,991,000","3,833,000","4,142,000","4,337,000","4,467,000","4,463,000","4,206,000","4,333,000","4,122,000","3,805,000","3,611,000","3,379,000","3,196,000","3,559,000","3,784,000","3,301,000","4,085,000","4,024,000","3,827,000","3,912,000","4,233,000","4,346,000","4,296,000","3,812,000","4,089,000","3,440,000","3,261,000","2,852,000","1,613,000","1,685,000","1,748,000","1,326,000","1,487,000","1,298,000","1,121,000","1,134,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"40,728,000","10,258,000","10,177,000","10,151,000","10,142,000","9,545,000","8,737,000","8,775,000","8,338,000","9,417,000","11,418,000","11,245,000","11,397,000","11,242,000","10,963,000","11,010,000","8,671,000","8,434,000","8,551,000","8,536,000","8,417,000","8,350,000","8,068,000","8,563,000","8,285,000","8,065,000","8,029,000","8,338,000","7,288,000","7,047,000","6,630,000","6,779,000","6,758,000","6,693,000","6,414,000","6,625,000","6,724,000","7,035,000","7,637,000","7,102,000","5,814,000","4,272,000","4,823,000","4,964,000","4,802,000","4,619,000","3,379,000","3,294,000","3,571,000","3,363,000","3,104,000","3,000,000","2,753,000","2,505,000","2,648,000","2,074,000","2,162,000","2,171,000","1,487,000","2,074,000","2,198,000","1,850,000","1,969,000","1,297,000","1,099,000","869,000","799,000","892,000","773,000","794,000","814,000","781,000","861,000","560,000","354,000","408,000","430,000","360,000","302,000","374,000","424,000","678,000","536,000","457,000","388,000","652,000","969,000","867,000","1,033,000","1,069,000","1,652,000","1,400,000","1,600,000","900,000","800,000","700,000","500,000","500,000","1,400,000","1,100,000","700,000","1,000,000","1,400,000","1,200,000","1,300,000","1,300,000","1,200,000","1,300,000","1,300,000","1,100,000","1,300,000","1,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
