name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,09/30/2010,06/30/2010,03/31/2010
TotalRevenue,"2,210,223,000","596,661,000","597,176,000","524,509,000","491,877,000","474,827,000","489,102,000","493,601,000","521,349,000","511,387,000","548,556,000","530,902,000","471,395,000","466,051,000","449,981,000","450,698,000","397,814,000","381,209,000","398,471,000","376,765,000","380,957,000","360,187,000","370,487,000","355,101,000","350,139,000","343,328,000","326,697,000","313,126,000","304,702,000","278,315,000","285,944,000","261,939,000","256,325,000","246,285,000","248,438,000","213,835,000","206,299,000","190,103,000","186,210,000","172,856,000","155,050,000","131,737,000","113,627,000","90,476,000","74,004,000","55,215,000","19,110,000","1,235,000","0"
	OperatingRevenue,"2,101,796,000","566,554,000","563,663,000","519,535,000","452,044,000","468,095,000","483,621,000","468,443,000","497,869,000","496,687,000","504,391,000","492,869,000","463,870,000","455,739,000","437,096,000","422,763,000","393,479,000","377,862,000","378,481,000","359,487,000","358,114,000","354,653,000","353,627,000","340,864,000","327,313,000","317,198,000","314,263,000","304,264,000","286,761,000","269,256,000","265,793,000","252,519,000","242,538,000","230,391,000","226,279,000","213,835,000","206,299,000","190,103,000","186,210,000","172,856,000","155,050,000","131,737,000","113,627,000","90,476,000","74,004,000","54,612,000","19,110,000","1,235,000","0"
CostOfRevenue,"1,370,592,000","352,585,000","346,972,000","339,619,000","331,415,000","326,951,000","316,702,000","302,573,000","296,713,000","296,436,000","294,501,000","288,425,000","268,513,000","248,691,000","238,990,000","231,892,000","216,052,000","205,077,000","194,726,000","191,067,000","189,504,000","190,972,000","185,109,000","177,971,000","175,326,000","169,535,000","168,283,000","162,149,000","156,550,000","146,415,000","143,464,000","134,701,000","128,810,000","122,500,000","118,679,000","113,757,000","112,251,000","104,093,000","346,638,000","0","0","0","157,169,000","0","0","0","0","0","0"
GrossProfit,"839,631,000","244,076,000","250,204,000","184,890,000","160,462,000","147,876,000","172,400,000","191,028,000","224,636,000","214,951,000","254,055,000","242,477,000","202,882,000","217,360,000","210,991,000","218,806,000","181,762,000","176,132,000","203,745,000","185,698,000","191,453,000","169,215,000","185,378,000","177,130,000","174,813,000","173,793,000","158,414,000","150,977,000","148,152,000","131,900,000","142,480,000","127,238,000","127,515,000","123,785,000","129,759,000","100,078,000","94,048,000","86,010,000","-160,428,000","172,856,000","155,050,000","131,737,000","-43,542,000","90,476,000","74,004,000","55,215,000","19,110,000","1,235,000","0"
OperatingExpense,"149,712,000","30,239,000","48,313,000","37,774,000","33,387,000","32,322,000","23,214,000","26,874,000","30,473,000","32,751,000","37,276,000","39,612,000","33,634,000","33,876,000","30,488,000","31,225,000","26,343,000","26,791,000","31,015,000","24,620,000","29,147,000","26,345,000","27,663,000","24,476,000","25,154,000","22,641,000","25,461,000","23,971,000","22,307,000","22,244,000","27,500,000","23,538,000","24,846,000","22,586,000","26,595,000","21,248,000","23,961,000","21,022,000","-131,962,000","77,889,000","76,052,000","66,162,000","-53,165,000","50,483,000","47,681,000","38,903,000","25,183,000","7,864,000","477,000"
	SellingGeneralAndAdministration,"149,712,000","30,239,000","48,313,000","37,774,000","33,387,000","32,322,000","23,214,000","26,874,000","30,473,000","32,751,000","37,276,000","39,612,000","33,634,000","33,876,000","30,488,000","31,225,000","26,343,000","26,791,000","31,015,000","24,620,000","29,147,000","26,345,000","27,663,000","24,476,000","25,154,000","22,641,000","25,461,000","23,971,000","22,307,000","22,244,000","27,500,000","23,538,000","24,846,000","22,586,000","26,595,000","21,248,000","23,961,000","21,022,000","22,843,000","19,957,000","23,515,000","21,826,000","20,266,000","19,826,000","23,037,000","20,773,000","18,882,000","7,537,000","477,000"
		GeneralAndAdministrativeExpense,"18,585,000","-2,523,000","7,716,000","6,692,000","6,700,000","5,408,000","2,672,000","6,635,000","3,892,000","4,429,000","5,811,000","4,897,000","5,863,000","4,174,000","4,313,000","4,848,000","4,885,000","3,432,000","5,369,000","5,358,000","5,304,000","3,773,000","4,599,000","4,602,000","4,501,000","3,239,000","4,650,000","4,648,000","4,578,000","3,146,000","3,826,000","3,882,000","4,940,000","3,400,000","3,775,000","3,751,000","7,313,000","6,775,000","-33,610,000","19,957,000","23,515,000","21,826,000","-24,293,000","19,826,000","23,037,000","20,773,000","18,882,000","7,537,000","477,000"
			SalariesAndWages,"18,585,000","-2,523,000","7,716,000","6,692,000","6,700,000","5,408,000","2,672,000","6,635,000","3,892,000","4,429,000","5,811,000","4,897,000","5,863,000","4,174,000","4,313,000","4,848,000","4,885,000","3,432,000","5,369,000","5,358,000","5,304,000","3,773,000","4,599,000","4,602,000","4,501,000","3,239,000","4,650,000","4,648,000","4,578,000","3,146,000","3,826,000","3,882,000","4,940,000","3,400,000","3,775,000","3,751,000","7,313,000","6,775,000","7,140,000","7,124,000","9,207,000","8,217,000","8,368,000","8,314,000","11,753,000","10,908,000","10,941,000","2,255,000","0"
			OtherGandA,,,,,"26,687,000","26,914,000","20,542,000","20,239,000","26,581,000","28,322,000","31,465,000","34,715,000","27,771,000","29,702,000","26,175,000","26,377,000","21,458,000","23,359,000","25,646,000","19,262,000","23,843,000","22,572,000","23,064,000","19,874,000","20,653,000","19,402,000","20,811,000","19,323,000","17,729,000","19,098,000","23,674,000","19,656,000","19,906,000","19,186,000","22,820,000","17,497,000","16,648,000","14,247,000","15,703,000","12,833,000","14,308,000","13,609,000","11,898,000","11,512,000","11,284,000","9,865,000","7,941,000","5,282,000","477,000"
		SellingAndMarketingExpense,"131,127,000","32,762,000","40,597,000","31,082,000","26,687,000","26,914,000","20,542,000","20,239,000","26,581,000","28,322,000","31,465,000","34,715,000","27,771,000","29,702,000","26,175,000","26,377,000","21,458,000","23,359,000","25,646,000","19,262,000","23,843,000","22,572,000","23,064,000","19,874,000","20,653,000","19,402,000","20,811,000","19,323,000","17,729,000","19,098,000","23,674,000","19,656,000","19,906,000","19,186,000","22,820,000","17,497,000","16,648,000","14,247,000",,,,,,,,,,,
