name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"5,224,800,000","1,333,600,000","1,318,700,000","1,284,800,000","1,287,700,000","1,230,400,000","1,214,400,000","1,173,900,000","1,074,100,000","1,182,000,000","1,184,400,000","1,161,600,000","1,135,000,000","1,124,000,000","1,096,000,000","1,067,600,000","1,067,700,000","1,046,000,000","1,010,000,000","983,000,000","967,600,000","958,400,000","935,400,000","912,000,000","905,300,000","893,300,000","865,300,000","767,900,000","753,500,000","729,000,000","606,800,000","588,700,000","595,100,000","583,700,000","568,500,000","556,000,000","557,500,000","565,200,000","525,900,000","537,000,000","526,900,000","532,300,000","518,100,000","497,700,000","505,100,000","538,100,000","520,700,000","490,700,000","496,900,000","491,000,000","479,600,000","472,700,000","483,700,000","475,100,000","463,800,000","456,200,000","461,400,000","469,000,000","439,000,000","431,600,000","442,800,000","448,600,000","718,472,000","731,207,000","787,513,000","791,987,000","807,042,000","766,307,000","818,277,000","848,595,000","923,528,000","1,093,785,000","1,163,683,000","1,129,775,000","1,115,153,000","1,075,874,000","1,098,989,000","1,090,462,000","1,077,000,000","1,060,457,000","1,036,322,000","1,021,335,000","1,000,607,000","993,300,000","1,047,600,000","1,030,500,000","1,108,474,000","1,047,400,000","942,500,000","907,700,000","854,269,000","748,400,000","723,000,000","691,600,000","642,737,000","616,900,000","595,600,000","581,200,000","446,987,000","392,700,000","378,900,000","307,000,000","387,641,000","261,100,000","247,400,000","231,300,000","125,300,000","121,300,000","119,600,000","116,100,000","108,700,000","102,100,000","102,600,000","93,600,000","64,800,000","55,800,000","54,400,000","50,600,000","49,000,000","46,100,000","42,800,000","42,600,000","9,500,000","37,000,000","36,700,000","31,100,000","12,000,000","23,900,000","21,300,000","17,800,000","8,400,000","13,600,000","11,700,000","11,300,000","6,900,000","5,700,000","3,000,000","3,000,000","1,200,000","1,100,000"
	OperatingRevenue,"5,224,800,000","1,333,600,000","1,318,700,000","1,284,800,000","1,287,700,000","1,230,400,000","1,163,100,000","1,173,900,000","1,074,100,000","1,182,000,000","1,132,100,000","1,161,600,000","1,135,000,000","1,124,000,000","1,046,800,000","1,067,600,000","1,067,700,000","1,046,000,000","1,019,700,000","995,600,000","981,300,000","974,800,000","949,900,000","926,800,000","920,700,000","909,800,000","879,300,000","778,600,000","764,400,000","740,600,000","613,400,000","596,900,000","604,400,000","591,200,000","572,100,000","564,000,000","564,500,000","572,600,000","552,900,000","537,000,000","526,900,000","532,300,000","518,100,000","497,700,000","505,100,000","538,100,000","520,700,000","490,700,000","496,900,000","491,000,000","479,600,000","472,700,000","483,700,000","475,100,000","463,800,000","456,200,000","461,400,000","469,000,000","439,000,000","431,600,000","442,800,000","448,600,000","718,472,000","731,207,000","787,513,000","791,987,000","807,042,000","766,307,000","818,277,000","848,595,000","923,528,000","1,093,785,000","1,163,683,000","1,129,775,000","1,115,153,000","1,075,874,000","1,098,989,000","1,090,462,000","1,077,000,000","1,060,457,000","1,036,322,000","1,021,335,000","1,000,607,000","993,300,000","1,047,600,000","1,030,500,000","1,108,474,000","1,047,400,000","942,500,000","907,700,000","854,269,000","748,400,000","723,000,000","691,600,000","642,737,000","616,900,000","595,600,000","581,200,000","446,987,000","392,700,000","378,900,000","307,000,000","387,641,000","261,100,000","247,400,000","231,300,000","125,300,000","121,300,000","119,600,000","116,100,000","108,700,000","102,100,000","102,600,000","93,600,000","64,800,000","55,800,000","54,400,000","50,600,000","49,000,000","46,100,000","42,800,000","42,600,000","9,500,000","37,000,000","36,700,000","31,100,000","12,000,000","23,900,000","21,300,000","17,800,000","8,400,000","13,600,000","11,700,000","11,300,000","6,900,000","5,700,000","3,000,000","3,000,000","1,200,000","1,100,000"
CostOfRevenue,"213,500,000","56,100,000","54,200,000","53,200,000","50,000,000","51,900,000","51,700,000","52,500,000","50,600,000","45,700,000","43,200,000","42,900,000","41,700,000","40,100,000","40,900,000","38,600,000","39,300,000","39,900,000","38,700,000","36,500,000","37,100,000","37,000,000","35,800,000","34,800,000","34,400,000","35,000,000","34,600,000","31,000,000","31,700,000","31,400,000","29,900,000","26,600,000","27,800,000","27,600,000","27,100,000","25,500,000","26,600,000","26,200,000","102,400,000","0","0","0","0","0","0","0","0","0","11,400,000","270,200,000","-745,500,000","263,100,000","12,100,000","12,000,000","-794,200,000","305,400,000","301,800,000","303,300,000","57,500,000","303,400,000","303,700,000","327,300,000","363,626,000","344,385,000","354,870,000","363,860,000",,,,,,,,,,,,,,,,,,"671,100,000","649,400,000","644,700,000",,"645,600,000","578,600,000","561,500,000",,"464,100,000","451,700,000","438,300,000",,"397,700,000","389,100,000","386,300,000",,"275,600,000","273,000,000","219,900,000",,"195,600,000","185,600,000","178,200,000","89,000,000","87,300,000","86,600,000","86,000,000","90,600,000","76,400,000","76,800,000","72,900,000","47,200,000","41,300,000","39,600,000","37,600,000","39,400,000","33,600,000","30,700,000","32,000,000",,,,,,,,,,,,,,,,,,
GrossProfit,"5,011,300,000","1,277,500,000","1,264,500,000","1,231,600,000","1,237,700,000","1,178,500,000","1,162,700,000","1,121,400,000","1,023,500,000","1,136,300,000","1,141,200,000","1,118,700,000","1,093,300,000","1,083,900,000","1,055,100,000","1,029,000,000","1,028,400,000","1,006,100,000","971,300,000","946,500,000","930,500,000","921,400,000","899,600,000","877,200,000","870,900,000","858,300,000","830,700,000","736,900,000","721,800,000","697,600,000","576,900,000","562,100,000","567,300,000","556,100,000","541,400,000","530,500,000","530,900,000","539,000,000","423,500,000","537,000,000","526,900,000","532,300,000","518,100,000","497,700,000","505,100,000","538,100,000","520,700,000","490,700,000","485,500,000","220,800,000","1,225,100,000","209,600,000","471,600,000","463,100,000","1,258,000,000","150,800,000","159,600,000","165,700,000","381,500,000","128,200,000","139,100,000","121,300,000","354,846,000","386,822,000","432,643,000","428,127,000",,,,,,,,,,,,,,,,,,"322,200,000","398,200,000","385,800,000",,"401,800,000","363,900,000","346,200,000",,"284,300,000","271,300,000","253,300,000",,"219,200,000","206,500,000","194,900,000",,"117,100,000","105,900,000","87,100,000",,"65,500,000","61,800,000","53,100,000","36,300,000","34,000,000","33,000,000","30,100,000","18,100,000","25,700,000","25,800,000","20,700,000","17,600,000","14,500,000","14,800,000","13,000,000","9,600,000","12,500,000","12,100,000","10,600,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"4,228,600,000","1,093,600,000","1,084,200,000","1,032,100,000","1,018,700,000","970,800,000","969,700,000","948,900,000","924,200,000","953,300,000","978,600,000","946,800,000","922,800,000","896,400,000","892,400,000","855,900,000","851,700,000","837,000,000","802,500,000","784,200,000","774,800,000","758,800,000","739,800,000","715,100,000","704,500,000","697,800,000","679,300,000","601,000,000","583,400,000","569,100,000","467,800,000","448,600,000","440,500,000","439,800,000","422,400,000","420,700,000","421,300,000","418,600,000","325,200,000","431,500,000","423,500,000","426,100,000","132,300,000","407,500,000","406,100,000","434,400,000","426,600,000","412,000,000","404,400,000","132,900,000","1,148,000,000","143,300,000","434,400,000","370,300,000","1,217,300,000","93,300,000","96,000,000","109,700,000","319,600,000","75,100,000","92,400,000","95,300,000","293,796,000","359,479,000","375,742,000","311,893,000","-1,339,105,000","659,259,000","759,968,000","975,066,000","-1,966,321,000","786,947,000","747,412,000","736,401,000","731,543,000","714,750,000","722,705,000","736,045,000","710,037,000","711,872,000","700,462,000","693,993,000","2,140,349,000","262,800,000","146,500,000","139,300,000","2,101,414,000","140,400,000","128,600,000","121,600,000","1,599,435,000","102,300,000","96,700,000","90,000,000","1,426,210,000","80,100,000","62,000,000","58,600,000","983,068,000","46,300,000","56,200,000","38,900,000","791,327,000","28,400,000","27,100,000","24,200,000","16,600,000","16,800,000","15,900,000","14,000,000","-1,100,000","12,100,000","11,300,000","11,400,000","6,100,000","4,800,000","4,800,000","4,300,000","4,200,000","4,400,000","4,000,000","3,700,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"3,263,300,000","845,300,000","841,600,000","793,800,000","782,600,000","746,000,000","744,300,000","724,300,000","715,200,000","734,900,000","753,100,000","735,100,000","720,300,000","693,800,000","687,900,000","661,800,000","652,600,000","649,900,000","616,400,000","600,400,000","598,500,000","584,500,000","570,900,000","545,300,000","540,100,000","536,200,000","519,900,000","460,600,000","446,500,000","434,000,000","348,900,000","331,800,000","327,800,000","328,900,000","315,500,000","314,200,000","317,200,000","318,400,000","242,300,000","327,800,000","329,100,000","333,600,000","322,600,000","312,600,000","305,100,000","332,000,000","327,000,000","317,200,000","302,800,000","40,800,000","295,400,000","301,100,000","338,100,000","276,600,000","1,199,300,000","75,200,000","77,700,000","79,600,000","299,900,000","55,200,000","72,400,000","77,100,000","259,322,000","321,006,000","336,825,000","274,784,000",,,,,"166,057,000","55,125,000","43,291,000","39,966,000","44,379,000","38,958,000","51,214,000","32,654,000","40,893,000","37,403,000","35,706,000","34,021,000","-114,215,000","168,100,000","50,600,000","44,900,000","-35,100,000","51,500,000","48,300,000","48,200,000","-24,943,000","38,600,000","36,600,000","32,600,000","-22,493,000","30,800,000","16,600,000","16,000,000","-17,686,000","15,200,000","26,700,000","16,000,000","3,339,000","12,400,000","11,100,000","10,300,000","6,500,000","7,600,000","7,100,000","5,600,000","-8,400,000","5,500,000","5,400,000","5,700,000","1,600,000","1,300,000","1,400,000","1,000,000","1,000,000","1,400,000","1,500,000","1,400,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"3,263,300,000","845,300,000","841,600,000","793,800,000","782,600,000","746,000,000","744,300,000","724,300,000","715,200,000","734,900,000","753,100,000","735,100,000","720,300,000","693,800,000","687,900,000","661,800,000","652,600,000","649,900,000","616,400,000","600,400,000","598,500,000","584,500,000","570,900,000","545,300,000","540,100,000","536,200,000","519,900,000","460,600,000","446,500,000","434,000,000","348,900,000","331,800,000","327,800,000","328,900,000","315,500,000","314,200,000","317,200,000","318,400,000","242,300,000","327,800,000","329,100,000","333,600,000","322,600,000","312,600,000","305,100,000","332,000,000","327,000,000","317,200,000","302,800,000","311,000,000","295,400,000","301,100,000","338,100,000","276,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"2,975,300,000","776,000,000","761,000,000","730,100,000","708,200,000","687,200,000","686,100,000","664,900,000","651,900,000","679,100,000","668,500,000","660,800,000","622,900,000","620,800,000","613,300,000","592,300,000","578,200,000","570,200,000","554,600,000","542,100,000","527,800,000","530,100,000","516,300,000","497,400,000","486,100,000","486,100,000","466,800,000","417,100,000","401,800,000","385,100,000","300,300,000","290,000,000","285,300,000","286,100,000","272,000,000","269,500,000","273,600,000","274,600,000","269,500,000","262,300,000","257,400,000","261,000,000","251,400,000","245,000,000","241,600,000","259,100,000","252,400,000","246,400,000","241,600,000","241,900,000","239,600,000","235,400,000","239,100,000","234,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"80,900,000","20,900,000","20,000,000","19,800,000","20,200,000","20,200,000","20,400,000","20,300,000","20,300,000","20,200,000","20,600,000","21,800,000","20,300,000","19,600,000","20,300,000","19,600,000","19,500,000","18,600,000","18,700,000","18,600,000","18,300,000","17,900,000","17,800,000","17,600,000","17,900,000","18,000,000","16,800,000","12,500,000","12,500,000","12,100,000","10,500,000","10,300,000","10,300,000","10,500,000","11,200,000","11,700,000","11,900,000","12,200,000","12,000,000","11,800,000","12,300,000","12,500,000","12,200,000","12,500,000","12,100,000","12,300,000","12,600,000","12,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"207,100,000","48,400,000","60,600,000","43,900,000","54,200,000","38,600,000","37,800,000","39,100,000","43,000,000","35,600,000","64,000,000","52,500,000","77,100,000","53,400,000","54,300,000","49,900,000","54,900,000","61,100,000","43,100,000","39,700,000","52,400,000","36,500,000","36,800,000","30,300,000","36,100,000","32,100,000","36,300,000","31,000,000","32,200,000","36,800,000","38,100,000","31,500,000","32,200,000","32,300,000","32,300,000","33,000,000","31,700,000","31,600,000","-39,200,000","53,700,000","59,400,000","60,100,000","59,000,000","55,100,000","51,400,000","60,600,000","62,000,000","58,700,000","61,200,000","69,100,000","55,800,000","65,700,000","99,000,000","41,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
