name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
TotalAssets,"1,458,231,000","1,270,805,000","1,122,440,000","969,828,000","961,829,000","920,270,000","806,824,000","764,647,000","791,269,000","685,481,000","601,846,000","492,708,000","473,506,000","470,163,000","353,258,000","332,632,000","319,077,000","329,953,000","197,591,000","163,812,000","137,443,000","145,746,000","147,517,000","150,051,000","154,105,000","157,920,000","163,271,000","169,528,000","6,931,004","5,469,382","5,538,228","5,198,594","5,548,026","2,062,185","2,000,290","1,842,633","2,490,016","201,250","201,275"
	CurrentAssets,"42,269,000","43,374,000","78,943,000","29,314,000","28,163,000","32,054,000","29,643,000","29,246,000","41,738,000","22,398,000","36,801,000","24,194,000","14,121,000","14,961,000","11,557,000","12,128,000","13,097,000","19,163,000","10,818,000","32,889,000","5,025,000","10,201,000","1,675,000","1,455,000","2,444,000","1,697,000","3,281,000","5,718,000","178,221","374,499","753,597","279,882","4,175,211","631,978","362,445","183,873","723,539","201,250","201,275"
		CashCashEquivalentsAndShortTermInvestments,"25,610,000","26,232,000","63,712,000","13,229,000","12,687,000","15,668,000","15,352,000","13,975,000","30,371,000","10,465,000","25,720,000","13,044,000","5,171,000","5,394,000","5,966,000","4,311,000","6,382,000","12,915,000","6,473,000","28,981,000","1,151,000","941,000","925,000","698,000","1,687,000","958,000","2,543,000","4,974,000","178,221","350,819","633,454","265,952","4,175,202","617,995","175,356","174,442","623,539","101,250","201,275"
			CashAndCashEquivalents,"25,610,000","26,232,000","63,712,000","13,229,000","12,687,000","15,668,000","15,352,000","13,975,000","30,371,000","10,465,000","25,720,000","13,044,000","5,171,000","5,394,000","5,966,000","4,311,000","6,382,000","12,915,000","6,473,000","28,981,000","1,151,000","941,000","925,000","698,000","1,687,000","958,000","2,543,000","4,974,000","178,221","350,819","633,454","265,952","4,175,202","617,995","175,356","174,442","623,539","101,250","201,275"
				CashFinancial,"25,610,000","26,232,000","63,712,000","13,229,000","12,687,000","15,668,000","15,352,000","13,975,000","30,371,000","10,465,000","25,720,000","13,044,000","5,171,000","5,394,000","5,966,000","4,311,000","6,382,000","12,915,000","6,473,000","28,981,000","1,151,000","941,000","925,000","698,000","1,687,000","958,000","2,543,000","4,974,000","178,221","350,819","633,454","265,952","4,175,202","617,995","175,356",,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
		Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","20,138","13,930","9","13,983","13,580","9,431",,"100,000",
			AccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","20,138","13,930","9","13,983","13,580","9,431",,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0",,,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,680",,,,,,,,,
		RestrictedCash,"16,659,000","17,142,000","15,231,000","16,085,000","15,476,000","16,386,000","14,291,000","15,271,000","11,367,000","11,933,000","11,081,000","11,150,000","8,950,000","9,567,000","5,591,000","7,817,000","6,715,000","6,248,000","4,345,000","3,908,000","3,874,000","9,260,000","750,000","757,000","757,000","739,000","738,000","744,000","47,361","71,041","100,005","87,774","16,733","16,733","173,509","16,733",,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","1,310,000","0","0","0","0","0","0","0","100,000","0","0"
	TotalNonCurrentAssets,"1,415,962,000","1,227,431,000","1,043,497,000","940,514,000","933,666,000","888,216,000","777,181,000","735,401,000","749,531,000","663,083,000","565,045,000","468,514,000","459,385,000","455,202,000","341,701,000","320,504,000","305,980,000","310,790,000","186,773,000","130,923,000","132,418,000","135,545,000","145,842,000","148,596,000","151,661,000","156,223,000","159,990,000","163,810,000","6,752,783","5,094,883","4,784,631","4,918,712","1,372,815","1,430,207","1,637,845","1,658,760","1,766,477","0","0"
		NetPPE,,,,,,,,,,,,,,,,,"275,399,000","278,389,000","168,041,000","119,510,000","121,207,000","123,059,000","128,170,000","129,714,000","131,590,000","133,448,000","135,255,000","137,108,000",,,,,,,,,,,
			GrossPPE,,,,,,,,,,,,,,,,,"304,227,000","303,402,000","190,135,000","139,326,000","139,123,000","139,086,000","138,553,000","138,236,000","138,231,000","138,208,000","138,135,000","138,112,000",,,,,,,,,,,
				Properties,,,,,,,,,,,,,,,,,,"0","0","0","0","0",,"0",,,,"0",,,,,,,,,,,
				LandAndImprovements,,,,,,,,,,,,,,,,,,"59,797,000","25,069,000","18,117,000","18,117,000","18,117,000",,"18,051,000",,,,"18,051,000",,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,"221,175,000","149,301,000","110,754,000","110,545,000","110,142,000",,"109,725,000",,,,"109,430,000",,,,,,,,,,,
				OtherProperties,,,,,,,,,,,,,,,,,,"21,489,000","15,743,000","10,442,000","10,442,000","10,442,000",,"10,442,000",,,,"10,416,000",,,,,,,,,,,
				ConstructionInProgress,,,,,,,,,,,,,,,,,,"941,000","22,000","13,000","19,000","385,000",,"18,000",,,,"215,000",,,,,,,,,,,
			AccumulatedDepreciation,,,,,,,,,,,,,,,,,"-28,828,000","-25,013,000","-22,094,000","-19,816,000","-17,916,000","-16,027,000","-10,383,000","-8,522,000","-6,641,000","-4,760,000","-2,880,000","-1,004,000",,,,,,,,,,,
		GoodwillAndOtherIntangibleAssets,"84,978,000","75,864,000","68,703,000","64,510,000","68,922,000","66,116,000","58,693,000","57,328,000","62,253,000","57,088,000","45,768,000","34,931,000","35,339,000","37,940,000","25,057,000","25,020,000","25,297,000","27,619,000","16,446,000","8,680,000","9,610,000","10,533,000","13,560,000","14,773,000","15,838,000","16,926,000","18,147,000","19,424,000",,,,,,,,,,,
			OtherIntangibleAssets,"84,978,000","75,864,000","68,703,000","64,510,000","68,922,000","66,116,000","58,693,000","57,328,000","62,253,000","57,088,000","45,768,000","34,931,000","35,339,000","37,940,000","25,057,000","25,020,000","25,297,000","27,619,000","16,446,000","8,680,000","9,610,000","10,533,000","13,560,000","14,773,000","15,838,000","16,926,000","18,147,000","19,424,000",,,,,,,,,,,
		InvestmentProperties,"1,286,066,000","1,111,815,000","932,838,000","842,097,000","832,415,000","788,398,000","697,366,000","657,572,000","665,187,000","591,911,000","508,063,000","423,058,000","412,495,000","411,331,000","310,235,000","288,054,000","275,399,000","278,389,000","168,041,000","119,510,000","121,207,000","123,059,000","128,170,000","129,714,000","131,590,000","133,448,000","135,255,000","137,108,000",,,,,,,,,,,
		InvestmentsAndAdvances,"0","5,833,000","6,008,000","6,186,000","6,410,000","6,683,000",,,,,,,,,,,,,,,,"0","2,968,000","2,987,000","3,065,000","3,520,000","3,701,000","3,722,000","4,628,411","4,652,842","4,713,590","4,830,938","1,356,082","1,413,474","1,621,112","1,642,027","1,766,477",,
			LongTermEquityInvestment,"0","5,833,000","6,008,000","6,186,000","6,410,000","6,683,000",,,,,,,,,,,,,,,,"0","2,968,000","2,987,000","3,065,000","3,520,000","3,701,000","3,722,000",,,,"4,830,938","1,356,082","1,413,474","1,621,112","1,642,027","1,766,477",,
				InvestmentsinJointVenturesatCost,"0","5,833,000","6,008,000","6,186,000","6,410,000","6,683,000",,,,,,,,,,,,,,,,"0","2,968,000","2,987,000","3,065,000","3,520,000","3,701,000","3,722,000",,,,"4,830,938","1,356,082","1,413,474","1,621,112",,,,
			InvestmentinFinancialAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,
