name,03/31/2022
TotalAssets,"133,119,135"
	CurrentAssets,"96,695"
		CashCashEquivalentsAndShortTermInvestments,"18,129"
			CashAndCashEquivalents,"18,129"
				CashFinancial,"18,129"
		PrepaidAssets,"78,566"
	TotalNonCurrentAssets,"133,022,440"
		InvestmentsAndAdvances,"133,022,440"
			InvestmentinFinancialAssets,"133,022,440"
				AvailableForSaleSecurities,"133,022,440"
TotalLiabilitiesNetMinorityInterest,"133,680,279"
	CurrentLiabilities,"503,071"
		PayablesAndAccruedExpenses,"503,071"
			CurrentAccruedExpenses,"503,071"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"133,177,208"
		DerivativeProductLiabilities,"154,768"
		PreferredSecuritiesOutsideStockEquity,"133,022,440"
TotalEquityGrossMinorityInterest,"-561,144"
	StockholdersEquity,"-561,144"
		CapitalStock,"416"
			PreferredStock,"0"
			CommonStock,"416"
		AdditionalPaidInCapital,"806,490"
		RetainedEarnings,"-1,368,050"
TotalCapitalization,"-561,144"
CommonStockEquity,"-561,144"
NetTangibleAssets,"-561,144"
WorkingCapital,"-406,376"
InvestedCapital,"-561,144"
TangibleBookValue,"-561,144"
ShareIssued,"196,503,710"
OrdinarySharesNumber,"196,503,710"
