name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991
TotalAssets,"26,100,324,000","25,940,645,000","21,314,019,000","20,488,033,000","19,770,552,000","18,504,206,000","17,926,067,000","16,906,648,000","15,158,384,000","13,683,999,000","13,718,792,000","12,676,361,000","12,073,779,000","12,115,484,000","11,909,102,000","11,897,644,000","11,658,778,000","9,706,349,000","9,798,602,000","9,899,494,000","9,553,908,000","9,450,600,000","9,316,875,000","9,199,442,000","9,120,742,000","9,089,232,000","8,764,299,000","8,589,810,000","8,475,096,000","8,306,507,000","8,109,810,000","7,890,094,000","7,830,723,000","7,884,350,000","8,047,930,000","7,996,816,000","7,609,237,000","7,747,440,000","7,632,205,000","7,434,102,000","7,241,845,000","7,187,906,000","7,042,689,000","6,978,320,000","6,909,864,000","6,759,287,000","6,272,659,000","6,294,836,000","6,225,868,000","6,191,795,000","5,708,300,000","5,638,424,000","5,580,800,000","5,553,970,000","5,173,109,000","5,027,868,000","4,834,872,000","4,817,330,000","4,700,257,000","4,672,955,000","4,459,013,000","4,467,739,000","4,126,696,000","3,913,382,000","3,800,158,000","3,706,344,000","3,589,880,000","3,531,935,000","3,306,440,000","3,010,737,000","3,002,699,000","2,915,909,000","2,829,041,000","2,739,633,000","2,683,074,000","2,511,361,000","2,322,506,000","2,281,344,000","2,223,814,000","2,137,568,000","2,083,555,000","2,085,747,000","2,094,965,000","2,134,096,000","2,132,779,000","1,056,712,000","1,026,041,000","1,023,992,000","992,895,000","884,117,000","835,300,000","819,300,000","733,600,000","666,700,000","664,500,000","599,500,000","590,500,000","580,400,000","574,000,000","567,600,000","552,400,000","546,000,000","412,000,000","408,500,000","398,200,000","388,100,000","376,800,000","358,800,000","341,600,000","339,800,000","325,500,000","318,500,000","293,100,000","288,000,000","286,300,000","294,500,000","276,900,000","268,100,000","265,100,000","217,400,000","205,400,000","197,200,000","185,600,000","181,900,000","175,300,000"
TotalLiabilitiesNetMinorityInterest,"23,166,131,000","22,763,023,000","18,926,403,000","18,134,078,000","17,475,167,000","16,197,165,000","15,670,978,000","14,702,933,000","13,021,740,000","11,723,266,000","11,765,391,000","10,988,985,000","10,522,929,000","10,599,630,000","10,416,490,000","10,423,652,000","10,204,754,000","8,507,292,000","8,592,401,000","8,689,537,000","8,418,668,000","8,333,731,000","8,169,096,000","8,074,783,000","8,027,062,000","8,012,582,000","7,689,491,000","7,533,359,000","7,421,572,000","7,278,460,000","7,069,330,000","6,880,079,000","6,845,763,000","6,921,100,000","7,100,123,000","7,067,814,000","6,694,957,000","6,846,491,000","6,742,048,000","6,557,921,000","6,377,848,000","6,337,679,000","6,191,301,000","6,113,548,000","6,069,975,000","5,921,083,000","5,419,005,000","5,449,088,000","5,387,413,000","5,505,905,000","5,010,198,000","4,948,760,000","4,898,815,000","4,877,030,000","4,614,118,000","4,478,225,000","4,291,924,000","4,288,754,000","4,184,985,000","4,173,284,000","3,986,577,000","4,011,596,000","3,715,686,000","3,560,552,000","3,455,767,000","3,373,105,000","3,284,480,000","3,234,176,000","3,032,991,000","2,740,553,000","2,739,721,000","2,673,845,000","2,576,140,000","2,501,794,000","2,454,969,000","2,281,096,000","2,102,728,000","2,069,095,000","2,017,622,000","1,942,760,000","1,901,049,000","1,908,764,000","1,923,370,000","1,968,383,000","1,973,715,000","958,261,000","933,878,000","935,560,000","905,095,000","804,996,000","756,300,000","740,300,000","653,400,000","591,500,000","590,800,000","535,500,000","528,800,000","520,300,000","516,200,000","511,800,000","499,200,000","493,700,000","372,700,000","369,600,000","359,400,000","349,800,000","340,000,000","323,100,000","306,800,000","306,100,000","292,300,000","286,400,000","261,800,000","257,500,000","256,600,000","266,100,000","249,600,000","241,600,000","239,200,000","193,400,000","182,300,000","174,800,000","163,600,000","160,500,000","154,400,000"
TotalEquityGrossMinorityInterest,"2,934,193,000","3,177,622,000","2,387,616,000","2,353,955,000","2,295,385,000","2,307,041,000","2,255,089,000","2,203,715,000","2,136,644,000","1,960,733,000","1,953,401,000","1,687,376,000","1,550,850,000","1,515,854,000","1,492,612,000","1,473,992,000","1,454,024,000","1,199,057,000","1,206,201,000","1,209,957,000","1,135,240,000","1,116,869,000","1,147,779,000","1,124,659,000","1,093,680,000","1,076,650,000","1,074,808,000","1,056,451,000","1,053,524,000","1,028,047,000","1,040,480,000","1,010,015,000","984,960,000","963,250,000","947,807,000","929,002,000","914,280,000","900,949,000","890,157,000","876,181,000","863,997,000","850,227,000","851,388,000","864,772,000","839,889,000","838,204,000","853,654,000","845,748,000","838,455,000","685,890,000","698,102,000","689,664,000","681,985,000","676,940,000","558,991,000","549,643,000","542,948,000","528,576,000","515,272,000","499,671,000","472,436,000","456,143,000","411,010,000","352,830,000","344,391,000","333,239,000","305,400,000","297,759,000","273,449,000","270,184,000","262,978,000","242,064,000","252,901,000","237,839,000","228,105,000","230,265,000","219,778,000","212,249,000","206,192,000","194,808,000","182,506,000","176,983,000","171,595,000","165,713,000","159,064,000","98,451,000","92,163,000","88,432,000","87,800,000","79,121,000","79,000,000","79,000,000","80,200,000","75,200,000","73,700,000","64,000,000","61,700,000","60,100,000","57,800,000","55,800,000","53,200,000","52,300,000","39,300,000","38,900,000","38,800,000","38,300,000","36,800,000","35,700,000","34,800,000","33,700,000","33,200,000","32,100,000","31,300,000","30,500,000","29,700,000","28,400,000","27,300,000","26,500,000","25,900,000","24,000,000","23,100,000","22,400,000","22,000,000","21,400,000","20,900,000"
	StockholdersEquity,"2,934,193,000","3,177,622,000","2,387,616,000","2,353,955,000","2,295,385,000","2,307,041,000","2,255,089,000","2,203,715,000","2,136,644,000","1,960,733,000","1,953,401,000","1,687,376,000","1,550,850,000","1,515,854,000","1,492,612,000","1,473,992,000","1,454,024,000","1,199,057,000","1,206,201,000","1,209,957,000","1,135,240,000","1,116,869,000","1,147,779,000","1,124,659,000","1,093,680,000","1,076,650,000","1,074,808,000","1,056,451,000","1,053,524,000","1,028,047,000","1,040,480,000","1,010,015,000","984,960,000","963,250,000","947,807,000","929,002,000","914,280,000","900,949,000","890,157,000","876,181,000","863,997,000","850,227,000","851,388,000","864,772,000","839,889,000","838,204,000","853,654,000","845,748,000","838,455,000","685,890,000","698,102,000","689,664,000","681,985,000","676,940,000","558,991,000","549,643,000","542,948,000","528,576,000","515,272,000","499,671,000","472,436,000","456,143,000","411,010,000","352,830,000","344,391,000","333,239,000","305,400,000","297,759,000","273,449,000","270,184,000","262,978,000","242,064,000","252,901,000","237,839,000","228,105,000","230,265,000","219,778,000","212,249,000","206,192,000","194,808,000","182,506,000","176,983,000","171,595,000","165,360,000","158,713,000","98,113,000","91,838,000","88,121,000","87,495,000","78,813,000","78,700,000","78,700,000","79,900,000","74,900,000","73,400,000","63,700,000","61,400,000","59,600,000","57,300,000","55,300,000","52,800,000","51,900,000","38,900,000","38,500,000","38,300,000","37,800,000","36,200,000","35,200,000","34,300,000","33,200,000","32,700,000","31,600,000","30,800,000","30,000,000","29,200,000","27,900,000","26,800,000","25,900,000","25,000,000","24,000,000","23,100,000","22,400,000","22,000,000","21,400,000","20,900,000"
		CapitalStock,"1,108,000","1,107,000","955,000","955,000","955,000","954,000","954,000","954,000","954,000","923,000","922,000","866,000","846,000","845,000","845,000","845,000","845,000","780,000","780,000","780,000","766,000","765,000","765,000","762,000","762,000","761,000","755,000","755,000","755,000","750,000","750,000","745,000","745,000","744,000","743,000","736,000","720,000","719,000","719,000","719,000","719,000","719,000","719,000","719,000","719,000","719,000","719,000","719,000","719,000","616,000","615,000","615,000","615,000","613,000","543,000","540,000","539,000","536,000","536,000","535,000","527,000","523,000","338,000","324,000","323,000","322,000","313,000","313,000","309,000","245,000","245,000","245,000","245,000","194,000","193,000","193,000","175,000","173,000","172,000","172,000","171,000","169,000","167,000","166,000","161,000","114,000","114,000","114,000","104,000","96,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,"0",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"1,108,000","1,107,000","955,000","955,000","955,000","954,000","954,000","954,000","954,000","923,000","922,000","866,000","846,000","845,000","845,000","845,000","845,000","780,000","780,000","780,000","766,000","765,000","765,000","762,000","762,000","761,000","755,000","755,000","755,000","750,000","750,000","745,000","745,000","744,000","743,000","736,000","720,000","719,000","719,000","719,000","719,000","719,000","719,000","719,000","719,000","719,000","719,000","719,000","719,000","616,000","615,000","615,000","615,000","613,000","543,000","540,000","539,000","536,000","536,000","535,000","527,000","523,000","338,000","324,000","323,000","322,000","313,000","313,000","309,000","245,000","245,000","245,000","245,000","194,000","193,000","193,000","175,000","173,000","172,000","172,000","171,000","169,000","167,000","166,000","161,000","114,000","114,000","114,000","104,000","96,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"2,339,405,000","2,338,814,000","1,497,939,000","1,496,488,000","1,495,438,000","1,495,053,000","1,493,928,000","1,492,817,000","1,491,651,000","1,378,534,000","1,375,785,000","1,139,289,000","1,051,299,000","1,051,253,000","1,050,463,000","1,049,724,000","1,048,860,000","797,997,000","797,381,000","796,707,000","749,381,000","749,107,000","748,463,000","737,379,000","736,664,000","736,368,000","720,639,000","720,073,000","719,506,000","708,356,000","707,821,000","692,343,000","692,196,000","690,918,000","689,751,000","672,035,000","642,285,000","641,737,000","641,737,000","641,656,000","641,647,000","642,882,000","642,880,000","642,878,000","642,876,000","643,894,000","643,674,000","643,512,000","643,371,000","497,493,000","495,663,000","495,223,000","494,874,000","491,794,000","387,331,000","380,161,000","378,547,000","374,728,000","373,474,000","371,289,000","350,065,000","344,265,000","310,685,000","269,340,000","265,765,000","262,383,000","240,197,000","238,941,000","229,496,000","227,614,000","225,647,000","224,933,000","225,597,000","222,636,000","221,216,000","220,624,000","176,560,000","173,408,000","171,457,000","170,894,000","169,386,000","167,371,000","163,384,000","162,572,000","158,294,000","101,828,000","101,756,000","101,757,000","87,410,000","81,193,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,"841,489,000","810,342,000","811,063,000","766,070,000","719,072,000","667,944,000","629,109,000","580,035,000","544,315,000","541,050,000","528,599,000","503,773,000","474,818,000","473,183,000","471,021,000","443,705,000","421,342,000","402,259,000","403,373,000","406,771,000","389,505,000","374,379,000","381,713,000","366,105,000","350,933,000","337,532,000","345,407,000","330,183,000","315,236,000","301,197,000","309,234,000","292,721,000","276,731,000","261,943,000","247,330,000","232,849,000","221,200,000","210,531,000","199,845,000","189,753,000","180,122,000","173,139,000","168,139,000","196,536,000","194,000,000","193,063,000","192,819,000","192,724,000","188,851,000","188,129,000","186,678,000","196,208,000","193,552,000","185,776,000","176,738,000","171,017,000","159,579,000","150,195,000","139,023,000","128,355,000","118,054,000","108,286,000","97,533,000","87,644,000","78,171,000","69,713,000","60,682,000","51,808,000","43,467,000","36,391,000","29,005,000","21,489,000","14,888,000","8,393,000","2,740,000","-3,089,000","34,244,000","28,557,000","22,912,000","16,926,000","11,699,000","7,687,000","3,761,000","563,000","-2,586,000","-4,087,000","-6,057,000","-8,194,000","4,664,000","2,622,000","1,400,000","-300,000","18,000,000","16,100,000","33,700,000","27,200,000","25,600,000","24,000,000","22,700,000","21,200,000","19,700,000","18,400,000","11,000,000","10,700,000","16,400,000","15,400,000","14,400,000","13,300,000","17,700,000","16,800,000","16,100,000","15,000,000","18,500,000","17,700,000","17,100,000","16,000,000","19,300,000","18,400,000","17,700,000","16,800,000","18,900,000","18,300,000","17,900,000","17,300,000","16,800,000"
		GainsLossesNotAffectingRetainedEarnings,"-247,809,000","27,359,000","77,659,000","90,442,000","79,920,000","143,090,000","131,098,000","129,909,000","99,724,000","40,226,000","48,095,000","43,448,000","23,887,000","-9,427,000","-29,717,000","-20,282,000","-17,023,000","-1,979,000","4,667,000","5,699,000","-4,412,000","-7,382,000","16,838,000","20,413,000","5,321,000","1,989,000","8,007,000","5,440,000","18,027,000","17,744,000","22,675,000","24,206,000","15,288,000","9,645,000","9,983,000","23,382,000","50,075,000","47,962,000","47,856,000","44,053,000","41,509,000","33,487,000","39,650,000","24,639,000","2,294,000","528,000","16,442,000","8,793,000","5,514,000","-348,000","15,146,000","-2,382,000","-7,056,000","-1,243,000","-5,621,000","-2,075,000","4,283,000","3,117,000","2,239,000","-508,000","3,790,000","3,069,000","2,454,000","-4,478,000","132,000","821,000","4,208,000","6,697,000","177,000","5,934,000","8,081,000","-4,603,000","12,171,000","6,616,000","3,956,000","12,537,000","8,799,000","10,111,000","11,651,000","6,816,000","1,250,000","1,756,000","4,283,000","2,059,000","2,844,000","258,000","-3,975,000","-5,556,000","-4,683,000","-5,098,000",,,,,,,,,"900,000","400,000","-400,000",,"-700,000","-600,000","300,000","700,000","100,000",,"-200,000","-500,000","-300,000","-300,000",,,,,,,,,,,,,
