name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002
TotalAssets,"1,309,050,000","1,303,640,000","1,258,260,000","1,244,950,000","1,543,300,000","1,193,880,000","1,075,520,000","1,184,900,000","1,320,420,000","1,192,700,000","1,185,210,000","1,171,780,000","1,157,080,000","1,100,520,000","1,076,570,000","1,053,860,000","1,045,130,000","1,033,200,000","1,053,330,000","1,053,130,000","1,052,890,000","1,051,650,000","1,158,400,000","1,150,200,000","1,171,580,000","1,170,300,000","1,312,960,000","1,335,010,000","1,673,740,000","1,661,750,000","1,341,250,000","1,364,640,000","1,348,950,000","1,300,780,000","1,432,320,000","1,239,320,000","1,220,620,000","1,130,960,000","1,145,290,000","1,101,570,000","1,067,260,000","986,540,000","957,860,000","949,880,000","935,320,000","924,160,000","899,500,000","865,300,000","841,950,000","825,780,000","844,010,000","848,810,000","885,360,000","930,220,000","1,166,010,000","1,165,110,000","1,149,440,000","1,127,990,000","1,317,010,000","1,300,730,000","1,300,150,000","1,286,060,000","1,415,330,000","1,444,410,000","1,440,770,000","1,428,510,000","1,501,480,000","1,509,520,000","1,539,930,000","1,522,200,000","1,578,370,000","1,540,510,000","1,510,070,000","1,500,030,000","1,547,630,000","1,582,530,000","1,525,780,000","1,410,770,000"
	CurrentAssets,"383,970,000","431,770,000","443,370,000","422,460,000","718,920,000","351,830,000","374,730,000","348,360,000","485,340,000","434,040,000","394,610,000","378,210,000","409,960,000","411,810,000","386,090,000","353,540,000","332,920,000","311,270,000","319,150,000","312,570,000","308,870,000","308,800,000","331,780,000","321,520,000","334,440,000","326,620,000","380,050,000","388,870,000","591,900,000","558,620,000","552,190,000","582,790,000","566,220,000","515,010,000","695,740,000","503,510,000","494,250,000","437,790,000","460,240,000","460,090,000","425,180,000","431,690,000","399,440,000","390,980,000","376,990,000","366,770,000","364,650,000","334,900,000","305,820,000","279,770,000","292,310,000","293,410,000","315,840,000","348,220,000","370,290,000","348,430,000","333,660,000","313,960,000","321,880,000","320,370,000","328,080,000","311,600,000","316,030,000","334,880,000","333,300,000","315,660,000","310,320,000","315,620,000","332,740,000","302,500,000","341,030,000","305,500,000","273,950,000","269,180,000","294,420,000","327,930,000","272,260,000","315,530,000"
		CashCashEquivalentsAndShortTermInvestments,"53,690,000","129,790,000","125,800,000","106,250,000","409,980,000","62,790,000","99,740,000","65,250,000","206,110,000","172,470,000","57,940,000","40,280,000","84,410,000","108,150,000","79,630,000","53,400,000","36,670,000","27,580,000","24,760,000","22,680,000","22,640,000","20,710,000","22,550,000","23,660,000","25,420,000","19,450,000","22,460,000","26,170,000","23,730,000","24,420,000","30,070,000","38,380,000","31,820,000","27,000,000","209,350,000","18,830,000","21,260,000","20,580,000","26,090,000","29,280,000","14,960,000","88,920,000","10,540,000","10,070,000","14,910,000","46,370,000","46,510,000","24,590,000","6,630,000","9,480,000","24,770,000","5,360,000","4,540,000","3,910,000","4,650,000","6,860,000","5,510,000","4,800,000","4,160,000","2,720,000","3,900,000","3,600,000","3,880,000","1,400,000","1,710,000","3,730,000","2,240,000","3,860,000","3,920,000","3,090,000","3,190,000","5,810,000","6,920,000","6,780,000","10,780,000","22,380,000","30,660,000","100,440,000"
			CashAndCashEquivalents,"53,690,000","129,790,000","125,800,000","106,250,000","409,980,000","62,790,000","99,740,000","65,250,000","206,110,000","172,470,000","57,940,000","40,280,000","84,410,000","108,150,000","79,630,000","53,400,000","36,670,000","27,580,000","24,760,000","22,680,000","22,640,000","20,710,000","22,550,000","23,660,000","25,420,000","19,450,000","22,460,000","26,170,000","23,730,000","24,420,000","30,070,000","38,380,000","31,820,000","27,000,000","209,350,000","18,830,000","21,260,000","20,580,000","26,090,000","29,280,000","14,960,000","88,920,000","10,540,000","10,070,000","14,910,000","46,370,000","46,510,000","24,590,000","6,630,000","9,480,000","24,770,000","5,360,000","4,540,000","3,910,000","4,650,000","6,860,000","5,510,000","4,800,000","4,160,000","2,720,000","3,900,000","3,600,000","3,880,000","1,400,000","1,710,000","3,730,000","2,240,000","3,860,000","3,920,000","3,090,000","3,190,000","5,810,000","6,920,000","6,780,000","10,780,000","22,380,000","30,660,000","100,440,000"
		Receivables,"150,500,000","125,630,000","135,010,000","135,220,000","128,000,000","113,410,000","118,750,000","123,320,000","122,580,000","108,860,000","152,220,000","150,410,000","139,360,000","123,110,000","132,630,000","132,500,000","128,850,000","112,220,000","125,410,000","123,790,000","119,240,000","111,570,000","130,440,000","124,620,000","131,630,000","121,990,000","144,600,000","140,150,000","220,380,000","196,320,000","222,140,000","246,340,000","226,380,000","180,210,000","201,110,000","207,860,000","193,160,000","150,390,000","185,040,000","186,720,000","179,820,000","135,610,000","151,970,000","171,070,000","159,850,000","117,050,000","128,480,000","137,820,000","128,650,000","93,380,000","99,360,000","111,880,000","112,740,000","104,760,000","136,500,000","127,470,000","106,390,000","89,370,000","105,600,000","114,420,000","122,700,000","99,240,000","100,870,000","104,680,000","95,000,000","89,960,000","119,050,000","115,990,000","127,370,000","93,390,000","150,150,000","131,670,000","108,260,000","118,970,000","136,010,000","147,380,000","88,490,000","95,580,000"
			AccountsReceivable,"150,500,000","125,630,000","135,010,000","135,220,000","128,000,000","113,410,000","118,750,000","123,320,000","122,580,000","108,860,000","152,220,000","150,410,000","139,360,000","123,110,000","132,630,000","132,500,000","128,850,000","112,220,000","125,410,000","123,790,000","119,240,000","111,570,000","130,440,000","124,620,000","131,630,000","121,990,000","144,600,000","140,150,000","220,380,000","196,320,000","222,140,000","246,340,000","226,380,000","180,210,000","201,110,000","207,860,000","193,160,000","150,390,000","188,840,000","186,720,000",,,,,,,,,,,,,,,"136,500,000","127,470,000","106,390,000","89,370,000","105,600,000","114,420,000","122,700,000","99,240,000","100,870,000","104,680,000","95,000,000","89,960,000",,,,,,,,,,,,
				GrossAccountsReceivable,"151,800,000","127,230,000","136,410,000","136,720,000","130,400,000","115,510,000","122,050,000","127,020,000","124,980,000","110,960,000","155,720,000","154,110,000","142,960,000",,"136,730,000","136,600,000","132,950,000","116,350,000","130,610,000","128,790,000","123,240,000","116,150,000","134,740,000","128,520,000","136,130,000","125,700,000","148,100,000","142,750,000","225,780,000","201,670,000","226,940,000","250,940,000","230,080,000","183,820,000","204,610,000","212,060,000","197,160,000","154,070,000",,"190,520,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,300,000","-1,600,000","-1,400,000","-1,500,000","-2,400,000","-2,100,000","-3,300,000","-3,700,000","-2,400,000","-2,100,000","-3,500,000","-3,700,000","-3,600,000",,"-4,100,000","-4,100,000","-4,100,000","-4,130,000","-5,200,000","-5,000,000","-4,000,000","-4,580,000","-4,300,000","-3,900,000","-4,500,000","-3,710,000","-3,500,000","-2,600,000","-5,400,000","-5,350,000","-4,800,000","-4,600,000","-3,700,000","-3,610,000","-3,500,000","-4,200,000","-4,000,000","-3,680,000",,"-3,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"0",,,,,,,,,,,,,,,"0","0","0","0","0","0",,"0","0","0","0","0",,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,"-5,200,000","-5,000,000","-4,000,000",,"-4,300,000","-3,900","-4,500",,"-3,500,000","-2,600,000","-5,400,000",,,"-4,600,000",,,,"-4,200,000",,,"-3,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
