name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986
TotalRevenue,"4,025,100,000","1,002,500,000","990,100,000","993,800,000","1,038,700,000","864,200,000","786,700,000","765,600,000","690,500,000","833,600,000","885,000,000","1,024,600,000","1,306,900,000","1,136,600,000","1,233,100,000","1,228,500,000","1,402,500,000","1,260,900,000","1,063,600,000","1,111,200,000","1,181,700,000","1,006,900,000","974,700,000","1,056,400,000","1,297,700,000","1,426,900,000","1,577,700,000","1,641,300,000","1,828,500,000","1,495,600,000","1,789,400,000","1,809,800,000","2,055,100,000","1,654,600,000","1,642,100,000","1,810,600,000","1,908,200,000","1,723,100,000","1,695,500,000","1,822,000,000","2,011,500,000","1,819,400,000","1,956,600,000","1,803,600,000","1,488,200,000","1,256,200,000","1,326,600,000","1,075,800,000","1,079,900,000","935,900,000","194,200,000","1,226,100,000","1,320,200,000","1,302,600,000","2,076,400,000","2,514,600,000","2,935,900,000","2,362,700,000","2,586,300,000","2,196,500,000","2,342,200,000","2,012,700,000","2,029,500,000","1,903,700,000","2,080,600,000","1,749,200,000","1,628,800,000","1,541,400,000","1,759,100,000","1,451,100,000","1,375,700,000","1,252,200,000","1,336,400,000","1,043,800,000","1,138,100,000","872,300,000","1,007,400,000","927,700,000","851,100,000","674,100,000","690,200,000","582,000,000","442,100,000","453,700,000","439,300,000","477,400,000","446,600,000","475,100,000","593,500,000","553,500,000","489,600,000","495,600,000","448,100,000","423,300,000","320,400,000","318,700,000","333,500,000","260,600,000","219,700,000","214,100,000","232,200,000","176,300,000","156,800,000","165,700,000","182,800,000","282,000,000","263,300,000","283,300,000","269,400,000","214,100,000","213,400,000","207,100,000","198,200,000","168,100,000","150,800,000","164,100,000","172,300,000","261,400,000","310,500,000","265,400,000","209,300,000","227,100,000","200,600,000","187,400,000","216,600,000","179,600,000","230,000,000","239,700,000","287,200,000","266,300,000","304,400,000","260,800,000","122,600,000","103,100,000","107,100,000","89,000,000","79,600,000","68,000,000","50,100,000","50,100,000","50,100,000","50,000,000","8,200,000","8,200,000","8,200,000","8,100,000"
	OperatingRevenue,"4,025,100,000","1,002,500,000","990,100,000","993,800,000","1,038,700,000","864,200,000","786,700,000","765,600,000","690,500,000","833,600,000","885,000,000","1,024,600,000","1,306,900,000","1,136,600,000","1,233,100,000","1,228,500,000","1,402,500,000","1,260,900,000","1,063,600,000","1,111,200,000","1,181,700,000","1,006,900,000","974,700,000","1,056,400,000","1,297,700,000","1,426,900,000","1,577,700,000","1,641,300,000","1,828,500,000","1,495,600,000","1,789,400,000","1,809,800,000","2,055,100,000","1,654,600,000","1,642,100,000","1,810,600,000","1,908,200,000","1,723,100,000","1,695,500,000","1,822,000,000","2,011,500,000","1,819,400,000","1,956,600,000","1,803,600,000","1,488,200,000","1,256,200,000","1,326,600,000","1,075,800,000","1,079,900,000","935,900,000","194,200,000","1,226,100,000","1,320,200,000","1,302,600,000","2,076,400,000","2,514,600,000","2,935,900,000","2,362,700,000","2,586,300,000","2,196,500,000","2,342,200,000","2,012,700,000","2,029,500,000","1,903,700,000","2,080,600,000","1,749,200,000","1,628,800,000","1,541,400,000","1,759,100,000","1,451,100,000","1,375,700,000","1,252,200,000","1,336,400,000","1,043,800,000","1,138,100,000","872,300,000","1,007,400,000","927,700,000","851,100,000","674,100,000","690,200,000","582,000,000","442,100,000","453,700,000","439,300,000","477,400,000","446,600,000","475,100,000","593,500,000","553,500,000","489,600,000","495,600,000","448,100,000","423,300,000","320,400,000","318,700,000","333,500,000","260,600,000","219,700,000","214,100,000","232,200,000","176,300,000","156,800,000","165,700,000","182,800,000","282,000,000","263,300,000","283,300,000","269,400,000","214,100,000","213,400,000","207,100,000","198,200,000","168,100,000","150,800,000","164,100,000","172,300,000","261,400,000","310,500,000","265,400,000","209,300,000","227,100,000","200,600,000","187,400,000","216,600,000","179,600,000","230,000,000","239,700,000","287,200,000","266,300,000","304,400,000","260,800,000","122,600,000","103,100,000","107,100,000","89,000,000","79,600,000","68,000,000","50,100,000","50,100,000","50,100,000","50,000,000","8,200,000","8,200,000","8,200,000","8,100,000"
CostOfRevenue,"3,257,300,000","816,700,000","818,200,000","815,300,000","807,100,000","688,800,000","637,500,000","619,300,000","583,400,000","696,900,000","716,400,000","815,000,000","1,035,100,000","898,800,000","1,009,300,000","995,700,000","1,123,200,000","1,030,000,000","859,600,000","892,200,000","941,000,000","854,600,000","870,000,000","872,500,000","1,055,600,000","1,203,400,000","1,266,600,000","1,304,700,000","1,444,300,000","1,219,000,000","1,450,400,000","1,452,500,000","1,631,300,000","1,321,200,000","1,273,700,000","1,423,500,000","1,551,700,000","1,395,600,000","1,387,900,000","1,443,400,000","1,582,900,000","1,488,600,000","1,654,000,000","1,528,000,000","1,273,300,000","1,089,000,000","1,141,000,000","911,900,000","925,000,000","837,400,000","301,300,000","1,116,500,000","1,192,300,000","1,158,100,000","1,760,100,000","2,068,400,000","2,284,700,000","1,848,700,000","2,087,700,000","1,732,200,000","1,835,100,000","1,600,700,000","1,654,000,000","1,536,300,000","1,673,400,000","1,433,900,000","1,382,300,000","1,298,300,000","1,476,900,000","1,244,900,000","1,211,900,000","1,066,000,000","1,141,400,000","883,500,000","985,400,000","743,500,000","895,300,000","798,000,000","786,300,000","585,400,000","578,300,000","490,700,000","369,800,000","408,200,000","359,100,000","398,800,000","366,400,000","378,300,000","476,800,000","445,600,000","399,300,000","399,000,000","365,500,000","346,500,000","254,900,000","255,500,000","268,800,000","211,900,000","181,600,000","173,900,000","189,900,000","145,800,000","159,600,000","137,100,000","156,200,000","240,200,000","225,000,000","245,600,000","235,600,000","188,200,000","185,700,000","179,000,000","175,100,000","149,200,000","141,700,000","145,800,000","151,300,000","232,600,000","271,600,000","238,400,000","188,900,000","201,000,000","177,900,000","158,200,000","188,600,000","150,400,000",,,,,,,,,,,,,,,,,,,,
GrossProfit,"767,800,000","185,800,000","171,900,000","178,500,000","231,600,000","175,400,000","149,200,000","146,300,000","107,100,000","136,700,000","168,600,000","209,600,000","271,800,000","237,800,000","223,800,000","232,800,000","279,300,000","230,900,000","204,000,000","219,000,000","240,700,000","152,300,000","104,700,000","183,900,000","242,100,000","223,500,000","311,100,000","336,600,000","384,200,000","276,600,000","339,000,000","357,300,000","423,800,000","333,400,000","368,400,000","387,100,000","356,500,000","327,500,000","307,600,000","378,600,000","428,600,000","330,800,000","302,600,000","275,600,000","214,900,000","167,200,000","185,600,000","163,900,000","154,900,000","98,500,000","-107,100,000","109,600,000","127,900,000","144,500,000","316,300,000","446,200,000","651,200,000","514,000,000","498,600,000","464,300,000","507,100,000","412,000,000","375,500,000","367,400,000","407,200,000","315,300,000","246,500,000","243,100,000","282,200,000","206,200,000","163,800,000","186,200,000","195,000,000","160,300,000","152,700,000","128,800,000","112,100,000","129,700,000","64,800,000","88,700,000","111,900,000","91,300,000","72,300,000","45,500,000","80,200,000","78,600,000","80,200,000","96,800,000","116,700,000","107,900,000","90,300,000","96,600,000","82,600,000","76,800,000","65,500,000","63,200,000","64,700,000","48,700,000","38,100,000","40,200,000","42,300,000","30,500,000","-2,800,000","28,600,000","26,600,000","41,800,000","38,300,000","37,700,000","33,800,000","25,900,000","27,700,000","28,100,000","23,100,000","18,900,000","9,100,000","18,300,000","21,000,000","28,800,000","38,900,000","27,000,000","20,400,000","26,100,000","22,700,000","29,200,000","28,000,000","29,200,000",,,,,,,,,,,,,,,,,,,,
OperatingExpense,"426,800,000","111,300,000","102,100,000","104,300,000","109,100,000","113,900,000","117,600,000","109,800,000","99,700,000","143,800,000","145,700,000","123,200,000","145,800,000","138,100,000","177,100,000","160,900,000","175,900,000","159,600,000","164,200,000","154,800,000","164,800,000","158,600,000","200,800,000","144,300,000","168,700,000","265,200,000","225,600,000","224,700,000","235,900,000","232,400,000","268,600,000","240,500,000","262,900,000","258,400,000","243,900,000","246,200,000","271,200,000","259,100,000","279,700,000","246,700,000","253,600,000","267,000,000","271,500,000","223,000,000","208,100,000","176,500,000","186,100,000","160,300,000","165,300,000","165,000,000","100,100,000","204,100,000","213,600,000","217,000,000","248,200,000","279,000,000","280,300,000","257,700,000","258,700,000","228,000,000","222,600,000","211,300,000","206,100,000","176,300,000","194,000,000","170,500,000","181,400,000","141,600,000","145,300,000","134,700,000","141,400,000","115,000,000","119,200,000","112,000,000","129,600,000","86,500,000","144,100,000","88,400,000","100,300,000","54,700,000","73,300,000","59,800,000","52,800,000","41,800,000","41,000,000","40,600,000","51,300,000","49,400,000","53,200,000","52,900,000","51,900,000","46,800,000","35,600,000","36,300,000","35,300,000","30,500,000","31,500,000","24,900,000","21,300,000","21,000,000","23,200,000","17,100,000","18,900,000","19,700,000","15,900,000","31,000,000","28,400,000","29,900,000","32,800,000","19,900,000","18,600,000","22,000,000","25,600,000","26,200,000","19,900,000","26,000,000","28,300,000","41,600,000","48,000,000","36,300,000","24,200,000","29,900,000","48,900,000","31,700,000","32,000,000","33,700,000",,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"426,800,000","111,300,000","102,100,000","104,300,000","109,100,000","113,900,000","117,600,000","109,800,000","99,700,000","143,800,000","145,700,000","123,200,000","145,800,000","138,100,000","177,100,000","160,900,000","175,900,000","159,600,000","164,200,000","154,800,000","164,800,000","158,600,000","200,800,000","144,300,000","168,700,000","265,200,000","225,600,000","224,700,000","235,900,000","232,400,000","268,600,000","240,500,000","262,900,000","258,400,000","243,900,000","246,200,000","271,200,000","259,100,000","279,700,000","246,700,000","242,800,000","267,000,000","271,500,000","223,000,000","208,100,000","176,500,000","186,100,000","160,300,000","165,300,000","165,000,000","100,100,000","204,100,000","213,600,000","217,000,000","248,200,000","279,000,000","280,300,000","257,700,000","258,700,000","228,000,000","222,600,000","211,300,000","206,100,000","176,300,000","194,000,000","170,500,000","178,100,000","141,600,000","145,300,000","134,700,000","141,400,000","115,000,000","119,200,000","112,000,000","129,600,000","86,500,000","92,800,000","88,400,000","100,300,000","54,700,000","73,300,000","59,800,000","49,000,000","41,800,000","41,000,000","40,600,000","41,200,000","39,300,000","43,100,000","41,700,000","39,600,000","38,700,000","29,700,000","30,400,000","29,400,000","26,000,000","27,400,000","21,000,000","17,400,000","17,800,000","19,200,000","14,100,000","16,800,000","14,800,000","16,300,000","23,900,000","21,900,000","23,000,000","23,200,000","15,200,000","14,800,000","17,600,000","22,000,000","21,400,000","15,100,000","20,100,000","21,700,000","33,600,000","36,700,000","33,800,000","24,200,000","26,200,000","44,500,000","28,000,000","28,300,000","29,800,000",,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,800,000",,,,,,,,,,,,,,,,,,,,,"300,000",,,,,,,,,,,,,,,,,,,,,,,,,"10,100,000","10,100,000","10,100,000","11,200,000","12,300,000","8,100,000","5,900,000","5,900,000","5,900,000","4,500,000","4,100,000","3,900,000","3,900,000","3,200,000","4,000,000","3,000,000","2,100,000","4,900,000","-400,000","7,100,000","6,500,000","6,900,000","9,600,000","4,700,000","3,800,000","4,400,000","3,600,000","4,800,000","4,800,000","5,900,000","6,600,000","8,000,000","11,300,000","2,500,000",,"3,700,000","4,400,000","3,700,000","3,700,000","3,900,000",,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,800,000",,,,,,,,,,,,,,,,,,,,,"300,000",,,,,,,,,,,,,,,,,,,,,,,,,"10,100,000","10,100,000","10,100,000","11,200,000","12,300,000","8,100,000","5,900,000","5,900,000","5,900,000","4,500,000","4,100,000","3,900,000","3,900,000","3,200,000","4,000,000","3,000,000","2,100,000","4,900,000","-400,000","7,100,000","6,500,000","6,900,000","9,600,000","4,700,000","3,800,000","4,400,000","3,600,000","4,800,000","4,800,000","5,900,000","6,600,000","8,000,000","11,300,000","2,500,000",,"3,700,000","4,400,000","3,700,000","3,700,000","3,900,000",,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,800,000",,,,,,,,,,,,,,,,,,,,,"300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,800,000",,,,,,,,,,,,,,,,,,,,,"300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
