name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002
TotalAssets,"36,860,000,000","36,811,000,000","37,549,000,000","36,784,000,000","30,351,000,000","19,229,000,000","18,977,000,000","17,906,000,000","19,051,000,000","19,067,000,000","18,078,000,000","18,106,000,000","18,355,000,000","17,903,000,000","18,024,000,000","17,449,000,000","17,323,000,000","17,003,000,000","16,465,000,000","16,271,000,000","15,749,000,000","16,459,000,000","16,325,000,000","16,808,000,000","16,171,000,000","15,154,000,000","14,965,000,000","14,002,000,000","14,347,000,000","14,926,000,000","13,272,000,000","12,710,000,000","12,465,000,000","12,292,788,000","14,544,944,000","14,162,587,000","13,761,297,000","13,069,030,000","12,814,001,000","12,569,734,000","12,025,559,000","11,524,161,000","10,985,043,000","10,353,088,000","10,025,986,000","9,679,102,000","9,297,120,000","9,112,322,000","8,972,655,000","8,867,265,000","8,681,068,000","8,872,842,000","9,051,645,000","9,163,178,000","9,066,581,000","9,164,937,000","8,745,967,000","8,616,981,000","8,553,584,000","8,137,863,000","7,700,317,000","7,355,399,000","6,998,285,000","7,067,428,000","7,109,249,000","7,329,234,000","7,227,613,000","6,914,577,000","6,882,337,000","6,647,241,000","6,596,223,000","3,944,461,000","3,928,284,000","3,951,572,000","3,841,610,000","3,700,688,000","3,722,407,000","3,455,116,000"
	CurrentAssets,"6,249,000,000","6,173,000,000","2,841,000,000","2,359,000,000","2,552,000,000","2,595,000,000","2,420,000,000","1,195,000,000","2,069,000,000","2,191,000,000","1,923,000,000","2,175,000,000","2,505,000,000","2,580,000,000","2,660,000,000","2,459,000,000","2,824,000,000","3,010,000,000","2,901,000,000","3,064,000,000","2,940,000,000","3,298,000,000","3,454,000,000","4,699,000,000","4,081,000,000","3,194,000,000","2,403,000,000","1,305,000,000","1,694,000,000","2,359,000,000","1,491,000,000","1,380,000,000","1,542,000,000","1,728,434,000","1,533,261,000","1,465,192,000","1,196,414,000","1,050,355,000","1,579,884,000","1,284,033,000","1,367,109,000","1,479,297,000","1,103,643,000","1,071,107,000","1,235,593,000","1,197,183,000","689,476,000","712,578,000","587,026,000","616,118,000","422,962,000","481,850,000","448,708,000","486,911,000","685,398,000","858,010,000","688,637,000","765,055,000","1,307,125,000","597,222,000","513,814,000","536,558,000","518,155,000","895,071,000","1,212,638,000","623,804,000","649,636,000","544,876,000","487,861,000","312,199,000","259,219,000","247,660,000","222,713,000","205,115,000","195,738,000","185,228,000","184,545,000","147,093,000"
		CashCashEquivalentsAndShortTermInvestments,"3,256,000,000","4,040,000,000","725,000,000","245,000,000","845,000,000","1,565,000,000","1,392,000,000","265,000,000","826,000,000","818,000,000","588,000,000","987,000,000","1,303,000,000","1,440,000,000","1,476,000,000","1,183,000,000","1,723,000,000","2,114,000,000","1,993,000,000","2,199,000,000","2,209,000,000","2,559,000,000","2,624,000,000","3,298,000,000","2,505,000,000","1,391,000,000","581,000,000","219,000,000","383,000,000","1,025,000,000","550,000,000","445,000,000","257,000,000","392,646,000","744,120,000","695,625,000","430,298,000","229,396,000","333,886,000","317,769,000","316,918,000","537,484,000","210,565,000","352,421,000","520,651,000","111,160,000","78,165,000","197,686,000","189,272,000","27,368,000","96,895,000","128,153,000","44,476,000","48,337,000","66,817,000","43,282,000","17,320,000","12,171,000","19,271,000","25,318,000","13,350,000","7,033,000","100,072,000","457,042,000","42,982,000","18,802,000","64,508,000","58,451,000","16,039,000","7,257,000","2,949,000","15,212,000","9,022,000","19,299,000","12,651,000","12,156,000","6,858,000","8,490,000"
			CashAndCashEquivalents,"2,385,000,000","3,847,000,000","581,000,000","93,000,000","668,000,000","1,442,000,000","1,325,000,000","180,000,000","784,000,000","631,000,000","437,000,000","643,000,000","511,000,000","825,000,000","919,000,000","792,000,000","1,001,000,000","896,000,000","636,000,000","660,000,000","663,000,000","1,118,000,000","891,000,000","1,825,000,000","1,612,000,000","1,391,000,000","581,000,000","219,000,000","383,000,000","1,025,000,000","550,000,000","445,000,000","257,000,000","392,646,000","744,120,000","695,625,000","430,298,000","229,396,000","333,886,000","317,769,000","316,918,000","537,484,000","210,565,000","352,421,000","520,651,000","111,160,000","78,165,000","197,686,000","34,540,000","27,368,000","55,615,000","64,323,000","44,476,000","48,337,000","66,817,000","43,282,000","17,320,000","12,171,000","19,271,000","25,318,000","13,350,000","7,033,000","100,072,000","457,042,000","42,982,000","18,802,000","64,508,000","58,451,000","16,039,000","7,257,000","2,949,000","15,212,000","9,022,000","19,299,000","12,651,000","12,156,000","6,858,000","8,490,000"
				CashFinancial,,,,,,,,,"784,000,000","631,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"871,000,000","193,000,000","144,000,000","152,000,000","177,000,000","123,000,000","67,000,000","85,000,000","42,000,000","187,000,000","151,000,000","344,000,000","792,000,000","615,000,000","557,000,000","391,000,000","722,000,000","1,218,000,000","1,357,000,000","1,539,000,000","1,546,000,000","1,441,000,000","1,733,000,000","1,473,000,000","893,000,000",,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0",,"154,732,000",,"41,280,000","63,830,000","0",,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"2,397,000,000","1,685,000,000","1,681,000,000","1,671,000,000","1,274,000,000","699,000,000","684,000,000","587,000,000","564,000,000","1,042,000,000","859,000,000","795,000,000","883,000,000","821,000,000","883,000,000","860,000,000","833,000,000","647,000,000","650,000,000","492,000,000","430,000,000","521,000,000","473,000,000","939,000,000","854,000,000","926,000,000","910,000,000","412,000,000","365,000,000","463,000,000","512,000,000","472,000,000","439,000,000","438,269,000","423,620,000","351,415,000","360,611,000","327,600,000","310,696,000","254,910,000","299,057,000","283,816,000","280,500,000","272,852,000","308,193,000","276,204,000","220,049,000","214,403,000","265,039,000","356,770,000","153,807,000","181,708,000","179,763,000","268,126,000","344,207,000","427,528,000","335,628,000","323,878,000","328,034,000","260,669,000","226,519,000","224,064,000","161,476,000","166,982,000","187,197,000","337,658,000","257,957,000","265,191,000","224,874,000","210,279,000","173,900,000","166,539,000","146,139,000","111,480,000","97,627,000","116,229,000","125,836,000","98,222,000"
			AccountsReceivable,"2,397,000,000","1,685,000,000","1,680,000,000","1,670,000,000","1,273,000,000","695,000,000","662,000,000","566,000,000","555,000,000","1,035,000,000","853,000,000","789,000,000","877,000,000","814,000,000","876,000,000","853,000,000","826,000,000","640,000,000","649,000,000","491,000,000","427,000,000","518,000,000","447,000,000","434,000,000","351,000,000","385,000,000","413,000,000","390,000,000","343,000,000","440,000,000","490,000,000","465,000,000","439,000,000","433,485,000","413,452,000","350,488,000","359,217,000","320,153,000","298,320,000","250,192,000","297,700,000","275,991,000","272,154,000","266,476,000","276,338,000","237,511,000","211,066,000","212,821,000","261,281,000","331,748,000","137,517,000","152,931,000","164,126,000","207,553,000","294,891,000","378,080,000","295,507,000","283,832,000","239,732,000","199,378,000","214,384,000","199,371,000","161,476,000","166,982,000","187,197,000","336,062,000","257,086,000","262,189,000","222,742,000","207,696,000","173,343,000","166,120,000","145,733,000","111,033,000","97,388,000","115,791,000","125,374,000","97,774,000"
				GrossAccountsReceivable,,"1,694,000,000",,,,"698,000,000","662,000,000","566,000,000","555,000,000","1,037,000,000","853,000,000","789,000,000","877,000,000","814,000,000","876,000,000","853,000,000","826,000,000","640,000,000","649,000,000","491,000,000","427,000,000","518,000,000","447,000,000","434,000,000","351,000,000","385,000,000","413,000,000","390,000,000","343,000,000","440,000,000","490,000,000","465,000,000","439,000,000","433,485,000","413,452,000","350,488,000","359,217,000","321,001,000","299,152,000","250,898,000","298,389,000","276,797,000","272,909,000","267,532,000","277,509,000","238,666,000","213,360,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
