name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998
TotalAssets,"661,082,000","631,827,000","571,743,000","294,209,000","279,555,000","280,691,000","267,838,000","230,733,000","235,116,000","230,265,000","224,948,000","216,704,000","212,161,000","213,128,000","212,096,000","207,256,000","203,234,000","207,449,000","215,793,000","186,430,000","188,031,000","210,457,000","215,353,000","215,682,000","221,467,000","228,593,000","264,056,000","297,366,000","301,475,000","315,513,000","330,330,000","324,511,000","323,265,000","321,423,000","327,803,000","310,847,000","317,404,000","320,786,000","311,137,000","271,469,000","270,368,000","227,727,000","228,565,000","218,223,000","216,556,000","212,679,000","216,942,000","205,517,000","81,349,000","83,791,000","84,741,000","85,352,000","86,217,000","87,177,000","87,221,000","87,694,000","88,333,000","88,680,000","87,503,000","87,257,000","87,195,000","86,673,000","86,360,000","85,887,000","86,049,000","88,278,000","85,757,000","85,652,000","86,667,000","86,437,000","87,785,000","90,306,000","89,026,000","89,445,000","89,617,000","90,194,000","95,622,000","97,764,000","108,202,000","114,675,000","135,647,000","145,274,000","201,121,000","220,954,000","243,093,000","266,904,000","304,800,000","312,428,000","290,285,000","48,700,000","34,000,000","35,700,000","38,300,000","40,100,000","43,600,000","40,000,000"
	CurrentAssets,"251,795,000","226,946,000","210,684,000","154,050,000","138,819,000","142,122,000","129,582,000","122,697,000","126,921,000","120,872,000","122,274,000","112,413,000","107,492,000","108,501,000","107,545,000","100,908,000","96,010,000","99,444,000","106,484,000","143,080,000","144,981,000","166,945,000","170,812,000","171,026,000","175,204,000","182,382,000","186,752,000","144,137,000","151,817,000","158,560,000","162,332,000","143,046,000","108,353,000","106,381,000","112,665,000","97,878,000","102,481,000","104,542,000","118,265,000","121,033,000","120,398,000","76,997,000","80,112,000","68,282,000","66,172,000","62,603,000","64,222,000","52,458,000","80,712,000","83,095,000","83,965,000","84,492,000","85,271,000","86,145,000","86,103,000","86,490,000","87,040,000","87,299,000","86,029,000","85,702,000","85,565,000","84,974,000","84,615,000","84,060,000","84,139,000","85,326,000","83,634,000","83,456,000","84,336,000","84,028,000","85,289,000","86,312,000","88,450,000","89,369,000","89,576,000","90,130,000","95,554,000","96,887,000","105,028,000","109,900,000","118,291,000","126,321,000","133,337,000","148,403,000","166,837,000","184,690,000","219,628,000","232,625,000","271,008,000","32,300,000","17,500,000","20,100,000","22,100,000","24,400,000","35,300,000","32,300,000"
		CashCashEquivalentsAndShortTermInvestments,"16,451,000","19,465,000","10,170,000","6,782,000","6,525,000","17,789,000","17,027,000","21,538,000","12,796,000","1,703,000","1,851,000","1,969,000","2,522,000","2,486,000","3,005,000","2,571,000","2,196,000","1,856,000","1,672,000","63,433,000","73,581,000","94,738,000","95,955,000","98,369,000","96,245,000","98,225,000","35,508,000","44,334,000","36,787,000","40,936,000","42,793,000","4,605,000","4,385,000","4,478,000","4,394,000","2,054,000","4,127,000","5,111,000","14,287,000","43,423,000","41,644,000","2,400,000","1,677,000","1,655,000","5,232,000","2,767,000","1,592,000","3,292,000","80,629,000","82,422,000","83,777,000","84,290,000","85,091,000","86,012,000","85,919,000","86,294,000","86,954,000","87,109,000","85,815,000","85,303,000","84,610,000","84,365,000","84,028,000","83,500,000","83,662,000","84,871,000","83,253,000","83,028,000","83,879,000","83,496,000","84,655,000","84,948,000","87,467,000","88,730,000","88,596,000","89,120,000","94,686,000","95,110,000","102,577,000","107,305,000","113,574,000","120,892,000","125,538,000","135,800,000","150,999,000","168,512,000","186,370,000","207,336,000","247,920,000","14,100,000","5,900,000","8,100,000","10,400,000","14,800,000","24,000,000","26,100,000"
			CashAndCashEquivalents,"16,451,000","19,465,000","10,170,000","6,782,000","6,525,000","17,789,000","17,027,000","21,538,000","12,796,000","1,703,000","1,851,000","1,969,000","2,522,000","2,486,000","3,005,000","2,571,000","2,196,000","1,856,000","1,672,000","63,433,000","73,581,000","94,738,000","95,955,000","88,268,000","86,335,000","88,401,000","26,273,000","34,409,000","26,843,000","31,034,000","42,793,000","4,605,000","4,385,000","4,478,000","4,394,000","2,054,000","4,127,000","5,111,000","14,287,000","43,423,000","41,644,000","2,400,000","1,677,000","1,655,000","5,232,000","2,767,000","1,592,000","3,292,000","56,938,000","58,363,000","58,856,000","65,676,000","56,314,000","19,342,000","11,866,000","16,929,000","22,393,000","41,886,000","20,722,000","14,246,000","17,051,000","1,731,000","1,362,000","6,282,000","3,294,000","23,270,000","15,873,000","29,478,000","46,988,000","48,377,000","46,299,000","34,798,000","38,667,000","15,045,000","10,894,000","52,041,000","49,665,000","42,225,000","17,745,000","38,676,000","32,822,000","55,628,000","78,303,000","81,910,000","114,481,000","118,303,000","141,256,000","191,161,000","247,920,000","14,100,000","5,900,000","8,100,000","10,400,000","14,800,000","24,000,000","26,100,000"
				CashFinancial,"16,451,000","19,465,000","10,170,000","6,782,000","6,525,000","17,789,000","17,027,000","21,538,000","12,796,000","1,703,000","1,851,000","1,969,000","2,522,000","2,486,000","3,005,000","2,571,000","2,196,000","1,856,000","1,672,000",,,"94,738,000","95,955,000","88,268,000","86,335,000","88,401,000","26,273,000","34,409,000","26,843,000","31,034,000","42,793,000","4,605,000","4,385,000","4,478,000","4,394,000","2,054,000","4,127,000","5,111,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,"0",,"10,101,000","9,910,000","9,824,000","9,235,000","9,925,000","9,944,000","9,902,000",,,,,,,,,,,,,,,,"0","0","0","23,691,000","24,059,000","24,921,000","18,614,000","28,777,000","66,670,000","74,053,000","69,365,000","64,561,000","45,223,000","65,093,000","71,057,000","67,559,000","82,634,000","82,666,000","77,218,000","80,368,000","61,601,000","67,380,000","53,550,000","36,891,000","35,119,000","38,356,000","50,150,000","48,800,000","73,685,000","77,702,000","37,079,000","45,021,000","52,885,000","84,832,000","68,629,000","80,752,000","65,264,000","47,235,000","53,890,000","36,518,000","50,209,000","45,114,000","16,175,000",,,,,,,,
		Receivables,"69,788,000","66,296,000","68,330,000","51,489,000","49,788,000","50,592,000","43,114,000","24,282,000","39,160,000","41,950,000","41,717,000","32,945,000","37,634,000","35,967,000","39,338,000","32,504,000","36,295,000","35,817,000","35,414,000","22,814,000","24,861,000","23,317,000","28,004,000","23,342,000","29,548,000","29,324,000","31,901,000","27,037,000","41,178,000","44,067,000","44,113,000","28,793,000","44,449,000","40,365,000","44,314,000","31,610,000","35,961,000","31,584,000","34,424,000","20,000,000","29,815,000","22,718,000","28,732,000","18,280,000","24,799,000","20,669,000","26,643,000","13,874,000","3,000","6,000","10,000","23,000","29,000","24,000","10,000","9,000","3,000","15,000","3,000","87,000","340,000","402,000","387,000","306,000","342,000","320,000","235,000","194,000","196,000","350,000","262,000","666,000","602,000","507,000",,,,"467,000","963,000","999,000","2,438,000","2,566,000","3,890,000","6,598,000","8,454,000","8,126,000","20,915,000","16,293,000","14,026,000","10,500,000","9,600,000","11,200,000","11,000,000","9,000,000","10,900,000","5,800,000"
			AccountsReceivable,"69,530,000","66,180,000","68,045,000","51,235,000","49,788,000","50,475,000","42,582,000","23,895,000","38,834,000","41,628,000","41,717,000","32,545,000","37,634,000","35,943,000","39,295,000","32,461,000","36,252,000","35,817,000","35,414,000","22,780,000","24,828,000","23,232,000","27,298,000","20,835,000","27,014,000","26,774,000","30,115,000","25,154,000","35,617,000","38,734,000","44,113,000","28,709,000","44,279,000","40,316,000","44,022,000","31,302,000","35,810,000","30,925,000","33,932,000","19,676,000","29,815,000","22,718,000","28,435,000","17,793,000","24,534,000","20,293,000","25,304,000","13,874,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"467,000","963,000","999,000","2,438,000","2,566,000","3,890,000","6,598,000","8,454,000","8,126,000",,,,,,,,,,
				GrossAccountsReceivable,"70,813,000","66,991,000","68,754,000","51,886,000","50,484,000","51,908,000","44,042,000","25,369,000","39,723,000",,"42,245,000","33,165,000","38,203,000","36,335,000","39,790,000","32,912,000","36,860,000","36,199,000","35,825,000","23,179,000","25,176,000","23,631,000","27,688,000","21,171,000","27,410,000","26,958,000","30,365,000","25,867,000","36,415,000","39,458,000","44,697,000","29,317,000","45,026,000","40,957,000","44,755,000","31,882,000","36,460,000","31,424,000","34,483,000","20,148,000","30,235,000",,"28,877,000","18,164,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,283,000","-811,000","-709,000","-651,000","-696,000","-1,433,000","-1,460,000","-1,474,000","-889,000",,"-528,000","-620,000","-569,000","-392,000","-495,000","-451,000","-608,000","-382,000","-411,000","-399,000","-348,000","-399,000","-390,000","-336,000","-396,000","-184,000","-250,000","-713,000","-798,000","-724,000","-584,000","-608,000","-747,000","-641,000","-733,000","-580,000","-650,000","-499,000","-551,000","-472,000","-420,000",,"-442,000","-371,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
