name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001
OperatingCashFlow,"8,400,000,000","2,541,000,000","1,672,000,000","2,504,000,000","1,683,000,000","2,505,000,000","3,813,000,000","-1,150,000,000","5,510,000,000","2,515,000,000","1,327,000,000","1,667,000,000","1,437,000,000","1,630,000,000","463,000,000","606,900,000","542,200,000","2,214,900,000","-1,301,200,000","2,404,700,000","393,100,000","2,688,200,000","274,700,000","963,500,000","662,000,000","1,304,300,000","949,100,000","343,400,000","1,173,000,000","1,650,500,000","305,100,000","605,700,000","1,071,000,000","1,387,500,000","272,800,000","1,397,400,000","425,200,000","956,900,000","759,800,000","240,200,000","521,500,000","1,223,100,000","57,900,000","1,429,800,000","771,800,000","1,114,900,000","587,000,000","896,500,000","256,100,000","-322,900,000","29,700,000","1,439,600,000","377,600,000","1,192,000,000","497,300,000","892,800,000","111,500,000","1,033,800,000","1,104,300,000","533,300,000","725,900,000","1,981,100,000","1,430,900,000","614,700,000","201,000,000","1,797,600,000","963,800,000","928,300,000","654,100,000","710,500,000","620,500,000","409,600,000","-34,400,000","307,500,000","417,700,000","331,500,000","145,200,000","249,000,000","367,200,000","380,500,000","60,100,000","183,300,000","142,800,000"
	CashFlowFromContinuingOperatingActivities,"8,400,000,000","2,541,000,000","1,672,000,000","2,504,000,000","1,683,000,000","2,505,000,000","3,813,000,000","-1,150,000,000","5,510,000,000","2,515,000,000","1,327,000,000","1,667,000,000","1,437,000,000","1,630,000,000","463,000,000","606,900,000","542,200,000","2,214,900,000","-1,301,200,000","2,404,700,000","393,100,000","2,688,200,000","274,700,000","963,500,000","662,000,000","1,304,300,000","949,100,000","343,400,000","1,173,000,000","1,650,500,000","305,100,000","605,700,000","1,071,000,000","1,387,500,000","272,800,000","1,397,400,000","425,200,000","956,900,000","759,800,000","240,200,000","521,500,000","1,223,100,000","57,900,000","1,429,800,000","771,800,000","1,114,900,000","587,000,000","896,500,000","256,100,000","-322,900,000","29,700,000","1,439,600,000","377,600,000","1,192,000,000","497,300,000","892,800,000","111,500,000","1,033,800,000","1,104,300,000","533,300,000","725,900,000","1,981,100,000","1,430,900,000","614,700,000","201,000,000","1,797,600,000","963,800,000","928,300,000","654,100,000","710,500,000","620,500,000","409,600,000","-34,400,000","307,500,000","417,700,000","331,500,000","145,200,000","249,000,000","367,200,000","380,500,000","60,100,000","183,300,000","142,800,000"
		NetIncomeFromContinuingOperations,"6,223,000,000","1,795,000,000","1,125,000,000","1,502,000,000","1,801,000,000","1,667,000,000","551,000,000","222,000,000","2,276,000,000","1,523,000,000","934,000,000","1,183,000,000","1,139,000,000","1,551,000,000","425,000,000","959,100,000","1,053,400,000","1,312,500,000","1,230,700,000","746,900,000","855,300,000","1,009,900,000","368,400,000","617,800,000","780,600,000","703,000,000","180,900,000","654,800,000","859,100,000","865,200,000","506,700,000","630,900,000","731,100,000","697,800,000","370,000,000","656,200,000","800,100,000","885,200,000","464,200,000","691,200,000","643,600,000","856,500,000","335,300,000","683,200,000","701,600,000","926,600,000","548,800,000","739,100,000","722,400,000","876,800,000","2,741,800,000","730,200,000","693,500,000","580,400,000","331,400,000","820,700,000","750,500,000","588,100,000","859,100,000","868,000,000","835,000,000","783,300,000","801,100,000","810,800,000","752,600,000","730,400,000","649,900,000","642,800,000","559,400,000","611,700,000","185,300,000","242,100,000","237,900,000","295,600,000","208,800,000","196,500,000","177,300,000","191,700,000","171,900,000","171,200,000","106,200,000","99,800,000","87,700,000"
		OperatingGainsLosses,"-778,000,000","-2,000,000","-773,000,000","61,000,000","-172,000,000","4,000,000","59,000,000","-247,000,000","-18,000,000","24,000,000","-5,000,000","13,000,000","-4,000,000","-68,000,000","199,000,000","-19,900,000","900,000","34,000,000","15,100,000","-106,000,000","-9,300,000","1,500,000","-15,900,000","-74,900,000","13,600,000","192,200,000","100,000","43,600,000","-70,200,000","-31,600,000","-32,400,000","-12,200,000","-54,300,000","-30,800,000","-80,900,000","-66,500,000","-43,500,000","21,800,000","-60,400,000","-54,600,000","-70,500,000","-106,900,000","-41,600,000","-94,900,000","-41,500,000","-57,100,000","-47,600,000","-61,600,000","-36,500,000","-48,400,000","-3,828,300,000","-52,200,000","-320,700,000","352,500,000","543,200,000",,,"45,600,000",,,,,"-11,100,000","-4,600,000",,,,,,,,,,,,,,,"-17,200,000",,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,"2,000,000",,,,"6,000,000","1,500,000",,,"9,500,000","3,100,000","-300,000","700,000","1,000,000","2,900,000","400,000","200,000","2,200,000","12,600,000","300,000","900,000","-2,100,000","-300,000","600,000","100,000","-1,200,000","2,700,000","1,700,000","700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-778,000,000","-2,000,000","-773,000,000","61,000,000","-172,000,000","4,000,000","59,000,000","-247,000,000","-18,000,000","24,000,000","-7,000,000","12,000,000","-4,000,000","-68,000,000","193,000,000","-21,400,000","400,000","34,000,000","5,600,000","-109,100,000","-9,000,000","800,000","-16,900,000","-77,800,000","13,200,000","192,000,000","-2,100,000","31,000,000","-70,500,000","-32,500,000","-30,300,000","-11,900,000","-54,900,000","-30,900,000","-79,700,000","-69,200,000","-45,200,000","21,100,000","-65,100,000","-54,600,000","-70,500,000","-106,900,000","-41,600,000","-94,900,000","-41,500,000","-57,100,000","-47,600,000","-61,600,000","-36,500,000","-48,400,000","-36,000,000","-52,200,000","-320,700,000","352,500,000","543,200,000",,,"45,600,000",,,,,"-11,100,000","-4,600,000",,,,,,,,,,,,,,,"-17,200,000",,,,
		DeferredTax,"203,000,000","-92,000,000","212,000,000","122,000,000","-39,000,000","31,000,000","-438,000,000","-162,000,000","3,000,000","57,000,000","110,000,000","-108,000,000","24,000,000","55,000,000","-50,000,000","139,100,000","53,400,000","-51,500,000","-1,034,600,000","-27,600,000","-52,700,000","-157,200,000","45,300,000","-18,100,000","26,400,000","73,300,000","-53,100,000","-60,300,000","-23,100,000","70,600,000","-77,400,000","59,400,000","-36,500,000","85,200,000","71,100,000","-26,400,000","5,300,000","9,100,000","-127,800,000","167,700,000","27,700,000","59,900,000","-77,000,000","40,000,000","66,600,000","44,700,000","-9,200,000","43,300,000","27,500,000","40,200,000","69,000,000","-25,800,000","28,600,000","-10,500,000","-159,200,000","-348,200,000","32,000,000","-6,000,000","123,900,000","-1,300,000","-131,000,000","-97,100,000","245,900,000","68,300,000","-142,100,000","101,600,000","-43,500,000","-14,100,000","-99,500,000","54,500,000","-103,500,000","-15,600,000","37,400,000","-21,700,000","-56,200,000","19,600,000","39,000,000","62,000,000","12,800,000","20,600,000","16,300,000","13,600,000","16,500,000"
			DeferredIncomeTax,"203,000,000","-92,000,000","212,000,000","122,000,000","-39,000,000","31,000,000","-438,000,000","-162,000,000","3,000,000","57,000,000","110,000,000","-108,000,000","24,000,000","55,000,000","-50,000,000","139,100,000","53,400,000","-51,500,000","-1,034,600,000","-27,600,000","-52,700,000","-157,200,000","45,300,000","-18,100,000","26,400,000","73,300,000","-53,100,000","-60,300,000","-23,100,000","70,600,000","-77,400,000","59,400,000","-36,500,000","85,200,000","71,100,000","-26,400,000","5,300,000","9,100,000","-127,800,000","167,700,000","27,700,000","59,900,000","-77,000,000","40,000,000","66,600,000","44,700,000","-9,200,000","43,300,000","27,500,000","40,200,000","69,000,000","-25,800,000","28,600,000","-10,500,000","-159,200,000","-348,200,000","32,000,000","-6,000,000","123,900,000","-1,300,000","-131,000,000","-97,100,000","245,900,000","68,300,000","-142,100,000","101,600,000","-43,500,000","-14,100,000","-99,500,000","54,500,000","-103,500,000","-15,600,000","37,400,000","-21,700,000","-56,200,000","19,600,000","39,000,000","62,000,000","12,800,000","20,600,000","16,300,000","13,600,000","16,500,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131,000,000","121,400,000","111,900,000","108,700,000","112,700,000","115,400,000","109,600,000","108,100,000","120,000,000","119,300,000","118,900,000","115,300,000","118,200,000","120,100,000","112,400,000","123,000,000","118,800,000","116,600,000","113,500,000","225,100,000",,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,"73,000,000",,,,"3,000,000",,,,,,,,,,,,,,,,,,,,"1,800,000","0","0","0","4,000,000","1,700,000","100,000","2,100,000",,,,,"46,200,000","3,800,000","5,900,000","10,900,000","59,600,000","22,900,000","8,400,000","2,400,000","105,700,000","3,200,000","6,100,000","40,800,000","97,500,000",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
