name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,12/31/2013,12/31/2011,09/30/2011,06/30/2011,12/31/2010
TotalAssets,"3,047,144,000","2,761,483,000","2,467,499,000","2,394,789,000","2,133,642,000","2,108,075,000","1,634,164,000","1,578,973,000","1,733,301,000","1,574,352,000","1,500,677,000","1,383,467,000","1,338,419,000","1,328,185,000","1,426,268,000","1,183,204,000","1,158,200,000","1,159,460,000","1,139,778,000","1,001,869,000","985,413,000","977,879,000","975,079,000","910,869,000","915,176,000","880,870,000","820,154,000","803,558,000","782,553,000","760,197,000","760,438,000","727,613,000","692,152,000","534,437,000","486,133,000","454,204,000","421,767,000"
	CurrentAssets,"2,576,449,000","2,293,951,000","1,981,197,000","1,904,675,000","1,646,548,000","1,651,007,000","1,253,537,000","1,203,732,000","1,366,042,000","1,208,116,000","1,144,094,000","1,028,199,000","984,102,000","996,102,000","1,095,140,000","854,787,000","829,905,000","830,758,000","810,771,000","672,257,000","659,166,000","647,314,000","646,467,000","582,226,000","587,567,000","531,226,000","468,676,000","450,718,000","457,894,000","440,775,000","447,245,000","411,389,000","390,547,000",,,,
		CashCashEquivalentsAndShortTermInvestments,"131,692,000","165,477,000","229,088,000","394,353,000","324,328,000","297,273,000","490,033,000","321,472,000","161,076,000","35,895,000","69,945,000","65,503,000","92,829,000","52,917,000","164,122,000","47,414,000","69,900,000","68,684,000","110,054,000","46,209,000","97,030,000","39,934,000","45,681,000","39,167,000","112,211,000","42,066,000","34,310,000","96,237,000","143,444,000","75,106,000","104,241,000","79,785,000","47,480,000","38,160,000","32,806,000","33,252,000","19,187,000"
			CashAndCashEquivalents,"131,692,000","165,477,000","229,088,000","394,353,000","324,328,000","297,273,000","490,033,000","321,472,000","161,076,000","35,895,000","69,945,000","65,503,000","92,829,000","52,917,000","164,122,000","47,414,000","69,900,000","68,684,000","110,054,000","46,209,000","97,030,000","39,934,000","45,681,000","39,167,000","112,211,000","42,066,000","34,310,000","96,237,000","143,444,000","75,106,000","104,241,000","79,785,000","47,480,000","38,160,000","32,806,000","33,252,000","19,187,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,160,000","32,806,000","33,252,000","19,187,000"
		Receivables,"2,348,607,000","2,068,068,000","1,693,056,000","1,457,516,000","1,272,341,000","1,281,807,000","718,487,000","838,713,000","1,162,224,000","1,127,152,000","1,053,430,000","939,734,000","865,882,000","918,843,000","910,121,000","778,510,000","725,240,000","732,614,000","670,851,000","599,412,000","536,526,000","581,074,000","561,514,000","508,458,000","454,448,000","460,185,000","406,266,000","332,835,000","279,055,000","323,611,000","303,708,000","291,966,000","303,467,000",,,,
			AccountsReceivable,,"1,964,690,000","1,635,282,000","1,408,703,000","1,230,711,000","1,241,506,000","693,370,000","799,662,000","1,093,207,000","1,062,650,000","1,001,154,000","892,582,000","815,856,000","859,946,000","838,783,000","750,131,000","703,076,000","704,705,000","637,736,000","563,996,000","515,463,000","561,550,000","542,865,000","489,990,000","428,202,000","434,633,000","380,805,000","317,454,000","279,055,000","323,611,000","303,694,000","291,966,000","303,467,000",,,,
				GrossAccountsReceivable,,,,,,,,,,"1,239,589,000","1,173,538,000","1,047,762,000","957,257,000","1,023,254,000","990,368,000","871,915,000","817,359,000","827,749,000","742,796,000","647,835,000","598,717,000","660,495,000","637,612,000","563,810,000","495,906,000","501,955,000","445,547,000","368,715,000","-51,220,000","388,559,000","-69,999,000","359,760,000","385,785,000",,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,"-176,939,000","-172,384,000","-155,180,000","-141,401,000","-163,308,000","-151,585,000","-121,784,000","-114,283,000","-123,044,000","-105,060,000","-83,839,000","-83,254,000","-98,945,000","-94,747,000","-73,820,000","-67,704,000","-67,322,000","-64,742,000","-51,261,000","330,275,000","-64,948,000","373,693,000","-67,794,000","-82,318,000",,,,
			LoansReceivable,"2,231,884,000","1,964,690,000","1,635,282,000","1,408,703,000","1,230,711,000","1,241,506,000","693,370,000","799,662,000","1,093,207,000","1,062,650,000","1,001,154,000","892,582,000","815,856,000","859,946,000","838,783,000","750,131,000","703,076,000","704,705,000","637,736,000","563,996,000","515,463,000","561,550,000","542,865,000","489,990,000","428,202,000","434,633,000","380,805,000","317,454,000","279,055,000","323,611,000","303,694,000","291,966,000","303,467,000",,,,
