name,03/31/2022,10/31/2021,01/31/2021
TotalAssets,"245,903,000","46,605,099","49,682,089"
	CurrentAssets,"215,183,000","17,632,805","23,717,465"
		CashCashEquivalentsAndShortTermInvestments,"206,626,000","13,124,285","22,202,388"
			CashAndCashEquivalents,"206,626,000","13,124,285","22,202,388"
				CashFinancial,"206,626,000","13,124,285","22,202,388"
		Receivables,"1,261,000","1,469,557","479,374"
			AccountsReceivable,"1,261,000","1,469,557","479,374"
		PrepaidAssets,"4,405,000","1,388,626","1,035,703"
		CurrentDeferredAssets,"151,000","1,650,337",
		HedgingAssetsCurrent,"2,740,000",,
	TotalNonCurrentAssets,"30,720,000","28,972,294","25,964,624"
		NetPPE,"23,943,000","22,396,418","20,140,872"
			GrossPPE,,"40,282,681","34,322,130"
				Properties,,"0","0"
				MachineryFurnitureEquipment,,"3,671,429","3,245,149"
				OtherProperties,,"32,357,746","26,999,335"
				Leases,,"4,253,506","4,077,646"
			AccumulatedDepreciation,,"-17,886,263","-14,181,258"
		GoodwillAndOtherIntangibleAssets,"5,377,000","5,377,255","5,377,255"
			Goodwill,"5,377,000","5,377,255","5,377,255"
		OtherNonCurrentAssets,"1,400,000","1,198,621","446,497"
TotalLiabilitiesNetMinorityInterest,"80,473,000","109,754,721","85,107,491"
	CurrentLiabilities,"11,567,000","5,343,996","3,203,050"
		PayablesAndAccruedExpenses,"8,683,000","4,713,003","2,711,223"
			Payables,"3,453,000","1,650,621","1,559,469"
				AccountsPayable,"3,453,000","1,650,621","1,107,924"
				TotalTaxPayable,,,"451,545"
			CurrentAccruedExpenses,"5,230,000","3,062,382","1,151,754"
				InterestPayable,,,"0"
		CurrentDebtAndCapitalLeaseObligation,"2,365,000",,
			CurrentDebt,"2,365,000",,
				OtherCurrentBorrowings,"2,365,000",,
		CurrentDeferredLiabilities,"519,000","630,993","491,827"
			CurrentDeferredRevenue,"519,000","630,993","491,827"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"68,906,000","104,410,725","81,904,441"
		LongTermDebtAndCapitalLeaseObligation,"27,678,000","18,198,250",
			LongTermDebt,"27,678,000","18,198,250",
		DerivativeProductLiabilities,"24,001,000","4,243,120",
		PreferredSecuritiesOutsideStockEquity,"0","81,523,141","81,523,141"
		OtherNonCurrentLiabilities,"17,227,000","446,214","381,300"
TotalEquityGrossMinorityInterest,"165,430,000","-63,149,622","-35,425,402"
	StockholdersEquity,"165,430,000","-63,149,622","-35,425,402"
		CapitalStock,"11,000","23","21"
			PreferredStock,"0",,
			CommonStock,"11,000","23","21"
		AdditionalPaidInCapital,"382,959,000","135,197,880","133,407,584"
		RetainedEarnings,"-217,601,000","-198,397,159","-168,889,832"
		GainsLossesNotAffectingRetainedEarnings,"61,000","49,634","56,825"
TotalCapitalization,"193,108,000","-44,951,372","-35,425,402"
CommonStockEquity,"165,430,000","-63,149,622","-35,425,402"
NetTangibleAssets,"160,053,000","-68,526,877","-40,802,657"
WorkingCapital,"203,616,000","12,288,809","20,514,415"
InvestedCapital,"195,473,000","-44,951,372","-35,425,402"
TangibleBookValue,"160,053,000","-68,526,877","-40,802,657"
TotalDebt,"30,043,000","18,198,250",
NetDebt,,"5,073,965",
ShareIssued,"113,810,285","113,810,285","113,810,285"
OrdinarySharesNumber,"113,810,285","113,810,285","113,810,285"
