name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,12/31/2008
TotalAssets,"5,651,100,000","5,919,100,000","5,970,600,000","5,558,900,000","5,282,200,000","4,044,500,000","3,586,200,000","3,330,600,000","3,206,200,000","3,885,500,000","3,545,600,000","3,369,400,000","3,205,700,000","3,078,000,000","2,763,500,000","2,575,700,000","2,400,700,000","2,257,916,000","2,395,279,000","2,360,691,000","2,267,383,000","2,139,941,000","2,010,160,000","1,960,178,000","1,811,521,000","1,790,510,000","1,707,173,000","1,604,876,000","1,498,303,000","1,424,774,000","1,312,601,000","1,265,112,000","1,200,031,000","1,168,464,000","1,128,142,000","1,085,746,000","1,032,729,000","975,497,000","913,268,000","851,245,000","788,444,000","734,747,000","670,987,000","635,235,000","587,753,000","545,422,000","488,447,000","447,597,000","404,209,000","387,213,000","230,478,000","210,568,000","199,105,000"
	CurrentAssets,"3,208,300,000","3,600,600,000","3,963,500,000","3,908,200,000","3,781,200,000","2,740,400,000","2,384,600,000","2,208,700,000","2,035,300,000","2,769,000,000","2,466,200,000","2,360,700,000","2,313,300,000","2,220,900,000","2,078,100,000","1,884,800,000","1,735,800,000","1,716,820,000","1,650,651,000","1,604,634,000","1,616,082,000","1,538,716,000","1,394,873,000","1,353,884,000","1,285,701,000","1,270,543,000","1,251,740,000","1,195,510,000","1,111,803,000","1,046,865,000","896,440,000","806,949,000","781,460,000","735,546,000","705,967,000","672,400,000","613,660,000","569,274,000","514,652,000","544,511,000","551,500,000","523,570,000","503,926,000","454,412,000","404,141,000","420,158,000","382,605,000","345,407,000","326,553,000","342,217,000","213,855,000","194,829,000","184,991,000"
		CashCashEquivalentsAndShortTermInvestments,"2,141,600,000","2,551,700,000","3,121,000,000","3,113,200,000","2,936,900,000","1,837,300,000","1,656,700,000","1,526,900,000","1,401,300,000","2,065,600,000","1,940,300,000","1,830,200,000","1,801,800,000","1,649,600,000","1,634,200,000","1,433,700,000","1,303,900,000","1,251,277,000","1,275,755,000","1,207,324,000","1,198,672,000","1,085,525,000","1,030,422,000","984,768,000","952,599,000","891,351,000","908,158,000","873,027,000","803,957,000","720,020,000","660,591,000","558,121,000","561,051,000","491,370,000","513,018,000","502,697,000","460,380,000","413,694,000","374,646,000","401,629,000","428,070,000","390,273,000","389,166,000","342,020,000","301,598,000","313,510,000","292,290,000","252,347,000","248,160,000","260,314,000","152,390,000","136,422,000","124,190,000"
			CashAndCashEquivalents,"923,500,000","1,319,100,000","1,852,100,000","1,879,300,000","1,860,200,000","1,061,800,000","882,300,000","916,400,000","626,100,000","1,222,500,000","1,175,500,000","1,022,100,000","1,216,900,000","1,112,400,000","1,169,300,000","972,100,000","835,600,000","811,004,000","905,794,000","853,137,000","823,249,000","709,003,000","647,513,000","596,380,000","568,008,000","543,277,000","540,712,000","481,393,000","386,352,000","283,254,000","258,096,000","203,947,000","172,968,000","115,873,000","144,546,000","123,468,000","97,384,000","122,975,000","75,466,000","81,226,000","74,783,000","71,990,000","66,630,000","78,019,000","68,981,000","66,859,000","77,139,000","116,435,000","174,255,000","212,458,000","74,233,000","51,819,000","56,571,000"
			OtherShortTermInvestments,"1,218,100,000","1,232,600,000","1,268,900,000","1,233,900,000","1,076,700,000","775,500,000","774,400,000","610,500,000","775,200,000","843,100,000","764,800,000","808,100,000","584,900,000","537,200,000","464,900,000","461,600,000","468,300,000","440,273,000","369,961,000","354,187,000","375,423,000","376,522,000","382,909,000","388,388,000","384,591,000","348,074,000","367,446,000","391,634,000","417,605,000","436,766,000","402,495,000","354,174,000","388,083,000","375,497,000","368,472,000","379,229,000","362,996,000","290,719,000","299,180,000","320,403,000","353,287,000","318,283,000","322,536,000","264,001,000","232,617,000","246,651,000","215,151,000","135,912,000","73,905,000","47,856,000","78,157,000","84,603,000","67,619,000"
		Receivables,"790,400,000","807,700,000","604,900,000","584,600,000","637,300,000","720,000,000","546,600,000","498,700,000","474,700,000","544,300,000","384,100,000","403,100,000","381,000,000","444,500,000","324,400,000","333,600,000","313,100,000","348,185,000","257,999,000","274,476,000","270,111,000","312,998,000","238,988,000","254,379,000","220,135,000","259,563,000","174,111,000","176,849,000","161,854,000","184,741,000","116,382,000","127,825,000","111,489,000","130,471,000","107,802,000","108,907,000","102,359,000","107,642,000","89,843,000","95,351,000","84,759,000","95,522,000","75,835,000","72,212,000","71,326,000","72,336,000","59,562,000","59,806,000","51,315,000","54,551,000","44,110,000","43,543,000","46,043,000"
			AccountsReceivable,"790,400,000","807,700,000","604,900,000","584,600,000","637,300,000","720,000,000","546,600,000","498,700,000","474,700,000","544,300,000","384,100,000","403,100,000","381,000,000","444,500,000","324,400,000","333,600,000","313,100,000","348,185,000","257,999,000","274,476,000","270,111,000","312,998,000","238,988,000","254,379,000","220,135,000","259,563,000","174,111,000","176,849,000","161,854,000","184,741,000","116,382,000","127,825,000","111,489,000","130,471,000","107,802,000","108,907,000","102,359,000","107,642,000","89,843,000","95,351,000","84,759,000","95,522,000","75,835,000","72,212,000","71,326,000","72,336,000","59,562,000","59,806,000","51,315,000","54,551,000","44,110,000","43,543,000","46,043,000"
				GrossAccountsReceivable,"792,900,000","810,100,000","607,500,000","587,300,000","640,400,000","722,500,000","548,800,000","500,900,000","475,800,000","545,500,000","384,900,000","403,900,000","381,800,000","445,400,000","325,100,000",,,"362,688,000","272,786,000","286,331,000","281,796,000","324,233,000","253,570,000","264,594,000","226,680,000","265,791,000","179,599,000","182,683,000","166,736,000","190,945,000","121,919,000","132,830,000","115,956,000","135,076,000",,,,"107,757,000","90,077,000","95,580,000","85,075,000","95,858,000","76,015,000","72,392,000",,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,500,000","-2,400,000","-2,600,000","-2,700,000","-3,100,000","-2,500,000","-2,200,000","-2,200,000","-1,100,000","-1,200,000","-800,000","-800,000","-800,000","-900,000","-700,000",,,"-14,503,000","-14,787,000","-11,855,000","-11,685,000","-11,235,000","-14,582,000","-10,215,000","-6,545,000","-6,228,000","-5,488,000","-5,834,000","-4,882,000","-6,204,000","-5,537,000","-5,005,000","-4,467,000","-4,605,000",,,,"-115,000","-234,000","-229,000","-316,000","-336,000","-180,000","-180,000",,,,,,,,,
		Inventory,"184,600,000","175,800,000","177,900,000","149,800,000","149,600,000","139,800,000","134,500,000","126,000,000","105,000,000","117,900,000","99,200,000","85,700,000","88,400,000","90,000,000","80,800,000","78,200,000","80,000,000","77,291,000","73,595,000","86,439,000","104,978,000","106,887,000","93,731,000","81,247,000","78,239,000","83,868,000","80,650,000","68,845,000","72,060,000","69,477,000","51,344,000","46,824,000","43,294,000","48,672,000","46,876,000","33,317,000","23,933,000","21,060,000","26,182,000","20,828,000","17,959,000","16,249,000","12,968,000","13,650,000","12,125,000","13,517,000","11,284,000","12,121,000","9,867,000","10,649,000","10,800,000","9,805,000","11,419,000"
