name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
OperatingCashFlow,"674,700,000","11,200,000","148,100,000","279,700,000","235,700,000","144,800,000","229,200,000","178,800,000","253,900,000","125,500,000","196,300,000","279,400,000","177,200,000","123,800,000","146,300,000","178,900,000","129,500,000","101,000,000","119,100,000","174,700,000","106,900,000","67,300,000","113,800,000","126,600,000","107,800,000","41,700,000","102,900,000","89,700,000","100,000,000","16,500,000","44,200,000","64,500,000","51,700,000","-6,100,000","32,300,000","63,800,000"
	CashFlowFromContinuingOperatingActivities,"643,300,000","11,600,000","99,200,000","279,700,000","235,700,000","144,800,000","229,200,000","178,800,000","253,900,000","125,500,000","196,300,000","279,400,000","182,100,000","126,200,000","149,100,000","179,800,000","129,500,000","101,000,000","119,100,000","174,700,000","106,900,000","67,300,000","113,800,000","126,600,000","107,800,000","41,700,000","103,800,000","89,100,000","99,700,000","16,500,000","44,200,000","64,500,000","51,700,000","-6,100,000","32,300,000","63,800,000"
		NetIncomeFromContinuingOperations,"291,900,000","52,000,000","-11,200,000","118,200,000","132,900,000","130,600,000","104,600,000","106,700,000","70,000,000","74,300,000","86,400,000","88,300,000","107,000,000","74,900,000","105,500,000","50,900,000","57,200,000","75,400,000","248,000,000","71,800,000","67,300,000","64,500,000","52,600,000","44,500,000","19,700,000","14,600,000","21,100,000","-1,000,000","-400,000","-4,400,000","-10,700,000","-100,000","19,900,000","-13,500,000","-15,700,000","-1,200,000"
		OperatingGainsLosses,"12,000,000","6,500,000","18,300,000","-12,900,000","1,100,000","-500,000",,"-900,000","6,100,000","-3,800,000","-1,700,000","-2,600,000","4,700,000","-3,300,000","3,000,000","-2,900,000","1,400,000","-1,600,000","3,800,000","-2,300,000","-1,800,000","-1,400,000","-500,000","-1,800,000","3,200,000","-1,500,000","-500,000","3,400,000","-2,100,000","-900,000","-2,500,000","-2,500,000","-17,200,000","-3,300,000","-2,500,000","-800,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000,000",,,,
			EarningsLossesFromEquityInvestments,,,"400,000","-12,900,000",,,,"-900,000","4,300,000","-2,000,000","-1,700,000","-2,600,000","4,700,000","-3,300,000","3,000,000","-2,900,000","1,400,000","-1,600,000","3,800,000","-2,300,000","-1,800,000","-1,400,000","-500,000","-1,800,000","3,200,000","-1,500,000","-500,000","3,400,000","-2,100,000","-900,000","-2,800,000","-1,500,000","-17,900,000","-3,300,000","-2,700,000","-900,000"
		DepreciationAmortizationDepletion,"416,400,000","128,800,000","88,400,000","95,900,000","98,400,000","94,300,000","94,500,000","92,200,000","90,900,000","90,300,000","90,700,000","88,700,000","89,200,000","93,500,000","88,100,000","84,200,000","68,000,000","66,600,000","61,800,000","59,900,000","58,300,000","58,000,000","55,600,000","63,100,000","74,000,000","72,500,000","69,200,000","71,500,000","68,600,000","69,100,000","67,100,000","67,300,000","55,300,000","51,500,000","48,300,000","48,000,000"
			DepreciationAndAmortization,"416,400,000","128,800,000","88,400,000","95,900,000","98,400,000","94,300,000","94,500,000","92,200,000","90,900,000","90,300,000","90,700,000","88,700,000","89,200,000","93,500,000","88,100,000","84,200,000","68,000,000","66,600,000","61,800,000","59,900,000","58,300,000","58,000,000","55,600,000","63,100,000","74,000,000","72,500,000","69,200,000","71,500,000","68,600,000","69,100,000","67,100,000","67,300,000","55,300,000","51,500,000","48,300,000","48,000,000"
		DeferredTax,"-24,500,000","-4,500,000","-30,400,000","-10,600,000","19,800,000","4,000,000","-10,100,000","-14,000,000","-10,600,000","-600,000","-12,800,000","-9,800,000","300,000","-200,000","-51,100,000","-9,000,000","-9,100,000","200,000","-198,700,000","4,200,000","-4,300,000","-14,000,000","-8,900,000","-9,200,000","-8,700,000","4,600,000","-1,500,000","-4,600,000","-1,700,000","-9,500,000","-18,000,000","-9,300,000","10,500,000","-4,000,000","-4,100,000","-2,000,000"
			DeferredIncomeTax,"-24,500,000","-4,500,000","-30,400,000","-10,600,000","19,800,000","4,000,000","-10,100,000","-14,000,000","-10,600,000","-600,000","-12,800,000","-9,800,000","300,000","-200,000","-51,100,000","-9,000,000","-9,100,000","200,000","-198,700,000","4,200,000","-4,300,000","-14,000,000","-8,900,000","-9,200,000","-8,700,000","4,600,000","-1,500,000","-4,600,000","-1,700,000","-9,500,000","-18,000,000","-9,300,000","10,500,000","-4,000,000","-4,100,000","-2,000,000"
