name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
OperatingCashFlow,"-39,940,000","-18,406,000","-6,648,000","-9,350,000","-5,536,000","-7,330,000","-7,138,000","-6,412,000","-8,539,000","-8,176,000","-7,264,000","-5,597,000","-12,159,000","-7,266,000","-6,120,000","-6,064,000","-7,469,000","-6,331,000"
	CashFlowFromContinuingOperatingActivities,"-39,940,000","-18,406,000","-6,648,000","-9,350,000","-5,536,000","-7,330,000","-7,138,000","-6,412,000","-8,539,000","-8,176,000","-7,264,000","-5,597,000","-12,159,000","-7,266,000","-6,120,000","-6,064,000","-7,469,000","-6,331,000"
		NetIncomeFromContinuingOperations,"-46,860,000","-10,562,000","-12,668,000","-12,962,000","-10,668,000","-7,917,000","-6,311,000","-5,088,000","-8,497,000","-8,852,000","-9,177,000","-8,280,000","-9,195,000","-6,895,000","-7,635,000","-5,105,000","-6,115,000","-4,901,000"
		OperatingGainsLosses,"658,000","214,000","341,000","273,000","-170,000","484,000","-542,000","-392,000","-209,000","78,000","-192,000","392,000","454,000","-113,000","282,000","163,000","668,000","-113,000"
			NetForeignCurrencyExchangeGainLoss,"658,000","214,000","341,000","273,000","-170,000","484,000","-542,000","-392,000","-209,000","78,000","-192,000","392,000","-160,000","160,000","160,000","-20,000","153,000","-143,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,"0","0","614,000","-273,000","122,000","183,000","210,000","30,000"
		DepreciationAmortizationDepletion,"1,879,000","507,000","466,000","455,000","451,000","445,000","430,000","402,000","374,000","371,000","356,000","332,000","289,000","245,000","219,000","213,000","171,000","166,000"
			DepreciationAndAmortization,"1,879,000","507,000","466,000","455,000","451,000","445,000","430,000","402,000","374,000","371,000","356,000","332,000","289,000","245,000","219,000","213,000","171,000","166,000"
		AmortizationOfSecurities,"1,193,000","228,000","281,000","308,000","376,000","391,000","330,000","255,000","48,000","1,000","-69,000","-112,000","-24,000","0","0","0","0","9,000"
		StockBasedCompensation,"8,076,000","2,310,000","1,985,000","1,973,000","1,808,000","1,112,000","698,000","700,000","631,000","385,000","282,000","295,000","220,000","57,000","52,000","31,000","34,000","27,000"
		OtherNonCashItems,"1,554,000","315,000","968,000","137,000","134,000","130,000","132,000","130,000","126,000","123,000","123,000","121,000","116,000","115,000","61,000","68,000","-12,000","60,000"
		ChangeInWorkingCapital,"-6,440,000","-11,418,000","1,979,000","466,000","2,533,000","-1,975,000","-1,875,000","-2,419,000","-1,012,000","-282,000","1,413,000","1,655,000","-4,019,000","-675,000","901,000","-1,434,000","-2,215,000","-1,579,000"
			ChangeInReceivables,"-4,381,000","-5,804,000","-1,810,000","2,090,000","1,143,000","-583,000","-690,000","-1,663,000","1,713,000","422,000","-68,000","583,000","-1,935,000","-1,746,000","466,000","-1,156,000","-802,000","-1,021,000"
				ChangesInAccountReceivables,"-4,381,000","-5,804,000","-1,810,000","2,090,000","1,143,000","-583,000","-690,000","-1,663,000","1,713,000","422,000","-68,000","583,000","-1,935,000","-1,746,000","466,000","-1,156,000","-802,000","-1,021,000"
			ChangeInInventory,"-7,439,000","-2,926,000","-930,000","-2,070,000","-1,513,000","-381,000","657,000","-988,000","-1,168,000","-241,000","-883,000","-12,000","-758,000","-2,468,000","119,000","-790,000","-850,000","-1,178,000"
			ChangeInPrepaidAssets,"-2,155,000","88,000","-1,759,000","-183,000","-301,000","-908,000","-33,000","-412,000","-204,000","-120,000","564,000","-573,000","-158,000","417,000","-1,172,000","-125,000","85,000","-143,000"
			ChangeInPayablesAndAccruedExpense,"6,210,000","-4,017,000","6,383,000","654,000","3,190,000","-262,000","-757,000","70,000","-2,562,000","-605,000","1,888,000","1,750,000","-894,000","3,152,000","1,450,000","736,000","-533,000","849,000"
				ChangeInPayable,"1,159,000","-4,013,000","3,864,000","288,000","1,020,000","-82,000","615,000","-2,590,000","-1,416,000","-2,411,000","2,389,000","-388,000","684,000","758,000","917,000","20,000","70,000","-843,000"
					ChangeInAccountPayable,"1,159,000","-4,013,000","3,864,000","288,000","1,020,000","-82,000","615,000","-2,590,000","-1,416,000","-2,411,000","2,389,000","-388,000","684,000","758,000","917,000","20,000","70,000","-843,000"
				ChangeInAccruedExpense,"5,051,000","-4,000","2,519,000","366,000","2,170,000","-180,000","-1,372,000","2,660,000","-1,146,000","1,806,000","-501,000","2,138,000","-1,578,000","2,394,000","533,000","716,000","-603,000","1,692,000"
			ChangeInOtherCurrentLiabilities,"1,477,000","1,241,000",,,,,,,,,,,,,,,,
			ChangeInOtherWorkingCapital,,,"-141,000","-25,000","14,000","159,000","-1,052,000","574,000","1,209,000","262,000","-88,000","-93,000","-274,000","-30,000","38,000","-99,000","-115,000","-86,000"
InvestingCashFlow,"30,509,000","10,514,000","9,992,000","6,199,000","3,804,000","9,272,000","9,884,000","-23,473,000","-40,724,000","12,715,000","7,360,000","-18,765,000","-49,093,000","-3,000","-134,000","506,000","6,975,000","4,960,000"
	CashFlowFromContinuingInvestingActivities,"30,509,000","10,514,000","9,992,000","6,199,000","3,804,000","9,272,000","9,884,000","-23,473,000","-40,724,000","12,715,000","7,360,000","-18,765,000","-49,093,000","-3,000","-134,000","506,000","6,975,000","4,960,000"
		NetPPEPurchaseAndSale,"-5,452,000","-1,953,000","-3,178,000","-68,000","-253,000","-20,000","-2,000","-56,000","-120,000","-277,000","19,000","-33,000","-148,000","-3,000","-134,000","-244,000","0","-40,000"
			PurchaseOfPPE,"-5,452,000","-1,953,000","-3,178,000","-68,000","-253,000","-20,000","-2,000","-56,000","-120,000","-277,000","19,000","-33,000","-148,000","-3,000","-134,000","-244,000","0","-40,000"
		NetInvestmentPurchaseAndSale,"35,961,000","12,467,000","13,170,000","6,267,000","4,057,000","9,292,000","9,886,000","-23,417,000","-40,604,000","12,992,000","7,341,000","-18,732,000","-48,945,000","0","0","750,000","6,975,000","5,000,000"
			PurchaseOfInvestment,"-62,349,000","-2,033,000","-5,330,000","-21,233,000","-33,753,000","-11,708,000","-20,281,000","-37,875,000","-59,469,000","-4,168,000","-14,694,000","-18,732,000",,,"0","0",,
			SaleOfInvestment,"98,310,000","14,500,000","18,500,000","27,500,000","37,810,000","21,000,000","30,167,000","14,458,000","18,865,000","17,160,000","22,035,000","0","0","0","0","750,000","6,975,000","5,000,000"
FinancingCashFlow,"1,215,000","405,000","45,000","552,000","213,000","583,000","33,000","-179,000","75,543,000","152,000","-246,000","-2,428,000","96,094,000","-697,000","-2,280,000","-37,000","25,261,000","-880,000"
	CashFlowFromContinuingFinancingActivities,"1,215,000","405,000","45,000","552,000","213,000","583,000","33,000","-179,000","75,543,000","152,000","-246,000","-2,428,000","96,094,000","-697,000","-2,280,000","-37,000","25,261,000","-880,000"
		NetIssuancePaymentsOfDebt,,,"0","0",,,"0","0",,,"0","0","0","0","0","0","25,252,000","-892,000"
			NetLongTermDebtIssuance,,,"0","0",,,"0","0",,,"0","0","0","0","0","0","25,252,000","-892,000"
				LongTermDebtIssuance,,,"0","0",,,"0","0",,,"0","0",,,"0","0",,
				LongTermDebtPayments,,,"0","0",,,"0","0",,,"0","0","0","0","0","0","-8,184,000","-892,000"
		NetCommonStockIssuance,,,"0","0",,,"0","0",,,"0","0",,,,"0",,
			CommonStockIssuance,,,"0","0",,,"0","0",,,"0","0",,,,"0",,
		ProceedsFromStockOptionExercised,"1,215,000","405,000","45,000","552,000","213,000","583,000","33,000","187,000","92,000","272,000","94,000","98,000","2,000","8,000","1,000","24,000","9,000","12,000"
		NetOtherFinancingCharges,,,,,,,"0","-366,000","-219,000","-120,000","-340,000","-2,526,000","-1,275,000","-705,000","-2,281,000",,,
EndCashPosition,"19,011,000","18,397,000","26,080,000","22,995,000","25,814,000","27,227,000","25,081,000","21,897,000","51,652,000","25,238,000","20,592,000","20,907,000","47,742,000","12,715,000","20,741,000","29,390,000","34,939,000","10,299,000"
	ChangesInCash,"-8,216,000","-7,487,000","3,389,000","-2,599,000","-1,519,000","2,525,000","2,779,000","-30,064,000","26,280,000","4,691,000","-150,000","-26,790,000","34,842,000","-7,966,000","-8,534,000","-5,595,000","24,767,000","-2,251,000"
	EffectOfExchangeRateChanges,"-614,000","-196,000","-304,000","-220,000","106,000","-379,000","405,000","309,000","134,000","-45,000","-165,000","-45,000","185,000","-60,000","-115,000","46,000","-127,000","114,000"
	BeginningCashPosition,"27,227,000","26,080,000","22,995,000","25,814,000","27,227,000","25,081,000","21,897,000","51,652,000","25,238,000","20,592,000","20,907,000","47,742,000","12,715,000","20,741,000","29,390,000","34,939,000","10,299,000","12,436,000"
CapitalExpenditure,"-5,452,000","-1,953,000","-3,178,000","-68,000","-253,000","-20,000","-2,000","-56,000","-120,000","-277,000",,"-33,000","-148,000","-3,000","-134,000","-244,000",,"-40,000"
IssuanceOfCapitalStock,,,"0","0",,,"0","0",,,"0","0",,,"0","0",,
IssuanceOfDebt,,,"0","0",,,"0","0",,,"0","0",,,"0","0",,
RepaymentOfDebt,,,"0","0",,,"0","0",,,"0","0","0","0","0","0","-8,184,000","-892,000"
FreeCashFlow,"-45,392,000","-20,359,000","-9,826,000","-9,418,000","-5,789,000","-7,350,000","-7,140,000","-6,468,000","-8,659,000","-8,453,000","-7,245,000","-5,630,000","-12,307,000","-7,269,000","-6,254,000","-6,308,000","-7,469,000","-6,371,000"
