name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007
TotalAssets,"4,065,000,000","3,994,600,000","4,014,900,000","4,037,400,000","3,917,100,000","4,015,300,000","3,987,400,000","4,029,900,000","4,190,700,000","4,420,700,000","2,228,600,000","1,890,600,000","1,885,500,000","1,870,200,000","1,864,600,000","1,933,600,000","1,989,400,000","2,009,100,000","1,956,500,000","1,954,100,000","1,893,200,000","1,877,700,000","1,960,900,000","1,939,700,000","1,991,000,000","1,842,800,000","1,808,100,000","1,804,800,000","1,788,300,000","1,884,200,000","1,918,500,000","1,991,400,000","1,994,100,000","2,003,900,000","2,003,200,000","1,956,900,000","1,964,100,000","2,033,000,000","1,087,500,000","1,057,500,000","1,121,900,000","1,165,600,000","1,180,700,000","1,010,200,000","1,119,900,000","1,094,400,000","1,052,100,000","1,034,400,000","610,100,000","535,700,000","561,100,000","540,600,000","569,500,000","553,100,000","545,300,000","566,400,000","698,800,000","322,000,000","316,600,000"
	CurrentAssets,"1,510,000,000","1,421,000,000","1,434,500,000","1,441,400,000","1,317,800,000","1,355,300,000","1,369,700,000","1,244,500,000","1,364,100,000","1,222,100,000","1,023,200,000","658,200,000","650,400,000","613,400,000","610,600,000","669,500,000","680,700,000","646,700,000","593,600,000","609,500,000","577,400,000","560,200,000","600,300,000","562,800,000","587,400,000","575,700,000","604,100,000","591,900,000","592,400,000","629,100,000","637,800,000","645,900,000","625,300,000","630,500,000","639,400,000","639,300,000","637,000,000","665,700,000","305,300,000","276,500,000","337,900,000","378,600,000","380,100,000","428,500,000","397,400,000","361,200,000","322,800,000","317,600,000","282,500,000","209,400,000","232,900,000","187,000,000","212,300,000","193,200,000","181,600,000","196,800,000","388,700,000","178,200,000","170,200,000"
		CashCashEquivalentsAndShortTermInvestments,"444,800,000","447,400,000","446,100,000","476,200,000","344,900,000","265,800,000","302,200,000","263,100,000","374,000,000","142,400,000","399,000,000","64,400,000","58,600,000","64,800,000","56,000,000","71,100,000","68,500,000","77,800,000","66,000,000","71,500,000","51,400,000","46,600,000","52,000,000","47,600,000","43,200,000","55,100,000","48,300,000","45,600,000","43,000,000","52,000,000","58,000,000","61,700,000","51,000,000","62,300,000","42,700,000","41,100,000","40,700,000","102,100,000","20,200,000","16,000,000","60,100,000","122,500,000","115,500,000","198,300,000","160,300,000","136,000,000","98,400,000","95,900,000","102,600,000","34,000,000","65,300,000","28,800,000","43,200,000","20,300,000","14,700,000","33,000,000","181,200,000","11,800,000","11,900,000"
			CashAndCashEquivalents,"444,800,000","447,400,000","446,100,000","476,200,000","344,900,000","265,800,000","302,200,000","263,100,000","374,000,000","142,400,000","399,000,000","64,400,000","58,600,000","64,800,000","56,000,000","71,100,000","68,500,000","77,800,000","66,000,000","71,500,000","51,400,000","46,600,000","52,000,000","47,600,000","43,200,000","55,100,000","48,300,000","45,600,000","43,000,000","52,000,000","58,000,000","61,700,000","51,000,000","62,300,000","42,700,000","41,100,000","40,700,000","102,100,000","20,200,000","16,000,000","60,100,000","122,500,000","115,500,000","198,300,000","160,300,000","136,000,000","98,400,000","82,200,000","72,900,000","4,100,000","35,200,000","28,800,000","43,200,000","20,300,000","14,700,000","33,000,000","125,900,000","11,800,000","11,900,000"
				CashFinancial,,,,,,,"302,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,800,000","11,900,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","13,700,000","29,700,000","29,900,000","30,100,000",,,,,,"55,300,000",,
		Receivables,"479,500,000","446,400,000","445,400,000","417,800,000","442,600,000","465,900,000","417,600,000","463,400,000","480,100,000","550,200,000","398,500,000","357,400,000","364,300,000","324,700,000","338,800,000","370,200,000","374,100,000","354,500,000","331,300,000","332,500,000","332,300,000","317,100,000","330,800,000","283,000,000","318,400,000","293,700,000","332,800,000","303,800,000","306,600,000","327,100,000","340,300,000","323,600,000","322,500,000","320,600,000","355,500,000","321,700,000","316,900,000","298,600,000","150,700,000","118,900,000","134,500,000","121,900,000","131,700,000","109,200,000","129,500,000","124,500,000","119,000,000","114,300,000","98,000,000","98,300,000","95,200,000","84,600,000","91,000,000","96,500,000","88,400,000","85,600,000","117,200,000","93,400,000","90,900,000"
			AccountsReceivable,"306,000,000","312,600,000","323,500,000","293,600,000","293,400,000","307,000,000","279,500,000","297,200,000","292,800,000","344,300,000","217,400,000","198,800,000","199,500,000","190,500,000","218,500,000","192,200,000","194,800,000","189,800,000","206,100,000","188,200,000","193,200,000","178,900,000","205,000,000","175,400,000","196,000,000","173,400,000","187,900,000","165,400,000","172,300,000","174,300,000","191,000,000","177,300,000","185,200,000","189,600,000","213,400,000","183,600,000","188,500,000","196,400,000","150,700,000","118,900,000","134,500,000","121,900,000","131,700,000","109,200,000","119,500,000","114,500,000","109,000,000","104,300,000","88,000,000","88,300,000","85,200,000","84,600,000","91,000,000","96,500,000","88,400,000","85,600,000","117,200,000","93,400,000","90,900,000"
				GrossAccountsReceivable,"334,300,000","339,400,000",,"316,100,000","317,300,000","335,900,000",,"319,500,000","317,400,000","370,500,000","240,200,000","217,900,000","220,500,000","211,500,000",,"211,800,000",,"210,700,000",,"207,800,000","214,400,000","199,700,000",,"195,400,000","217,600,000","194,200,000",,"184,400,000","192,500,000","195,000,000",,"195,700,000","204,200,000","208,300,000",,"201,100,000","207,400,000","214,400,000",,"138,200,000","156,400,000","141,400,000",,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-28,300,000","-26,800,000",,"-22,500,000","-23,900,000","-28,900,000",,"-22,300,000","-24,600,000","-26,200,000","-22,800,000","-19,100,000","-21,000,000","-21,000,000",,"-19,600,000",,"-20,900,000",,"-19,600,000","-21,200,000","-20,800,000",,"-20,000,000","-21,600,000","-20,800,000",,"-19,000,000","-20,200,000","-20,700,000",,"-18,400,000","-19,000,000","-18,700,000",,"-17,500,000","-18,900,000","-18,000,000",,"-19,300,000","-21,900,000","-19,500,000",,,,,,,,,,,,,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000",,,,,,,,
			OtherReceivables,"173,500,000","133,800,000","121,900,000","124,200,000","149,200,000","158,900,000","138,100,000","166,200,000","187,300,000","205,900,000","181,100,000","158,600,000","164,800,000","134,200,000","120,300,000","178,000,000","179,300,000","164,700,000","125,200,000","144,300,000","139,100,000","138,200,000","125,800,000","107,600,000","122,400,000","120,300,000","144,900,000","138,400,000","134,300,000","152,800,000","149,300,000","146,300,000","137,300,000","131,000,000","142,100,000","138,100,000","128,400,000","102,200,000",,,,,,,,,,,,,,,,,,,,,
		Inventory,"481,200,000","441,700,000","411,600,000","410,900,000","385,000,000","388,500,000","385,400,000","424,300,000","423,300,000","442,100,000","176,600,000","186,700,000","183,000,000","182,300,000","172,500,000","181,700,000","180,600,000","167,100,000","151,600,000","159,300,000","150,200,000","153,900,000","153,100,000","163,300,000","162,100,000","166,100,000","153,600,000","170,600,000","174,900,000","177,100,000","168,500,000","184,500,000","183,100,000","178,600,000","177,500,000","185,900,000","191,300,000","191,900,000","90,000,000","94,200,000","91,500,000","90,000,000","83,700,000","75,600,000","70,000,000","68,300,000","64,900,000","69,900,000","42,900,000","42,500,000","42,500,000","43,700,000","47,800,000","50,800,000","48,600,000","50,300,000","49,700,000","48,700,000","47,500,000"
