name,ttm,03/31/2022,10/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
OperatingCashFlow,,"11,400,000","13,100,000","-592,558","-1,054,749","-131,075","-100,493","-844,858","0","0","0","0","0","0"
	CashFlowFromContinuingOperatingActivities,,"11,400,000","13,100,000","-592,558","-1,054,749","-131,075","-100,493","-844,858","0","0","0","0","0","0"
		NetIncomeFromContinuingOperations,,"-19,000,000","-105,700,000","-1,024,024","-8,668,666","9,682,349","-746,515","-248,221","-46,399","0","-341","0","0","0"
		OperatingGainsLosses,,"-19,100,000","16,900,000","-1,701,854","968,221","-10,200,787",,,,,,,,
			GainLossOnSaleOfPPE,,"-700,000","1,600,000",,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,"1,500,000","-600,000",,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"-19,900,000",,"-1,701,854","968,221","-10,200,787",,,,,,,,
		DepreciationAmortizationDepletion,,"44,900,000","25,900,000",,,,,,,,,,,
			DepreciationAndAmortization,,"44,900,000","25,900,000",,,,,,,,,,,
		DeferredTax,,"-10,400,000","-8,400,000",,,,,,,,,,,
			DeferredIncomeTax,,"-10,400,000","-8,400,000",,,,,,,,,,,
		AssetImpairmentCharge,,"200,000","0",,,,,,,,,,,
		ProvisionandWriteOffofAssets,,"-200,000","300,000",,,,,,,,,,,
		StockBasedCompensation,,"7,900,000","9,300,000",,,,,,,,,,,
		OtherNonCashItems,,"1,100,000","45,800,000",,,,,,,,,,,
		ChangeInWorkingCapital,,"6,000,000","29,000,000","2,133,320","6,645,696","387,363","646,022","-596,637","46,399","0","341","0","0","0"
			ChangeInReceivables,,"12,400,000","12,500,000","0",,,"-125",,,,,,,
				ChangesInAccountReceivables,,"17,600,000","18,200,000",,,,,,,,,,,
			ChangeInInventory,,"-900,000","-10,200,000",,,,,,,,,,,
			ChangeInPrepaidAssets,,"1,700,000","2,600,000","122,500","57,184","94,486","117,578",,,,,,,
			ChangeInPayablesAndAccruedExpense,,"-7,700,000","19,600,000","2,150,267","6,964,198","430,690","716,206","202,186","46,399","0","341","0","0","0"
				ChangeInPayable,,"-6,800,000","19,200,000","2,150,267","6,964,198","430,690","716,206","202,186",,,,,,
					ChangeInTaxPayable,,,,"1","-57","57","0",,,,,,,
						ChangeInIncomeTaxPayable,,,,"1","-57","57","0",,,,,,,
					ChangeInAccountPayable,,"-6,800,000","19,200,000","2,150,266","6,964,255","430,633","716,206","202,129","46,399","0","341","0","0","0"
				ChangeInAccruedExpense,,"-900,000","400,000",,,,,,,,,,,
			ChangeInOtherCurrentAssets,,"0","-2,200,000",,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,,"800,000","2,600,000",,,,,,,,,,,
			ChangeInOtherWorkingCapital,,"-300,000","4,100,000","-139,447","-375,811","-137,813","-187,637",,,,,,,
InvestingCashFlow,,"-7,900,000","-12,500,000",,,,,,,,,,,
	CashFlowFromContinuingInvestingActivities,,"-7,900,000","-12,500,000",,,,,,,,,,,
		NetPPEPurchaseAndSale,,"-7,900,000","-11,600,000",,,,,,,,,,,
			PurchaseOfPPE,,"-8,700,000","-11,600,000",,,,,,,,,,,
			SaleOfPPE,,"800,000",,,,,,,,,,,,
		NetBusinessPurchaseAndSale,,"0","-900,000",,,,,,,,,,,
			PurchaseOfBusiness,,"0","-900,000",,,,,,,,,,,
FinancingCashFlow,,"-600,000","1,000,000","0","125,000","1,500,000","-128,000","751,440,494","74,261","0","0","0","0","0"
	CashFlowFromContinuingFinancingActivities,,"-600,000","1,000,000","0","125,000","1,500,000","-128,000","751,440,494","74,261","0","0","0","0","0"
		NetIssuancePaymentsOfDebt,,"-400,000","-500,000","0","500,000","1,500,000","0","-300,000",,,,"0",,
			NetLongTermDebtIssuance,,"-400,000","-500,000","0","500,000","1,500,000",,,,,,,,
				LongTermDebtIssuance,,,"1,900,000","0","500,000","1,500,000",,,,,,,,
				LongTermDebtPayments,,"-400,000","-2,400,000",,,,,,,,,,,
			NetShortTermDebtIssuance,,,,,,,"0","-300,000",,,,"0",,
				ShortTermDebtIssuance,,,,,,,"0","0",,,,"0",,
				ShortTermDebtPayments,,,,,,,"0",,,,,,,
		NetCommonStockIssuance,,,"0",,,,"0",,,"0","0",,,"0"
			CommonStockIssuance,,,"0",,,,"0",,,"0","0",,,"0"
		ProceedsFromStockOptionExercised,,,,,,,"0",,,,,,,
		NetOtherFinancingCharges,,"-200,000","1,500,000","0",,,"-128,000","-15,259,506",,,,,,
EndCashPosition,,"87,200,000","103,100,000","750,293,022","750,885,580","751,815,329","750,446,404","750,674,897","79,261","5,000","5,000","5,000","5,000","5,000"
	ChangesInCash,,"2,900,000","1,600,000","-592,558","-929,749","1,368,925","-228,493","750,595,636",,,,,,
	EffectOfExchangeRateChanges,,"-1,000,000","-900,000",,,,,,,,,,,
	BeginningCashPosition,,"85,300,000","102,400,000","750,885,580","751,815,329","750,446,404","750,674,897","79,261","5,000","5,000","5,000","5,000","5,000","5,000"
CapitalExpenditure,,"-8,700,000","-11,600,000",,,,,,,,,,,
IssuanceOfCapitalStock,,,"0",,,,"0",,,"0","0",,,"0"
IssuanceOfDebt,,,"1,900,000","0","500,000","1,500,000","0","0",,,,"0",,
RepaymentOfDebt,,"-400,000","-2,400,000",,,,"0",,,,,,,
FreeCashFlow,,"2,700,000","1,500,000","-592,558","-1,054,749","-131,075","-100,493","-844,858","0","0","0","0","0","0"
