name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,05/31/2017,03/31/2017,09/30/2016,06/30/2016,04/30/2016
TotalRevenue,"1,154,367,000","316,531,000","296,718,000","281,265,000","259,853,000","284,001,000","230,607,000","231,152,000","222,286,000","215,101,000","227,101,000","152,153,000","139,184,000","139,468,000","123,800,000","120,931,000","108,262,000","107,233,000","109,347,000","106,587,000",,"0","0",,
	OperatingRevenue,"1,154,367,000","316,531,000","296,718,000","281,265,000","259,853,000","284,001,000","230,607,000","231,152,000","222,286,000","215,101,000","227,101,000","152,153,000","139,184,000","139,468,000","123,800,000","120,931,000","108,262,000","107,233,000","109,347,000","106,587,000",,"0","0",,
CostOfRevenue,"706,184,000","197,883,000","188,195,000","164,710,000","155,396,000","162,998,000","140,342,000","137,111,000","134,184,000","126,475,000","141,707,000","89,947,000","103,788,000","74,204,000","66,166,000","61,820,000","55,004,000","55,949,000","59,090,000","53,830,000",,,,,
GrossProfit,"448,183,000","118,648,000","108,523,000","116,555,000","104,457,000","121,003,000","90,265,000","94,041,000","88,102,000","88,626,000","85,394,000","62,206,000","35,396,000","65,264,000","57,634,000","59,111,000","53,258,000","51,284,000","50,257,000","52,757,000",,"0","0",,
OperatingExpense,"248,125,000","63,372,000","62,572,000","58,549,000","63,632,000","60,681,000","56,924,000","54,854,000","60,045,000","57,471,000","59,431,000","39,032,000","18,261,000","43,996,000","38,342,000","36,357,000","38,488,000","36,833,000","35,265,000","32,829,000",,"442,492","156,413",,
	SellingGeneralAndAdministration,"230,820,000","59,055,000","58,243,000","54,229,000","59,293,000","56,494,000","52,712,000","50,610,000","55,774,000","53,223,000","55,144,000","36,579,000","16,541,000","42,067,000","36,381,000","34,471,000","36,543,000","34,785,000","33,133,000","30,649,000",,"442,492","156,413",,
		GeneralAndAdministrativeExpense,"105,247,000","26,721,000","26,288,000","23,702,000","28,536,000","25,668,000","26,562,000","25,415,000","31,290,000","28,713,000","28,103,000","18,145,000","13,978,000","18,271,000","15,855,000","13,868,000","17,385,000","14,158,000","12,711,000","12,079,000",,"442,492","156,413",,
			OtherGandA,"105,247,000","26,721,000","26,288,000","23,702,000","28,536,000","25,668,000","26,562,000","25,415,000","31,290,000","28,713,000","28,103,000","18,145,000","13,978,000","18,271,000","15,855,000","13,868,000","17,385,000","14,158,000","12,711,000","12,079,000",,"442,492","156,413",,
		SellingAndMarketingExpense,"125,573,000","32,334,000","31,955,000","30,527,000","30,757,000","30,826,000","26,150,000","25,195,000","24,484,000","24,510,000","27,041,000","18,434,000","2,563,000","23,796,000","20,526,000","20,603,000","19,158,000","20,627,000","20,422,000","18,570,000",,,,,
	DepreciationAmortizationDepletionIncomeStatement,"17,305,000","4,317,000","4,329,000","4,320,000","4,339,000","4,187,000","4,212,000","4,244,000","4,271,000","4,248,000","4,287,000","2,453,000","1,742,000","1,929,000","1,939,000","1,886,000","1,879,000","1,911,000","1,948,000","1,934,000",,,,,
