name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
OperatingCashFlow,"-167,600,000","-58,600,000","2,600,000","-126,504,150","14,904,150","-15,500,000","-29,100,000"
	CashFlowFromContinuingOperatingActivities,"-167,600,000","-58,600,000","2,600,000","-126,504,150","14,904,150","-15,500,000","-29,100,000"
		NetIncomeFromContinuingOperations,"-239,500,000","-66,500,000","-59,300,000","-303,506,072","189,806,072","-194,900,000","-54,000,000"
		StockBasedCompensation,"35,200,000","13,400,000","14,500,000",,,"2,500,000","2,200,000"
		OtherNonCashItems,"-41,300,000","3,400,000","-3,100,000",,,"10,300,000","2,100,000"
		ChangeInWorkingCapital,"12,600,000","-11,600,000","46,200,000","-3,921,853","-18,078,147","19,500,000","500,000"
			ChangeInReceivables,"-131,300,000","-59,000,000","15,400,000",,,"-80,000,000","19,600,000"
				ChangesInAccountReceivables,"-131,300,000","-59,000,000","15,400,000",,,"-80,000,000","19,600,000"
			ChangeInPrepaidAssets,"-101,500,000","-12,000,000","-7,100,000","-115,674,379","33,274,379","-33,000,000","10,500,000"
			ChangeInPayablesAndAccruedExpense,"90,400,000","40,000,000","13,600,000","93,952,526","-57,152,526","58,300,000","-2,300,000"
				ChangeInPayable,"83,400,000","42,300,000","-2,800,000","75,687,708","-31,787,708","32,200,000","-12,300,000"
					ChangeInAccountPayable,"83,400,000","42,300,000","-2,800,000","76,010,811","-32,110,811","32,200,000","-12,300,000"
				ChangeInAccruedExpense,"7,000,000","-2,300,000","16,400,000","18,264,818","-25,364,818","26,100,000","10,000,000"
			ChangeInOtherCurrentAssets,"-25,900,000","-3,300,000","-200,000",,,"-10,200,000","900,000"
			ChangeInOtherCurrentLiabilities,"-10,700,000","2,100,000","-5,400,000",,,"-3,100,000","-2,000,000"
InvestingCashFlow,"-399,200,000","-378,200,000","-7,100,000","-22,973,910","9,073,910","-9,000,000","-27,100,000"
	CashFlowFromContinuingInvestingActivities,"-399,200,000","-378,200,000","-7,100,000","-22,973,910","9,073,910","-9,000,000","-27,100,000"
		CapitalExpenditureReported,"-14,400,000","-3,800,000","-11,900,000",,,"-2,700,000","-2,500,000"
		NetPPEPurchaseAndSale,"-3,200,000","-2,400,000","-700,000",,,"0","0"
			PurchaseOfPPE,"-3,200,000","-2,400,000","-700,000",,,"0","0"
		NetIntangiblesPurchaseAndSale,"0","0","0",,,"-3,300,000","0"
			PurchaseOfIntangibles,"0","0","0",,,"-3,300,000","0"
		NetBusinessPurchaseAndSale,,,"0",,,,"-11,900,000"
			PurchaseOfBusiness,,,"0",,,,"-11,900,000"
		NetInvestmentPurchaseAndSale,"-376,700,000","-370,000,000","7,500,000",,,"-3,000,000","-12,700,000"
			PurchaseOfInvestment,"-405,800,000","-385,400,000","-1,400,000",,,"-5,800,000","-16,700,000"
			SaleOfInvestment,"29,100,000","15,400,000","8,900,000",,,"2,800,000","4,000,000"
		NetOtherInvestingChanges,,"-2,000,000","-2,000,000","-373,910",,,
FinancingCashFlow,"480,300,000","-300,000","400,000",,,"200,000","365,700,000"
	CashFlowFromContinuingFinancingActivities,"480,300,000","-300,000","400,000",,,"200,000","365,700,000"
		NetPreferredStockIssuance,,,"0",,,,"0"
			PreferredStockIssuance,,,"0",,,,"0"
		ProceedsFromStockOptionExercised,"33,800,000","1,200,000","1,600,000",,,"1,900,000","1,400,000"
		NetOtherFinancingCharges,"446,500,000","-1,500,000","-1,200,000",,,"-1,700,000","-700,000"
EndCashPosition,"381,600,000","381,600,000","818,700,000","822,800,000","101,045","468,100,000","492,400,000"
	ChangesInCash,"-86,500,000","-437,100,000","-4,100,000","330,921,940","23,778,060","-24,300,000","309,500,000"
	BeginningCashPosition,"468,100,000","818,700,000","822,800,000","101,045","468,100,000","492,400,000","182,900,000"
CapitalExpenditure,"-17,600,000","-6,200,000","-12,600,000",,,"-6,000,000","-2,500,000"
IssuanceOfCapitalStock,,,"0",,,,"0"
FreeCashFlow,"-185,200,000","-64,800,000","-10,000,000","-131,304,150","20,904,150","-21,500,000","-31,600,000"
