name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
TotalRevenue,"1,682,244,000","505,118,000","648,631,000","304,656,000","223,839,000","145,684,000","145,696,000","136,858,000","94,566,000","74,530,000","69,752,000","49,656,000","39,766,000","29,951,000","31,369,000","28,424,000","26,799,000","25,709,000","25,252,000"
	OperatingRevenue,"1,562,924,000","492,495,000","635,987,000","267,045,000","167,397,000","91,196,000","94,769,000","83,863,000","76,177,000","63,502,000","52,279,000","35,345,000","31,738,000","26,138,000","27,361,000","24,629,000","22,653,000","22,263,000","21,451,000"
CostOfRevenue,"882,510,000","254,430,000","321,809,000","170,877,000","135,395,000","112,923,000","84,783,000","85,467,000","79,399,000","76,699,000","68,425,000","54,539,000","49,446,000","37,848,000","30,956,000","24,093,000","27,673,000","22,609,000","23,525,000"
GrossProfit,"799,734,000","250,688,000","326,822,000","133,779,000","88,444,000","32,761,000","60,913,000","51,391,000","15,167,000","-2,169,000","1,327,000","-4,883,000","-9,680,000","-7,897,000","413,000","4,331,000","-874,000","3,100,000","1,727,000"
OperatingExpense,"337,082,000","82,331,000","105,224,000","77,996,000","71,533,000","55,071,000","42,882,000","40,338,000","163,372,000","33,832,000","37,580,000","42,843,000","34,279,000","51,440,000","22,373,000","14,253,000","16,267,000","12,565,000","12,909,000"
	SellingGeneralAndAdministration,"214,305,000","48,041,000","74,927,000","46,802,000","44,536,000","45,181,000","32,869,000","30,849,000","31,846,000","28,370,000","30,091,000","40,913,000","32,169,000","49,749,000","21,310,000","13,423,000","15,535,000","11,869,000","12,179,000"
	DepreciationAmortizationDepletionIncomeStatement,"122,777,000","34,290,000","30,297,000","31,194,000","26,997,000","9,890,000","10,013,000","9,489,000","7,620,000","5,254,000","2,209,000","1,930,000","2,110,000","1,691,000","1,063,000","830,000","732,000","696,000","730,000"
		DepreciationAndAmortizationInIncomeStatement,"122,777,000","34,290,000","30,297,000","31,194,000","26,997,000","9,890,000","10,013,000","9,489,000","7,620,000","5,254,000","2,209,000","1,930,000","2,110,000","1,691,000","1,063,000","830,000","732,000","696,000","730,000"
	OtherOperatingExpenses,,,,,,,"0",,"123,906,000","208,000","5,280,000",,,,,,,,
OperatingIncome,"462,652,000","168,357,000","221,598,000","55,783,000","16,911,000","-22,310,000","18,031,000","11,053,000","-148,205,000","-36,001,000","-36,253,000","-47,726,000","-43,959,000","-59,337,000","-21,960,000","-9,922,000","-17,141,000","-9,465,000","-11,182,000"
NetNonOperatingInterestIncomeExpense,"-180,560,000","-44,916,000","-46,567,000","-57,595,000","-31,482,000","-18,680,000","-14,822,000","-19,813,000","-17,198,000","-13,890,000","-4,955,000","-4,974,000","-6,199,000","-3,284,000","-4,859,000","-3,183,000","-1,603,000","-1,603,000","-1,606,000"
	InterestIncomeNonOperating,,,,,"10,295,000",,,,,,,,,,,,,,
	InterestExpenseNonOperating,"172,553,000","42,441,000","44,670,000","55,885,000","39,852,000","18,193,000","14,117,000","15,397,000","11,470,000","9,268,000","1,397,000","1,462,000","6,199,000","3,284,000","4,859,000","2,079,000","1,603,000","1,603,000","1,606,000"
	TotalOtherFinanceCost,"8,007,000","2,475,000","1,897,000","1,710,000","1,925,000","487,000","705,000","4,416,000","5,728,000","4,622,000","3,558,000","3,512,000",,,,"1,104,000",,,
OtherIncomeExpense,"54,966,000","68,059,000","-17,905,000","-12,431,000","17,246,000","604,000","-826,000","-26,074,000","-999,000","-10,168,000","2,940,000","-1,788,000","-920,000","2,575,000","-8,681,000","-270,000","199,000","-32,000","226,000"
	EarningsFromEquityInterest,"64,678,000","50,235,000","-8,515,000","-15,983,000","38,941,000",,,,,,,,,,,,,,
