name,ttm,03/31/2022,03/31/2021,12/31/2020
OperatingCashFlow,,"42,429,000","62,769,000","74,173,000"
	CashFlowFromContinuingOperatingActivities,,"42,429,000","62,769,000","74,173,000"
		NetIncomeFromContinuingOperations,,"-43,223,000","-28,280,000","-79,018,000"
		OperatingGainsLosses,,"-36,992,000","-49,190,000","-12,735,000"
			GainLossOnSaleOfBusiness,,"-36,250,000","-55,131,000","0"
			GainLossOnInvestmentSecurities,,"7,824,000","2,865,000","1,975,000"
			EarningsLossesFromEquityInvestments,,"-8,566,000","3,076,000","2,404,000"
		DepreciationAmortizationDepletion,,"75,266,000","48,170,000","53,133,000"
			DepreciationAndAmortization,,"75,266,000","48,170,000","53,133,000"
				Depreciation,,"68,943,000","48,112,000","52,988,000"
				AmortizationCashFlow,,"6,323,000","58,000","145,000"
					AmortizationOfIntangibles,,"6,323,000","58,000","145,000"
		DeferredTax,,"-67,000","0","-1,038,000"
			DeferredIncomeTax,,"-67,000","0","-1,038,000"
		AssetImpairmentCharge,,"0","57,182,000","66,946,000"
		StockBasedCompensation,,"2,743,000","395,000","729,000"
		OtherNonCashItems,,"62,918,000","7,409,000","20,790,000"
		ChangeInWorkingCapital,,"-18,216,000","27,083,000","25,366,000"
			ChangeInReceivables,,"3,305,000","11,017,000","8,696,000"
				ChangesInAccountReceivables,,"3,305,000","11,017,000","8,696,000"
			ChangeInPayablesAndAccruedExpense,,"-16,407,000","24,181,000","18,481,000"
			ChangeInOtherCurrentAssets,,"-5,114,000","-8,115,000","-1,811,000"
InvestingCashFlow,,"-2,442,000","-2,564,000","-78,893,000"
	CashFlowFromContinuingInvestingActivities,,"-2,442,000","-2,564,000","-78,893,000"
		NetBusinessPurchaseAndSale,,"-997,000","57,000","146,000"
		NetInvestmentPropertiesPurchaseAndSale,,"-5,746,000","-4,355,000","-1,391,000"
			PurchaseOfInvestmentProperties,,"-5,762,000","-6,865,000","-5,615,000"
			SaleOfInvestmentProperties,,"16,000","2,510,000","4,224,000"
		NetInvestmentPurchaseAndSale,,"62,000","-405,000","-81,989,000"
			PurchaseOfInvestment,,"-149,936,000","-136,392,000","-81,989,000"
			SaleOfInvestment,,"149,998,000","135,987,000","0"
		DividendsReceivedCFI,,"4,697,000","2,279,000","4,375,000"
		NetOtherInvestingChanges,,"-458,000","-140,000","-34,000"
FinancingCashFlow,,"-31,025,000","-13,760,000","-14,790,000"
	CashFlowFromContinuingFinancingActivities,,"-31,025,000","-13,760,000","-14,790,000"
		NetIssuancePaymentsOfDebt,,"-29,500,000","-13,732,000","-14,829,000"
			NetLongTermDebtIssuance,,"-29,500,000","-13,732,000","-14,829,000"
				LongTermDebtIssuance,,,,"0"
				LongTermDebtPayments,,"-29,500,000","-13,732,000","-14,829,000"
		NetCommonStockIssuance,,,,"0"
			CommonStockIssuance,,,,"0"
		NetOtherFinancingCharges,,"-1,525,000","-28,000","39,000"
EndCashPosition,,"245,160,000","168,158,000","121,722,000"
	ChangesInCash,,"8,962,000","46,445,000","-19,510,000"
	BeginningCashPosition,,"236,198,000","121,713,000","141,232,000"
InterestPaidSupplementalData,,"21,453,000","14,055,000","16,749,000"
IssuanceOfCapitalStock,,,,"0"
IssuanceOfDebt,,,,"0"
RepaymentOfDebt,,"-29,500,000","-13,732,000","-14,829,000"
FreeCashFlow,,"42,429,000","62,769,000","74,173,000"
