name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
OperatingCashFlow,"-63,428,000","-28,418,000","-15,159,000","-15,362,000","-4,489,000","-6,871,000","11,859,000","11,336,000","-16,823,000","-5,181,000","-13,475,000","-3,373,000","-11,670,000","-21,707,000","5,000,000","-5,596,000","1,126,000","-6,238,000","-2,443,000","5,416,000","-3,479,000","-13,767,000","-15,642,000","-1,931,000","-10,665,000","-30,265,000","-30,421,000","-29,396,000","-23,784,000","-16,829,000","-9,148,000","-6,920,000","-6,980,000","-8,100,000","-4,856,000","-4,157,000"
	CashFlowFromContinuingOperatingActivities,"-63,428,000","-28,418,000","-15,159,000","-15,362,000","-4,489,000","-6,871,000","11,859,000","11,336,000","-16,823,000","-5,181,000","-13,475,000","-3,373,000","-11,670,000","-21,707,000","5,000,000","-5,596,000","1,126,000","-6,238,000","-2,443,000","5,416,000","-3,479,000","-13,767,000","-15,642,000","-1,931,000","-10,665,000","-30,265,000","-30,421,000","-29,396,000","-23,784,000","-16,829,000","-9,148,000","-6,920,000","-6,980,000","-8,100,000","-4,856,000","-4,157,000"
		NetIncomeFromContinuingOperations,"-136,124,000","-34,325,000","-30,134,000","-50,075,000","-21,590,000","-29,561,000","-7,129,000","-9,985,000","-41,063,000","-24,888,000","-13,742,000","-17,847,000","-28,021,000","-44,076,000","-9,607,000","-11,265,000","-10,620,000","-17,713,000","-4,311,000","-6,230,000","-11,610,000","-14,507,000","-9,825,000","-3,886,000","-8,779,000","-9,288,000","-14,191,000","-19,454,000","-19,726,000","-14,060,000","-8,311,000","-7,884,000","-7,429,000","-7,056,000","-6,740,000","-5,016,000"
		OperatingGainsLosses,"2,005,000","252,000","330,000","747,000","676,000","1,330,000","-62,000","485,000","-469,000","-126,000","-402,000","417,000","-399,000","-66,000","278,000","19,000","427,000","464,000","275,000","216,000","-439,000","-851,000","1,202,000","-539,000","2,410,000","224,000",,,,,,,,,,
			GainLossOnSaleOfPPE,,,"0","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"2,005,000","252,000","330,000","747,000","676,000","1,330,000","-62,000","485,000","-481,000","-126,000","-402,000","417,000","-399,000","-66,000","278,000","19,000","427,000","464,000","275,000","216,000","-439,000","-851,000","915,000","-538,000","1,253,000","224,000",,,,,,,,,,
		DepreciationAmortizationDepletion,"9,194,000","2,503,000","2,402,000","2,188,000","2,101,000","1,987,000","2,011,000","2,029,000","2,024,000","2,122,000","2,071,000","1,917,000","1,904,000","1,908,000","1,042,000","1,078,000","952,000","815,000","733,000","666,000","623,000","485,000","483,000","465,000","389,000","380,000","327,000","157,000","84,000","46,000","31,000","26,000","23,000","16,000","19,000","9,000"
			DepreciationAndAmortization,"9,194,000","2,503,000","2,402,000","2,188,000","2,101,000","1,987,000","2,011,000","2,029,000","2,024,000","2,122,000","2,071,000","1,917,000","1,904,000","1,908,000","1,042,000","1,078,000","952,000","815,000","733,000","666,000","623,000","485,000","483,000","465,000","389,000","380,000","327,000","157,000","84,000","46,000","31,000","26,000","23,000","16,000","19,000","9,000"
				Depreciation,"9,194,000","2,503,000","2,402,000","2,188,000","2,101,000","1,987,000","2,011,000","2,029,000","2,024,000","2,122,000","2,071,000","1,917,000","1,904,000","1,908,000",,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,"1,524,000","449,000","502,000","305,000","268,000","435,000","190,000","171,000","80,000","-121,000","-243,000","-435,000","-568,000","-791,000","-694,000","-321,000","-200,000","-42,000","52,000","-75,000","-49,000","-44,000","-83,000","60,000","-128,000","-80,000","-134,000","-151,000","-102,000","-71,000","-181,000","81,000","80,000","102,000","119,000","135,000"
		AssetImpairmentCharge,"3,798,000","1,086,000","550,000","670,000","1,492,000","1,545,000","1,150,000","938,000","2,846,000","432,000","-376,000","436,000","-2,415,000","3,811,000","1,135,000","524,000","462,000","-116,000","309,000","289,000","1,315,000","2,071,000","1,297,000","1,062,000","750,000","947,000","696,000","765,000","1,042,000","264,000","297,000","445,000","-12,000","24,000","62,000","511,000"
		ProvisionandWriteOffofAssets,"-747,000","-50,000","-306,000","-252,000","-139,000","-831,000","-230,000","428,000","1,384,000","583,000","-133,000","-274,000","-47,000","427,000","-57,000","-119,000","-9,000","-316,000","378,000","-485,000","132,000","268,000","347,000","303,000","193,000","66,000","32,000","-30,000",,,,,,,,
		StockBasedCompensation,"48,538,000","13,408,000","11,459,000","12,637,000","11,034,000","9,237,000","10,118,000","13,965,000","10,083,000","8,489,000","10,382,000","11,192,000","9,721,000","10,402,000","9,619,000","9,454,000","9,321,000","8,243,000","7,276,000","6,411,000","6,385,000","6,071,000","5,332,000","3,924,000","3,449,000","3,055,000","2,242,000","1,953,000","1,912,000","1,218,000","764,000","436,000","393,000","405,000","460,000","423,000"
		OtherNonCashItems,"9,074,000","298,000","2,504,000","2,383,000","3,889,000","4,487,000","4,436,000","4,304,000","4,135,000","2,071,000","2,023,000","2,002,000","1,954,000","1,933,000","1,888,000","1,866,000","1,825,000","1,803,000","1,764,000","1,740,000","1,700,000","1,680,000","1,644,000","1,626,000","-1,149,000","60,000","52,000","61,000","60,000","58,000",,,,,,
		ChangeInWorkingCapital,"-690,000","-12,039,000","-2,466,000","16,035,000","-2,220,000","4,500,000","1,375,000","-999,000","4,157,000","6,257,000","-13,055,000","-781,000","6,201,000","4,745,000","1,396,000","-6,832,000","-1,032,000","624,000","-8,919,000","2,884,000","-1,536,000","-8,940,000","-16,039,000","-4,946,000","-7,800,000","-25,629,000","-18,763,000","-12,697,000","-7,142,000","-4,284,000","-2,110,000","-24,000","-35,000","-1,591,000","1,224,000","-219,000"
			ChangeInReceivables,"3,079,000","7,015,000","-6,778,000","1,872,000","970,000","12,141,000","1,910,000","-22,291,000","6,838,000","16,912,000","-11,344,000","-4,010,000","1,988,000","11,213,000","-6,838,000","-7,985,000","-3,952,000","6,561,000","-14,187,000","758,000","-2,523,000","2,053,000","-12,932,000","-4,304,000","-8,362,000","-6,583,000","-11,895,000","-3,223,000","-411,000","-704,000","-762,000","1,066,000","-217,000","80,000","-141,000","-596,000"
				ChangesInAccountReceivables,"3,079,000","7,015,000","-6,778,000","1,872,000","970,000","12,141,000","1,910,000","-22,291,000","6,838,000","16,912,000","-11,344,000","-4,010,000","1,988,000","11,213,000","-6,838,000","-7,985,000","-3,952,000","6,561,000","-14,187,000","758,000","-2,523,000","2,053,000","-12,932,000","-4,304,000","-8,362,000","-6,583,000","-11,895,000","-3,223,000","-411,000","-704,000","-762,000","1,066,000","-217,000","80,000","-141,000","-596,000"
			ChangeInInventory,"-9,667,000","1,919,000","6,011,000","-8,524,000","-9,073,000","-5,639,000","-714,000","6,790,000","-1,690,000","-1,863,000","-2,132,000","1,652,000","510,000","-968,000","303,000","861,000","1,917,000","765,000","-2,898,000","-9,167,000","-3,546,000","-686,000","-13,034,000","-5,403,000","-1,981,000","-6,613,000","-19,865,000","-16,795,000","-9,103,000","-3,644,000","-3,029,000","-921,000","-1,545,000","8,000","-105,000","-615,000"
			ChangeInPrepaidAssets,"-2,789,000","-7,915,000","1,851,000","1,052,000","2,223,000","-6,153,000","2,351,000","-425,000","2,304,000","1,436,000","-3,329,000","842,000","816,000","-1,551,000","593,000","-484,000","964,000","-1,840,000","-205,000","197,000","1,249,000","-1,742,000","840,000","221,000","-999,000","-2,059,000","-551,000","94,000","-565,000","-175,000","-2,112,000","1,355,000","216,000","-796,000","551,000","346,000"
			ChangeInPayablesAndAccruedExpense,"-4,532,000","-11,863,000","-987,000","3,055,000","5,263,000","4,860,000","-2,419,000","15,835,000","-4,426,000","-9,209,000","3,332,000","1,997,000","3,765,000","-3,361,000","8,494,000","938,000","-90,000","-4,414,000","8,248,000","11,525,000","3,365,000","-8,707,000","8,895,000","4,210,000","3,925,000","-10,480,000","13,193,000","7,005,000","2,679,000","2,161,000","2,122,000","314,000","1,445,000","-835,000","1,436,000","303,000"
				ChangeInPayable,"-2,055,000","-5,190,000","-8,890,000","3,703,000","8,322,000","5,871,000","-1,038,000","5,493,000","-1,505,000","4,728,000","-3,606,000","-3,537,000","-24,000","-305,000","3,384,000","-3,051,000","1,046,000","3,791,000","371,000","6,777,000","-510,000","-4,476,000","3,342,000","672,000","192,000","-9,792,000","9,057,000","5,457,000","-959,000","3,496,000","964,000","367,000","-181,000","133,000","623,000","177,000"
					ChangeInAccountPayable,"-2,055,000","-5,190,000","-8,890,000","3,703,000","8,322,000","5,871,000","-1,038,000","5,493,000","-1,505,000","4,728,000","-3,606,000","-3,537,000","-24,000","-305,000","3,384,000","-3,051,000","1,046,000","3,791,000","371,000","6,777,000","-510,000","-4,476,000","3,342,000","672,000","192,000","-9,792,000","9,057,000","5,457,000","-959,000","3,496,000","964,000","367,000","-181,000","133,000","623,000","177,000"
				ChangeInAccruedExpense,"-2,477,000","-6,673,000","7,903,000","-648,000","-3,059,000","-1,011,000","-1,381,000","10,342,000","-2,921,000","-13,937,000","6,938,000","5,534,000","3,789,000","-3,056,000","5,110,000","3,989,000","-1,136,000","-8,205,000","7,877,000","4,748,000","3,875,000","-4,231,000","5,553,000","3,538,000","3,733,000","-688,000","4,136,000","1,548,000","3,638,000","-1,335,000","1,158,000","-53,000","1,626,000","-968,000","813,000","126,000"
			ChangeInOtherCurrentAssets,"-701,000","3,000","-35,000","-179,000","-490,000","253,000","-56,000","-5,000","2,101,000","-238,000","1,072,000","-349,000","-179,000","-30,000","-1,536,000","-485,000","-88,000","-492,000","96,000","-852,000","-182,000","46,000","52,000","-168,000","-439,000","50,000","51,000","196,000","230,000","-1,909,000","1,621,000","-1,800,000","-2,000","-23,000","-138,000","0"
			ChangeInOtherCurrentLiabilities,"13,920,000","-1,198,000","-2,528,000","18,759,000","-1,113,000","-962,000","303,000","-903,000","-970,000","-781,000","-654,000","-913,000","-699,000","-558,000","380,000","323,000","217,000","44,000","27,000","423,000","101,000","96,000","140,000","498,000","56,000","56,000","304,000","26,000","28,000","-13,000","50,000","-38,000","68,000","-25,000","-379,000","343,000"
