name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005
OperatingCashFlow,"14,393,000","249,000","594,000","12,458,000","3,528,000","-9,318,000","-14,061,000","11,118,000","-904,000","1,743,000","7,432,000","-1,542,000","1,882,000","4,044,000","1,733,000","1,035,000","2,681,000","819,000","2,333,000","1,052,000","2,252,000","-6,228,000","-365,000","8,291,000","1,662,000","4,267,000","-1,272,000","1,418,000","-751,000","3,328,000","-2,148,000","1,425,000","-1,700,000","8,607,000","1,358,000","-4,854,000","2,548,000","5,758,000","-3,322,000","13,606,000","3,691,000","2,075,000","3,823,000","4,448,000","-955,000","7,584,000","1,005,000","-2,499,000","1,719,000","2,897,000","2,669,000","6,822,000","-1,848,000","-2,866,000","3,991,000","-6,864,000","1,945,000","613,000","4,820,000","1,786,000","-5,533,000","-962,000","2,000,000","-2,057,000","-1,531,000","3,035,000","154,000"
	CashFlowFromContinuingOperatingActivities,"14,393,000","249,000","594,000","12,458,000","3,528,000","-9,318,000","-14,061,000","11,118,000","-904,000","1,743,000","7,432,000","-1,542,000","1,882,000","4,044,000","1,733,000","1,035,000","2,681,000","819,000","2,333,000","1,052,000","2,252,000","-6,228,000","-365,000","8,291,000","1,662,000","4,267,000","-1,272,000","1,418,000","-751,000","3,328,000","-2,148,000","1,425,000","-1,700,000","8,607,000","1,358,000","-4,854,000","2,548,000","5,758,000","-3,322,000","13,606,000","3,691,000","2,075,000","3,823,000","4,448,000","-955,000","7,584,000","1,005,000","-2,499,000","1,719,000","2,897,000","2,669,000","6,822,000","-1,848,000","-2,866,000","3,991,000","-6,864,000","1,945,000","613,000","4,820,000","1,786,000","-5,533,000","-962,000","2,000,000","-2,057,000","-1,531,000","3,035,000","154,000"
		NetIncomeFromContinuingOperations,"-43,339,000","-14,983,000","-4,240,000","-5,387,000","-18,729,000","-14,778,000","2,735,000","2,494,000","3,072,000","-1,460,000","-921,000","3,718,000","-1,994,000","-2,940,000","-1,783,000","4,828,000","444,000","-1,752,000","4,604,000","-1,966,000","-3,150,000","-2,986,000","-3,519,000","1,345,000","-1,338,000","-157,000","-8,754,000","-341,000","-2,046,000","-2,361,000","-1,034,000","-274,000","-4,003,000","-5,301,000","-5,331,000","4,106,000","1,070,000","-656,000","3,577,000","1,268,000","2,649,000","2,001,000","-149,000","1,184,000","1,186,000","1,282,000","1,643,000","2,094,000","767,000","-260,000","1,446,000","881,000","594,000","-612,000","6,850,000","796,000","977,000","2,065,000","-4,326,000","337,000","7,823,000","1,712,000","-1,781,000","-5,881,000","-13,900,000","-8,119,000","-6,230,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,"956,000","955,000",,,,,,,,,"-2,916,000","973,000","982,000","972,000","1,029,000","972,000","973,000","972,000","973,000","972,000","766,000","993,000","-1,137,000","-222,000",,,"0","0",,,"0",,,,,,,,"0","0",,,"0","0",,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,"956,000","955,000",,,,,,,,,,"973,000","972,000","972,000","973,000","972,000","973,000","972,000","973,000","972,000","766,000","993,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"5,669,000","1,405,000","1,401,000","1,459,000","1,404,000","1,360,000","1,335,000","1,284,000","1,345,000","1,389,000","1,363,000","1,268,000","1,407,000","934,000","880,000","779,000","712,000","657,000","585,000","535,000","439,000","440,000","438,000","427,000","981,000","1,052,000","1,073,000","1,071,000","1,072,000","1,075,000","1,082,000","1,089,000","1,050,000","1,030,000","993,000","939,000","942,000","943,000","941,000","945,000","954,000","972,000","997,000","959,000","378,000","394,000","392,000","437,000","391,000","405,000","378,000","376,000","365,000","353,000","355,000","355,000","358,000","363,000","139,000","542,000","535,000","535,000","262,000","724,000","441,000","428,000","548,000"
			DepreciationAndAmortization,"5,669,000","1,405,000","1,401,000","1,459,000","1,404,000","1,360,000","1,335,000","1,284,000","1,345,000","1,389,000","1,363,000","1,268,000","1,407,000","934,000","880,000","779,000","712,000","657,000","585,000","535,000","439,000","440,000","438,000","427,000","981,000","1,052,000","1,073,000","1,071,000","1,072,000","1,075,000","1,082,000","1,089,000","1,050,000","1,030,000","993,000","939,000","942,000","943,000","941,000","945,000","954,000","972,000","997,000","959,000","378,000","394,000","392,000","437,000","391,000","405,000","378,000","376,000","365,000","353,000","355,000","355,000","358,000","363,000","139,000","542,000","535,000","535,000","262,000","724,000","441,000","428,000","548,000"
		DeferredTax,"73,000","12,000","42,000","10,000","9,000","9,000","3,000","9,000","9,000","10,000","9,000","9,000","10,000","-225,000","39,000","13,000","12,000","13,000","-2,899,000","63,000","63,000","63,000","3,000","63,000","63,000","63,000","6,103,000","-663,000","-129,000","-198,000","-78,000","-1,582,000","-1,447,000","-928,000","7,796,000","-4,508,000","-1,197,000","-1,896,000","2,039,000","0","0","0","-650,000","0","0","-159,000","1,515,000","0","0","0","1,802,000","1,837,000","1,041,000","-1,393,000",,,,,,,,,,,,,
