name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,09/30/2015,06/30/2015
TotalAssets,"5,857,773,000","5,773,599,000","5,644,181,000","5,559,713,000","5,538,875,000","5,572,205,000","5,624,850,000","3,501,540,000","2,857,737,000","2,897,649,000","2,811,360,000","2,796,276,000","2,790,527,000","2,752,485,000","2,797,695,000","1,457,033,000","1,432,473,000","1,410,742,000","500,867,612","502,707,408","501,921,984","501,602,414","501,362,150","501,084,182","501,048,921","501,751,096","20,000"
	CurrentAssets,"495,596,000","483,040,000","477,512,000","439,546,000","404,056,000","419,492,000","414,128,000","940,679,000","289,913,000","292,588,000","304,234,000","299,019,000","302,755,000","256,347,000","250,655,000","136,160,000","121,092,000","127,783,000","39,058","44,332","54,931","261,504","444,671","495,015","728,509","1,750,000","0"
		CashCashEquivalentsAndShortTermInvestments,"11,321,000","12,699,000","11,317,000","15,402,000","26,934,000","24,937,000","19,997,000","9,061,000","4,642,000","3,045,000","3,951,000","5,490,000","12,779,000","8,958,000","9,771,000","8,181,000","2,861,000","9,185,000","13,326","22,490","7,289","188,063","345,429","495,015","728,509","1,750,000","0"
			CashAndCashEquivalents,"11,321,000","12,699,000","11,317,000","15,402,000","26,934,000","24,937,000","19,997,000","9,061,000","4,642,000","3,045,000","3,951,000","5,490,000","12,779,000","8,958,000","9,771,000","8,181,000","2,861,000","9,185,000","13,326","22,490","7,289","188,063","345,429","495,015","728,509","1,750,000","0"
				CashFinancial,,,,,,,,,,,,,,,,,,,"13,326",,,"188,063",,"495,015","728,509","1,750,000","0"
		Receivables,"403,153,000","399,887,000","398,350,000","365,164,000","322,425,000","335,560,000","332,021,000","231,007,000","241,142,000","247,596,000","250,488,000","242,730,000","229,563,000","206,624,000","199,461,000","104,013,000","94,377,000","97,683,000",,,,,,,,,
			AccountsReceivable,"403,153,000","399,887,000","398,350,000","365,164,000","322,425,000","330,942,000","332,021,000","231,007,000","241,142,000","247,596,000","250,488,000","242,730,000","229,563,000","206,502,000","199,461,000","104,013,000","94,377,000","94,820,000",,,,,,,,,
				GrossAccountsReceivable,"452,411,000","447,516,000","440,217,000","401,949,000","354,055,000","360,200,000","356,207,000","250,190,000","257,613,000","263,424,000","265,601,000","255,855,000","241,452,000","215,842,000","207,374,000","109,644,000","100,036,000","99,665,000",,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-49,258,000","-47,629,000","-41,867,000","-36,785,000","-31,630,000","-29,258,000","-24,186,000","-19,183,000","-16,471,000","-15,828,000","-15,113,000","-13,125,000","-11,889,000","-9,340,000","-7,913,000","-5,631,000","-5,659,000","-4,845,000",,,,,,,,,
			TaxesReceivable,,,,,,"4,618,000",,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,"122,000",,,,"2,863,000",,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,"0",,,,,,,,,
		Inventory,"39,885,000","32,739,000","30,943,000","32,294,000","24,132,000","21,655,000","22,955,000","14,800,000","15,006,000","15,387,000","15,956,000","15,215,000","17,412,000","16,218,000","21,348,000","9,829,000","10,336,000","10,082,000",,,,,,,,,
			RawMaterials,"32,600,000","26,854,000","24,472,000","24,493,000","21,665,000","19,560,000","21,573,000","14,800,000",,"15,387,000","15,956,000","15,215,000","17,358,000","16,022,000","19,107,000","9,829,000","10,336,000","10,082,000",,,,,,,,,
			WorkInProcess,,,,,,,"1,382,000",,,"0","0","0","54,000","196,000","2,241,000",,,,,,,,,,,,
			FinishedGoods,"7,285,000","5,885,000","6,471,000","7,801,000","2,467,000","2,095,000",,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,"0",,,,,,,,,
		PrepaidAssets,"40,283,000","36,761,000","35,940,000","26,686,000","28,152,000","25,336,000","26,391,000","21,392,000","20,580,000","5,726,000","24,684,000","22,678,000","22,039,000","9,200,000","20,075,000","14,137,000","13,518,000","4,829,000","25,732","21,842","47,642","73,441","99,242",,,,
		RestrictedCash,,,,,,,,"655,087,000",,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"954,000","954,000","962,000","0","2,413,000","12,004,000","12,764,000","9,332,000","8,543,000","11,939,000","9,155,000","12,906,000","20,962,000","2,841,000",,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,"8,895,000",,,,"12,506,000",,,,"6,004,000","0","0","0","0","0","0","0","0",
	TotalNonCurrentAssets,"5,362,177,000","5,290,559,000","5,166,669,000","5,120,167,000","5,134,819,000","5,152,713,000","5,210,722,000","2,560,861,000","2,567,824,000","2,605,061,000","2,507,126,000","2,497,257,000","2,487,772,000","2,496,138,000","2,547,040,000","1,320,873,000","1,311,381,000","1,282,959,000","500,828,554","502,663,076","501,867,053","501,340,910","500,917,479","500,589,167","500,320,412","500,001,096","20,000"
		NetPPE,"3,720,618,000","3,640,223,000","3,509,948,000","3,453,318,000","3,458,629,000","3,469,466,000","3,569,608,000","2,197,474,000","2,205,011,000","2,238,823,000","2,139,785,000","2,118,616,000","2,108,081,000","2,113,040,000","2,142,557,000","1,157,401,000","1,148,932,000","1,123,812,000",,,,,,,,,
			GrossPPE,"4,780,716,000","4,776,072,000","4,466,543,000","4,359,515,000","4,309,466,000","4,361,903,000","4,313,469,000","2,897,024,000","2,863,910,000","2,953,396,000","2,733,223,000","2,682,990,000","2,636,970,000","2,698,285,000","2,608,705,000","1,594,964,000","1,573,561,000","1,609,888,000",,,,,,,,,
				Properties,,"167,132,000",,,,"154,210,000",,,,"139,861,000",,,,"185,870,000",,,,"0",,,,,,,,,
				LandAndImprovements,,,,,,,,,,,,,,"185,870,000",,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,"89,941,000",,,,,,,,,
				MachineryFurnitureEquipment,,"273,531,000","716,033,000","696,600,000","940,653,000","247,809,000","1,028,230,000","2,607,849,000","2,571,894,000","27,342,000","2,546,267,000","2,518,231,000","2,469,506,000","29,632,000","2,415,551,000","1,512,603,000","1,490,617,000","26,598,000",,,,,,,,,
				OtherProperties,"4,780,716,000","4,335,409,000","4,466,543,000","4,359,515,000","4,309,466,000","3,959,884,000","4,313,469,000","2,897,024,000","2,863,910,000","2,786,193,000","2,733,223,000","2,682,990,000","2,636,970,000","2,482,783,000","2,608,705,000","1,594,964,000","1,573,561,000","1,493,349,000",,,,,,,,,
			AccumulatedDepreciation,"-1,060,098,000","-1,135,849,000","-956,595,000","-906,197,000","-850,837,000","-892,437,000","-743,861,000","-699,550,000","-658,899,000","-714,573,000","-593,438,000","-564,374,000","-528,889,000","-585,245,000","-466,148,000","-437,563,000","-424,629,000","-486,076,000",,,,,,,,,
		GoodwillAndOtherIntangibleAssets,"1,631,073,000","1,639,484,000","1,645,579,000","1,655,064,000","1,660,620,000","1,667,166,000","1,629,094,000","359,954,000","359,171,000","361,802,000","362,700,000","374,284,000","374,230,000","378,818,000","400,283,000","159,434,000","159,031,000","154,868,000",,,,,,,,,
			Goodwill,"1,177,288,000","1,178,806,000","1,178,290,000","1,180,737,000","1,179,421,000","1,171,219,000","942,791,000","233,829,000","232,796,000","235,177,000","234,597,000","245,828,000","242,984,000","247,017,000","267,764,000","33,570,000","32,972,000","28,609,000",,,,,,,,,
			OtherIntangibleAssets,"453,785,000","460,678,000","467,289,000","474,327,000","481,199,000","495,947,000","686,303,000","126,125,000","126,375,000","126,625,000","128,103,000","128,456,000","131,246,000","131,801,000","132,519,000","125,864,000","126,059,000","126,259,000",,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000"
		OtherNonCurrentAssets,"10,486,000","10,852,000","11,142,000","11,785,000","15,570,000","16,081,000","12,020,000","3,433,000","3,642,000","4,436,000","4,641,000","4,357,000","5,461,000","4,280,000","4,200,000","4,038,000","3,418,000","4,279,000","500,828,554","502,663,076","501,867,053","501,340,910","500,917,479","500,589,167","500,320,412","500,001,096","0"
TotalLiabilitiesNetMinorityInterest,"3,891,588,000","3,776,836,000","3,687,597,000","3,554,300,000","3,532,986,000","3,430,928,000","3,530,345,000","2,796,450,000","2,176,664,000","2,188,694,000","2,127,421,000","2,111,806,000","2,096,596,000","2,050,288,000","2,066,986,000","980,413,000","954,374,000","926,192,000","21,583,453","20,561,407","19,700,513","19,575,671","19,612,671","19,525,639","19,631,582","20,285,878","0"
	CurrentLiabilities,"529,272,000","517,645,000","541,840,000","499,683,000","448,614,000","448,667,000","451,202,000","590,925,000","313,284,000","320,412,000","301,040,000","287,895,000","276,139,000","269,023,000","243,614,000","158,043,000","147,678,000","155,730,000","2,083,453","1,061,407","200,513","75,671","112,671","25,639","131,582","785,878","0"
		PayablesAndAccruedExpenses,"238,293,000","218,466,000","308,659,000","281,701,000","244,444,000","248,598,000","255,698,000","205,831,000","197,902,000","208,301,000","211,313,000","202,788,000","199,533,000","195,286,000","173,972,000","105,778,000","97,118,000","108,667,000","1,703,453","831,407","200,513","75,671","112,671","25,639","131,582","785,878",
			Payables,"135,355,000","118,271,000","145,320,000","132,031,000","111,408,000","106,926,000","114,249,000","87,847,000","102,570,000","109,926,000","101,532,000","96,031,000","96,184,000","90,353,000","78,638,000","58,370,000","46,887,000","57,051,000","1,703,453","831,407",,,,,,,
				AccountsPayable,"135,355,000","118,271,000","145,320,000","132,031,000","111,408,000","106,926,000","114,249,000","87,847,000","102,570,000","109,926,000","101,532,000","96,031,000","96,184,000","90,353,000","78,638,000","58,370,000","46,887,000","57,051,000","1,703,453","831,407",,,,,,,
				OtherPayable,,,,,,,,,,,,,,,,,,"0","0","0",,,,,,,
			CurrentAccruedExpenses,"102,938,000","100,195,000","163,339,000","149,670,000","133,036,000","141,672,000","141,449,000","117,984,000","95,332,000","98,375,000","109,781,000","106,757,000","103,349,000","104,933,000","95,334,000","47,408,000","50,231,000","51,616,000",,,,,,,,,
				InterestPayable,,,,,,,"16,138,000","16,772,000","12,479,000","16,020,000","13,386,000","16,145,000","14,669,000","20,237,000","15,613,000","1,802,000","8,723,000","2,704,000",,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"44,634,000","68,414,000",,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"73,438,000","71,126,000","69,204,000","66,163,000","64,595,000","64,584,000","63,152,000","295,836,000","29,446,000","29,133,000","2,025,000","2,026,000","1,990,000","1,959,000","1,915,000","1,883,000","1,884,000","1,881,000","380,000","230,000",,,,,,,
			CurrentDebt,"19,792,000","18,121,000","18,652,000","16,557,000","16,229,000","16,521,000","16,872,000","265,398,000",,,"2,025,000","2,026,000","1,990,000","1,959,000","1,915,000","1,883,000","1,884,000","1,881,000","380,000","230,000",,,,,,,
				OtherCurrentBorrowings,"19,792,000","18,121,000","18,652,000","16,557,000","16,229,000","16,521,000","16,872,000","265,398,000",,,,,,,,,,,"380,000","230,000",,,,,,,
			CurrentCapitalLeaseObligation,"53,646,000","53,005,000","50,552,000","49,606,000","48,366,000","48,063,000","46,280,000","30,438,000","29,446,000","29,133,000",,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"172,907,000","159,639,000","163,977,000","151,819,000","139,575,000","135,485,000","132,352,000","89,258,000","85,936,000","82,978,000","87,702,000","83,081,000","74,616,000","71,778,000","67,727,000","50,382,000","48,676,000","45,182,000","380,000","230,000",,,,,,,
			CurrentDeferredRevenue,"172,907,000","159,639,000","163,977,000","151,819,000","139,575,000","135,485,000","132,352,000","89,258,000","85,936,000","82,978,000","87,702,000","83,081,000","74,616,000","71,778,000","67,727,000","50,382,000","48,676,000","45,182,000","380,000","230,000",,,,,,,
