name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992
OperatingCashFlow,"10,614,000,000","1,840,000,000","3,205,000,000","3,253,000,000","2,316,000,000","2,610,000,000","1,916,000,000","2,250,000,000","2,566,000,000","1,436,000,000","2,580,000,000","2,899,000,000","2,221,000,000","1,444,000,000","2,345,000,000","2,212,000,000","1,573,000,000","2,270,000,000","2,753,000,000","2,694,000,000","3,526,000,000","2,925,000,000","3,486,000,000","4,330,000,000","4,940,000,000","3,913,000,000","4,874,000,000","4,096,000,000","5,658,000,000","5,701,000,000","3,020,667,000","4,044,022,000","4,185,293,000","1,568,018,000","726,787,000","753,096,000","953,004,000","672,101,000","705,728,000","745,368,000","1,290,651,000","452,969,000","978,107,000","897,106,000","943,255,000","820,542,000","724,843,000","739,422,000","699,079,000","670,569,000","955,276,000","860,531,000","622,917,000","641,330,000","646,030,000","555,217,000","426,314,000","577,098,000","511,986,000","251,198,000","511,721,000","490,493,000","479,508,000","250,758,000","265,899,000","221,894,000","340,449,000","-144,234,000","291,640,000","227,225,000","124,048,000","166,636,000","122,488,000","98,206,000","99,913,000","54,310,000","59,442,000","20,942,000","35,548,000","60,766,000","1,210,000","-23,115,000","4,630,000","-31,099,000","-31,415,000","-30,248,000","-23,408,000","-9,761,000","526,000","-5,559,000","-8,800,000","-13,500,000","-23,000,000","-17,300,000","-16,300,000","-17,900,000","-5,700,000","-6,800,000","-12,200,000","-9,400,000","-800,000","2,500,000","3,900,000","0","-12,900,000","-7,500,000","-5,700,000","-8,100,000","-7,500,000","-7,900,000","-3,400,000","-8,600,000","-6,800,000","-6,300,000","-3,200,000","-6,100,000","-4,600,000","-2,900,000","700,000","-2,100,000"
	CashFlowFromContinuingOperatingActivities,"10,614,000,000","1,840,000,000","3,205,000,000","3,253,000,000","2,316,000,000","2,610,000,000","1,916,000,000","2,250,000,000","2,566,000,000","1,436,000,000","2,580,000,000","2,899,000,000","2,221,000,000","1,444,000,000","2,345,000,000","2,212,000,000","1,573,000,000","2,270,000,000","2,753,000,000","2,694,000,000","3,526,000,000","2,925,000,000","3,486,000,000","4,330,000,000","4,940,000,000","3,913,000,000","4,874,000,000","4,096,000,000","5,658,000,000","5,701,000,000","3,020,667,000","4,044,022,000","4,185,293,000","1,568,018,000","726,787,000","753,096,000","953,004,000","672,101,000","705,728,000","745,368,000","1,290,651,000","452,969,000","978,107,000","897,106,000","943,255,000","820,542,000","724,843,000","739,422,000","699,079,000","670,569,000","955,276,000","860,531,000","622,917,000","641,330,000","646,030,000","555,217,000","426,314,000","577,098,000","511,986,000","251,198,000","511,721,000","490,493,000","479,508,000","250,758,000","265,899,000","221,894,000","340,449,000","-144,234,000","291,640,000","227,225,000","124,048,000","166,636,000","122,488,000","98,206,000","99,913,000","54,310,000","59,442,000","20,942,000","35,548,000","60,766,000","1,210,000","-23,115,000","4,630,000","-31,099,000","-31,415,000","-30,248,000","-23,408,000","-9,761,000","526,000","-5,559,000","-8,800,000","-13,500,000","-23,000,000","-17,300,000","-16,300,000","-17,900,000","-5,700,000","-6,800,000","-12,200,000","-9,400,000","-800,000","2,500,000","3,900,000","0","-12,900,000","-7,500,000","-5,700,000","-8,100,000","-7,500,000","-7,900,000","-3,400,000","-8,600,000","-6,800,000","-6,300,000","-3,200,000","-6,100,000","-4,600,000","-2,900,000","700,000","-2,100,000"
		NetIncomeFromContinuingOperations,"4,491,000,000","12,000,000","376,000,000","2,586,000,000","1,517,000,000","1,722,000,000","1,544,000,000","353,000,000","-3,346,000,000","1,538,000,000","2,689,000,000","-1,168,000,000","1,875,000,000","1,968,000,000","3,000,000","2,099,000,000","1,819,000,000","1,539,000,000","-3,836,000,000","2,712,000,000","3,069,000,000","2,699,000,000","3,099,000,000","3,325,000,000","3,497,000,000","3,567,000,000","4,685,000,000","4,592,000,000","4,497,000,000","4,332,000,000","3,461,665,000","2,724,263,000","3,650,485,000","2,222,587,000","786,742,000","785,216,000","767,618,000","717,710,000","758,959,000","671,035,000","706,074,000","437,531,000","661,759,000","737,538,000",,,"626,365,000","702,163,000","709,127,000","852,094,000","799,393,000","670,478,000","569,145,000","586,576,000","568,194,000","504,005,000","442,828,000","496,127,000","401,642,000","398,319,000","407,930,000","407,407,000","-1,665,647,000","-52,164,000","265,150,000","262,704,000","281,602,000","179,232,000","195,967,000","157,113,000","110,244,000","113,240,000","111,459,000","114,428,000","192,583,000","73,096,000","100,372,000","-438,054,000","35,479,000","20,757,000","19,711,000","-3,850,000","131,577,000","-25,196,000","-32,387,000","-21,723,000","-15,595,000","-17,564,000","-4,186,000","-5,761,000","-9,000,000","-26,700,000","-15,000,000","-15,800,000","-16,300,000","-17,600,000","-14,800,000","-7,400,000","-12,400,000","-10,400,000","2,700,000","-7,900,000","-8,000,000","9,300,000","-12,200,000","-10,800,000","-8,500,000","-7,900,000","-8,900,000","-8,200,000","-7,000,000","-7,200,000","-8,400,000","-6,700,000","-5,800,000","-4,800,000","-5,700,000","-3,900,000","-2,700,000","-1,800,000"
		OperatingGainsLosses,"355,000,000","96,000,000","-57,000,000","142,000,000","174,000,000","351,000,000",,"964,000,000","-201,000,000","283,000,000","-929,000,000","-58,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,478,000","-2,401,000","-2,153,000","2,032,421,000","361,614,000","-8,477,000","8,844,000","99,154,000","19,419,000","60,155,000","721,000","31,642,000","-2,145,000","-3,470,000","-17,106,000","-105,108,000","1,587,000","2,468,000","488,896,000","4,256,000","17,209,000","1,300,000","-236,000","-113,978,000","-13,096,000","2,283,000","519,000","-5,101,000","2,411,000","-23,000","2,226,000","3,800,000",,,,,,,,,,,,,,,,,,,,,"-200,000",,,"400,000","-700,000",,"0",,
			GainLossOnInvestmentSecurities,"355,000,000","96,000,000","-57,000,000","142,000,000","174,000,000","351,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,"964,000,000","-201,000,000","283,000,000","-929,000,000","-58,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"2,102,000,000","525,000,000","535,000,000","523,000,000","519,000,000","473,000,000","427,000,000","355,000,000","349,000,000","349,000,000","350,000,000","347,000,000","348,000,000","359,000,000","358,000,000","358,000,000","356,000,000","357,000,000","397,000,000","297,000,000","298,000,000","294,000,000","292,000,000","299,000,000","284,000,000","283,000,000","278,000,000","278,000,000","273,000,000","269,000,000","275,381,000","266,672,000","266,907,000","241,040,000","127,959,000","69,242,000","73,177,000","74,326,000","73,631,000","70,996,000","67,412,000","66,167,000","73,425,000","73,001,000","74,892,000","80,914,000","77,517,000","69,053,000","58,801,000","60,106,000","64,110,000","57,051,000","52,635,000","39,148,000","26,831,000","34,667,000","24,230,000","16,739,000","9,465,000","15,532,000","14,611,000","11,671,000","11,767,000","11,684,000","12,590,000","11,243,000","11,873,000","11,332,000","6,435,000","6,137,000","6,429,000","6,118,000","6,011,000","5,850,000","6,157,000","5,152,000","4,951,000","4,599,000","3,889,000","3,748,000","3,433,000","3,358,000","3,845,000","3,793,000","3,608,000","3,445,000","3,321,000","2,710,000","3,084,000","2,893,000","3,100,000","7,800,000","900,000","800,000","700,000","700,000","700,000","700,000","700,000","800,000","700,000","800,000","800,000","800,000","1,800,000","1,100,000","1,100,000","1,100,000","1,100,000","1,000,000","900,000","900,000","800,000","800,000","700,000","500,000","400,000","500,000","400,000","400,000"
			DepreciationAndAmortization,"2,102,000,000","525,000,000","535,000,000","523,000,000","519,000,000","473,000,000","427,000,000","355,000,000","349,000,000","349,000,000","350,000,000","347,000,000","348,000,000","359,000,000","358,000,000","358,000,000","356,000,000","357,000,000","397,000,000","297,000,000","298,000,000","294,000,000","292,000,000","299,000,000","284,000,000","283,000,000","278,000,000","278,000,000","273,000,000","269,000,000","275,381,000","266,672,000","266,907,000","241,040,000","127,959,000","69,242,000","73,177,000","74,326,000","73,631,000","70,996,000","67,412,000","66,167,000","73,425,000","73,001,000","74,892,000","80,914,000","77,517,000","69,053,000","58,801,000","60,106,000","64,110,000","57,051,000","52,635,000","39,148,000","26,831,000","34,667,000","24,230,000","16,739,000","9,465,000","15,532,000","14,611,000","11,671,000","11,767,000","11,684,000","12,590,000","11,243,000","11,873,000","11,332,000","6,435,000","6,137,000","6,429,000","6,118,000","6,011,000","5,850,000","6,157,000","5,152,000","4,951,000","4,599,000","3,889,000","3,748,000","3,433,000","3,358,000","3,845,000","3,793,000","3,608,000","3,445,000","3,321,000","2,710,000","3,084,000","2,893,000","3,100,000","7,800,000","900,000","800,000","700,000","700,000","700,000","700,000","700,000","800,000","700,000","800,000","800,000","800,000","1,800,000","1,100,000","1,100,000","1,100,000","1,100,000","1,000,000","900,000","900,000","800,000","800,000","700,000","500,000","400,000","500,000","400,000","400,000"
				Depreciation,"331,000,000","80,000,000","90,000,000","82,000,000","79,000,000","78,000,000","79,000,000","73,000,000","68,000,000","68,000,000","69,000,000","66,000,000","60,000,000","60,000,000","57,000,000","57,000,000","56,000,000","56,000,000","78,000,000","52,000,000","54,000,000","49,000,000","48,000,000","44,000,000","43,000,000","42,000,000","45,000,000","41,000,000","38,000,000","37,000,000","31,331,000","40,190,000","28,969,000","24,510,000","26,598,000","25,955,000","26,118,000","23,973,000","22,359,000","20,551,000","20,227,000","19,710,000","18,955,000","17,202,000","17,745,000","18,285,000","17,865,000","15,989,000","15,908,000","17,478,000","20,248,000","15,484,000","15,108,000","13,720,000","14,174,000","13,767,000","13,072,000","10,709,000","10,639,000","10,278,000","8,544,000","7,427,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"1,771,000,000","445,000,000","445,000,000","441,000,000","440,000,000","395,000,000","348,000,000","282,000,000","281,000,000","281,000,000","281,000,000","281,000,000","288,000,000","299,000,000","301,000,000","301,000,000","300,000,000","301,000,000","319,000,000","245,000,000","244,000,000","245,000,000","244,000,000","255,000,000","241,000,000","241,000,000","233,000,000","237,000,000","235,000,000","232,000,000","244,050,000","226,482,000","237,938,000","216,530,000","101,361,000","43,287,000","47,059,000","50,353,000","51,272,000","50,445,000","47,185,000","46,457,000","54,470,000","55,799,000","57,147,000","62,629,000","59,652,000","53,064,000","42,893,000","42,628,000","43,862,000","41,567,000","37,527,000","25,428,000","12,657,000","20,900,000","11,158,000","6,030,000","-1,174,000","5,254,000","6,067,000","4,244,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
