name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
OperatingCashFlow,"204,600,000","-60,000,000","60,600,000","56,900,000","131,200,000","164,500,000","-47,500,000","163,000,000","318,100,000","-49,200,000","94,200,000","130,300,000","223,800,000","93,700,000","164,000,000","199,100,000","234,400,000","152,300,000","100,900,000","114,000,000","231,900,000","142,000,000","77,000,000","124,900,000","89,400,000","69,500,000","159,600,000","114,900,000","114,400,000","86,100,000","103,600,000","96,300,000","139,100,000","92,300,000","115,600,000","95,400,000","132,200,000","90,800,000","52,200,000","67,700,000","95,800,000","74,500,000","100,300,000","48,000,000","76,200,000","81,300,000","49,600,000","90,100,000","95,700,000","232,200,000","11,700,000","97,200,000","97,100,000","44,800,000","17,400,000","116,000,000","71,000,000","20,500,000"
	CashFlowFromContinuingOperatingActivities,"253,500,000","-9,500,000","60,600,000","56,900,000","131,200,000","164,500,000","-47,500,000","163,000,000","318,100,000","-49,200,000","89,700,000","129,400,000","68,000,000","93,700,000","164,000,000","199,100,000","234,400,000","152,300,000","100,900,000","114,000,000","231,900,000","142,000,000","77,000,000","124,900,000","89,400,000","69,500,000","159,600,000","114,900,000","114,400,000","86,100,000","103,600,000","96,300,000","139,100,000","92,300,000","115,600,000","95,400,000","132,200,000","90,800,000","52,200,000","67,700,000","95,800,000","74,500,000","100,300,000","48,000,000","76,200,000","81,300,000","49,600,000","90,100,000","95,700,000","232,200,000","11,700,000","97,200,000","97,100,000","44,800,000","17,400,000","116,000,000","71,000,000","20,500,000"
		NetIncomeFromContinuingOperations,"15,300,000","-300,000","5,100,000","-1,000,000","11,500,000","50,900,000","-17,100,000","47,100,000","-32,300,000","2,800,000","19,800,000","35,300,000","55,600,000","77,800,000","67,300,000","77,500,000","93,200,000","90,000,000","172,800,000","62,800,000","57,200,000","69,200,000","45,500,000","54,400,000","61,800,000","60,700,000","48,300,000","52,300,000","59,500,000","54,500,000","50,300,000","47,500,000","50,800,000","20,700,000","-17,600,000","22,800,000","33,400,000","29,100,000",,,,,,,,"39,800,000","7,300,000","25,600,000","28,600,000","8,100,000","5,300,000","8,600,000","12,800,000","-3,500,000","-383,100,000","163,900,000","6,200,000","-3,200,000"
		OperatingGainsLosses,,,,,,,,,,,"100,000","2,200,000","0","100,000","-200,000","-300,000","-200,000","-100,000","-21,900,000","0","27,300,000","-300,000","1,400,000","100,000","-100,000","4,100,000","-400,000",,,"100,000","-100,000","0","-100,000","30,300,000","-100,000","-100,000","2,000,000","3,700,000","200,000","-1,600,000","0","-100,000","0","-100,000",,,"8,500,000","25,100,000","100,000","300,000","-1,400,000","1,300,000",,,"5,500,000",,,
			GainLossOnSaleOfPPE,"100,000",,,,,,,,,,"100,000","0","0","100,000","-200,000","-300,000","-200,000","-100,000","-300,000","0","-200,000","-300,000","0",,,"100,000","-400,000","1,300,000","-100,000","100,000","-100,000","0","-100,000","0","-100,000","-100,000","400,000","-100,000","200,000","-1,600,000","0","-100,000","0","-100,000","-100,000","0","1,100,000","-200,000","100,000","300,000","-1,400,000","1,300,000",,,"5,500,000",,,
		DepreciationAmortizationDepletion,"182,100,000","26,000,000","45,900,000","44,700,000","45,400,000","47,000,000","50,600,000","46,500,000","46,500,000","47,700,000","50,100,000","46,400,000","26,100,000","66,100,000","67,100,000","65,600,000","66,900,000","70,300,000","69,400,000","66,200,000","64,500,000","64,500,000","64,700,000","60,500,000","59,000,000","56,400,000","56,000,000","54,100,000","51,800,000","50,900,000","51,300,000","48,900,000","48,300,000","48,100,000","48,500,000","49,600,000","49,000,000","47,300,000","46,800,000","46,800,000","48,000,000","48,600,000","48,300,000","43,800,000","43,600,000","44,100,000","44,000,000","42,200,000","41,800,000","43,300,000","42,500,000","41,600,000","42,300,000","46,000,000","45,500,000","45,000,000","45,000,000","47,300,000"
			DepreciationAndAmortization,"182,100,000","26,000,000","45,900,000","44,700,000","45,400,000","47,000,000","50,600,000","46,500,000","46,500,000","47,700,000","50,100,000","46,400,000","26,100,000","66,100,000","67,100,000","65,600,000","66,900,000","70,300,000","69,400,000","66,200,000","64,500,000","64,500,000","64,700,000","60,500,000","59,000,000","56,400,000","56,000,000","54,100,000","51,800,000","50,900,000","51,300,000","48,900,000","48,300,000","48,100,000","48,500,000","49,600,000","49,000,000","47,300,000","46,800,000","46,800,000","48,000,000","48,600,000","48,300,000","43,800,000","43,600,000","44,100,000","44,000,000","42,200,000","41,800,000","43,300,000","42,500,000","41,600,000","42,300,000","46,000,000","45,500,000","45,000,000","45,000,000","47,300,000"
		DeferredTax,"6,000,000","2,600,000","0","1,000,000","1,600,000","5,200,000","-4,200,000","10,100,000","-8,400,000","-4,700,000","-5,800,000","-1,100,000","200,000","3,400,000","2,400,000","-2,400,000","-2,300,000","2,400,000","-101,400,000","1,100,000","9,900,000","-3,100,000","7,600,000","-4,600,000","-3,700,000","-3,500,000","19,400,000","-5,300,000","-5,900,000","-3,200,000","4,200,000","-7,200,000","-1,300,000","-20,200,000","11,400,000","7,300,000","2,100,000","1,900,000","14,900,000","-6,300,000","-7,700,000","-4,600,000","8,300,000","-6,900,000","-2,000,000","-2,900,000","-5,000,000","6,400,000","3,900,000","-7,600,000","-300,000","-1,500,000","100,000","-7,100,000","-27,800,000","-12,500,000","-7,800,000","-7,500,000"
			DeferredIncomeTax,"6,000,000","2,600,000","0","1,000,000","1,600,000","5,200,000","-4,200,000","10,100,000","-8,400,000","-4,700,000","-5,800,000","-1,100,000","200,000","3,400,000","2,400,000","-2,400,000","-2,300,000","2,400,000","-101,400,000","1,100,000","9,900,000","-3,100,000","7,600,000","-4,600,000","-3,700,000","-3,500,000","19,400,000","-5,300,000","-5,900,000","-3,200,000","4,200,000","-7,200,000","-1,300,000","-20,200,000","11,400,000","7,300,000","2,100,000","1,900,000","14,900,000","-6,300,000","-7,700,000","-4,600,000","8,300,000","-6,900,000","-2,000,000","-2,900,000","-5,000,000","6,400,000","3,900,000","-7,600,000","-300,000","-1,500,000","100,000","-7,100,000","-27,800,000","-12,500,000","-7,800,000","-7,500,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,700,000","1,700,000","1,800,000","1,800,000","2,000,000","2,900,000","3,400,000","3,400,000","3,400,000","3,400,000","3,500,000","3,500,000","3,200,000","3,400,000","3,400,000","3,400,000","3,400,000","3,400,000","3,400,000"
