name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011
OperatingCashFlow,"-90,173,000","-26,375,000","-13,271,000","-21,021,000","-29,506,000","-4,579,000","-14,890,000","-15,461,000","-4,488,000","14,674,000","12,363,000","8,545,000","2,533,000","30,086,000","30,254,000","28,341,000","4,048,000","-7,578,000","4,409,000","57,306,000","-4,796,000","-3,002,000","3,145,000","-2,126,000","-2,112,000","10,054,000","29,993,000","-2,375,000","-14,203,000","98,861,000","-5,610,000","-4,932,000","35,112,000","-4,130,000","-5,871,000","-2,503,000","-5,922,000","10,033,000","9,045,000","-1,702,000","-3,828,000","31,341,000","-3,188,000","-3,640,000"
	CashFlowFromContinuingOperatingActivities,"-90,173,000","-26,375,000","-13,271,000","-21,021,000","-29,506,000","-4,579,000","-14,890,000","-15,461,000","-4,488,000","14,674,000","12,363,000","8,545,000","2,533,000","30,086,000","30,254,000","28,341,000","4,048,000","-7,578,000","4,409,000","57,306,000","-4,796,000","-3,002,000","3,145,000","-2,126,000","-2,112,000","10,054,000","29,993,000","-2,375,000","-14,203,000","98,861,000","-5,610,000","-4,932,000","35,112,000","-4,130,000","-5,871,000","-2,503,000","-5,922,000","10,033,000","9,045,000","-1,702,000","-3,828,000","31,341,000","-3,188,000","-3,640,000"
		NetIncomeFromContinuingOperations,"-112,330,000","-33,592,000","-30,115,000","-24,599,000","-24,024,000","-22,045,000","-8,328,000","-29,341,000","-14,265,000","-6,005,000","13,443,000","9,191,000","7,036,000","4,145,000","26,011,000","27,420,000","20,288,000","12,555,000","11,693,000","36,508,000","-8,426,000","-5,392,000","-4,980,000","-1,802,000","-1,076,000","-1,645,000","26,189,000","5,812,000","2,418,000","28,753,000","42,009,000","-5,042,000","50,053,000","-5,203,000","-5,370,000","-4,443,000","-4,138,000","-3,749,000","21,957,000","-4,052,000","-3,501,000","32,111,000","-3,159,000","-3,989,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,"100,000","0","0","-41,000","114,000","17,000","15,000","13,000","15,000","16,000","-75,000","15,000","-213,000","-9,000","17,000","-177,000","-108,000","65,000","186,000","17,000","-164,000","-83,000","-214,000","-20,000","8,000","2,000","-27,000","-38,000","-7,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,000",,,,"-3,000",,,,"0","-100,000","0","0","0","-8,000","-25,000","-30,000","-7,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,"100,000","0","0","-41,000","114,000","17,000","15,000","13,000","15,000","16,000","-75,000","15,000","-203,000","12,000","17,000","-177,000","-105,000","65,000","186,000","17,000","-164,000","17,000","-214,000","-20,000",,,"-2,000","-8,000","0"
		DepreciationAmortizationDepletion,"3,231,000","822,000","780,000","806,000","823,000","834,000","871,000","909,000","916,000","915,000","904,000","891,000","885,000","802,000","680,000","661,000","657,000","613,000","587,000","564,000","552,000","528,000","493,000","455,000","434,000","433,000","339,000","204,000","165,000","141,000","129,000","110,000","88,000","79,000","75,000","73,000","61,000","48,000","39,000","39,000","35,000","42,000","56,000","122,000"
			DepreciationAndAmortization,"3,231,000","822,000","780,000","806,000","823,000","834,000","871,000","909,000","916,000","915,000","904,000","891,000","885,000","802,000","680,000","661,000","657,000","613,000","587,000","564,000","552,000","528,000","493,000","455,000","434,000","433,000","339,000","204,000","165,000","141,000","129,000","110,000","88,000","79,000","75,000","73,000","61,000","48,000","39,000","39,000","35,000","42,000","56,000","122,000"
		DeferredTax,,,,"345,000","0",,,"14,974,000","-3,142,000","-1,881,000","657,000","-1,185,000","-1,153,000","118,000","-918,000","-4,015,000","1,098,000","2,113,000","2,662,000","7,586,000","-3,803,000","-3,527,000","-1,910,000","-2,840,000","1,265,000","-1,101,000","382,000","-48,000","-788,000","377,000","11,487,000","17,000",,,,,,,,,,,,
			DeferredIncomeTax,,,,"345,000","0",,,"14,974,000","-3,142,000","-1,881,000","657,000","-1,185,000","-1,153,000","118,000","-918,000","-4,015,000","1,098,000","2,113,000","2,662,000","7,586,000","-3,803,000","-3,527,000","-1,910,000","-2,840,000","1,265,000","-1,101,000","382,000","-48,000","-788,000","377,000","11,487,000","17,000",,,,,,,,,,,,
