name,ttm,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017
TotalRevenue,"878,520,000","217,992,000","234,927,000","212,426,000","213,175,000","218,423,000","203,249,000","199,299,000","185,176,000","161,606,000","159,899,000","151,704,000","203,010,000","145,580,000",,"0","77,543,000","0","0",
	OperatingRevenue,"878,520,000","217,992,000","234,927,000","212,426,000","213,175,000","218,423,000","203,249,000","199,299,000","185,176,000","161,606,000","159,899,000","151,704,000","203,010,000","145,580,000",,"0","77,543,000","0","0",
CostOfRevenue,"749,688,000","190,823,000","198,430,000","178,319,000","182,116,000","181,987,000","168,277,000","162,157,000","157,979,000","125,359,000","120,842,000","118,551,000","152,606,000","105,926,000",,,"57,427,000","50,551,000",,
GrossProfit,"128,832,000","27,169,000","36,497,000","34,107,000","31,059,000","36,436,000","34,972,000","37,142,000","27,197,000","36,247,000","39,057,000","33,153,000","50,404,000","39,654,000",,,"20,116,000","19,902,000",,
OperatingExpense,"78,479,000","19,067,000","22,379,000","18,146,000","18,887,000","17,449,000","17,114,000","18,627,000","17,248,000","16,485,000","17,062,000","13,045,000","22,946,000","13,759,000",,"2,559,932","7,788,000","473,874","76,853","473,874"
	SellingGeneralAndAdministration,"78,479,000","19,067,000","22,379,000","18,146,000","18,887,000","17,449,000","17,114,000","18,627,000","17,248,000","16,485,000","17,062,000","13,045,000","22,946,000","13,759,000",,"2,559,932","7,485,000","7,514,000","76,853","473,874"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,"3,934,000","3,887,000","3,896,000","4,033,000","3,949,000","4,054,000","5,796,000","3,577,000",,,"303,000","158,000",,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,"3,934,000","3,887,000","3,896,000","4,033,000","3,949,000","4,054,000","5,796,000","3,577,000",,,"303,000","158,000",,
			Amortization,,,,,,,"3,934,000","3,887,000","3,896,000","4,033,000","3,949,000","4,054,000","5,796,000","3,577,000",,,"303,000","158,000",,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,"3,934,000","3,887,000","3,896,000","4,033,000","3,949,000","4,054,000","5,796,000","3,577,000",,,,,,
OperatingIncome,"50,353,000","8,102,000","14,118,000","15,961,000","12,172,000","18,987,000","17,858,000","18,515,000","9,949,000","19,762,000","21,995,000","20,108,000","27,458,000","25,895,000",,"-2,559,932","12,328,000","-473,874","-76,853","-473,874"
NetNonOperatingInterestIncomeExpense,"-13,525,000","-3,717,000","-3,234,000","-3,163,000","-3,411,000","-3,793,000","-4,165,000","-4,510,000","-4,280,000","-5,011,000","-5,750,000","-3,930,000","-8,184,000","-6,199,000",,"733,794","-2,735,000","572,378","180,080","572,378"
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,"733,794",,"572,378","180,080",
	InterestExpenseNonOperating,"13,525,000","3,717,000","3,234,000","3,163,000","3,411,000","3,793,000","4,165,000","4,510,000","4,280,000","5,011,000","5,750,000","3,930,000","8,184,000","6,199,000",,,"2,735,000","712,000",,
	TotalOtherFinanceCost,,,,,,,,,"4,280,000","5,011,000","5,750,000","3,930,000","8,184,000","6,199,000",,,,,,
OtherIncomeExpense,"7,340,000","-1,252,000","-655,000","283,000","9,522,000","37,000","-309,000","-111,000","221,000","-130,000","-438,000","-61,000","4,991,000","450,000",,"-25,569","766,000","-129,556","195,942","-129,556"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,"-29,583",,"-38,008","28,122","-38,008"
	SpecialIncomeCharges,,,,,,,,,,,,,,,,"4,014",,,"167,820","-91,548"
		OtherSpecialCharges,,,,,,,,,,,,,,,,"-4,014",,,,
	OtherNonOperatingIncomeExpenses,"7,898,000","-1,252,000","-655,000","283,000","9,522,000","37,000","-309,000","-111,000","221,000","-130,000","-438,000","-61,000","4,991,000","450,000",,"4,014","766,000","-91,548","167,820",
