name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015
OperatingCashFlow,"-113,319,000","-81,054,000","2,716,000","-24,986,000","-9,995,000","6,740,000","3,705,000","60,870,000","-29,573,000","2,568,000","-5,651,000","64,253,000","10,573,000","-12,091,000","-20,453,000","14,660,000","5,567,000","-3,032,000","31,140,000","17,590,000","17,995,000","15,938,000","25,865,000","17,801,000","11,314,000","-1,139,000","27,783,000","3,442,000","-761,000","829,000"
	CashFlowFromContinuingOperatingActivities,"-113,319,000","-81,054,000","2,716,000","-24,986,000","-9,995,000","6,740,000","3,705,000","60,870,000","-29,573,000","2,568,000","-5,651,000","64,253,000","10,573,000","-12,091,000","-20,453,000","14,660,000","5,567,000","-3,032,000","31,140,000","17,590,000","17,995,000","15,938,000","25,865,000","17,801,000","11,314,000","-1,139,000","27,783,000","3,442,000","-761,000","829,000"
		NetIncomeFromContinuingOperations,"-173,551,000","-15,800,000","-87,277,000","-30,677,000","-39,797,000","-1,797,000","5,184,000","42,382,000","-66,101,000","-492,000","-861,000","-4,571,000","1,828,000","-12,104,000","-8,848,000","9,532,000","-4,053,000","8,648,000","5,889,000","20,398,000","13,858,000","3,545,000","-2,256,000","2,797,000","11,555,000","1,746,000","11,476,000","-2,147,000","4,090,000","-5,737,000"
		OperatingGainsLosses,"12,772,000","959,000","3,112,000","7,250,000","1,451,000","1,297,000","2,230,000","2,160,000","1,440,000","1,918,000","7,556,000","3,354,000","4,972,000","2,235,000","4,581,000","0",,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"52,737,000","11,753,000","15,194,000","13,289,000","12,501,000","11,609,000","12,992,000","14,031,000","11,616,000","11,028,000","10,848,000","9,948,000","7,125,000","10,659,000","7,349,000","5,878,000","6,130,000","7,072,000","7,256,000","5,139,000","4,654,000","3,829,000","3,194,000","3,530,000","3,162,000","3,011,000","2,945,000","3,161,000","2,909,000","2,401,000"
			DepreciationAndAmortization,"52,737,000","11,753,000","15,194,000","13,289,000","12,501,000","11,609,000","12,992,000","14,031,000","11,616,000","11,028,000","10,848,000","9,948,000","7,125,000","10,659,000","7,349,000","5,878,000","6,130,000","7,072,000","7,256,000","5,139,000","4,654,000","3,829,000","3,194,000","3,530,000","3,162,000","3,011,000","2,945,000","3,161,000","2,909,000","2,401,000"
		DeferredTax,"13,423,000","-277,000","-15,075,000","3,980,000","24,795,000","-11,574,000","1,393,000",,,,"1,655,000",,,,"-4,014,000",,,,,,,,,,,,,,,
			DeferredIncomeTax,"13,423,000","-277,000","-15,075,000","3,980,000","24,795,000","-11,574,000","1,393,000",,,,"1,655,000",,,,"-4,014,000",,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,"143,000","144,000","143,000","143,000","390,000","1,952,000","1,172,000","1,167,000","1,106,000","1,066,000","1,151,000","996,000"
		StockBasedCompensation,"9,317,000","3,309,000","1,140,000","1,943,000","2,925,000","2,399,000","2,405,000","2,631,000","2,374,000","2,942,000","1,077,000","1,682,000","1,937,000","985,000","824,000","1,972,000","2,611,000","2,388,000","2,330,000","1,043,000","2,044,000","1,707,000","1,785,000",,,,,,,
		OtherNonCashItems,,,"709,000","-2,340,000","2,310,000","372,000","3,860,000","160,000","247,000","173,000","253,000","-97,000","3,926,000","51,000","52,000","24,000","79,000","181,000","143,000","144,000","143,000","143,000","390,000","1,952,000","1,172,000","1,167,000","1,106,000","1,066,000","1,151,000","996,000"
		ChangeInWorkingCapital,"-28,954,000","-80,998,000","84,913,000","-18,431,000","-14,180,000","4,434,000","-24,359,000","8,881,000","20,851,000","-13,001,000","-26,179,000","50,641,000","-9,215,000","-13,917,000","-20,397,000","8,152,000","-2,597,000","-21,321,000","16,256,000","-9,134,000","-2,704,000","6,714,000","21,045,000","1,405,000","-4,575,000","-7,063,000","12,834,000","1,362,000","-8,911,000","3,169,000"
			ChangeInReceivables,"-64,957,000","-30,670,000","16,902,000","-32,152,000","-19,037,000","-428,000","15,263,000","-17,141,000","-5,464,000","50,328,000","-34,949,000","-2,353,000","9,447,000","8,489,000","-61,252,000","-46,000","-1,528,000","3,626,000","12,704,000","-17,078,000","-20,638,000","-28,722,000","32,308,000","-12,594,000","-524,000","-14,119,000","1,127,000","-13,969,000","-13,008,000","-3,802,000"
				ChangesInAccountReceivables,"-64,957,000","-30,670,000","16,902,000","-32,152,000","-19,037,000","-428,000","15,263,000","-17,141,000","-5,464,000","50,328,000","-34,949,000","-2,353,000","9,447,000","8,489,000","-61,252,000","-46,000","-1,528,000","3,626,000","12,704,000","-17,078,000","-20,638,000","-28,722,000","32,308,000","-12,594,000","-524,000","-14,119,000","1,127,000","-13,969,000","-13,008,000","-3,802,000"
			ChangeInInventory,"-5,916,000","-6,027,000","-458,000","1,928,000","-1,359,000","-1,129,000","3,710,000","-2,087,000","-2,384,000","-3,515,000","4,899,000","-1,942,000","-3,683,000","-419,000","1,804,000","-2,008,000","-1,388,000","-93,000","-1,540,000","-13,655,000","3,896,000","-15,220,000","1,625,000","-4,224,000","2,906,000","-5,274,000","-5,253,000","17,364,000","741,000","-13,478,000"
			ChangeInPrepaidAssets,"-4,126,000","-7,704,000","3,395,000","-1,944,000","2,127,000","6,105,000","-13,850,000","206,000","-1,714,000","-4,558,000","9,367,000","-3,646,000","10,444,000","-17,217,000","-755,000","1,057,000","9,095,000","-8,211,000","2,269,000","-4,289,000","-1,646,000","6,816,000","-4,241,000","14,536,000","-1,268,000","-8,346,000","-6,370,000","732,000","-30,000","-5,310,000"
			ChangeInPayablesAndAccruedExpense,"23,095,000","-22,190,000","-7,573,000","32,139,000","20,977,000","-8,620,000","-15,702,000","35,108,000","3,684,000","-13,668,000","-2,344,000","52,528,000","20,860,000","20,550,000","34,366,000","-1,257,000","9,000","5,491,000","4,763,000","15,142,000","27,400,000","13,194,000","-2,525,000","6,627,000","-3,967,000","21,140,000","12,903,000","6,279,000","12,729,000","10,192,000"
				ChangeInPayable,"30,108,000","-19,113,000","-7,114,000","37,122,000","19,471,000","-3,724,000","-12,958,000","38,284,000","-1,560,000","-17,557,000","-1,701,000","47,080,000","17,559,000","17,782,000","30,305,000","18,000","-1,301,000","3,241,000","3,750,000","12,865,000","23,422,000","11,211,000","8,620,000","6,143,000","-6,605,000","6,801,000","8,895,000","4,032,000","11,264,000","10,232,000"
