name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010
TotalAssets,"1,437,708,000","1,410,699,000","1,425,967,000","1,476,718,000","1,362,747,000","1,370,257,000","1,429,488,000","1,437,355,000","1,470,092,000","1,438,574,000","1,453,500,000","1,444,757,000","1,464,111,000","1,439,709,000","1,405,086,000","1,384,101,000","1,393,160,000","1,392,216,000","1,344,529,000","1,295,484,000","1,299,618,000","1,302,954,000","1,315,854,000","1,323,764,000","1,327,162,000","1,339,898,000","1,341,873,000","1,251,262,000","1,254,616,000","1,165,099,000","1,095,172,000","1,007,673,000","674,358,000","673,924,000","619,970,000","546,047,000","490,405,000","457,221,000","430,410,000","437,447,000","447,389,000","458,706,000","429,762,000","248,842,000","252,492,000","222,202,000","189,072,000","175,755,000"
	CurrentAssets,"39,603,000","35,663,000","37,939,000","151,972,000","32,751,000","35,407,000","48,638,000","52,609,000","78,383,000","27,423,000","39,969,000","38,869,000","43,266,000","39,263,000","48,828,000","47,373,000","49,649,000","43,069,000","51,016,000","50,199,000","48,779,000","44,368,000","49,898,000","49,534,000","47,734,000","49,794,000","44,733,000","45,315,000","40,520,000","33,008,000","89,430,000","26,558,000","16,403,000","13,160,000","70,099,000","26,163,000","11,830,000","11,473,000","18,692,000","20,784,000","22,413,000","19,888,000","20,287,000","33,753,000","36,711,000","14,122,000","35,032,000","102,623,000"
		CashCashEquivalentsAndShortTermInvestments,"18,149,000","19,188,000","18,580,000","131,367,000","14,638,000","21,124,000","31,570,000","36,883,000","57,972,000","6,620,000","10,257,000","8,847,000","11,199,000","7,192,000","10,270,000","8,077,000","13,403,000","9,333,000","11,282,000","12,794,000","12,769,000","12,118,000","13,466,000","15,308,000","12,479,000","21,036,000","16,057,000","18,075,000","16,798,000","15,077,000","67,056,000","11,935,000","5,821,000","4,221,000","60,401,000","18,690,000","5,145,000","4,496,000","5,744,000","8,523,000","8,842,000","4,680,000","8,150,000","14,971,000","30,916,000","4,768,000","26,845,000","98,700,000"
			CashAndCashEquivalents,"18,149,000","19,188,000","18,580,000","131,367,000","14,638,000","21,124,000","31,570,000","36,883,000","57,972,000","6,620,000","10,257,000","8,847,000","11,199,000","7,192,000","10,270,000","8,077,000","13,403,000","9,333,000","11,282,000","12,794,000","12,769,000","12,118,000","13,466,000","15,308,000","12,479,000","21,036,000","16,057,000","18,075,000","16,798,000","15,077,000","67,056,000","11,935,000","5,821,000","4,221,000","60,401,000","18,690,000","5,145,000","4,496,000","5,744,000","8,523,000","8,842,000","4,680,000","8,150,000","14,971,000","30,916,000","4,768,000","26,845,000","98,700,000"
		Receivables,"3,628,000","3,003,000","3,235,000","3,834,000","2,507,000","1,688,000","2,228,000","2,251,000","2,801,000","4,626,000","9,456,000","7,475,000","5,221,000","4,495,000","6,418,000","6,976,000","5,293,000","4,047,000","7,691,000","7,277,000","6,694,000","4,389,000","7,251,000","6,281,000","7,316,000","4,433,000","7,159,000","5,030,000","5,186,000","3,601,000","4,203,000","3,803,000","2,205,000","2,455,000","2,249,000","2,302,000","1,983,000","2,098,000","1,866,000","1,782,000","2,003,000","2,057,000","2,144,000","1,351,000","1,203,000","891,000",,"699,000"
			AccountsReceivable,"3,628,000","3,003,000","3,235,000","3,834,000","2,507,000","1,688,000","2,228,000","2,251,000","2,801,000","4,626,000","9,456,000","7,475,000","5,221,000","4,495,000","6,418,000","6,976,000","5,293,000","4,047,000","7,691,000","7,277,000","6,694,000","4,389,000","7,251,000","6,281,000","7,316,000","4,433,000","7,159,000","5,030,000","5,186,000","3,601,000","4,203,000","3,803,000","2,205,000","2,455,000","2,249,000","2,302,000","1,983,000","2,098,000","1,866,000","1,782,000","2,003,000","2,057,000","2,144,000","1,351,000","1,203,000","891,000","859,000","699,000"
				GrossAccountsReceivable,"3,916,000","3,385,000","3,628,000","4,112,000","2,770,000","1,936,000","2,598,000","2,606,000",,"5,077,000","9,767,000","7,771,000","5,502,000","4,759,000","6,667,000","7,210,000","5,508,000","4,247,000","7,940,000","7,511,000","6,863,000","4,544,000","7,390,000","6,406,000","7,436,000","4,528,000","7,248,000","5,112,000","5,262,000","3,672,000","4,268,000","3,862,000","2,258,000","2,485,000","2,291,000","2,342,000","2,017,000","2,126,000","1,888,000","1,798,000",,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-288,000","-382,000","-393,000","-278,000","-263,000","-248,000","-370,000","-355,000",,"-451,000","-311,000","-296,000","-281,000","-264,000","-249,000","-234,000","-215,000","-200,000","-249,000","-234,000","-169,000","-155,000","-139,000","-125,000","-120,000","-95,000","-89,000","-82,000","-76,000","-71,000","-65,000","-59,000","-53,000","-30,000","-42,000","-40,000","-34,000","-28,000","-22,000","-16,000",,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0"
		PrepaidAssets,"9,530,000","2,791,000","5,138,000","5,843,000","6,882,000","2,266,000","3,995,000","4,612,000","6,011,000","2,615,000","4,119,000","4,482,000","5,504,000","2,431,000","3,757,000","4,439,000","5,555,000","2,523,000","4,350,000","5,103,000","5,200,000","2,778,000","4,248,000","5,437,000","6,519,000","5,052,000","4,998,000","3,665,000","3,852,000","2,300,000","2,870,000","2,760,000","3,091,000","1,879,000","2,387,000","2,485,000","2,434,000","1,930,000","3,298,000","1,898,000","1,814,000","1,502,000","2,152,000","1,794,000","1,181,000","735,000","592,000","157,000"
