name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
TotalAssets,"4,051,481,000","3,967,051,000","4,052,293,000","4,053,458,000","4,175,380,000","4,108,284,000","3,944,862,000","4,048,531,000","4,445,081,000","4,093,622,000","4,099,861,000","4,142,742,000","4,116,023,000","4,206,331,000","4,620,092,000","6,704,389,000","6,910,446,000","7,170,073,000","7,640,697,000","8,270,038,000","8,092,966,000","8,197,518,000","8,721,016,000","8,821,586,000","8,935,627,000","9,097,088,000","9,155,479,000","9,225,587,000","9,211,110,000","9,541,895,000","9,625,691,000","9,681,821,000","9,564,186,000","9,693,073,000","8,345,143,000","8,132,719,000","8,061,822,000","8,055,837,000","7,949,608,000","7,583,948,000","7,411,771,000","7,469,425,000","7,603,181,000","7,666,864,000","7,781,530,000","7,768,090,000","7,877,079,000","8,051,943,000","8,288,003,000","8,426,606,000","8,478,969,000","8,651,990,000","8,955,315,000","9,018,325,000","9,294,256,000","9,273,753,000","9,153,743,000","9,089,816,000","8,913,267,000","8,948,544,000","10,563,766,000","7,179,753,000","7,017,508,000","7,059,051,000","7,053,388,000","6,862,977,000","6,840,352,000","6,682,171,000","6,537,224,000","5,583,547,000","5,873,790,000","5,834,636,000","3,921,415,000","3,941,151,000","3,918,193,000","3,908,872,000","3,919,824,000","2,776,852,000","2,775,121,000","2,592,167,000","2,596,959,000","2,497,207,000","2,508,588,000","2,518,651,000","2,341,526,000","2,332,021,000","2,337,953,000","2,348,637,000","2,275,018,000","2,320,860,000","2,267,400,000","2,219,600,000","2,202,500,000","2,126,524,000","1,986,700,000","1,567,600,000","1,483,300,000","1,391,918,000","1,230,800,000","1,159,000,000","1,113,300,000","975,125,940","945,800,000","874,300,000","869,300,000","830,100,000","710,100,000","679,100,000","666,800,000","611,100,000","534,200,000","493,000,000","459,000,000","395,900,000","352,200,000","291,800,000","246,600,000"
	CurrentAssets,"89,265,000","116,152,000","139,202,000","135,866,000","275,716,000","159,114,000","147,990,000","222,587,000","585,418,000","97,459,000","117,049,000","105,603,000","106,675,000","110,416,000","119,327,000","296,467,000","282,784,000","297,559,000","240,882,000","640,757,000","272,690,000","242,902,000","246,999,000","238,650,000","248,664,000","240,602,000","271,923,000","240,105,000","277,690,000","243,698,000","359,911,000","597,252,000","423,165,000","350,843,000","309,467,000","282,873,000","248,274,000","272,809,000","109,800,000","104,794,000","134,319,000","283,557,000","393,656,000","121,689,000","146,508,000","312,278,000","155,303,000","252,702,000","451,535,000","376,813,000","498,026,000","239,420,000","251,352,000","536,826,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"17,188,000","41,807,000","61,924,000","57,945,000","190,833,000","69,742,000","57,224,000","128,486,000","514,258,000","16,080,000","23,727,000","9,421,000","9,611,000","11,087,000","11,446,000","32,067,000","16,560,000","92,611,000","18,268,000","414,074,000","19,715,000","30,430,000","20,658,000","17,981,000","23,720,000","22,416,000","21,040,000","25,268,000","55,993,000","20,937,000","134,320,000","359,340,000","163,835,000","86,664,000","35,351,000","41,718,000","18,872,000","31,174,000","20,227,000","18,505,000","16,088,000","41,206,000","20,681,000","15,425,000","21,025,000","19,416,000","21,335,000","20,920,000","25,748,000","26,172,000","26,415,000","28,745,000","36,323,000","29,494,000","30,171,000","47,847,000","70,964,000","687,658,000","694,018,000","682,750,000","616,056,000","320,063,000","182,074,000","43,119,000","39,967,000","30,655,000","38,880,000","36,310,000","51,428,000","49,871,000","23,697,000","21,520,000","22,683,000","11,693,000","18,474,000","22,009,000","26,356,000","16,371,000","9,227,000","11,709,000","25,055,000","19,069,000","12,324,000","8,301,000","3,621,000","4,243,000","2,534,000","2,875,000","1,645,000","5,992,000",,,,"2,260,000",,,,"18,000",,,,"12,600",,,,,,,,,,,,,,,
			CashAndCashEquivalents,"17,188,000","41,807,000","61,924,000","57,945,000","190,833,000","69,742,000","57,224,000","128,486,000","514,258,000","16,080,000","23,727,000","9,421,000","9,611,000","11,087,000","11,446,000","32,067,000","16,560,000","92,611,000","18,268,000","414,074,000","19,715,000","30,430,000","20,658,000","17,981,000","23,720,000","22,416,000","21,040,000","25,268,000","55,993,000","20,937,000","134,320,000","359,340,000","163,835,000","86,664,000","35,351,000","41,718,000","18,872,000","31,174,000","20,227,000","18,505,000","16,088,000","41,206,000","20,681,000","15,425,000","21,025,000","19,416,000","21,335,000","20,920,000","25,748,000","26,172,000","26,415,000","28,745,000","36,323,000","29,494,000","30,171,000","47,847,000","70,964,000","49,547,000","49,700,000","46,019,000","79,721,000","28,378,000","48,431,000","43,119,000","39,967,000","30,655,000","38,880,000","36,310,000","51,428,000","49,871,000","23,697,000","21,520,000","22,683,000","11,693,000","18,474,000","22,009,000","26,356,000","16,371,000","9,227,000","11,709,000","25,055,000","19,069,000","12,324,000","8,301,000","3,621,000","4,243,000","2,534,000","2,875,000","1,645,000","5,992,000",,,,"2,260,000",,,,"18,000",,,,"12,600",,,,,,,,,,,,,,,
				CashFinancial,"17,188,000","41,807,000","61,924,000",,"190,833,000","69,742,000","57,224,000","128,486,000",,"16,080,000","23,727,000","9,421,000","9,611,000","11,087,000","11,446,000","32,067,000",,"92,611,000","18,268,000","414,074,000","19,715,000","30,430,000","20,658,000",,"23,720,000","22,416,000","21,040,000","25,268,000","55,993,000","20,937,000","134,320,000","359,340,000","163,835,000","86,664,000","35,351,000","41,718,000","18,872,000","31,174,000","20,227,000","18,505,000","16,088,000",,"20,681,000","15,425,000","21,025,000",,"21,335,000","20,920,000",,,,,,,"30,171,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"638,111,000","644,318,000","636,731,000","536,335,000","291,685,000","133,643,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"52,480,000","61,382,000","59,910,000","61,984,000","63,760,000","73,517,000","79,208,000","81,184,000","56,436,000","68,135,000","80,325,000","83,605,000","80,626,000","87,010,000","93,923,000","172,653,000","185,686,000","186,953,000","196,152,000","134,039,000","167,454,000","170,870,000","172,072,000","172,172,000","168,065,000","171,623,000","178,639,000","175,813,000","180,647,000","188,906,000","186,059,000","180,782,000","197,280,000","207,851,000","196,918,000","184,745,000","171,492,000","194,928,000","63,113,000","62,498,000","95,104,000","211,368,000","112,458,000","102,196,000","121,335,000","243,589,000","119,585,000","196,308,000","59,234,000","221,806,000","75,547,000","74,691,000","81,041,000","240,137,000","65,930,000",,,"217,911,000","16,778,000","17,328,000","18,439,000","170,322,000","24,250,000","24,005,000","24,345,000","137,460,000","17,245,000","17,056,000","17,890,000","102,666,000","17,176,000","18,133,000","9,873,000","88,250,000","10,985,000","12,775,000","11,855,000","71,736,000","11,933,000","11,760,000","27,716,000","56,915,000","6,967,000","10,260,000","6,057,000","49,414,000","2,214,000","2,563,000","5,866,000","44,852,000",,,,"73,030,000",,,,"20,363,000",,,,"11,438,806",,,,"7,000,000",,,,"4,100,000",,,,"2,800,000",,,
			AccountsReceivable,"52,480,000","61,382,000","59,910,000","61,984,000","63,760,000","73,517,000","79,208,000","81,184,000","56,436,000","60,594,000","60,655,000","63,935,000","60,951,000","67,335,000","74,253,000","103,781,000","100,464,000","108,695,000","176,561,000","114,449,000","117,559,000","121,367,000","127,249,000","124,878,000","125,473,000","129,089,000","131,209,000","128,509,000","133,463,000","132,661,000","128,414,000","121,919,000","118,335,000","129,513,000","119,061,000","113,669,000","113,934,000","126,228,000","114,029,000","103,788,000","104,830,000","117,463,000","118,331,000","114,260,000","112,982,000","123,259,000","134,066,000","135,761,000",,"146,809,000",,,,"164,356,000",,,,"199,354,000",,,,"152,161,000",,,,"112,464,000",,,,"84,843,000",,,,"76,509,000",,,,"60,074,000",,,,"51,694,000",,,,"44,590,000",,,,"39,262,000",,,,"24,022,000",,,,"16,282,000",,,,"11,438,806",,,,"7,000,000",,,,"4,100,000",,,,"2,800,000",,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,"41,988,000","46,885,000","46,761,000","46,642,000","52,444,000","52,820,000","52,703,000","72,805,000","72,218,000","71,645,000","62,862,000",,"60,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,"0","0","0","0","7,541,000","19,670,000","19,670,000","19,675,000","19,675,000","19,670,000","19,670,000","19,675,000","19,675,000","19,591,000","19,590,000","49,895,000","49,503,000","44,823,000","47,294,000","42,592,000","546,000","545,000","543,000","542,000","3,801,000","4,825,000","6,160,000","6,140,000","6,120,000","6,212,000","8,214,000","57,558,000","8,300,000","63,113,000","62,498,000","95,104,000","93,905,000","112,458,000","102,196,000","121,335,000","120,330,000","119,585,000","60,547,000","59,234,000","74,997,000","75,547,000","74,691,000","81,041,000","75,781,000","65,930,000",,,"18,557,000","16,778,000","17,328,000","18,439,000","18,161,000","24,250,000","24,005,000","24,345,000","24,996,000","17,245,000","17,056,000","17,890,000","17,823,000","17,176,000","18,133,000","9,873,000","11,741,000","10,985,000","12,775,000","11,855,000","11,662,000","11,933,000","11,760,000","27,716,000","5,221,000","6,967,000","10,260,000","6,057,000","4,824,000","2,214,000","2,563,000","5,866,000","5,590,000",,,,"49,008,000",,,,"4,081,000",,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,"96,128,000","89,049,000",,"112,589,000","162,730,000","170,313,000","176,120,000","189,891,000","204,078,000","49,202,000","65,547,000","58,583,000","327,309,000","318,181,000","319,315,000","393,338,000","402,291,000",,,"129,089,000","131,209,000","128,509,000","133,463,000","132,661,000","128,414,000","121,919,000","118,335,000","129,513,000","119,061,000","113,669,000","113,934,000","126,228,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"17,571,000","11,518,000","13,954,000","12,731,000","18,255,000","11,183,000","11,269,000","12,719,000","14,618,000","10,191,000","10,701,000","10,833,000","14,376,000","9,756,000","12,131,000","17,017,000","31,281,000","15,882,000","24,636,000","31,182,000","38,934,000","32,807,000","41,573,000","39,324,000","46,364,000","36,459,000","30,324,000","27,607,000","32,898,000","22,480,000","31,282,000","25,505,000","31,913,000","22,852,000","51,345,000","32,886,000","35,412,000","23,049,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"2,026,000","1,445,000","3,414,000","3,206,000","2,868,000","4,672,000","289,000","198,000","106,000","3,053,000","2,296,000","1,744,000","2,062,000","2,563,000","1,827,000","74,730,000","49,257,000","2,113,000","1,826,000","61,462,000","46,587,000","8,795,000","12,696,000","9,173,000","10,515,000","10,104,000","41,920,000","11,417,000","8,152,000","11,375,000","8,250,000","31,625,000","30,137,000","33,476,000","25,853,000","23,524,000","22,498,000","23,658,000","26,460,000","23,791,000","23,127,000","30,983,000","4,006,000","4,068,000","4,148,000","4,285,000","14,383,000","35,474,000","57,782,000","95,673,000","102,716,000","112,802,000","110,621,000","111,792,000","106,391,000","49,179,000","49,635,000","58,958,000",,,,,,,,,,"17,509,000",,,,,"4,800,000","99,340,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,988,000",,,"33,387,000","33,162,000","22,547,000","23,182,000","23,367,000","26,613,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,"398,410,000","395,156,000",,,,,,,,,,,,,,,,,"256,511,000",,,,,,"275,384,000",,"270,801,000",,,"128,790,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
