name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,03/31/1995
TotalAssets,"8,334,301,000","8,129,480,000","7,949,514,000","7,710,082,000","7,449,639,000","7,547,339,000","7,449,559,000","7,617,184,000","7,279,327,000","6,174,032,000","6,161,269,000","6,109,066,000","6,048,976,000","5,462,092,000","5,368,641,000","5,275,368,000","5,158,368,000","5,108,442,000","4,844,755,000","4,681,280,000","4,460,816,000","4,426,348,000","4,327,804,000","4,262,914,000","4,091,000,000","4,016,721,000","3,838,253,000","3,660,057,000","3,505,891,000","3,448,572,000","3,356,257,000","1,665,809,000","1,676,160,000","1,673,082,000","1,644,416,000","1,605,698,000","1,609,795,000","1,629,765,000","1,612,079,000","1,501,022,000","1,476,595,000","1,432,738,000","1,376,517,000","1,307,438,000","1,288,646,000","1,207,385,000","1,221,278,000","1,195,819,000","1,187,655,000","1,196,824,000","1,349,516,000","1,341,603,000","1,121,013,000","1,023,293,000","1,042,778,000","986,436,000","995,167,000","1,017,645,000","987,790,000","1,001,622,000","1,048,966,000","1,051,384,000","1,030,426,000","1,072,713,000","991,403,000","1,114,829,000","1,172,755,000","1,178,568,000","1,023,986,000","1,009,015,000","930,965,000","933,355,000","913,230,000","921,824,000","857,151,000","883,013,000","875,911,000","823,436,000","763,467,000","741,254,000","721,128,000","689,603,000","606,027,000","591,558,000","587,652,000","569,553,000","543,337,000","534,147,000","518,958,000","509,624,000","510,900,000","496,600,000","496,700,000","470,100,000","466,500,000","488,300,000","466,700,000","473,100,000","480,800,000","480,300,000","483,300,000","459,200,000","446,700,000","455,000,000","376,900,000","347,800,000","372,300,000","344,000,000"
TotalLiabilitiesNetMinorityInterest,"7,195,782,000","7,005,268,000","6,851,081,000","6,745,122,000","6,514,002,000","6,632,029,000","6,558,823,000","6,749,443,000","6,425,617,000","5,442,842,000","5,441,109,000","5,409,842,000","5,366,581,000","4,848,165,000","4,773,770,000","4,696,811,000","4,594,102,000","4,543,005,000","4,287,064,000","4,135,107,000","3,920,539,000","3,895,316,000","3,828,216,000","3,778,500,000","3,616,273,000","3,539,377,000","3,367,107,000","3,196,075,000","3,049,697,000","3,002,353,000","2,914,418,000","1,487,531,000","1,502,347,000","1,504,498,000","1,479,278,000","1,444,413,000","1,445,042,000","1,469,074,000","1,454,894,000","1,353,039,000","1,334,514,000","1,296,822,000","1,242,709,000","1,177,334,000","1,164,062,000","1,086,428,000","1,099,121,000","1,088,400,000","1,083,052,000","1,094,273,000","1,257,289,000","1,252,145,000","1,031,584,000","941,580,000","962,154,000","906,043,000","909,766,000","932,367,000","894,060,000","905,809,000","950,803,000","953,771,000","933,749,000","978,495,000","893,072,000","1,015,340,000","1,072,687,000","1,076,884,000","957,104,000","940,372,000","863,252,000","882,218,000","855,414,000","867,644,000","805,766,000","827,021,000","823,495,000","772,382,000","713,431,000","692,431,000","675,502,000","645,307,000","561,838,000","549,412,000","546,532,000","530,371,000","506,726,000","496,099,000","481,718,000","473,111,000","474,100,000","459,800,000","459,900,000","433,500,000","429,900,000","453,300,000","432,300,000","439,700,000","448,400,000","448,700,000","452,600,000","429,000,000","417,300,000","426,500,000","348,500,000","320,100,000","345,500,000","318,800,000"
TotalEquityGrossMinorityInterest,"1,138,519,000","1,124,212,000","1,098,433,000","964,960,000","935,637,000","915,310,000","890,736,000","867,741,000","853,710,000","731,190,000","720,160,000","699,224,000","682,395,000","613,927,000","594,871,000","578,557,000","564,266,000","565,437,000","557,691,000","546,173,000","540,277,000","531,032,000","499,588,000","484,414,000","474,727,000","477,344,000","471,146,000","463,982,000","456,194,000","446,219,000","441,839,000","178,278,000","173,813,000","168,584,000","165,138,000","161,285,000","164,753,000","160,691,000","157,185,000","147,983,000","142,081,000","135,916,000","133,808,000","130,104,000","124,584,000","120,957,000","122,157,000","107,419,000","104,603,000","102,551,000","92,227,000","89,458,000","89,429,000","81,713,000","80,624,000","80,393,000","85,401,000","85,278,000","93,730,000","95,813,000","98,163,000","97,613,000","96,677,000","94,218,000","98,331,000","99,489,000","100,068,000","101,684,000","66,882,000","68,643,000","67,713,000","51,137,000","57,816,000","54,180,000","51,385,000","55,992,000","52,416,000","51,054,000","50,036,000","48,823,000","45,626,000","44,296,000","44,189,000","42,146,000","41,120,000","39,182,000","36,611,000","38,048,000","37,240,000","36,513,000","36,800,000","36,800,000","36,800,000","36,600,000","36,600,000","35,000,000","34,400,000","33,400,000","32,400,000","31,600,000","30,700,000","30,200,000","29,400,000","28,500,000","28,400,000","27,700,000","26,800,000","25,200,000"
	StockholdersEquity,"1,138,519,000","1,124,212,000","1,098,433,000","964,960,000","935,637,000","915,310,000","890,736,000","867,741,000","853,710,000","731,190,000","720,160,000","699,224,000","682,395,000","613,927,000","594,871,000","578,557,000","564,266,000","565,437,000","557,691,000","546,173,000","540,277,000","531,032,000","499,588,000","484,414,000","474,727,000","477,344,000","471,146,000","463,982,000","456,194,000","446,219,000","441,839,000","178,278,000","173,813,000","168,584,000","165,138,000","161,285,000","164,753,000","160,691,000","157,185,000","147,983,000","142,081,000","135,916,000","133,808,000","130,104,000","124,584,000","120,957,000","122,157,000","107,419,000","104,603,000","102,551,000","92,227,000","89,458,000","89,429,000","81,713,000","80,624,000","80,393,000","85,401,000","85,278,000","93,730,000","95,813,000","98,163,000","97,613,000","96,677,000","94,218,000","98,331,000","99,489,000","100,068,000","101,684,000","66,882,000","68,643,000","67,713,000","51,137,000","57,816,000","54,180,000","51,385,000","55,992,000","52,416,000","51,054,000","50,036,000","48,823,000","45,626,000","44,296,000","44,189,000","42,146,000","41,120,000","39,182,000","36,611,000","38,048,000","37,240,000","36,513,000","36,800,000","36,800,000","36,800,000","36,600,000","36,600,000","35,000,000","34,400,000","33,400,000","32,400,000","31,600,000","30,700,000","30,200,000","29,400,000","28,500,000","28,400,000","27,700,000","26,800,000","25,200,000"
		CapitalStock,"697,873,000","697,873,000","697,873,000","586,946,000","586,946,000","586,946,000","586,946,000","586,946,000","586,946,000","468,571,000","468,571,000","468,571,000","468,571,000","412,546,000","412,546,000","412,546,000","412,546,000","412,546,000","412,546,000","412,546,000","412,546,000","412,726,000","374,287,000","374,287,000","374,287,000","385,537,000","385,537,000","385,537,000","385,537,000","385,537,000","385,537,000","121,306,000","121,306,000","121,306,000","121,306,000","121,306,000","121,306,000","121,306,000","11,250,000","11,250,000","11,250,000","11,250,000","11,012,000","9,741,000","9,721,000","9,700,000","9,680,000","9,660,000","9,639,000","9,619,000","96,507,000","96,486,000","9,557,000",,"86,908,000","86,908,000",,"86,907,000","86,908,000",,,"65,592,000","65,592,000",,,"65,592,000","65,592,000","65,592,000","30,580,000","30,441,000","30,326,000","19,669,000","19,547,000","19,405,000","19,317,000","19,212,000","19,089,000","18,984,000","18,893,000","18,815,000","14,743,000","14,677,000","14,608,000","14,541,000","11,072,000","11,015,000","10,955,000","10,887,000","10,825,000","10,760,000","7,900,000",,,,,,,,,,,,,,,,,
			PreferredStock,"110,927,000","110,927,000","110,927,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"0",,"0","0","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,250,000","11,012,000","9,741,000","9,721,000","9,700,000","9,680,000","9,660,000","9,639,000","9,619,000","9,599,000","9,578,000","9,557,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"586,946,000","586,946,000","586,946,000","586,946,000","586,946,000","586,946,000","586,946,000","586,946,000","586,946,000","468,571,000","468,571,000","468,571,000","468,571,000","412,546,000","412,546,000","412,546,000","412,546,000","412,546,000","412,546,000","412,546,000","412,546,000","412,726,000","374,287,000","374,287,000","374,287,000","374,287,000","374,287,000","374,287,000","374,287,000","374,287,000","374,287,000","110,056,000","110,056,000","110,056,000","110,056,000","110,056,000","110,056,000","110,056,000",,,,,,,,,,,,,"86,908,000","86,908,000",,,"86,908,000","86,908,000",,"86,907,000","86,908,000",,,"65,592,000","65,592,000",,,"65,592,000","65,592,000","65,592,000","30,580,000","30,441,000","30,326,000","19,669,000","19,547,000","19,405,000","19,317,000","19,212,000","19,089,000","18,984,000","18,893,000","18,815,000","14,743,000","14,677,000","14,608,000","14,541,000","11,072,000","11,015,000","10,955,000","10,887,000","10,825,000","10,760,000","7,900,000",,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"28,484,000","27,246,000","25,851,000","24,606,000","23,621,000","23,887,000","22,867,000","22,069,000","21,746,000","21,344,000","20,450,000","19,777,000","16,513,000","15,542,000","14,625,000","13,756,000","13,434,000","13,602,000","12,840,000","12,377,000","11,796,000","11,407,000","10,409,000","9,864,000","9,324,000","8,527,000","8,315,000","8,120,000","7,084,000","6,015,000","5,818,000","5,380,000","5,002,000","4,986,000","4,952,000","4,925,000","4,820,000","4,801,000","114,810,000","114,798,000","114,778,000","114,771,000","115,024,000","115,016,000","115,005,000","114,997,000","114,998,000","103,598,000","103,585,000","103,558,000","5,652,000","5,636,000","92,538,000","92,112,000","5,258,000","5,234,000","92,106,000","5,133,000","4,912,000","91,501,000","91,466,000","4,535,000","4,275,000","69,504,000","69,440,000","3,787,000","3,782,000","3,775,000","4,699,000","4,477,000","4,524,000","4,734,000","4,682,000","4,677,000","4,632,000","4,616,000","4,597,000","4,562,000","4,392,000","4,348,000","4,312,000","4,180,000","4,140,000","4,122,000","4,104,000","4,049,000","4,049,000","4,002,000","3,934,000","3,807,000","3,700,000",,,,,,,,,,,,,,,,,
		RetainedEarnings,"464,889,000","440,169,000","413,996,000","386,280,000","358,441,000","331,951,000","309,893,000","288,688,000","273,825,000","271,782,000","254,159,000","235,649,000","219,558,000","211,345,000","195,101,000","177,619,000","162,510,000","160,025,000","151,851,000","141,178,000","135,939,000","126,462,000","130,885,000","121,301,000","112,663,000","104,606,000","97,321,000","88,772,000","80,526,000","72,398,000","66,623,000","67,108,000","65,053,000","61,914,000","58,191,000","54,356,000","50,690,000","46,753,000","43,186,000","39,663,000","36,293,000","32,695,000","30,028,000","26,963,000","24,015,000","21,633,000","19,750,000","18,194,000","16,766,000","17,870,000","17,459,000","16,458,000","15,806,000","16,309,000","15,784,000","15,438,000","15,205,000","15,161,000","15,805,000","16,080,000","16,321,000","37,527,000","36,432,000","36,336,000","36,170,000","38,453,000","37,741,000","37,081,000","37,817,000","36,973,000","35,900,000","35,224,000","34,220,000","33,268,000","32,323,000","31,573,000","30,832,000","29,863,000","28,792,000","27,412,000","30,008,000","28,569,000","27,406,000","26,504,000","29,103,000","28,308,000","27,532,000","26,850,000","26,195,000","25,568,000","27,800,000","27,200,000","26,600,000","26,000,000","25,400,000","25,000,000","24,500,000","23,800,000","25,500,000","25,000,000","24,500,000","23,700,000","23,300,000","22,700,000","22,200,000","21,400,000","20,800,000","19,700,000"
		TreasuryStock,"44,458,000","39,672,000","38,314,000","32,682,000","32,682,000","30,271,000","30,271,000","30,271,000","30,271,000","29,360,000","21,892,000","21,892,000","16,967,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","16,717,000","17,078,000","17,078,000","17,078,000","17,078,000","17,230,000","17,232,000","17,234,000","17,234,000","17,354,000","17,354,000","17,691,000","17,691,000","17,691,000","17,698,000","17,698,000","17,698,000","17,698,000","17,720,000","17,720,000","17,720,000","17,796,000","17,796,000","17,820,000","17,568,000","16,630,000","16,100,000","9,788,000","6,631,000","6,631,000","6,631,000","6,760,000","6,242,000","3,683,000","3,701,000","3,712,000","3,721,000","3,721,000","3,775,000","3,783,000","3,808,000","3,965,000","3,978,000","4,091,000","4,110,000","4,156,000","4,254,000","4,129,000","3,870,000","3,935,000","4,115,000","4,272,000","4,306,000","4,347,000","4,474,000","4,474,000","1,579,000","1,611,000","1,674,000","1,700,000",,,,,,,,,,,,,,,,,
