name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,06/30/2011
TotalAssets,"13,269,100,000","13,434,000,000","14,038,400,000","13,691,400,000","13,622,300,000","14,159,800,000","17,780,100,000","16,728,800,000","18,310,000,000","17,360,900,000","17,283,500,000","17,665,400,000","20,756,600,000","21,270,700,000","22,592,700,000","22,630,200,000","23,765,000,000","23,445,600,000","23,573,100,000","22,548,200,000","22,773,300,000","21,891,000,000","7,193,400,000","7,100,200,000","7,024,900,000","6,511,700,000","6,157,000,000","6,018,900,000","6,108,100,000","6,389,300,000","6,426,700,000","6,592,500,000","6,508,000,000","6,869,000,000","6,729,200,000","6,470,000,000","6,328,000,000","6,487,300,000","6,489,600,000","6,183,400,000","6,735,200,000","6,813,900,000"
	CurrentAssets,"2,204,200,000","2,178,400,000","2,060,200,000","1,783,100,000","1,818,200,000","2,217,500,000","6,976,200,000","6,495,000,000","3,673,100,000","3,023,300,000","3,132,700,000","3,272,700,000","3,402,500,000","3,714,400,000","3,740,000,000","3,651,000,000","3,910,600,000","3,879,200,000","4,249,500,000","3,581,500,000","3,746,200,000","3,909,300,000","2,107,700,000","1,938,400,000","1,899,100,000","1,940,600,000","2,038,000,000","1,856,400,000","2,497,000,000","2,720,900,000","2,699,900,000","2,784,800,000","2,697,000,000","2,749,700,000","2,643,800,000","2,416,900,000","2,292,100,000","2,451,500,000","2,442,100,000","2,138,500,000","2,104,700,000","2,087,100,000"
		CashCashEquivalentsAndShortTermInvestments,"668,600,000","523,400,000","376,900,000","253,500,000","315,300,000","549,100,000","535,700,000","308,300,000","1,278,500,000","288,800,000","350,400,000","340,400,000","384,100,000","417,500,000","423,300,000","331,600,000","460,800,000","400,100,000","919,200,000","535,400,000","767,000,000","939,200,000","378,000,000","372,400,000","366,600,000","482,700,000","416,000,000","341,300,000","1,144,100,000","1,203,200,000","1,002,700,000","1,238,000,000","1,147,200,000","1,154,000,000","946,800,000","920,400,000","782,900,000","752,100,000","568,400,000","609,400,000","520,400,000","510,800,000"
			CashAndCashEquivalents,"668,600,000","523,400,000","376,900,000","253,500,000","315,300,000","549,100,000","535,700,000","308,300,000","1,278,500,000","288,800,000","350,400,000","340,400,000","384,100,000","417,500,000","423,300,000","331,600,000","460,800,000","400,100,000","919,200,000","535,400,000","767,000,000","939,200,000","378,000,000","372,400,000","366,600,000","482,700,000","416,000,000","341,300,000","1,144,100,000","1,203,200,000","1,002,700,000","1,238,000,000","1,147,200,000","1,154,000,000","946,800,000","920,400,000","782,900,000","752,100,000","568,400,000","609,400,000","520,400,000","510,800,000"
		Receivables,"479,200,000","506,800,000","517,800,000","690,500,000","398,100,000","531,700,000","521,700,000","711,000,000","844,200,000","1,110,000,000","1,036,600,000","1,528,600,000","1,211,600,000","1,542,700,000","1,484,400,000","1,536,000,000","1,555,400,000","1,743,900,000","1,609,500,000","1,470,300,000","1,380,900,000","1,450,300,000","768,500,000","682,900,000","661,500,000","697,200,000","772,900,000","679,600,000","610,500,000","736,700,000","805,300,000","664,800,000","664,800,000","779,000,000","789,700,000","622,700,000","620,500,000","763,200,000","836,400,000","580,500,000","685,100,000","597,900,000"
			AccountsReceivable,"479,200,000","506,800,000","517,800,000","348,000,000","398,100,000","531,700,000","521,700,000","440,100,000","844,200,000","1,110,000,000","1,036,600,000","1,161,200,000","1,211,600,000","1,542,700,000","1,484,400,000","1,536,000,000","1,555,400,000","1,743,900,000","1,609,500,000","1,470,300,000","1,380,900,000","1,450,300,000","768,500,000","682,900,000","661,500,000","697,200,000","772,900,000","679,600,000","610,500,000","736,700,000","805,300,000","664,800,000","664,800,000","779,000,000","789,700,000","622,700,000","620,500,000","763,200,000","836,400,000","580,500,000","685,100,000","597,900,000"
				GrossAccountsReceivable,"518,000,000","544,700,000","570,400,000","395,700,000","449,300,000","587,600,000","578,200,000","497,400,000","913,100,000","1,179,900,000","1,091,900,000","1,209,300,000","1,275,900,000","1,615,500,000","1,560,500,000","1,617,800,000","1,649,000,000","1,834,500,000","1,676,900,000","1,528,800,000","1,462,600,000","1,518,000,000","806,300,000","718,100,000","681,700,000","720,100,000","795,600,000","699,200,000","626,900,000","755,700,000","824,500,000","681,500,000","682,600,000","798,600,000","809,200,000","637,200,000","636,800,000","784,700,000","857,500,000","600,100,000",,
				AllowanceForDoubtfulAccountsReceivable,"-38,800,000","-37,900,000","-52,600,000","-47,700,000","-51,200,000","-55,900,000","-56,500,000","-57,300,000","-68,900,000","-69,900,000","-55,300,000","-48,100,000","-64,300,000","-72,800,000","-76,100,000","-81,800,000","-93,600,000","-90,600,000","-67,400,000","-58,500,000","-81,700,000","-67,700,000","-37,800,000","-35,200,000","-20,200,000","-22,900,000","-22,700,000","-19,600,000","-16,400,000","-19,000,000","-19,200,000","-16,700,000","-17,800,000","-19,600,000","-19,500,000","-14,500,000","-16,300,000","-21,500,000","-21,100,000","-19,600,000",,
			TaxesReceivable,,,,"163,800,000",,,,"217,500,000",,,,"344,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,"153,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,"25,300,000",,,,"53,400,000",,,,"22,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"643,100,000","589,000,000","660,700,000","650,800,000","604,700,000","626,100,000","727,700,000","678,200,000","959,900,000","1,015,800,000","1,150,800,000","1,153,300,000","1,183,500,000","1,164,600,000","1,251,200,000","1,148,900,000","1,258,500,000","1,155,300,000","1,172,000,000","1,052,600,000","1,034,300,000","1,014,800,000","616,700,000","565,800,000","579,100,000","505,900,000","585,900,000","557,800,000","513,400,000","526,700,000","638,700,000","617,400,000","588,900,000","559,900,000","664,700,000","608,200,000","610,500,000","622,400,000","744,000,000","648,300,000","612,600,000","677,300,000"
			RawMaterials,"162,700,000","155,300,000","162,100,000","159,500,000","139,600,000","86,100,000","145,700,000","148,600,000","204,900,000","231,200,000","252,200,000","259,500,000","265,600,000","289,600,000","289,600,000","278,600,000","308,900,000","305,300,000","262,300,000","256,400,000","241,900,000","238,800,000","157,000,000","159,800,000","151,100,000","135,700,000","146,100,000","160,900,000","140,000,000","149,000,000","163,200,000","189,300,000","151,300,000","160,900,000","158,300,000","184,400,000","162,200,000","177,200,000","181,600,000","194,200,000","166,900,000","173,400,000"
			WorkInProcess,"7,500,000","9,800,000","8,300,000","12,500,000","4,600,000","6,800,000","8,400,000","11,100,000","7,500,000","9,700,000","13,000,000","20,400,000","15,100,000","18,400,000","20,800,000","21,800,000","19,900,000","22,600,000","26,900,000","33,400,000","34,000,000","29,200,000","6,300,000","9,500,000","2,600,000","6,400,000","6,900,000","8,400,000","5,700,000","6,900,000","8,200,000","12,300,000","6,800,000","14,100,000","25,000,000","35,600,000","23,400,000","24,000,000","31,600,000","44,300,000","28,800,000","61,500,000"
			FinishedGoods,"472,900,000","423,900,000","490,300,000","478,800,000","460,500,000","533,200,000","573,600,000","518,500,000","747,500,000","774,900,000","885,600,000","873,400,000","902,800,000","856,600,000","940,800,000","848,500,000","929,700,000","827,400,000","882,800,000","762,800,000","758,400,000","746,800,000","453,400,000","396,500,000","425,400,000","363,800,000","432,900,000","388,500,000","367,700,000","370,800,000","467,300,000","415,800,000","430,800,000","384,900,000","481,400,000","388,200,000","424,900,000","421,200,000","530,800,000","409,800,000","416,900,000","442,400,000"
		PrepaidAssets,"381,700,000","520,100,000","459,300,000","91,700,000","457,400,000","454,400,000","388,100,000","106,700,000","557,400,000","558,000,000","563,900,000","133,700,000","587,200,000","562,100,000","551,200,000","603,900,000","610,200,000","554,300,000","523,400,000","487,900,000","380,400,000","353,200,000","234,500,000","206,800,000","198,900,000","170,600,000","178,400,000","191,000,000","171,500,000","193,900,000","190,700,000","201,200,000","221,400,000","181,700,000","167,700,000","191,200,000","197,800,000","232,800,000","212,500,000","220,300,000","204,300,000","219,100,000"
